"Title","Remand status at Crown Court by ethnicity and age group"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Year","Remand status at the Crown Court","Sex","Age group","Ethnicity"," Total defendants "," Number in each group with each remand status ","Percentage"
"2015","Not remanded","All"," Young adults"," Black"," 1,417 "," 184 ","13.0"
"2015","Not remanded","All"," Young adults"," Asian"," 765 "," 77 ","10.1"
"2015","Not remanded","All"," Young adults"," Mixed"," 470 "," 50 ","10.6"
"2015","Not remanded","All"," Young adults"," Chinese or other"," 163 "," 19 ","11.7"
"2015","Not remanded","All"," Young adults"," Not stated"," 1,075 "," 204 ","19.0"
"2015","Not remanded","All"," Adults"," White"," 59,886 "," 8,503 ","14.2"
"2015","Not remanded","All"," Adults"," Black"," 7,485 "," 723 ","9.7"
"2015","Not remanded","All"," Adults"," Asian"," 5,853 "," 504 ","8.6"
"2015","Not remanded","All"," Adults"," Mixed"," 2,221 "," 262 ","11.8"
"2015","Not remanded","All"," Adults"," Chinese or other"," 1,386 "," 144 ","10.4"
"2015","Not remanded","All"," Adults"," Not stated"," 13,008 "," 2,022 ","15.5"
"2016","Not remanded","All"," Juveniles"," White"," 679 "," 82 ","12.1"
"2016","Not remanded","All"," Juveniles"," Black"," 208 "," 32 ","15.4"
"2016","Not remanded","All"," Juveniles"," Asian"," 112 "," 12 ","10.7"
"2016","Not remanded","All"," Juveniles"," Mixed"," 77 "," 5 ","6.5"
"2016","Not remanded","All"," Juveniles"," Chinese or other"," 21 "," 1 ","4.8"
"2016","Not remanded","All"," Juveniles"," Not stated"," 216 "," 44 ","20.4"
"2016","Not remanded","All"," Young adults"," White"," 5,410 "," 1,035 ","19.1"
"2016","Not remanded","All"," Young adults"," Black"," 1,434 "," 247 ","17.2"
"2016","Not remanded","All"," Young adults"," Asian"," 703 "," 91 ","12.9"
"2016","Not remanded","All"," Young adults"," Mixed"," 450 "," 97 ","21.6"
"2016","Not remanded","All"," Young adults"," Chinese or other"," 136 "," 22 ","16.2"
"2016","Not remanded","All"," Young adults"," Not stated"," 1,406 "," 304 ","21.6"
"2016","Not remanded","All"," Adults"," White"," 53,847 "," 9,395 ","17.4"
"2016","Not remanded","All"," Adults"," Black"," 7,404 "," 881 ","11.9"
"2016","Not remanded","All"," Adults"," Asian"," 5,388 "," 612 ","11.4"
"2016","Not remanded","All"," Adults"," Mixed"," 1,982 "," 299 ","15.1"
"2016","Not remanded","All"," Adults"," Chinese or other"," 1,200 "," 132 ","11.0"
"2016","Not remanded","All"," Adults"," Not stated"," 14,998 "," 2,525 ","16.8"
"2012","Bail","All"," Juveniles"," White"," 1,411 "," 922 ","65.3"
"2012","Bail","All"," Juveniles"," Black"," 524 "," 245 ","46.8"
"2012","Bail","All"," Juveniles"," Asian"," 221 "," 139 ","62.9"
"2012","Bail","All"," Juveniles"," Mixed"," 167 "," 93 ","55.7"
"2012","Bail","All"," Juveniles"," Chinese or other"," 61 "," 31 ","50.8"
"2012","Bail","All"," Juveniles"," Not stated"," 220 "," 113 ","51.4"
"2012","Bail","All"," Young adults"," White"," 9,206 "," 4,508 ","49.0"
"2012","Bail","All"," Young adults"," Black"," 1,803 "," 745 ","41.3"
"2012","Bail","All"," Young adults"," Asian"," 1,047 "," 574 ","54.8"
"2012","Bail","All"," Young adults"," Mixed"," 677 "," 286 ","42.2"
"2012","Bail","All"," Young adults"," Chinese or other"," 202 "," 71 ","35.1"
"2012","Bail","All"," Young adults"," Not stated"," 1,042 "," 431 ","41.4"
"2012","Bail","All"," Adults"," White"," 61,200 "," 30,105 ","49.2"
"2012","Bail","All"," Adults"," Black"," 8,141 "," 3,590 ","44.1"
"2012","Bail","All"," Adults"," Asian"," 6,026 "," 3,339 ","55.4"
"2012","Bail","All"," Adults"," Mixed"," 2,297 "," 1,001 ","43.6"
"2012","Bail","All"," Adults"," Chinese or other"," 1,560 "," 647 ","41.5"
"2012","Bail","All"," Adults"," Not stated"," 9,138 "," 4,599 ","50.3"
"2013","Bail","All"," Juveniles"," White"," 1,159 "," 697 ","60.1"
"2013","Bail","All"," Juveniles"," Black"," 412 "," 201 ","48.8"
"2013","Bail","All"," Juveniles"," Asian"," 176 "," 126 ","71.6"
"2013","Bail","All"," Juveniles"," Mixed"," 160 "," 79 ","49.4"
"2013","Bail","All"," Juveniles"," Chinese or other"," 24 "," 11 ","45.8"
"2013","Bail","All"," Juveniles"," Not stated"," 201 "," 97 ","48.3"
"2013","Bail","All"," Young adults"," White"," 7,293 "," 3,294 ","45.2"
"2013","Bail","All"," Young adults"," Black"," 1,434 "," 547 ","38.1"
"2013","Bail","All"," Young adults"," Asian"," 838 "," 471 ","56.2"
"2013","Bail","All"," Young adults"," Mixed"," 564 "," 225 ","39.9"
"2013","Bail","All"," Young adults"," Chinese or other"," 133 "," 43 ","32.3"
"2013","Bail","All"," Young adults"," Not stated"," 881 "," 338 ","38.4"
"2013","Bail","All"," Adults"," White"," 59,056 "," 27,897 ","47.2"
"2013","Bail","All"," Adults"," Black"," 7,670 "," 3,304 ","43.1"
"2013","Bail","All"," Adults"," Asian"," 5,838 "," 3,175 ","54.4"
"2013","Bail","All"," Adults"," Mixed"," 2,197 "," 934 ","42.5"
"2013","Bail","All"," Adults"," Chinese or other"," 1,489 "," 608 ","40.8"
"2013","Bail","All"," Adults"," Not stated"," 9,467 "," 4,736 ","50.0"
"2014","Bail","All"," Juveniles"," White"," 1,088 "," 697 ","64.1"
"2014","Bail","All"," Juveniles"," Black"," 313 "," 142 ","45.4"
"2014","Bail","All"," Juveniles"," Asian"," 159 "," 111 ","69.8"
"2014","Bail","All"," Juveniles"," Mixed"," 133 "," 66 ","49.6"
"2014","Bail","All"," Juveniles"," Chinese or other"," 25 "," 8 ","32.0"
"2014","Bail","All"," Juveniles"," Not stated"," 187 "," 85 ","45.5"
"2014","Bail","All"," Young adults"," White"," 7,161 "," 3,524 ","49.2"
"2014","Bail","All"," Young adults"," Black"," 1,367 "," 580 ","42.4"
"2014","Bail","All"," Young adults"," Asian"," 826 "," 447 ","54.1"
"2014","Bail","All"," Young adults"," Mixed"," 520 "," 228 ","43.8"
"2014","Bail","All"," Young adults"," Chinese or other"," 139 "," 63 ","45.3"
"2014","Bail","All"," Young adults"," Not stated"," 961 "," 417 ","43.4"
"2014","Bail","All"," Adults"," White"," 59,907 "," 28,300 ","47.2"
"2014","Bail","All"," Adults"," Black"," 7,633 "," 3,300 ","43.2"
"2014","Bail","All"," Adults"," Asian"," 5,652 "," 3,009 ","53.2"
"2014","Bail","All"," Adults"," Mixed"," 2,157 "," 883 ","40.9"
"2014","Bail","All"," Adults"," Chinese or other"," 1,368 "," 613 ","44.8"
"2014","Bail","All"," Adults"," Not stated"," 10,800 "," 5,531 ","51.2"
"2015","Bail","All"," Juveniles"," White"," 908 "," 552 ","60.8"
"2015","Bail","All"," Juveniles"," Black"," 249 "," 111 ","44.6"
"2015","Bail","All"," Juveniles"," Asian"," 126 "," 74 ","58.7"
"2015","Bail","All"," Juveniles"," Mixed"," 110 "," 62 ","56.4"
"2015","Bail","All"," Juveniles"," Chinese or other"," 39 "," 17 ","43.6"
"2015","Bail","All"," Juveniles"," Not stated"," 216 "," 111 ","51.4"
"2015","Bail","All"," Young adults"," White"," 6,609 "," 3,367 ","50.9"
"2015","Bail","All"," Young adults"," Black"," 1,417 "," 556 ","39.2"
"2015","Bail","All"," Young adults"," Asian"," 765 "," 413 ","54.0"
"2015","Bail","All"," Young adults"," Mixed"," 470 "," 225 ","47.9"
"2015","Bail","All"," Young adults"," Chinese or other"," 163 "," 77 ","47.2"
"2015","Bail","All"," Young adults"," Not stated"," 1,075 "," 457 ","42.5"
"2015","Bail","All"," Adults"," White"," 59,886 "," 29,269 ","48.9"
"2015","Bail","All"," Adults"," Black"," 7,485 "," 3,368 ","45.0"
"2015","Bail","All"," Adults"," Asian"," 5,853 "," 3,189 ","54.5"
"2015","Bail","All"," Adults"," Mixed"," 2,221 "," 993 ","44.7"
"2015","Bail","All"," Adults"," Chinese or other"," 1,386 "," 634 ","45.7"
"2015","Bail","All"," Adults"," Not stated"," 13,008 "," 6,832 ","52.5"
"2016","Bail","All"," Juveniles"," White"," 679 "," 422 ","62.2"
"2016","Bail","All"," Juveniles"," Black"," 208 "," 75 ","36.1"
"2016","Bail","All"," Juveniles"," Asian"," 112 "," 52 ","46.4"
"2016","Bail","All"," Juveniles"," Mixed"," 77 "," 39 ","50.6"
"2016","Bail","All"," Juveniles"," Chinese or other"," 21 "," 10 ","47.6"
"2016","Bail","All"," Juveniles"," Not stated"," 216 "," 90 ","41.7"
"2016","Bail","All"," Young adults"," White"," 5,410 "," 2,676 ","49.5"
"2016","Bail","All"," Young adults"," Black"," 1,434 "," 576 ","40.2"
"2016","Bail","All"," Young adults"," Asian"," 703 "," 393 ","55.9"
"2016","Bail","All"," Young adults"," Mixed"," 450 "," 185 ","41.1"
"2016","Bail","All"," Young adults"," Chinese or other"," 136 "," 47 ","34.6"
"2016","Bail","All"," Young adults"," Not stated"," 1,406 "," 597 ","42.5"
"2016","Bail","All"," Adults"," White"," 53,847 "," 25,432 ","47.2"
"2016","Bail","All"," Adults"," Black"," 7,404 "," 3,359 ","45.4"
"2016","Bail","All"," Adults"," Asian"," 5,388 "," 2,792 ","51.8"
"2016","Bail","All"," Adults"," Mixed"," 1,982 "," 850 ","42.9"
"2016","Bail","All"," Adults"," Chinese or other"," 1,200 "," 613 ","51.1"
"2016","Bail","All"," Adults"," Not stated"," 14,998 "," 7,674 ","51.2"
"2012","Custody","All"," Juveniles"," White"," 1,411 "," 442 ","31.3"
"2012","Custody","All"," Juveniles"," Black"," 524 "," 267 ","51.0"
"2012","Custody","All"," Juveniles"," Asian"," 221 "," 72 ","32.6"
"2012","Custody","All"," Juveniles"," Mixed"," 167 "," 66 ","39.5"
"2012","Custody","All"," Juveniles"," Chinese or other"," 61 "," 26 ","42.6"
"2012","Custody","All"," Juveniles"," Not stated"," 220 "," 87 ","39.5"
"2012","Custody","All"," Young adults"," White"," 9,206 "," 3,114 ","33.8"
"2012","Custody","All"," Young adults"," Black"," 1,803 "," 859 ","47.6"
"2012","Custody","All"," Young adults"," Asian"," 1,047 "," 358 ","34.2"
"2012","Custody","All"," Young adults"," Mixed"," 677 "," 294 ","43.4"
"2012","Custody","All"," Young adults"," Chinese or other"," 202 "," 111 ","55.0"
"2012","Custody","All"," Young adults"," Not stated"," 1,042 "," 393 ","37.7"
"2012","Custody","All"," Adults"," White"," 61,200 "," 20,247 ","33.1"
"2012","Custody","All"," Adults"," Black"," 8,141 "," 3,617 ","44.4"
"2012","Custody","All"," Adults"," Asian"," 6,026 "," 2,096 ","34.8"
"2012","Custody","All"," Adults"," Mixed"," 2,297 "," 944 ","41.1"
"2012","Custody","All"," Adults"," Chinese or other"," 1,560 "," 676 ","43.3"
"2012","Custody","All"," Adults"," Not stated"," 9,138 "," 2,835 ","31.0"
"2013","Custody","All"," Juveniles"," White"," 1,159 "," 388 ","33.5"
"2013","Custody","All"," Juveniles"," Black"," 412 "," 185 ","44.9"
"2013","Custody","All"," Juveniles"," Asian"," 176 "," 45 ","25.6"
"2013","Custody","All"," Juveniles"," Mixed"," 160 "," 70 ","43.8"
"2013","Custody","All"," Juveniles"," Chinese or other"," 24 "," 9 ","37.5"
"2013","Custody","All"," Juveniles"," Not stated"," 201 "," 86 ","42.8"
"2013","Custody","All"," Young adults"," White"," 7,293 "," 2,587 ","35.5"
"2013","Custody","All"," Young adults"," Black"," 1,434 "," 720 ","50.2"
"2013","Custody","All"," Young adults"," Asian"," 838 "," 293 ","35.0"
"2013","Custody","All"," Young adults"," Mixed"," 564 "," 247 ","43.8"
"2013","Custody","All"," Young adults"," Chinese or other"," 133 "," 71 ","53.4"
"2013","Custody","All"," Young adults"," Not stated"," 881 "," 371 ","42.1"
"2013","Custody","All"," Adults"," White"," 59,056 "," 20,485 ","34.7"
"2013","Custody","All"," Adults"," Black"," 7,670 "," 3,472 ","45.3"
"2013","Custody","All"," Adults"," Asian"," 5,838 "," 2,045 ","35.0"
"2013","Custody","All"," Adults"," Mixed"," 2,197 "," 940 ","42.8"
"2013","Custody","All"," Adults"," Chinese or other"," 1,489 "," 690 ","46.3"
"2013","Custody","All"," Adults"," Not stated"," 9,467 "," 3,097 ","32.7"
"2014","Custody","All"," Juveniles"," White"," 1,088 "," 325 ","29.9"
"2014","Custody","All"," Juveniles"," Black"," 313 "," 148 ","47.3"
"2014","Custody","All"," Juveniles"," Asian"," 159 "," 34 ","21.4"
"2014","Custody","All"," Juveniles"," Mixed"," 133 "," 58 ","43.6"
"2014","Custody","All"," Juveniles"," Chinese or other"," 25 "," 17 ","68.0"
"2014","Custody","All"," Juveniles"," Not stated"," 187 "," 84 ","44.9"
"2014","Custody","All"," Young adults"," White"," 7,161 "," 2,483 ","34.7"
"2014","Custody","All"," Young adults"," Black"," 1,367 "," 658 ","48.1"
"2014","Custody","All"," Young adults"," Asian"," 826 "," 286 ","34.6"
"2014","Custody","All"," Young adults"," Mixed"," 520 "," 234 ","45.0"
"2014","Custody","All"," Young adults"," Chinese or other"," 139 "," 64 ","46.0"
"2014","Custody","All"," Young adults"," Not stated"," 961 "," 379 ","39.4"
"2014","Custody","All"," Adults"," White"," 59,907 "," 22,303 ","37.2"
"2014","Custody","All"," Adults"," Black"," 7,633 "," 3,582 ","46.9"
"2014","Custody","All"," Adults"," Asian"," 5,652 "," 2,134 ","37.8"
"2014","Custody","All"," Adults"," Mixed"," 2,157 "," 967 ","44.8"
"2014","Custody","All"," Adults"," Chinese or other"," 1,368 "," 597 ","43.6"
"2014","Custody","All"," Adults"," Not stated"," 10,800 "," 3,483 ","32.3"
"2015","Custody","All"," Juveniles"," White"," 908 "," 278 ","30.6"
"2015","Custody","All"," Juveniles"," Black"," 249 "," 119 ","47.8"
"2015","Custody","All"," Juveniles"," Asian"," 126 "," 43 ","34.1"
"2015","Custody","All"," Juveniles"," Mixed"," 110 "," 38 ","34.5"
"2015","Custody","All"," Juveniles"," Chinese or other"," 39 "," 19 ","48.7"
"2015","Custody","All"," Juveniles"," Not stated"," 216 "," 70 ","32.4"
"2015","Custody","All"," Young adults"," White"," 6,609 "," 2,231 ","33.8"
"2015","Custody","All"," Young adults"," Black"," 1,417 "," 677 ","47.8"
"2015","Custody","All"," Young adults"," Asian"," 765 "," 275 ","35.9"
"2015","Custody","All"," Young adults"," Mixed"," 470 "," 195 ","41.5"
"2015","Custody","All"," Young adults"," Chinese or other"," 163 "," 67 ","41.1"
"2015","Custody","All"," Young adults"," Not stated"," 1,075 "," 414 ","38.5"
"2015","Custody","All"," Adults"," White"," 59,886 "," 22,114 ","36.9"
"2015","Custody","All"," Adults"," Black"," 7,485 "," 3,394 ","45.3"
"2015","Custody","All"," Adults"," Asian"," 5,853 "," 2,160 ","36.9"
"2015","Custody","All"," Adults"," Mixed"," 2,221 "," 966 ","43.5"
"2015","Custody","All"," Adults"," Chinese or other"," 1,386 "," 608 ","43.9"
"2015","Custody","All"," Adults"," Not stated"," 13,008 "," 4,154 ","31.9"
"2016","Custody","All"," Juveniles"," White"," 679 "," 175 ","25.8"
"2016","Custody","All"," Juveniles"," Black"," 208 "," 101 ","48.6"
"2016","Custody","All"," Juveniles"," Asian"," 112 "," 48 ","42.9"
"2016","Custody","All"," Juveniles"," Mixed"," 77 "," 33 ","42.9"
"2016","Custody","All"," Juveniles"," Chinese or other"," 21 "," 10 ","47.6"
"2016","Custody","All"," Juveniles"," Not stated"," 216 "," 82 ","38.0"
"2016","Custody","All"," Young adults"," White"," 5,410 "," 1,699 ","31.4"
"2016","Custody","All"," Young adults"," Black"," 1,434 "," 611 ","42.6"
"2016","Custody","All"," Young adults"," Asian"," 703 "," 219 ","31.2"
"2016","Custody","All"," Young adults"," Mixed"," 450 "," 168 ","37.3"
"2016","Custody","All"," Young adults"," Chinese or other"," 136 "," 67 ","49.3"
"2016","Custody","All"," Young adults"," Not stated"," 1,406 "," 505 ","35.9"
"2016","Custody","All"," Adults"," White"," 53,847 "," 19,020 ","35.3"
"2016","Custody","All"," Adults"," Black"," 7,404 "," 3,164 ","42.7"
"2016","Custody","All"," Adults"," Asian"," 5,388 "," 1,984 ","36.8"
"2016","Custody","All"," Adults"," Mixed"," 1,982 "," 833 ","42.0"
"2016","Custody","All"," Adults"," Chinese or other"," 1,200 "," 455 ","37.9"
"2016","Custody","All"," Adults"," Not stated"," 14,998 "," 4,799 ","32.0"
