"Title","Remand status at Crown Court by ethnicity and gender"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Year","Remand status at the Crown Court","Gender","Age group","Ethnicity"," Total defendants "," Number in each group with each remand status ","Percentage"
"2015","Not remanded","Female","All"," Mixed"," 291 "," 29 ","10.0"
"2015","Not remanded","Female","All"," Chinese or other"," 196 "," 27 ","13.8"
"2015","Not remanded","Female","All"," Not stated"," 2,265 "," 322 ","14.2"
"2016","Not remanded","Male","All"," White"," 53,809 "," 9,607 ","17.9"
"2016","Not remanded","Male","All"," Black"," 8,390 "," 1,091 ","13.0"
"2016","Not remanded","Male","All"," Asian"," 5,893 "," 696 ","11.8"
"2016","Not remanded","Male","All"," Mixed"," 2,276 "," 379 ","16.7"
"2016","Not remanded","Male","All"," Chinese or other"," 1,238 "," 144 ","11.6"
"2016","Not remanded","Male","All"," Not stated"," 14,441 "," 2,540 ","17.6"
"2016","Not remanded","Female","All"," White"," 6,127 "," 905 ","14.8"
"2016","Not remanded","Female","All"," Black"," 656 "," 69 ","10.5"
"2016","Not remanded","Female","All"," Asian"," 310 "," 19 ","6.1"
"2016","Not remanded","Female","All"," Mixed"," 233 "," 22 ","9.4"
"2016","Not remanded","Female","All"," Chinese or other"," 119 "," 11 ","9.2"
"2016","Not remanded","Female","All"," Not stated"," 2,179 "," 333 ","15.3"
"2012","Bail","Male","All"," White"," 64,020 "," 30,423 ","47.5"
"2012","Bail","Male","All"," Black"," 9,560 "," 4,013 ","42.0"
"2012","Bail","Male","All"," Asian"," 6,883 "," 3,751 ","54.5"
"2012","Bail","Male","All"," Mixed"," 2,781 "," 1,148 ","41.3"
"2012","Bail","Male","All"," Chinese or other"," 1,617 "," 630 ","39.0"
"2012","Bail","Male","All"," Not stated"," 8,682 "," 3,983 ","45.9"
"2012","Bail","Female","All"," White"," 7,797 "," 5,112 ","65.6"
"2012","Bail","Female","All"," Black"," 908 "," 567 ","62.4"
"2012","Bail","Female","All"," Asian"," 411 "," 301 ","73.2"
"2012","Bail","Female","All"," Mixed"," 360 "," 232 ","64.4"
"2012","Bail","Female","All"," Chinese or other"," 206 "," 119 ","57.8"
"2012","Bail","Female","All"," Not stated"," 1,718 "," 1,160 ","67.5"
"2013","Bail","Male","All"," White"," 60,586 "," 27,425 ","45.3"
"2013","Bail","Male","All"," Black"," 8,753 "," 3,559 ","40.7"
"2013","Bail","Male","All"," Asian"," 6,512 "," 3,524 ","54.1"
"2013","Bail","Male","All"," Mixed"," 2,649 "," 1,063 ","40.1"
"2013","Bail","Male","All"," Chinese or other"," 1,478 "," 561 ","38.0"
"2013","Bail","Male","All"," Not stated"," 8,856 "," 4,034 ","45.6"
"2013","Bail","Female","All"," White"," 6,922 "," 4,463 ","64.5"
"2013","Bail","Female","All"," Black"," 763 "," 493 ","64.6"
"2013","Bail","Female","All"," Asian"," 340 "," 248 ","72.9"
"2013","Bail","Female","All"," Mixed"," 272 "," 175 ","64.3"
"2013","Bail","Female","All"," Chinese or other"," 168 "," 101 ","60.1"
"2013","Bail","Female","All"," Not stated"," 1,693 "," 1,137 ","67.2"
"2014","Bail","Male","All"," White"," 61,062 "," 28,041 ","45.9"
"2014","Bail","Male","All"," Black"," 8,643 "," 3,613 ","41.8"
"2014","Bail","Male","All"," Asian"," 6,308 "," 3,328 ","52.8"
"2014","Bail","Male","All"," Mixed"," 2,545 "," 1,010 ","39.7"
"2014","Bail","Male","All"," Chinese or other"," 1,345 "," 575 ","42.8"
"2014","Bail","Male","All"," Not stated"," 9,923 "," 4,610 ","46.5"
"2014","Bail","Female","All"," White"," 7,094 "," 4,480 ","63.2"
"2014","Bail","Female","All"," Black"," 670 "," 409 ","61.0"
"2014","Bail","Female","All"," Asian"," 329 "," 239 ","72.6"
"2014","Bail","Female","All"," Mixed"," 265 "," 167 ","63.0"
"2014","Bail","Female","All"," Chinese or other"," 187 "," 109 ","58.3"
"2014","Bail","Female","All"," Not stated"," 2,025 "," 1,423 ","70.3"
"2015","Bail","Male","All"," White"," 60,187 "," 28,405 ","47.2"
"2015","Bail","Male","All"," Black"," 8,406 "," 3,526 ","41.9"
"2015","Bail","Male","All"," Asian"," 6,380 "," 3,402 ","53.3"
"2015","Bail","Male","All"," Mixed"," 2,510 "," 1,081 ","43.1"
"2015","Bail","Male","All"," Chinese or other"," 1,392 "," 610 ","43.8"
"2015","Bail","Male","All"," Not stated"," 12,034 "," 5,786 ","48.1"
"2015","Bail","Female","All"," White"," 7,216 "," 4,783 ","66.3"
"2015","Bail","Female","All"," Black"," 745 "," 509 ","68.3"
"2015","Bail","Female","All"," Asian"," 364 "," 274 ","75.3"
"2015","Bail","Female","All"," Mixed"," 291 "," 199 ","68.4"
"2015","Bail","Female","All"," Chinese or other"," 196 "," 118 ","60.2"
"2015","Bail","Female","All"," Not stated"," 2,265 "," 1,614 ","71.3"
"2016","Bail","Male","All"," White"," 53,809 "," 24,665 ","45.8"
"2016","Bail","Male","All"," Black"," 8,390 "," 3,574 ","42.6"
"2016","Bail","Male","All"," Asian"," 5,893 "," 3,018 ","51.2"
"2016","Bail","Male","All"," Mixed"," 2,276 "," 921 ","40.5"
"2016","Bail","Male","All"," Chinese or other"," 1,238 "," 593 ","47.9"
"2016","Bail","Male","All"," Not stated"," 14,441 "," 6,843 ","47.4"
"2016","Bail","Female","All"," White"," 6,127 "," 3,865 ","63.1"
"2016","Bail","Female","All"," Black"," 656 "," 436 ","66.5"
"2016","Bail","Female","All"," Asian"," 310 "," 219 ","70.6"
"2016","Bail","Female","All"," Mixed"," 233 "," 153 ","65.7"
"2016","Bail","Female","All"," Chinese or other"," 119 "," 77 ","64.7"
"2016","Bail","Female","All"," Not stated"," 2,179 "," 1,518 ","69.7"
"2012","Custody","Male","All"," White"," 64,020 "," 22,258 ","34.8"
"2012","Custody","Male","All"," Black"," 9,560 "," 4,511 ","47.2"
"2012","Custody","Male","All"," Asian"," 6,883 "," 2,447 ","35.6"
"2012","Custody","Male","All"," Mixed"," 2,781 "," 1,224 ","44.0"
"2012","Custody","Male","All"," Chinese or other"," 1,617 "," 747 ","46.2"
"2012","Custody","Male","All"," Not stated"," 8,682 "," 3,101 ","35.7"
"2012","Custody","Female","All"," White"," 7,797 "," 1,545 ","19.8"
"2012","Custody","Female","All"," Black"," 908 "," 232 ","25.6"
"2012","Custody","Female","All"," Asian"," 411 "," 79 ","19.2"
"2012","Custody","Female","All"," Mixed"," 360 "," 80 ","22.2"
"2012","Custody","Female","All"," Chinese or other"," 206 "," 66 ","32.0"
"2012","Custody","Female","All"," Not stated"," 1,718 "," 214 ","12.5"
"2013","Custody","Male","All"," White"," 60,586 "," 22,079 ","36.4"
"2013","Custody","Male","All"," Black"," 8,753 "," 4,170 ","47.6"
"2013","Custody","Male","All"," Asian"," 6,512 "," 2,321 ","35.6"
"2013","Custody","Male","All"," Mixed"," 2,649 "," 1,193 ","45.0"
"2013","Custody","Male","All"," Chinese or other"," 1,478 "," 718 ","48.6"
"2013","Custody","Male","All"," Not stated"," 8,856 "," 3,315 ","37.4"
"2013","Custody","Female","All"," White"," 6,922 "," 1,381 ","20.0"
"2013","Custody","Female","All"," Black"," 763 "," 207 ","27.1"
"2013","Custody","Female","All"," Asian"," 340 "," 62 ","18.2"
"2013","Custody","Female","All"," Mixed"," 272 "," 64 ","23.5"
"2013","Custody","Female","All"," Chinese or other"," 168 "," 52 ","31.0"
"2013","Custody","Female","All"," Not stated"," 1,693 "," 239 ","14.1"
"2014","Custody","Male","All"," White"," 61,062 "," 23,438 ","38.4"
"2014","Custody","Male","All"," Black"," 8,643 "," 4,183 ","48.4"
"2014","Custody","Male","All"," Asian"," 6,308 "," 2,386 ","37.8"
"2014","Custody","Male","All"," Mixed"," 2,545 "," 1,195 ","47.0"
"2014","Custody","Male","All"," Chinese or other"," 1,345 "," 627 ","46.6"
"2014","Custody","Male","All"," Not stated"," 9,923 "," 3,684 ","37.1"
"2014","Custody","Female","All"," White"," 7,094 "," 1,673 ","23.6"
"2014","Custody","Female","All"," Black"," 670 "," 205 ","30.6"
"2014","Custody","Female","All"," Asian"," 329 "," 68 ","20.7"
"2014","Custody","Female","All"," Mixed"," 265 "," 64 ","24.2"
"2014","Custody","Female","All"," Chinese or other"," 187 "," 51 ","27.3"
"2014","Custody","Female","All"," Not stated"," 2,025 "," 262 ","12.9"
"2015","Custody","Male","All"," White"," 60,187 "," 23,109 ","38.4"
"2015","Custody","Male","All"," Black"," 8,406 "," 4,010 ","47.7"
"2015","Custody","Male","All"," Asian"," 6,380 "," 2,404 ","37.7"
"2015","Custody","Male","All"," Mixed"," 2,510 "," 1,136 ","45.3"
"2015","Custody","Male","All"," Chinese or other"," 1,392 "," 643 ","46.2"
"2015","Custody","Male","All"," Not stated"," 12,034 "," 4,309 ","35.8"
"2015","Custody","Female","All"," White"," 7,216 "," 1,514 ","21.0"
"2015","Custody","Female","All"," Black"," 745 "," 180 ","24.2"
"2015","Custody","Female","All"," Asian"," 364 "," 74 ","20.3"
"2015","Custody","Female","All"," Mixed"," 291 "," 63 ","21.6"
"2015","Custody","Female","All"," Chinese or other"," 196 "," 51 ","26.0"
"2015","Custody","Female","All"," Not stated"," 2,265 "," 329 ","14.5"
"2016","Custody","Male","All"," White"," 53,809 "," 19,537 ","36.3"
"2016","Custody","Male","All"," Black"," 8,390 "," 3,725 ","44.4"
"2016","Custody","Male","All"," Asian"," 5,893 "," 2,179 ","37.0"
"2016","Custody","Male","All"," Mixed"," 2,276 "," 976 ","42.9"
"2016","Custody","Male","All"," Chinese or other"," 1,238 "," 501 ","40.5"
"2016","Custody","Male","All"," Not stated"," 14,441 "," 5,058 ","35.0"
"2016","Custody","Female","All"," White"," 6,127 "," 1,357 ","22.1"
"2016","Custody","Female","All"," Black"," 656 "," 151 ","23.0"
"2016","Custody","Female","All"," Asian"," 310 "," 72 ","23.2"
"2016","Custody","Female","All"," Mixed"," 233 "," 58 ","24.9"
"2016","Custody","Female","All"," Chinese or other"," 119 "," 31 ","26.1"
"2016","Custody","Female","All"," Not stated"," 2,179 "," 328 ","15.1"
