"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","32.2","116","361","376"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","21.2","29","135","156"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","52.7","58","110","117"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","46.5","95","204","199"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","32.5","132","406","515"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","18","54","298","332"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","24","7","29","36"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","39.3","29","74","83"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","England","All","All","All","All","46","119","258","271"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","14.3","1112","7758","8368"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Intermediate occupations","All","All","16.2","623","3850","4411"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Routine and manual occupations","All","All","17.7","1082","6111","7903"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","15.9","2817","17719","20682"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","38.2","586","1531","1511"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","38.3","297","775","812"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","41","567","1383","1625"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","39.3","1449","3689","3948"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","18.3","1697","9289","9879"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","19.9","920","4625","5223"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","22","1649","7494","9528"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","19.9","4266","21408","24630"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","62","344","555","666"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","38.2","901","2359","2644"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","22.5","626","2786","3293"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","12.5","467","3724","4205"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","9.3","315","3380","4092"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 65 or over","All","All","All","6","358","6012","7097"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," All","All","All","All","16","3011","18816","21997"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","74.7","147","197","185"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","64.3","628","976","996"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","39.2","461","1174","1309"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","28","232","829","895"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","20.4","91","444","494"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","7.2","34","472","540"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," All","All","All","All","38.9","1593","4093","4419"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 16 - 24","All","All","All","65.3","491","752","851"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 25 - 34","All","All","All","45.8","1529","3336","3640"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 35 - 44","All","All","All","27.4","1087","3960","4602"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 45 - 54","All","All","All","15.4","700","4554","5100"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 55 - 64","All","All","All","10.6","406","3824","4586"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 65 or over","All","All","All","6","392","6485","7637"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," All","All","All","All","20.1","4604","22910","26416"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North East","15.5","169","1086","1470"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North West","16.7","460","2748","3381"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","18.4","366","1986","2431"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East Midlands","14.5","246","1695","2091"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","West Midlands","15","295","1968","2265"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East","14.8","326","2197","2575"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","London","19","324","1706","1581"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South East","14.5","466","3215","3729"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South West","16.2","359","2215","2474"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","16","3011","18816","21997"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North East","29","18","61","77"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North West","32.6","115","352","430"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","36.3","103","283","339"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East Midlands","39","100","257","305"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","West Midlands","31","122","394","444"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East","40","132","331","389"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","London","39.2","671","1713","1646"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South East","46.8","241","516","593"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South West","48.6","91","187","196"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","38.9","1593","4093","4419"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North East","16.3","186","1147","1547"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North West","18.5","575","3100","3811"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","Yorkshire and the Humber","20.7","469","2269","2770"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East Midlands","17.7","346","1952","2396"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","West Midlands","17.7","417","2362","2709"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East","18.1","458","2528","2964"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","London","29.1","995","3419","3227"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South East","19","708","3731","4322"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South West","18.7","450","2403","2670"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","20.1","4604","22910","26416"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","Up to £99","All","31.1","61","195","242"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£100 to £199","All","16.7","254","1524","2059"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£200 to £299","All","18.3","370","2021","2698"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£300 to £399","All","17.6","379","2154","2650"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£400 to £499","All","20.7","365","1768","2139"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£500 to £599","All","18.9","305","1619","1866"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£600 to £699","All","16.2","253","1559","1784"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£700 to £799","All","15.1","194","1289","1453"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£800 to £899","All","14.4","161","1113","1200"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£900 to £999","All","15.1","134","891","1001"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£1000 and above","All","11.3","515","4562","4753"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","16","2991","18695","21845"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","Up to £99","All","38.5","20","51","56"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£100 to £199","All","33.6","103","305","371"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£200 to £299","All","32.9","140","425","502"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£300 to £399","All","40.1","193","481","550"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£400 to £499","All","40.8","155","378","447"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£500 to £599","All","47.7","184","386","435"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£600 to £699","All","42.5","150","354","383"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£700 to £799","All","45.9","123","269","274"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£800 to £899","All","43.2","106","245","234"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£900 to £999","All","28.1","52","186","180"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£1000 and above","All","36.4","355","975","943"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","39","1581","4056","4375"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","Up to £99","All","32.6","80","247","298"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£100 to £199","All","19.5","357","1829","2430"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£200 to £299","All","20.8","510","2446","3200"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£300 to £399","All","21.7","572","2635","3200"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£400 to £499","All","24.2","520","2146","2586"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£500 to £599","All","24.4","489","2005","2301"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£600 to £699","All","21.1","403","1913","2167"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£700 to £799","All","20.4","318","1558","1727"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£800 to £899","All","19.6","266","1358","1434"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£900 to £999","All","17.3","187","1077","1181"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£1000 and above","All","15.7","870","5536","5696"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","20.1","4572","22751","26220"
