Measure,Time,Time_type,Ethnicity,Ethnicity_type,Source of Referral,Value,Numerator
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: Other,ONS 18+1,Tenant applied direct,37.4,944
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,Tenant applied direct,41.2,1105
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,Tenant applied direct,41.6,2103
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,Tenant applied direct,35.4,1181
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,Tenant applied direct,41.7,1767
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,Tenant applied direct,31.5,2835
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,Tenant applied direct,40,5393
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,Tenant applied direct,42.6,1414
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,Tenant applied direct,41,258
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,Tenant applied direct,49.3,2160
Percentage of new lettings by source of referral,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,Tenant applied direct,35.6,127
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,Tenant applied direct,40.7,710
Percentage of new lettings by source of referral,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,Nominated by local housing authority,25.3,70905
Percentage of new lettings by source of referral,2015/16,Financial year,White: Irish,ONS 18+1,Nominated by local housing authority,18.7,381
Percentage of new lettings by source of referral,2015/16,Financial year,White: Other,ONS 18+1,Nominated by local housing authority,29.7,4441
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,Nominated by local housing authority,27,1377
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,Nominated by local housing authority,25.9,454
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,Nominated by local housing authority,30,382
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: Other,ONS 18+1,Nominated by local housing authority,32.7,825
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,Nominated by local housing authority,24.4,655
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,Nominated by local housing authority,26.1,1319
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,Nominated by local housing authority,38.6,1285
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,Nominated by local housing authority,27.4,1163
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,Nominated by local housing authority,27,2430
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,Nominated by local housing authority,27.9,3763
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,Nominated by local housing authority,20.2,672
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,Nominated by local housing authority,28.5,179
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,Nominated by local housing authority,19.2,840
Percentage of new lettings by source of referral,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,Nominated by local housing authority,33.6,120
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,Nominated by local housing authority,23.1,403
Percentage of new lettings by source of referral,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,Referred by local authority housing department,4.9,13703
Percentage of new lettings by source of referral,2015/16,Financial year,White: Irish,ONS 18+1,Referred by local authority housing department,6.6,134
Percentage of new lettings by source of referral,2015/16,Financial year,White: Other,ONS 18+1,Referred by local authority housing department,2.5,372
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,Referred by local authority housing department,7.5,383
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,Referred by local authority housing department,5.1,89
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,Referred by local authority housing department,7.3,93
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: Other,ONS 18+1,Referred by local authority housing department,6.3,158
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,Referred by local authority housing department,5.2,140
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,Referred by local authority housing department,4.2,213
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,Referred by local authority housing department,2.9,96
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,Referred by local authority housing department,5.2,221
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,Referred by local authority housing department,6.8,609
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,Referred by local authority housing department,5,680
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,Referred by local authority housing department,4.4,146
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,Referred by local authority housing department,3,19
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,Referred by local authority housing department,4.5,196
Percentage of new lettings by source of referral,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,Referred by local authority housing department,6.4,23
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,Referred by local authority housing department,7.5,131
Percentage of new lettings by source of referral,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,Voluntary agency,1.5,4145
Percentage of new lettings by source of referral,2015/16,Financial year,White: Irish,ONS 18+1,Voluntary agency,3.8,78
Percentage of new lettings by source of referral,2015/16,Financial year,White: Other,ONS 18+1,Voluntary agency,1.5,218
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,Voluntary agency,3.6,184
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,Voluntary agency,2.7,47
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,Voluntary agency,2.8,36
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: Other,ONS 18+1,Voluntary agency,2.3,59
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,Voluntary agency,3.8,102
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,Voluntary agency,5.2,261
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,Voluntary agency,2,67
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,Voluntary agency,3.1,133
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,Voluntary agency,3.3,295
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,Voluntary agency,3.3,442
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,Voluntary agency,2,65
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,Voluntary agency,1.3,8
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,Voluntary agency,3.5,155
Percentage of new lettings by source of referral,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,Voluntary agency,3.6,13
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,Voluntary agency,4.2,73
Percentage of new lettings by source of referral,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,Social services,2.7,7514
Percentage of new lettings by source of referral,2015/16,Financial year,White: Irish,ONS 18+1,Social services,3.8,77
Percentage of new lettings by source of referral,2015/16,Financial year,White: Other,ONS 18+1,Social services,1.6,246
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,Social services,3.6,184
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,Social services,2.2,39
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,Social services,2.3,29
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: Other,ONS 18+1,Social services,2.9,73
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,Social services,3.1,84
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,Social services,2.8,143
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,Social services,2,65
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,Social services,2.9,122
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,Social services,3.2,284
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,Social services,2,273
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,Social services,2.5,83
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,Social services,1.6,10
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,Social services,2.9,125
Percentage of new lettings by source of referral,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,Social services,2.8,10
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,Social services,3.2,55
Percentage of new lettings by source of referral,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,Other social landlord,0.5,1392
Percentage of new lettings by source of referral,2015/16,Financial year,White: Irish,ONS 18+1,Other social landlord,0.9,19
Percentage of new lettings by source of referral,2015/16,Financial year,White: Other,ONS 18+1,Other social landlord,0.4,55
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,Other social landlord,0.8,39
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,Other social landlord,1,18
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,Other social landlord,0.4,5
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: Other,ONS 18+1,Other social landlord,1,24
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,Other social landlord,0.6,17
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,Other social landlord,0.7,33
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,Other social landlord,0.4,14
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,Other social landlord,0.8,32
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,Other social landlord,0.9,77
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,Other social landlord,0.9,125
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,Other social landlord,0.4,14
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,Other social landlord,1,6
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,Other social landlord,0.9,39
Percentage of new lettings by source of referral,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,Other social landlord,1.7,6
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,Other social landlord,0.7,12
Percentage of new lettings by source of referral,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,"Police, probation, prison",1.3,3588
Percentage of new lettings by source of referral,2015/16,Financial year,White: Irish,ONS 18+1,"Police, probation, prison",2.4,49
Percentage of new lettings by source of referral,2015/16,Financial year,White: Other,ONS 18+1,"Police, probation, prison",0.4,66
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,"Police, probation, prison",2.6,131
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,"Police, probation, prison",1.7,30
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,"Police, probation, prison",1.1,14
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: Other,ONS 18+1,"Police, probation, prison",1,26
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,"Police, probation, prison",2.1,57
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,"Police, probation, prison",2.7,134
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,"Police, probation, prison",0.8,28
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,"Police, probation, prison",0.6,27
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,"Police, probation, prison",2.1,193
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,"Police, probation, prison",0.6,82
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,"Police, probation, prison",1.4,46
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,"Police, probation, prison",0,0
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,"Police, probation, prison",0.9,41
Percentage of new lettings by source of referral,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,"Police, probation, prison",1.7,6
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,"Police, probation, prison",0.7,12
Percentage of new lettings by source of referral,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,Other,5.7,16033
Percentage of new lettings by source of referral,2015/16,Financial year,White: Irish,ONS 18+1,Other,10.1,207
Percentage of new lettings by source of referral,2015/16,Financial year,White: Other,ONS 18+1,Other,5.2,784
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,Other,9.5,485
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,Other,9.6,169
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,Other,7.8,99
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: Other,ONS 18+1,Other,7.6,193
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,Other,9.6,257
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,Other,8.4,422
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,Other,4.6,152
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,Other,7.4,312
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,Other,10.6,955
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,Other,8.2,1102
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,Other,8.3,275
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,Other,9.2,58
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,Other,8.1,353
Percentage of new lettings by source of referral,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,Other,7,25
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,Other,9.5,165
