"Title","Routes into social housing by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity_type","Source of Referall","Value"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Tenant applied direct","43"
"Asian/Asian British: Chinese","ONS 18+1","Tenant applied direct","41"
"Other Ethnic group: Other","ONS 18+1","Tenant applied direct","49"
"White: Gypsy, Irish Traveller","ONS 18+1","Tenant applied direct","36"
"Other Ethnic group: Arab","ONS 18+1","Tenant applied direct","41"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Nominated by local housing authority","25"
"White: Irish","ONS 18+1","Nominated by local housing authority","19"
"White: Other","ONS 18+1","Nominated by local housing authority","30"
"Mixed: White & Black Caribbean","ONS 18+1","Nominated by local housing authority","27"
"Mixed: White & Black African","ONS 18+1","Nominated by local housing authority","26"
"Mixed: White & Asian","ONS 18+1","Nominated by local housing authority","30"
"Mixed: Other","ONS 18+1","Nominated by local housing authority","33"
"Asian/Asian British: Indian","ONS 18+1","Nominated by local housing authority","24"
"Asian/Asian British: Pakistani","ONS 18+1","Nominated by local housing authority","26"
"Asian/Asian British: Bangladeshi","ONS 18+1","Nominated by local housing authority","39"
"Asian/Asian British: Other","ONS 18+1","Nominated by local housing authority","27"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Nominated by local housing authority","27"
"Black, African, Caribbean or Black British: African","ONS 18+1","Nominated by local housing authority","28"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Nominated by local housing authority","20"
"Asian/Asian British: Chinese","ONS 18+1","Nominated by local housing authority","29"
"Other Ethnic group: Other","ONS 18+1","Nominated by local housing authority","19"
"White: Gypsy, Irish Traveller","ONS 18+1","Nominated by local housing authority","34"
"Other Ethnic group: Arab","ONS 18+1","Nominated by local housing authority","23"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Referred by local authority housing department","5"
"White: Irish","ONS 18+1","Referred by local authority housing department","7"
"White: Other","ONS 18+1","Referred by local authority housing department","3"
"Mixed: White & Black Caribbean","ONS 18+1","Referred by local authority housing department","8"
"Mixed: White & Black African","ONS 18+1","Referred by local authority housing department","5"
"Mixed: White & Asian","ONS 18+1","Referred by local authority housing department","7"
"Mixed: Other","ONS 18+1","Referred by local authority housing department","6"
"Asian/Asian British: Indian","ONS 18+1","Referred by local authority housing department","5"
"Asian/Asian British: Pakistani","ONS 18+1","Referred by local authority housing department","4"
"Asian/Asian British: Bangladeshi","ONS 18+1","Referred by local authority housing department","3"
"Asian/Asian British: Other","ONS 18+1","Referred by local authority housing department","5"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Referred by local authority housing department","7"
"Black, African, Caribbean or Black British: African","ONS 18+1","Referred by local authority housing department","5"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Referred by local authority housing department","4"
"Asian/Asian British: Chinese","ONS 18+1","Referred by local authority housing department","3"
"Other Ethnic group: Other","ONS 18+1","Referred by local authority housing department","5"
"White: Gypsy, Irish Traveller","ONS 18+1","Referred by local authority housing department","6"
"Other Ethnic group: Arab","ONS 18+1","Referred by local authority housing department","8"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Voluntary agency","2"
"White: Irish","ONS 18+1","Voluntary agency","4"
"White: Other","ONS 18+1","Voluntary agency","2"
"Mixed: White & Black Caribbean","ONS 18+1","Voluntary agency","4"
"Mixed: White & Black African","ONS 18+1","Voluntary agency","3"
"Mixed: White & Asian","ONS 18+1","Voluntary agency","3"
"Mixed: Other","ONS 18+1","Voluntary agency","2"
"Asian/Asian British: Indian","ONS 18+1","Voluntary agency","4"
"Asian/Asian British: Pakistani","ONS 18+1","Voluntary agency","5"
"Asian/Asian British: Bangladeshi","ONS 18+1","Voluntary agency","2"
"Asian/Asian British: Other","ONS 18+1","Voluntary agency","3"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Voluntary agency","3"
"Black, African, Caribbean or Black British: African","ONS 18+1","Voluntary agency","3"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Voluntary agency","2"
"Asian/Asian British: Chinese","ONS 18+1","Voluntary agency","1"
"Other Ethnic group: Other","ONS 18+1","Voluntary agency","4"
"White: Gypsy, Irish Traveller","ONS 18+1","Voluntary agency","4"
"Other Ethnic group: Arab","ONS 18+1","Voluntary agency","4"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Social services","3"
"White: Irish","ONS 18+1","Social services","4"
"White: Other","ONS 18+1","Social services","2"
"Mixed: White & Black Caribbean","ONS 18+1","Social services","4"
"Mixed: White & Black African","ONS 18+1","Social services","2"
"Mixed: White & Asian","ONS 18+1","Social services","2"
"Mixed: Other","ONS 18+1","Social services","3"
"Asian/Asian British: Indian","ONS 18+1","Social services","3"
"Asian/Asian British: Pakistani","ONS 18+1","Social services","3"
"Asian/Asian British: Bangladeshi","ONS 18+1","Social services","2"
"Asian/Asian British: Other","ONS 18+1","Social services","3"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Social services","3"
"Black, African, Caribbean or Black British: African","ONS 18+1","Social services","2"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Social services","3"
"Asian/Asian British: Chinese","ONS 18+1","Social services","2"
"Other Ethnic group: Other","ONS 18+1","Social services","3"
"White: Gypsy, Irish Traveller","ONS 18+1","Social services","3"
"Other Ethnic group: Arab","ONS 18+1","Social services","3"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other social landlord","1"
"White: Irish","ONS 18+1","Other social landlord","1"
"White: Other","ONS 18+1","Other social landlord","0"
"Mixed: White & Black Caribbean","ONS 18+1","Other social landlord","1"
"Mixed: White & Black African","ONS 18+1","Other social landlord","1"
"Mixed: White & Asian","ONS 18+1","Other social landlord","0"
"Mixed: Other","ONS 18+1","Other social landlord","1"
"Asian/Asian British: Indian","ONS 18+1","Other social landlord","1"
"Asian/Asian British: Pakistani","ONS 18+1","Other social landlord","1"
"Asian/Asian British: Bangladeshi","ONS 18+1","Other social landlord","0"
"Asian/Asian British: Other","ONS 18+1","Other social landlord","1"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other social landlord","1"
"Black, African, Caribbean or Black British: African","ONS 18+1","Other social landlord","1"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Other social landlord","0"
"Asian/Asian British: Chinese","ONS 18+1","Other social landlord","1"
"Other Ethnic group: Other","ONS 18+1","Other social landlord","1"
"White: Gypsy, Irish Traveller","ONS 18+1","Other social landlord","2"
"Other Ethnic group: Arab","ONS 18+1","Other social landlord","1"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Police, probation, prison","1"
"White: Irish","ONS 18+1","Police, probation, prison","2"
"White: Other","ONS 18+1","Police, probation, prison","0"
"Mixed: White & Black Caribbean","ONS 18+1","Police, probation, prison","3"
"Mixed: White & Black African","ONS 18+1","Police, probation, prison","2"
"Mixed: White & Asian","ONS 18+1","Police, probation, prison","1"
"Mixed: Other","ONS 18+1","Police, probation, prison","1"
"Asian/Asian British: Indian","ONS 18+1","Police, probation, prison","2"
"Asian/Asian British: Pakistani","ONS 18+1","Police, probation, prison","3"
"Asian/Asian British: Bangladeshi","ONS 18+1","Police, probation, prison","1"
"Asian/Asian British: Other","ONS 18+1","Police, probation, prison","1"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Police, probation, prison","2"
"Black, African, Caribbean or Black British: African","ONS 18+1","Police, probation, prison","1"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Police, probation, prison","1"
"Asian/Asian British: Chinese","ONS 18+1","Police, probation, prison","0"
"Other Ethnic group: Other","ONS 18+1","Police, probation, prison","1"
"White: Gypsy, Irish Traveller","ONS 18+1","Police, probation, prison","2"
"Other Ethnic group: Arab","ONS 18+1","Police, probation, prison","1"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other","6"
"White: Irish","ONS 18+1","Other","10"
"White: Other","ONS 18+1","Other","5"
"Mixed: White & Black Caribbean","ONS 18+1","Other","10"
"Mixed: White & Black African","ONS 18+1","Other","10"
"Mixed: White & Asian","ONS 18+1","Other","8"
"Mixed: Other","ONS 18+1","Other","8"
"Asian/Asian British: Indian","ONS 18+1","Other","10"
"Asian/Asian British: Pakistani","ONS 18+1","Other","8"
"Asian/Asian British: Bangladeshi","ONS 18+1","Other","5"
"Asian/Asian British: Other","ONS 18+1","Other","7"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other","11"
"Black, African, Caribbean or Black British: African","ONS 18+1","Other","8"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Other","8"
"Asian/Asian British: Chinese","ONS 18+1","Other","9"
"Other Ethnic group: Other","ONS 18+1","Other","8"
"White: Gypsy, Irish Traveller","ONS 18+1","Other","7"
"Other Ethnic group: Arab","ONS 18+1","Other","10"
"Asian","ONS 5+1 2011","Internal transfer","11"
"Asian","ONS 5+1 2011","Nominated by local housing authority","29"
"Asian","ONS 5+1 2011","Other","8"
"Asian","ONS 5+1 2011","Other social landlord","1"
"Asian","ONS 5+1 2011","Police, probation, prison","2"
"Asian","ONS 5+1 2011","Referred by local authority housing department","4"
"Asian","ONS 5+1 2011","Social services","3"
"Asian","ONS 5+1 2011","Tenant applied direct","40"
"Asian","ONS 5+1 2011","Voluntary agency","4"
"Black","ONS 5+1 2011","Internal transfer","14"
"Black","ONS 5+1 2011","Nominated by local housing authority","27"
"Black","ONS 5+1 2011","Other","9"
"Black","ONS 5+1 2011","Other social landlord","1"
"Black","ONS 5+1 2011","Police, probation, prison","1"
"Black","ONS 5+1 2011","Referred by local authority housing department","6"
"Black","ONS 5+1 2011","Social services","3"
"Black","ONS 5+1 2011","Tenant applied direct","37"
"Black","ONS 5+1 2011","Voluntary agency","3"
"Mixed","ONS 5+1 2011","Internal transfer","11"
"Mixed","ONS 5+1 2011","Nominated by local housing authority","29"
"Mixed","ONS 5+1 2011","Other","9"
"Mixed","ONS 5+1 2011","Other social landlord","1"
"Mixed","ONS 5+1 2011","Police, probation, prison","2"
"Mixed","ONS 5+1 2011","Referred by local authority housing department","7"
"Mixed","ONS 5+1 2011","Social services","3"
"Mixed","ONS 5+1 2011","Tenant applied direct","36"
"Mixed","ONS 5+1 2011","Voluntary agency","3"
"Other","ONS 5+1 2011","Internal transfer","11"
"Other","ONS 5+1 2011","Nominated by local housing authority","20"
"Other","ONS 5+1 2011","Other","9"
"Other","ONS 5+1 2011","Other social landlord","1"
"Other","ONS 5+1 2011","Police, probation, prison","1"
"Other","ONS 5+1 2011","Referred by local authority housing department","5"
"Other","ONS 5+1 2011","Social services","3"
"Other","ONS 5+1 2011","Tenant applied direct","47"
"Other","ONS 5+1 2011","Voluntary agency","4"
"White","ONS 5+1 2011","Internal transfer","14"
"White","ONS 5+1 2011","Nominated by local housing authority","26"
"White","ONS 5+1 2011","Other","6"
"White","ONS 5+1 2011","Other social landlord","1"
"White","ONS 5+1 2011","Police, probation, prison","1"
"White","ONS 5+1 2011","Referred by local authority housing department","5"
"White","ONS 5+1 2011","Social services","3"
"White","ONS 5+1 2011","Tenant applied direct","45"
"White","ONS 5+1 2011","Voluntary agency","2"
"All","All","Internal transfer","13"
"All","All","Nominated by local housing authority","26"
"All","All","Other","6"
"All","All","Other social landlord","1"
"All","All","Police, probation, prison","1"
"All","All","Referred by local authority housing department","5"
"All","All","Social services","3"
"All","All","Tenant applied direct","44"
"All","All","Voluntary agency","2"
