"Year","Ethnicity","%","Prosecutions at MC ","Convictions at MC and CC"
"2012","AsianJuveniles","75.0","1,829","1,371"
"2012","Asian Young adults","78.3","2,369","1,854"
"2012","Black Adults","80.6","20,542","16,564"
"2012","BlackJuveniles","72.3","4,567","3,304"
"2012","Black Young adults","78.7","4,044","3,182"
"2012","Mixed Adults","81.1","6,900","5,594"
"2012","MixedJuveniles","72.0","2,082","1,499"
"2012","Mixed Young adults","75.6","1,857","1,404"
"2012","Other inc Chinese Adults","83.1","3,359","2,792"
"2012","Other inc ChineseJuveniles","75.9","382","290"
"2012","Other inc Chinese Young adults","85.8","452","388"
"2012","White Adults","85.1","213,239","181,565"
"2012","WhiteJuveniles","76.8","24,200","18,575"
"2012","White Young adults","81.9","30,862","25,286"
"2013","Asian Adults","74.4","14,311","10,648"
"2013","AsianJuveniles","69.6","1,555","1,082"
"2013","Asian Young adults","69.4","2,139","1,485"
"2013","Black Adults","77.5","21,144","16,382"
"2013","BlackJuveniles","70.2","3,693","2,591"
"2013","Black Young adults","74.1","3,891","2,885"
"2013","Mixed Adults","78.4","7,147","5,601"
"2013","MixedJuveniles","68.2","1,643","1,120"
"2013","Mixed Young adults","71.8","1,752","1,258"
"2013","Other inc Chinese Adults","83.3","3,444","2,869"
"2013","Other inc ChineseJuveniles","70.7","287","203"
"2013","Other inc Chinese Young adults","78.8","425","335"
"2013","White Adults","82.9","215,108","178,233"
"2013","WhiteJuveniles","73.6","18,575","13,674"
"2013","White Young adults","76.0","27,174","20,660"
"2014","Asian Adults","75.0","13,561","10,167"
"2014","AsianJuveniles","70.1","1,166","817"
"2014","Asian Young adults","72.3","2,009","1,453"
"2014","Black Adults","77.9","20,223","15,755"
"2014","BlackJuveniles","69.3","3,029","2,099"
"2014","Black Young adults","76.5","3,793","2,901"
"2014","Mixed Adults","78.2","6,668","5,212"
"2014","MixedJuveniles","68.6","1,426","978"
"2014","Mixed Young adults","72.2","1,536","1,109"
"2014","Other inc Chinese Adults","81.1","3,006","2,437"
"2014","Other inc ChineseJuveniles","64.7","238","154"
"2014","Other inc Chinese Young adults","79.4","383","304"
"2014","White Adults","82.7","207,892","171,845"
"2014","WhiteJuveniles","71.7","15,867","11,378"
"2014","White Young adults","78.4","23,450","18,395"
"2015","Asian Adults","78.1","12,639","9,877"
"2015","AsianJuveniles","72.8","1,071","780"
"2015","Asian Young adults","76.7","1,708","1,310"
"2015","Black Adults","81.3","18,523","15,054"
"2015","BlackJuveniles","70.3","2,842","1,999"
"2015","Black Young adults","78.3","3,628","2,840"
"2015","Mixed Adults","79.6","6,555","5,221"
"2015","MixedJuveniles","68.3","1,311","895"
"2015","Mixed Young adults","75.6","1,330","1,005"
"2015","Other inc Chinese Adults","84.9","2,783","2,363"
"2015","Other inc ChineseJuveniles","78.2","234","183"
"2015","Other inc Chinese Young adults","84.9","378","321"
"2015","White Adults","85.4","185,298","158,325"
"2015","WhiteJuveniles","72.1","12,995","9,373"
"2015","White Young adults","81.4","18,873","15,370"
"2016","Asian Adults","81.3","12,017","9,769"
"2016","AsianJuveniles","73.4","1,001","735"
"2016","Asian Young adults","79.0","1,694","1,338"
"2016","Black Adults","82.0","18,464","15,133"
"2016","BlackJuveniles","69.2","2,894","2,003"
"2016","Black Young adults","82.7","3,639","3,009"
"2016","Mixed Adults","83.8","5,468","4,584"
"2016","MixedJuveniles","71.3","991","707"
"2016","Mixed Young adults","77.2","1,154","891"
"2016","Other inc Chinese Adults","81.6","2,509","2,048"
"2016","Other inc ChineseJuveniles","71.1","218","155"
"2016","Other inc Chinese Young adults","85.4","349","298"
"2016","White Adults","87.2","159,969","139,479"
"2016","WhiteJuveniles","72.3","10,209","7,378"
"2016","White Young adults","82.7","15,162","12,541"
"2017","Asian Adults","81.2","10,791","8,767"
"2017","AsianJuveniles","68.8","866","596"
"2017","Asian Young adults","80.2","1,587","1,272"
"2017","Black Adults","80.1","17,046","13,648"
"2017","BlackJuveniles","69.5","2,769","1,924"
"2017","Black Young adults","79.0","3,559","2,812"
"2017","Mixed Adults","81.2","4,887","3,967"
"2017","MixedJuveniles","69.1","858","593"
"2017","Mixed Young adults","77.2","1,086","838"
"2017","Other inc Chinese Adults","82.2","2,233","1,836"
"2017","Other inc ChineseJuveniles","67.3","217","146"
"2017","Other inc Chinese Young adults","82.4","301","248"
"2017","White Adults","86.2","143,830","124,000"
"2017","WhiteJuveniles","72.1","8,734","6,298"
"2017","White Young adults","83.4","12,473","10,403"
