"Title","Unemployment by qualification level"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-04"
"Measure","Time","Time_type","Georgraphy","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Highest qualification held","Qualification_type","Ethnicity","Ethnicity_type","Value","Numerator","Denominator","Unweighted sample base","upper 95%","lower 95%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","7%","10510","145793","610","10.50%","4.00%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","15%","7594","51121","188","22.90%","6.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Other","ONS 5+1","10%","6525","64382","248","16.10%","4.20%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","10%","25850","270621","1084","12.30%","6.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","All","All","8%","113419","1390690","6688","8.80%","7.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","White","ONS 5+1","11%","164929","1470793","7732","11.90%","10.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","8%","13221","165609","697","11.20%","4.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","21%","10730","52292","192","29.60%","11.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Other","ONS 5+1","12%","6856","56348","215","19.10%","5.30%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","12%","33355","289351","1163","14.40%","8.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","All","All","11%","198606","1761061","8900","11.90%","10.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","White","ONS 5+1","4%","2015","47900","223","6.80%","1.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Other","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","All","All","5%","3050","59395","260","7.80%","2.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","White","ONS 5+1","6%","1018142","15941726","76244","6.60%","6.20%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","12%","19143","159319","606","16.10%","7.90%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","8%","90927","1135415","4522","9.30%","6.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","15%","66097","442819","1589","17.70%","12.20%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Other","ONS 5+1","9%","32989","371820","1414","11.20%","6.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","10%","209156","2109373","8131","10.90%","8.90%"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","All","All","7%","1227865","18062028","84423","7.00%","6.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","White","ONS 5+1","3%","159415","5709118","28810","3.00%","2.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","12%","8972","77498","299","17.30%","5.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","8%","38289","452632","1923","10.40%","6.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","8%","19296","229455","935","11.20%","5.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","Other","ONS 5+1","7%","13641","187396","777","10.20%","4.40%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","8%","80198","946981","3934","9.80%","7.10%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","All","All","4%","239700","6660572","32768","3.80%","3.40%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","White","ONS 5+1","4%","104882","2556049","12912","4.40%","3.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","8%","2432","32246","132","14.70%","0.40%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","11%","13312","115888","489","16.00%","7.00%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","11%","7824","73415","286","16.30%","5.00%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","Other","ONS 5+1","3%","951","30914","134","7.70%","-1.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","10%","24518","252462","1041","12.60%","6.90%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","All","All","5%","129400","2809257","13957","5.00%","4.30%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","White","ONS 5+1","6%","181218","3121531","16408","6.20%","5.40%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","9%","2641","28697","130","17.10%","1.30%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","11%","14463","129036","569","15.30%","7.10%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","15%","10468","71726","281","21.10%","8.10%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","Other","ONS 5+1","9%","2872","30681","131","17.30%","1.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","12%","30443","260139","1111","14.70%","8.70%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","All","All","6%","211661","3383923","17528","6.60%","5.90%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","White","ONS 5+1","7%","149422","2185177","11653","7.30%","6.40%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","10%","9644","94032","433","14.80%","5.70%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","16%","7892","49638","196","24.00%","7.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","Other","ONS 5+1","11%","2732","25426","100","20.30%","1.10%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","12%","23211","187689","811","15.90%","8.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","All","All","7%","172633","2374146","12469","7.70%","6.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","White","ONS 5+1","4%","34372","782084","4330","5.00%","3.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","7%","9368","134500","608","10.20%","3.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","13%","5963","47565","195","19.90%","5.20%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Other","ONS 5+1","5%","2769","54054","234","9.60%","0.70%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","8%","18651","247481","1082","10.00%","5.00%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","All","All","5%","53023","1030798","5417","5.70%","4.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","White","ONS 5+1","6%","98276","1653773","9691","6.40%","5.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","4%","8368","189807","933","6.50%","2.30%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","7%","4120","57883","245","12.20%","2.00%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Other","ONS 5+1","5%","2944","56037","240","9.70%","0.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","5%","16715","318583","1492","7.00%","3.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","All","All","6%","114991","1972938","11187","6.30%","5.40%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","White","ONS 5+1","4%","1871","45100","243","6.70%","1.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Other","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","All","All","4%","2174","56620","284","6.10%","1.60%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","White","ONS 5+1","5%","729455","16052832","84047","4.70%","4.40%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Mixed","ONS 5+1","10%","18822","183774","765","13.60%","6.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Asian or Asian British","ONS 5+1","8%","93443","1121452","4975","9.50%","7.10%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Black or Black British","ONS 5+1","11%","55865","531257","2143","12.60%","8.50%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Other","ONS 5+1","7%","25909","386561","1622","8.60%","4.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Ethnic Minority","White and other","9%","194039","2223044","9505","9.60%","7.80%"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","Unreported","ONS 5+1","?","?","?","?","?","?"
"Unemployment","2012","Year","K03000001","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","All","All","5%","923581","18288254","93609","5.20%","4.90%"
"Unemployment","2012","Year","K03000001","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","White","ONS 5+1","3%","338202","10967790","52705","3.20%","2.90%"
