"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator","Comments"
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","White","White & Other","N/A","N/A","Mental health trust","6.178287","%","4523","73208",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","Other","White & Other","N/A","N/A","Acute trust","15.471807","%","8572","55440",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","Other","White & Other","N/A","N/A","Ambulance trust","18.26809","%","154","843",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","Other","White & Other","N/A","N/A","Community provider trust","12.268423","%","298","2444",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","Other","White & Other","N/A","N/A","Mental health trust","13.388042","%","1713","12795",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Worcestershire Health and Care NHS Trust","R1A","White","White & Other","Midlands & East","Grouped region","Community provider trust","6.805641","%","111","1631",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Worcestershire Health and Care NHS Trust","R1A","Other","White & Other","Midlands & East","Grouped region","Community provider trust","8.333333","%","6","72",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Solent NHS Trust","R1C","White","White & Other","South","Grouped region","Community provider trust","4.146919","%","70","1688",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Solent NHS Trust","R1C","Other","White & Other","South","Grouped region","Community provider trust","8","%","10","125",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Shropshire Community Health NHS Trust","R1D","White","White & Other","Midlands & East","Grouped region","Community provider trust","3.982301","%","27","678",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Shropshire Community Health NHS Trust","R1D","Other","White & Other","Midlands & East","Grouped region","Community provider trust","25","%","5","20",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Staffordshire and Stoke on Trent Partnership NHS Trust","R1E","White","White & Other","Midlands & East","Grouped region","Community provider trust","4.391009","%","84","1913",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Staffordshire and Stoke on Trent Partnership NHS Trust","R1E","Other","White & Other","Midlands & East","Grouped region","Community provider trust","12.903226","%","12","93",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Isle of Wight NHS Trust (acute sector)","R1F1","White","White & Other","South","Grouped region","Acute trust","7.725322","%","72","932",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Isle of Wight NHS Trust (acute sector)","R1F1","Other","White & Other","South","Grouped region","Acute trust","15.662651","%","13","83",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Isle of Wight NHS Trust (ambulance sector)","R1F2","White","White & Other","South","Grouped region","Ambulance trust","6.060606","%","4","66","results from this trust are excluded from the total due to small numbers from the Other ethnic group"
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Isle of Wight NHS Trust (ambulance sector)","R1F2","Other","White & Other","South","Grouped region","Ambulance trust","N/A","%","suppressed due to small numbers","suppressed due to small numbers",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Isle of Wight NHS Trust (mental health sector)","R1F3","White","White & Other","South","Grouped region","Mental health trust","14.482759","%","21","145","results from this trust are excluded from the total due to small numbers from the Other ethnic group"
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Isle of Wight NHS Trust (mental health sector)","R1F3","Other","White & Other","South","Grouped region","Mental health trust","#VALUE!","%","suppressed due to small numbers","suppressed due to small numbers",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Barts Health NHS Trust","R1H","White","White & Other","London","Grouped region","Acute trust","9.761388","%","315","3227",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Barts Health NHS Trust","R1H","Other","White & Other","London","Grouped region","Acute trust","18.802395","%","628","3340",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Gloucestershire Care Services NHS Trust","R1J","White","White & Other","South","Grouped region","Community provider trust","6.81382","%","71","1042",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Gloucestershire Care Services NHS Trust","R1J","Other","White & Other","South","Grouped region","Community provider trust","8.333333","%","3","36",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","London North West Healthcare NHS Trust","R1K","White","White & Other","London","Grouped region","Acute trust","8.149171","%","118","1448",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","London North West Healthcare NHS Trust","R1K","Other","White & Other","London","Grouped region","Acute trust","17.74273","%","360","2029",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Essex Partnership University NHS Foundation Trust","R1L","White","White & Other","Midlands & East","Grouped region","Mental health trust","5.959226","%","114","1913",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Essex Partnership University NHS Foundation Trust","R1L","Other","White & Other","Midlands & East","Grouped region","Mental health trust","12.087912","%","44","364",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Surrey County Hospital NHS Foundation Trust","RA2","White","White & Other","South","Grouped region","Acute trust","4.675964","%","57","1219",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Surrey County Hospital NHS Foundation Trust","RA2","Other","White & Other","South","Grouped region","Acute trust","15.185185","%","41","270",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Weston Area Health NHS Trust","RA3","White","White & Other","South","Grouped region","Acute trust","7.153966","%","46","643",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Weston Area Health NHS Trust","RA3","Other","White & Other","South","Grouped region","Acute trust","22.222222","%","12","54",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Yeovil District Hospital NHS Foundation Trust","RA4","White","White & Other","South","Grouped region","Acute trust","7.048458","%","80","1135",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Yeovil District Hospital NHS Foundation Trust","RA4","Other","White & Other","South","Grouped region","Acute trust","6.542056","%","7","107",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Bristol NHS Foundation Trust","RA7","White","White & Other","South","Grouped region","Acute trust","6.96063","%","221","3175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Bristol NHS Foundation Trust","RA7","Other","White & Other","South","Grouped region","Acute trust","16.009281","%","69","431",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South","Grouped region","Acute trust","6.656266","%","128","1923",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South","Grouped region","Acute trust","16.666667","%","16","96",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North","Grouped region","Acute trust","5.8","%","87","1500",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North","Grouped region","Acute trust","14.460784","%","59","408",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Southend University Hospital NHS Foundation Trust","RAJ","White","White & Other","Midlands & East","Grouped region","Acute trust","5.079826","%","70","1378",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Southend University Hospital NHS Foundation Trust","RAJ","Other","White & Other","Midlands & East","Grouped region","Acute trust","13.138686","%","36","274",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped region","Acute trust","8.061002","%","185","2295",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped region","Acute trust","17.444717","%","284","1628",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped region","Acute trust","5.787037","%","25","432",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped region","Acute trust","15.151515","%","45","297",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped region","Acute trust","10.26616","%","54","526",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped region","Acute trust","19.52862","%","116","594",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped region","Acute trust","9.442548","%","83","879",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped region","Acute trust","17.271157","%","100","579",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped region","Mental health trust","4.827586","%","105","2175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped region","Mental health trust","10.616438","%","124","1168",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Kingston Hospital NHS Foundation Trust","RAX","White","White & Other","London","Grouped region","Acute trust","7.590133","%","80","1054",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Kingston Hospital NHS Foundation Trust","RAX","Other","White & Other","London","Grouped region","Acute trust","18.527919","%","73","394",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Taunton and Somerset NHS Foundation Trust","RBA","White","White & Other","South","Grouped region","Acute trust","5.91195","%","94","1590",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Taunton and Somerset NHS Foundation Trust","RBA","Other","White & Other","South","Grouped region","Acute trust","7.627119","%","9","118",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Dorset County Hospital NHS Foundation Trust","RBD","White","White & Other","South","Grouped region","Acute trust","5.882353","%","72","1224",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Dorset County Hospital NHS Foundation Trust","RBD","Other","White & Other","South","Grouped region","Acute trust","19.178082","%","14","73",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Walsall Healthcare NHS Trust","RBK","White","White & Other","Midlands & East","Grouped region","Acute trust","7.404255","%","87","1175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Walsall Healthcare NHS Trust","RBK","Other","White & Other","Midlands & East","Grouped region","Acute trust","14.765101","%","44","298",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Wirral University Teaching Hospital NHS Foundation Trust","RBL","White","White & Other","North","Grouped region","Acute trust","6.590258","%","23","349",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Other","White & Other","North","Grouped region","Acute trust","10","%","2","20",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","White","White & Other","North","Grouped region","Acute trust","5.225225","%","29","555",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","Other","White & Other","North","Grouped region","Acute trust","16","%","8","50",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","White","White & Other","North","Grouped region","Acute trust","5.063291","%","40","790",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Other","White & Other","North","Grouped region","Acute trust","5.405405","%","4","74",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Alder Hey Children's NHS Foundation Trust","RBS","White","White & Other","North","Grouped region","Acute trust","5.197245","%","83","1597",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Alder Hey Children's NHS Foundation Trust","RBS","Other","White & Other","North","Grouped region","Acute trust","11.494253","%","10","87",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Mid Cheshire Hospitals NHS Foundation Trust","RBT","White","White & Other","North","Grouped region","Acute trust","6.752412","%","42","622",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Other","White & Other","North","Grouped region","Acute trust","20","%","6","30",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Christie NHS Foundation Trust","RBV","White","White & Other","North","Grouped region","Acute trust","6.022945","%","63","1046",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Christie NHS Foundation Trust","RBV","Other","White & Other","North","Grouped region","Acute trust","11.607143","%","13","112",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northern Devon Healthcare NHS Trust","RBZ","White","White & Other","South","Grouped region","Acute trust","3.912648","%","43","1099",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northern Devon Healthcare NHS Trust","RBZ","Other","White & Other","South","Grouped region","Acute trust","12.820513","%","5","39",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Bedford Hospital NHS Trust","RC1","White","White & Other","Midlands & East","Grouped region","Acute trust","8.282209","%","27","326",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Bedford Hospital NHS Trust","RC1","Other","White & Other","Midlands & East","Grouped region","Acute trust","15.454545","%","17","110",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","White","White & Other","Midlands & East","Grouped region","Acute trust","7.436096","%","96","1291",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.724758","%","92","723",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","York Teaching Hospital NHS Foundation Trust","RCB","White","White & Other","North","Grouped region","Acute trust","6.23673","%","235","3768",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","York Teaching Hospital NHS Foundation Trust","RCB","Other","White & Other","North","Grouped region","Acute trust","17.910448","%","36","201",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Harrogate and District NHS Foundation Trust","RCD","White","White & Other","North","Grouped region","Acute trust","3.965517","%","23","580",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Harrogate and District NHS Foundation Trust","RCD","Other","White & Other","North","Grouped region","Acute trust","0","%","0","36",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Airedale NHS Foundation Trust","RCF","White","White & Other","North","Grouped region","Acute trust","5.077063","%","56","1103",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Airedale NHS Foundation Trust","RCF","Other","White & Other","North","Grouped region","Acute trust","13.095238","%","11","84",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sheffield Children's NHS Foundation Trust","RCU","White","White & Other","North","Grouped region","Acute trust","6.10687","%","80","1310",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sheffield Children's NHS Foundation Trust","RCU","Other","White & Other","North","Grouped region","Acute trust","11.607143","%","13","112",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","White","White & Other","Midlands & East","Grouped region","Acute trust","10.358891","%","127","1226",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","Other","White & Other","Midlands & East","Grouped region","Acute trust","16.770186","%","27","161",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal United Hospitals Bath NHS Foundation Trust","RD1","White","White & Other","South","Grouped region","Acute trust","7.98005","%","160","2005",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal United Hospitals Bath NHS Foundation Trust","RD1","Other","White & Other","South","Grouped region","Acute trust","18.888889","%","34","180",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Poole Hospital NHS Foundation Trust","RD3","White","White & Other","South","Grouped region","Acute trust","5.68252","%","92","1619",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Poole Hospital NHS Foundation Trust","RD3","Other","White & Other","South","Grouped region","Acute trust","14.102564","%","22","156",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Milton Keynes University Hospital NHS Foundation Trust","RD8","White","White & Other","Midlands & East","Grouped region","Acute trust","7.101727","%","74","1042",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Milton Keynes University Hospital NHS Foundation Trust","RD8","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.333333","%","37","300",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","White","White & Other","Midlands & East","Grouped region","Acute trust","6.911582","%","111","1606",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.549801","%","63","502",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Colchester Hospital University NHS Foundation Trust","RDE","White","White & Other","Midlands & East","Grouped region","Acute trust","6.046863","%","80","1323",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Colchester Hospital University NHS Foundation Trust","RDE","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.234043","%","23","188",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sussex Community NHS Foundation Trust","RDR","White","White & Other","South","Grouped region","Community provider trust","5.42257","%","111","2047",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sussex Community NHS Foundation Trust","RDR","Other","White & Other","South","Grouped region","Community provider trust","13.714286","%","24","175",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Frimley Health NHS Foundation Trust","RDU","White","White & Other","South","Grouped region","Acute trust","6.633292","%","159","2397",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Frimley Health NHS Foundation Trust","RDU","Other","White & Other","South","Grouped region","Acute trust","12.990196","%","106","816",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Dorset Healthcare University NHS Foundation Trust","RDY","White","White & Other","South","Grouped region","Mental health trust","4.543659","%","115","2531",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Dorset Healthcare University NHS Foundation Trust","RDY","Other","White & Other","South","Grouped region","Mental health trust","11.403509","%","13","114",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","White","White & Other","South","Grouped region","Acute trust","5.380117","%","92","1710",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","RDZ","Other","White & Other","South","Grouped region","Acute trust","17.924528","%","38","212",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South Tyneside NHS Foundation Trust","RE9","White","White & Other","North","Grouped region","Acute trust","5.954825","%","87","1461",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South Tyneside NHS Foundation Trust","RE9","Other","White & Other","North","Grouped region","Acute trust","12.5","%","8","64",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Cornwall Hospitals NHS Trust","REF","White","White & Other","South","Grouped region","Acute trust","6.301887","%","167","2650",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Cornwall Hospitals NHS Trust","REF","Other","White & Other","South","Grouped region","Acute trust","11.926606","%","13","109",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Aintree University Hospital NHS Foundation Trust","REM","White","White & Other","North","Grouped region","Acute trust","6.562194","%","134","2042",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Aintree University Hospital NHS Foundation Trust","REM","Other","White & Other","North","Grouped region","Acute trust","11.538462","%","15","130",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","White","White & Other","North","Grouped region","Acute trust","5.255255","%","35","666",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Other","White & Other","North","Grouped region","Acute trust","3.225806","%","1","31",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North","Grouped region","Acute trust","5.583756","%","44","788",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North","Grouped region","Acute trust","8.62069","%","5","58",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Walton Centre NHS Foundation Trust","RET","White","White & Other","North","Grouped region","Acute trust","6.213592","%","32","515",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Walton Centre NHS Foundation Trust","RET","Other","White & Other","North","Grouped region","Acute trust","15.384615","%","6","39",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped region","Acute trust","9.221557","%","154","1670",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped region","Acute trust","19.93737","%","191","958",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Barnsley Hospital NHS Foundation Trust","RFF","White","White & Other","North","Grouped region","Acute trust","6.096528","%","72","1181",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Barnsley Hospital NHS Foundation Trust","RFF","Other","White & Other","North","Grouped region","Acute trust","5.333333","%","4","75",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Rotherham NHS Foundation Trust","RFR","White","White & Other","North","Grouped region","Acute trust","4.675325","%","72","1540",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Rotherham NHS Foundation Trust","RFR","Other","White & Other","North","Grouped region","Acute trust","15.841584","%","16","101",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Chesterfield Royal Hospital NHS Foundation Trust","RFS","White","White & Other","Midlands & East","Grouped region","Acute trust","5.027174","%","111","2208",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Other","White & Other","Midlands & East","Grouped region","Acute trust","8.108108","%","9","111",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North","Grouped region","Mental health trust","6.127886","%","69","1126",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North","Grouped region","Mental health trust","8.235294","%","14","170",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","Midlands & East","Grouped region","Acute trust","6.21118","%","30","483",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","Midlands & East","Grouped region","Acute trust","15","%","9","60",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North West Anglia NHS Foundation Trust","RGN","White","White & Other","Midlands & East","Grouped region","Acute trust","7.692308","%","30","390",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.698413","%","8","63",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","Midlands & East","Grouped region","Acute trust","9.388646","%","43","458",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","Midlands & East","Grouped region","Acute trust","17.307692","%","9","52",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Ipswich Hospital NHS Trust","RGQ","White","White & Other","Midlands & East","Grouped region","Acute trust","4.371257","%","73","1670",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Ipswich Hospital NHS Trust","RGQ","Other","White & Other","Midlands & East","Grouped region","Acute trust","11.428571","%","20","175",""
