"Title","Writing attainments for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% higher standard"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Any other","DFE","Girls","All/Boys/Girls","67","15"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed","DFE","Girls","All/Boys/Girls","75","19"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","70","13"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","Girls","All/Boys/Girls","75","18"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","Girls","All/Boys/Girls","79","25"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - Any other","DFE","Girls","All/Boys/Girls","76","21"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian","DFE","Girls","All/Boys/Girls","76","19"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Indian","DFE","Girls","All/Boys/Girls","83","27"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Pakistani","DFE","Girls","All/Boys/Girls","70","13"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","76","17"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Any other","DFE","Girls","All/Boys/Girls","78","21"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black","DFE","Girls","All/Boys/Girls","76","17"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Caribbean","DFE","Girls","All/Boys/Girls","71","13"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - African","DFE","Girls","All/Boys/Girls","77","19"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Any other","DFE","Girls","All/Boys/Girls","73","16"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Chinese","DFE","Girls","All/Boys/Girls","82","29"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Other","DFE","Girls","All/Boys/Girls","68","14"
