"Title","Car and van ownership by ethnicity"
"Location","England"
"Time period","2002/06 to 2011/15"
"Data source","National Travel Survey https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Weighted_Sample_Individuals_with_no_car_access","Unweighted_Sample_Individuals_with_no_car_access","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Proportion of people with no access to a car","2008/12","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","25","1099","944","4437","4099"
"Proportion of people with no access to a car","2008/12","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","42","860","794","2027","1946"
"Proportion of people with no access to a car","2008/12","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","36","295","245","829","756"
"Proportion of people with no access to a car","2008/12","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","40","361","299","912","827"
"Proportion of people with no access to a car","2008/12","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","11507","10973","63971","63864"
"Proportion of people with no access to a car","2009/13","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","20","14245","13337","72589","71961"
"Proportion of people with no access to a car","2009/13","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","24","1142","991","4695","4386"
"Proportion of people with no access to a car","2009/13","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","43","927","853","2146","2058"
"Proportion of people with no access to a car","2009/13","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","36","300","254","822","760"
"Proportion of people with no access to a car","2009/13","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","38","352","281","916","822"
"Proportion of people with no access to a car","2009/13","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","11512","10949","63955","63885"
"Proportion of people with no access to a car","2010/14","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","20","14100","13161","71956","71142"
"Proportion of people with no access to a car","2010/14","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","24","1163","994","4780","4443"
"Proportion of people with no access to a car","2010/14","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","43","913","852","2126","2043"
"Proportion of people with no access to a car","2010/14","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","36","274","226","769","700"
"Proportion of people with no access to a car","2010/14","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","34","322","260","952","857"
"Proportion of people with no access to a car","2010/14","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","11415","10819","63279","63053"
"Proportion of people with no access to a car","2011/15","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19","14032","13127","72101","71280"
"Proportion of people with no access to a car","2011/15","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","24","1170","1003","4826","4509"
"Proportion of people with no access to a car","2011/15","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","42","866","821","2078","2028"
"Proportion of people with no access to a car","2011/15","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","35","264","218","756","692"
"Proportion of people with no access to a car","2011/15","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","37","357","297","966","878"
"Proportion of people with no access to a car","2011/15","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","11360","10777","63428","63131"
