"Title","Rates of criminal reoffending"
"Time period","2000 to 2015"
"Location","England and Wales"
"Source","NOMS Offender Equalities Statistics Bulletin"
"Department","Ministry of Justice"
"Last update","24 November 2016"
"
"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography_code","Geography_name","Geography_type","Age group","Age group_type","Value","Denominator","Numerator"
"Percentage of offenders who reoffend",2008,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",8.9,18959,1684
"Percentage of offenders who reoffend",2008,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",18.7,8017,1498
"Percentage of offenders who reoffend",2008,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",27.6,602770,166095
"Percentage of offenders who reoffend",2009,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",21.4,36754,7865
"Percentage of offenders who reoffend",2009,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",29.3,57717,16900
"Percentage of offenders who reoffend",2009,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",8.6,16733,1433
"Percentage of offenders who reoffend",2009,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",18.4,8263,1518
"Percentage of offenders who reoffend",2009,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",26.9,570592,153530
"Percentage of offenders who reoffend",2010,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",21.3,35099,7470
"Percentage of offenders who reoffend",2010,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",29.8,54503,16219
"Percentage of offenders who reoffend",2010,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",8.9,15527,1389
"Percentage of offenders who reoffend",2010,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",18.1,8170,1479
"Percentage of offenders who reoffend",2010,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",27.3,527781,144286
"Percentage of offenders who reoffend",2011,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",21.3,32800,6985
"Percentage of offenders who reoffend",2011,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",30,51322,15395
"Percentage of offenders who reoffend",2011,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",7.9,17110,1359
"Percentage of offenders who reoffend",2011,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",17.8,7594,1349
"Percentage of offenders who reoffend",2011,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",27.5,497099,136894
"Percentage of offenders who reoffend",2012,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",20.6,30301,6247
"Percentage of offenders who reoffend",2012,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",29.7,46858,13914
"Percentage of offenders who reoffend",2012,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",7.4,16618,1233
"Percentage of offenders who reoffend",2012,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",17.9,6880,1231
"Percentage of offenders who reoffend",2012,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",26.8,453864,121584
"Percentage of offenders who reoffend",2013,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",20.6,28988,5971
"Percentage of offenders who reoffend",2013,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",29.8,44299,13200
"Percentage of offenders who reoffend",2013,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",7.2,16745,1198
"Percentage of offenders who reoffend",2013,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",19.3,6336,1221
"Percentage of offenders who reoffend",2013,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",27.4,417320,114413
"Percentage of offenders who reoffend",2014,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",20.4,27161,5539
"Percentage of offenders who reoffend",2014,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",29.1,42639,12391
"Percentage of offenders who reoffend",2014,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",6,19305,1156
"Percentage of offenders who reoffend",2014,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",18.2,5992,1090
"Percentage of offenders who reoffend",2014,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",26.6,392478,104489
"Percentage of offenders who reoffend",2000,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",27.9,4763,1331
"Percentage of offenders who reoffend",2000,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",37.8,5444,2058
"Percentage of offenders who reoffend",2000,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",9.3,2714,253
"Percentage of offenders who reoffend",2000,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",26.6,489,130
"Percentage of offenders who reoffend",2000,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",34.3,83490,28648
"Percentage of offenders who reoffend",2000,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",25.5,4744,1209
"Percentage of offenders who reoffend",2000,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",32.2,4799,1546
"Percentage of offenders who reoffend",2000,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",6.9,2529,175
"Percentage of offenders who reoffend",2000,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",19.8,587,116
"Percentage of offenders who reoffend",2000,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",31.9,76814,24519
"Percentage of offenders who reoffend",2000,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",21.3,3539,754
"Percentage of offenders who reoffend",2000,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",27.8,4480,1246
"Percentage of offenders who reoffend",2000,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",6.9,2478,171
"Percentage of offenders who reoffend",2000,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",19.1,603,115
"Percentage of offenders who reoffend",2000,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",30.2,76403,23085
"Percentage of offenders who reoffend",2000,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",17.4,2167,378
"Percentage of offenders who reoffend",2000,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",28.4,4631,1317
"Percentage of offenders who reoffend",2000,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",6,2179,131
"Percentage of offenders who reoffend",2000,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",20.6,486,100
"Percentage of offenders who reoffend",2000,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",25.9,60629,15732
"Percentage of offenders who reoffend",2000,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",14.3,1207,172
"Percentage of offenders who reoffend",2000,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",26.3,3862,1014
"Percentage of offenders who reoffend",2000,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",4.6,2130,99
"Percentage of offenders who reoffend",2000,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",13.9,375,52
"Percentage of offenders who reoffend",2000,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",21.7,44629,9666
"Percentage of offenders who reoffend",2000,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",10.5,904,95
"Percentage of offenders who reoffend",2000,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",24.3,1791,436
"Percentage of offenders who reoffend",2000,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",4,1749,70
"Percentage of offenders who reoffend",2000,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",13.1,267,35
"Percentage of offenders who reoffend",2000,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",17.6,27176,4775
"Percentage of offenders who reoffend",2000,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",8.1,658,53
"Percentage of offenders who reoffend",2000,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",19.8,727,144
"Percentage of offenders who reoffend",2000,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",3.7,1262,47
"Percentage of offenders who reoffend",2000,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",9.3,182,17
"Percentage of offenders who reoffend",2000,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",14.8,17187,2537
"Percentage of offenders who reoffend",2000,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",3.6,582,21
"Percentage of offenders who reoffend",2000,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",12.5,718,90
"Percentage of offenders who reoffend",2000,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",2,2662,54
"Percentage of offenders who reoffend",2000,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",11.8,152,18
"Percentage of offenders who reoffend",2000,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",10.2,25510,2614
"Percentage of offenders who reoffend",2004,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",26.1,4464,1167
"Percentage of offenders who reoffend",2004,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",34.3,6413,2202
"Percentage of offenders who reoffend",2004,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",10,2647,266
"Percentage of offenders who reoffend",2004,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",26.1,825,215
"Percentage of offenders who reoffend",2004,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","18 to 20","Adult",31.2,77191,24055
"Percentage of offenders who reoffend",2004,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",25.2,5793,1458
"Percentage of offenders who reoffend",2004,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",30.5,7318,2230
"Percentage of offenders who reoffend",2004,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",9.1,2870,262
"Percentage of offenders who reoffend",2004,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",19.6,1156,226
"Percentage of offenders who reoffend",2004,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","21 to 24","Adult",29.4,79692,23407
"Percentage of offenders who reoffend",2004,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",22.5,5060,1137
"Percentage of offenders who reoffend",2004,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",29.1,6622,1928
"Percentage of offenders who reoffend",2004,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",7.1,2588,184
"Percentage of offenders who reoffend",2004,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",18.8,1317,248
"Percentage of offenders who reoffend",2004,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","25 to 29","Adult",30.1,68392,20581
"Percentage of offenders who reoffend",2004,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",19.2,3466,665
"Percentage of offenders who reoffend",2004,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",27.9,5402,1509
"Percentage of offenders who reoffend",2004,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",6.1,2202,135
"Percentage of offenders who reoffend",2004,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",17.5,931,163
"Percentage of offenders who reoffend",2004,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","30 to 34","Adult",28.2,60246,16998
"Percentage of offenders who reoffend",2004,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",16.3,2013,328
"Percentage of offenders who reoffend",2004,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",28.1,5025,1413
"Percentage of offenders who reoffend",2004,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",5.9,2022,119
"Percentage of offenders who reoffend",2004,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",17.7,617,109
"Percentage of offenders who reoffend",2004,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","35 to 39","Adult",24.4,51553,12590
"Percentage of offenders who reoffend",2004,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",15.5,1345,208
"Percentage of offenders who reoffend",2004,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",26.2,3619,949
"Percentage of offenders who reoffend",2004,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",4.6,2003,92
"Percentage of offenders who reoffend",2004,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",16.8,434,73
"Percentage of offenders who reoffend",2004,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","40 to 44","Adult",20,36352,7255
"Percentage of offenders who reoffend",2004,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",13.5,904,122
"Percentage of offenders who reoffend",2004,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",23.4,1582,370
"Percentage of offenders who reoffend",2004,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",4,1472,59
"Percentage of offenders who reoffend",2004,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",15.3,248,38
"Percentage of offenders who reoffend",2004,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","45 to 49","Adult",16.1,21029,3384
"Percentage of offenders who reoffend",2004,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",8.4,1020,86
"Percentage of offenders who reoffend",2004,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",17.3,1098,190
"Percentage of offenders who reoffend",2004,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",2.6,3183,84
"Percentage of offenders who reoffend",2004,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",9.6,230,22
"Percentage of offenders who reoffend",2004,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","50+","Adult",10.8,30376,3281
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","18 to 20","Adult",24.5,274,67
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","18 to 20","Adult",37.1,426,158
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","18 to 20","Adult",7.5,173,13
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","18 to 20","Adult",22.4,76,17
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","18 to 20","Adult",28.4,7249,2060
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","21 to 24","Adult",23.5,340,80
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","21 to 24","Adult",28.6,461,132
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","21 to 24","Adult",5.8,223,13
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","21 to 24","Adult",17.3,98,17
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","21 to 24","Adult",26.2,7114,1867
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","25 to 29","Adult",22.3,354,79
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","25 to 29","Adult",27.1,487,132
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","25 to 29","Adult",5,199,10
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","25 to 29","Adult",17.3,75,13
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","25 to 29","Adult",27.2,6155,1675
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","30 to 34","Adult",20.5,249,51
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","30 to 34","Adult",29.6,365,108
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","30 to 34","Adult",6.5,170,11
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","30 to 34","Adult",16.2,68,11
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","30 to 34","Adult",26.7,5276,1407
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","35 to 39","Adult",16.3,153,25
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","35 to 39","Adult",23.5,324,76
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","35 to 39","Adult",6.4,171,11
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","35 to 39","Adult",14.5,62,9
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","35 to 39","Adult",23.1,4961,1148
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","40 to 44","Adult",13,69,9
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","40 to 44","Adult",22.4,259,58
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","40 to 44","Adult",2,203,4
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","40 to 44","Adult",18.2,22,4
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","40 to 44","Adult",19,3816,726
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","45 to 49","Adult",16.3,49,8
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","45 to 49","Adult",18.3,104,19
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","45 to 49","Adult",2.6,153,4
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","45 to 49","Adult",25,20,5
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","45 to 49","Adult",14.9,2336,347
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","50+","Adult",5.3,75,4
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","50+","Adult",10.3,68,7
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","50+","Adult",1.9,359,7
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","50+","Adult",4.5,22,1
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","E12000006","East of England","Region","50+","Adult",11.6,3349,390
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000005","West Midlands","Region","18 to 20","Adult",28.7,933,268
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","E12000005","West Midlands","Region","18 to 20","Adult",35,986,345
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","E12000005","West Midlands","Region","18 to 20","Adult",20.1,214,43
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","E12000005","West Midlands","Region","18 to 20","Adult",21.5,107,23
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","E12000005","West Midlands","Region","18 to 20","Adult",31.8,8512,2707
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","E12000005","West Midlands","Region","21 to 24","Adult",28,1237,346
