"Title","Economic inactivity by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography code","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95% CI","lower 95% CI","Sample size"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.3","%","114,615","11,788","14.70%","5.90%","455"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.5","%","52,959","5,565","17.40%","3.60%","192"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","16.1","%","29,418","4,722","27.10%","5.00%","107"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","11.7","%","223,176","26,036","15.10%","8.30%","855"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.7","%","3,421,565","365,970","11.20%","10.20%","16,420"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","14.1","%","2,892,278","406,805","14.60%","13.50%","14,096"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","20.4","%","29,182","5,942","32.20%","8.60%","112"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","17.2","%","128,665","22,106","22.40%","12.00%","508"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","13.0","%","61,186","7,973","20.20%","5.90%","212"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","15.2","%","29,455","4,482","25.90%","4.60%","110"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","16.3","%","248,486","40,503","20.00%","12.60%","941"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","14.2","%","3,141,463","447,496","14.80%","13.70%","15,041"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","14.6","%","1,956,937","285,463","15.30%","13.90%","9,141"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","15.0","%","90,213","13,512","20.60%","9.30%","383"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","17.5","%","49,992","8,731","26.60%","8.30%","166"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","17.8","%","176,954","31,551","22.30%","13.30%","693"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","14.9","%","2,133,891","317,014","15.60%","14.20%","9,834"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","13.7","%","1118127","153615","14.60%","12.80%","5599"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","14.8","%","145793","21563","19.20%","10.30%","610"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","13.2","%","51121","6772","20.90%","5.60%","188"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","17.2","%","64382","11099","24.70%","9.80%","248"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","15.5","%","270621","42029","18.90%","12.10%","1084"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","14.1","%","1390690","196716","15.00%","13.30%","6688"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","39.7","%","1,470,793","584,071","40.80%","38.60%","7,732"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","33.7","%","165,609","55,757","39.20%","28.10%","697"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","38.8","%","52,292","20,274","49.70%","27.90%","192"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","28.1","%","56,348","15,834","37.60%","18.60%","215"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","34.0","%","289,351","98,435","38.30%","29.70%","1,163"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","38.8","%","1,761,061","682,567","39.80%","37.70%","8,900"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","27.2","%","47900","13029","33.00%","21.40%","223"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","31.6","%","59395","18749","37.20%","25.90%","260"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.7","%","15,941,726","2,181,731","13.90%","13.40%","76,244"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","15.1","%","159,319","24,051","19.60%","10.60%","606"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","12.9","%","1,135,415","146,892","14.50%","11.40%","4,522"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","14.0","%","442,819","61,808","16.70%","11.30%","1,589"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","15.8","%","371,820","58,649","18.80%","12.80%","1,414"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.8","%","2,109,373","291,400","15.00%","12.60%","8,131"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.7","%","18,062,028","2,477,352","13.90%","13.50%","84,423"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","15.0","%","5,709,118","858,281","15.40%","14.60%","28,810"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","12.3","%","77,498","9,568","18.20%","6.50%","299"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","22.0","%","452,632","99,528","24.90%","19.10%","1,923"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","14.7","%","229,455","33,727","18.30%","11.10%","935"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","19.9","%","187,396","37,225","24.30%","15.40%","777"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","19.0","%","946,981","180,048","21.00%","17.10%","3,934"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","15.6","%","6,660,572","1,038,673","16.00%","15.20%","32,768"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","17.7","%","2,556,049","451,773","18.30%","17.00%","12,912"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","30.6","%","32,246","9,877","43.10%","18.20%","132"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","32.2","%","115,888","37,301","38.70%","25.60%","489"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","18.6","%","73,415","13,633","25.70%","11.40%","286"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","41.5","%","30,914","12,843","54.80%","28.30%","134"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","29.2","%","252,462","73,653","33.50%","24.80%","1,041"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","18.7","%","2,809,257","525,867","19.40%","18.10%","13,957"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","25.2","%","3,121,531","787,873","25.90%","24.60%","16,408"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","25.5","%","28,697","7,320","37.40%","13.70%","130"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","45.9","%","129,036","59,245","52.40%","39.40%","569"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","30.1","%","71,726","21,566","38.50%","21.60%","281"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","41.7","%","30,681","12,797","55.10%","28.30%","131"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","38.8","%","260,139","100,927","43.30%","34.30%","1,111"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","26.3","%","3,383,923","890,020","27.00%","25.60%","17,528"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","33.8","%","2,185,177","738,821","34.70%","33.00%","11,653"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","53.6","%","94,032","50,366","61.00%","46.10%","433"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","37.1","%","49,638","18,393","47.70%","26.40%","196"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","56.6","%","25,426","14,385","71.90%","41.20%","100"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","48.7","%","187,689","91,462","54.20%","43.30%","811"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","35.0","%","2,374,146","830,640","35.80%","34.10%","12,469"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","31.4","%","782084","245535","32.80%","30.00%","4330"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","56.1","%","134500","75521","62.40%","49.90%","608"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","42.0","%","47565","19963","52.90%","31.00%","195"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","47.1","%","54054","25483","57.30%","37.00%","234"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","51.2","%","247481","126709","55.90%","46.50%","1082"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","36.2","%","1030798","373041","37.50%","34.90%","5417"
