"Title","Pupil progress (‘Progress 8’) between ages 11 and 16 (key stage 2 to key stage 4)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Admission Basis","Type of School","SEN","Religious character","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","-0.22","207213","-0.23","-0.22"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.05","200058","0.05","0.06"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","-0.04","21311","-0.06","-0.03"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","-0.19","10745","-0.21","-0.17"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.1","10566","0.08","0.12"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.31","46394","0.3","0.32"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.17","23895","0.16","0.18"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.46","22499","0.45","0.47"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.17","24265","0.16","0.19"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","-0.01","12056","-0.03","0.01"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.35","12209","0.33","0.37"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.68","1606","0.63","0.73"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.56","816","0.49","0.63"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.8","790","0.72","0.87"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","-0.03","512084","-0.03","-0.03"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","-0.17","260504","-0.17","-0.16"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","0.11","251580","0.11","0.12"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.59","60809","-0.6","-0.58"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.61","3280","-0.65","-0.57"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.25","5293","-0.28","-0.22"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.34","3940","-0.37","-0.3"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","0.32","102","0.11","0.52"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.55","75017","-0.56","-0.54"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.66","38824","-0.67","-0.65"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.69","2078","-0.74","-0.64"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.32","3225","-0.36","-0.29"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.45","2495","-0.49","-0.41"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","0.14","65","-0.11","0.4"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.62","47694","-0.63","-0.61"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.47","21985","-0.49","-0.46"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.47","1202","-0.53","-0.41"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.13","2068","-0.18","-0.09"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.14","1445","-0.2","-0.09"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","0.62","37","0.28","0.96"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All SEN","All state-funded schools","-0.42","27323","-0.44","-0.41"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","-0.03","258784","-0.04","-0.03"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.04","13288","0.02","0.06"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.37","26282","0.36","0.38"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.23","13781","0.21","0.25"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.7","1118","0.64","0.76"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","-0.15","131098","-0.16","-0.15"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","-0.09","6633","-0.11","-0.06"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.24","13530","0.23","0.26"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.07","6912","0.05","0.1"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.6","575","0.52","0.69"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.09","127686","0.09","0.1"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.17","6655","0.14","0.19"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.5","12752","0.48","0.52"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.39","6869","0.37","0.42"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.8","543","0.71","0.89"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.03","319987","0.02","0.03"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","-0.1","162233","-0.1","-0.09"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","0.15","157754","0.15","0.16"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","-0.06","399627","-0.06","-0.05"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","-0.01","20948","-0.03","0"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.34","45767","0.33","0.34"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.21","23807","0.2","0.22"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.7","1588","0.65","0.75"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","-0.18","201611","-0.18","-0.17"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","-0.14","10474","-0.16","-0.12"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.2","23480","0.18","0.21"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.04","11718","0.02","0.06"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.59","804","0.52","0.66"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.07","198016","0.07","0.07"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.12","10474","0.1","0.14"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.48","22287","0.47","0.49"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.37","12089","0.35","0.39"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.82","784","0.74","0.89"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0","502780","0","0"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","-0.12","253730","-0.13","-0.12"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","0.13","249050","0.13","0.13"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.06","399627","-0.06","-0.05"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.01","20948","-0.03","0"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.34","45767","0.33","0.34"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.21","23807","0.2","0.22"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.7","1588","0.65","0.75"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0","502780","0","0"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.18","201611","-0.18","-0.17"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.14","10474","-0.16","-0.12"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.2","23480","0.18","0.21"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.04","11718","0.02","0.06"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.59","804","0.52","0.66"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.12","253730","-0.13","-0.12"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.07","198016","0.07","0.07"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.12","10474","0.1","0.14"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.48","22287","0.47","0.49"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.37","12089","0.35","0.39"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.82","784","0.74","0.89"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","0.13","249050","0.13","0.13"
"Average Progress 8 score","2016","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.11","387510","-0.11","-0.11"
"Average Progress 8 score","2016","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.07","1629","0.02","0.12"
"Average Progress 8 score","2016","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-1.16","114","-1.36","-0.97"
"Average Progress 8 score","2016","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.69","689","-0.76","-0.61"
"Average Progress 8 score","2016","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.42","17329","0.4","0.44"
"Average Progress 8 score","2016","Academic year","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.27","7018","-0.29","-0.24"
"Average Progress 8 score","2016","Academic year","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.03","2423","-0.01","0.08"
"Average Progress 8 score","2016","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.1","4717","0.07","0.13"
"Average Progress 8 score","2016","Academic year","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.06","7153","0.04","0.09"
"Average Progress 8 score","2016","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.47","12564","0.45","0.49"
"Average Progress 8 score","2016","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.13","19032","0.12","0.15"
"Average Progress 8 score","2016","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.33","7800","0.3","0.35"
"Average Progress 8 score","2016","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.49","6998","0.46","0.51"
"Average Progress 8 score","2016","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.15","6808","-0.17","-0.12"
