"Measure","Academic Year","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Admission Basis","Type of School","SEN","Religious character","Value","Denominator","Lower confidence interval","Upper confidence interval","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.12","7710","0.09","0.14","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.47","47775","0.46","0.48","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.69","12378","0.67","0.72","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.25","19920","0.23","0.27","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.49","8265","0.47","0.52","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.67","7212","0.64","0.70","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.16","24177","0.15","0.18","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.23","6759","-0.26","-0.21","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.37","14678","0.35","0.39","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.03","2740","-0.02","0.08","",""
"Average Progress 8 score","2016/17","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.93","1679","0.87","0.99","",""
"Average Progress 8 score","2016/17","2017","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.60","6505","0.57","0.63","",""
"Average Progress 8 score","2016/17","2017","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.41","5898","-0.44","-0.38","",""
"Average Progress 8 score","2016/17","2017","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.03","498904","-0.03","-0.03","",""
"Average Progress 8 score","2016/17","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.04","345234","-0.04","-0.03","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.06","327307","-0.07","-0.06","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.18","1346","0.12","0.25","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.95","49","-1.29","-0.61","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.75","441","-0.86","-0.63","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.53","16091","0.51","0.55","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.08","17742","0.06","0.09","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.21","5314","-0.25","-0.18","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.13","1945","0.07","0.18","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.25","4103","0.22","0.29","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.19","6380","0.16","0.22","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.52","39541","0.51","0.53","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.73","11410","0.70","0.75","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.29","15846","0.27","0.31","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.55","5931","0.51","0.58","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.71","6354","0.68","0.74","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.21","18797","0.20","0.23","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.16","5239","-0.19","-0.13","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.40","11444","0.38","0.42","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.12","2114","0.07","0.17","",""
"Average Progress 8 score","2016/17","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.93","1555","0.87","1.00","",""
"Average Progress 8 score","2016/17","2017","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.67","4894","0.64","0.71","",""
"Average Progress 8 score","2016/17","2017","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.35","5019","-0.38","-0.32","",""
"Average Progress 8 score","2016/17","2017","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.04","432782","0.03","0.04","",""
"Average Progress 8 score","2016/17","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.69","45785","-0.70","-0.68","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.72","43393","-0.74","-0.71","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.71","169","-0.90","-0.53","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-1.28","63","-1.58","-0.97","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.89","276","-1.03","-0.74","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.11","1884","0.06","0.17","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.43","4109","-0.47","-0.39","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.72","1580","-0.78","-0.66","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.11","506","-0.22","-0.01","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.40","693","-0.49","-0.31","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.22","1330","-0.29","-0.16","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.22","8234","0.19","0.25","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.33","968","0.25","0.40","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.08","4074","0.04","0.12","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.36","2334","0.31","0.41","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.38","858","0.30","0.46","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.02","5380","-0.05","0.01","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.49","1520","-0.55","-0.43","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.25","3234","0.21","0.29","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.27","626","-0.36","-0.17","",""
"Average Progress 8 score","2016/17","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.86","124","0.65","1.08","",""
"Average Progress 8 score","2016/17","2017","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.37","1611","0.31","0.43","",""
"Average Progress 8 score","2016/17","2017","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.73","879","-0.81","-0.65","",""
"Average Progress 8 score","2016/17","2017","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.48","66122","-0.49","-0.47","",""
"Average Progress 8 score","2016/17","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.32","198647","-0.33","-0.32","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.35","188330","-0.35","-0.34","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.09","771","-0.18","0.00","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-1.41","51","-1.74","-1.07","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.90","372","-1.02","-0.77","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.24","9123","0.22","0.27","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.23","10910","-0.25","-0.21","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.57","3401","-0.61","-0.53","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.16","1210","-0.23","-0.09","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.02","2415","-0.07","0.03","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.09","3884","-0.13","-0.06","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.28","24343","0.26","0.29","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.52","6445","0.49","0.55","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.03","10155","0.01","0.06","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.28","4034","0.24","0.32","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.51","3709","0.47","0.55","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.06","11999","-0.08","-0.04","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.47","3358","-0.51","-0.43","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.15","7285","0.12","0.18","",""
"Average Progress 8 score","2016/17","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.19","1356","-0.26","-0.13","",""
"Average Progress 8 score","2016/17","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.83","861","0.75","0.91","",""
"Average Progress 8 score","2016/17","2017","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.41","3371","0.37","0.46","",""
"Average Progress 8 score","2016/17","2017","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.60","3059","-0.64","-0.56","",""
"Average Progress 8 score","2016/17","2017","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.24","253190","-0.24","-0.23","",""
"Average Progress 8 score","2016/17","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.10","192372","0.10","0.11","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.07","182370","0.07","0.08","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.26","744","0.18","0.35","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.91","61","-1.21","-0.60","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.70","345","-0.83","-0.57","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.74","8852","0.71","0.76","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.19","10941","0.17","0.22","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.10","3493","-0.14","-0.06","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.31","1241","0.24","0.38","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.34","2381","0.29","0.39","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.33","3826","0.29","0.37","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.67","23432","0.65","0.69","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.88","5933","0.85","0.91","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.47","9765","0.45","0.49","",""
"Average Progress 8 score","2016/17","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.70","4231","0.66","0.74","",""
