"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Age Bracket","NS SEC","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","26.6","%","2152","572","30.70%","22.80%","1149"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","28.6","%","700","200","34.70%","23.20%","437"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","17.8","%","1389","247","21.80%","14.30%","771"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","28.8","%","1182","341","34.00%","24.10%","664"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","26.7","%","100211","26775","27.10%","26.30%","110847"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","26","%","79620","20733","26.50%","25.60%","93117"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","22.9","%","5524","1267","24.60%","21.30%","5903"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","34.2","%","6213","2127","36.30%","32.20%","4183"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","30.4","%","2452","745","33.50%","27.40%","1750"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","32.6","%","725","237","39.00%","26.80%","617"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","19.8","%","1591","315","23.50%","16.60%","1207"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Female","16+","All","31","%","1147","356","36.00%","26.50%","835"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","26.4","%","16865","4448","27.20%","25.60%","22543"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","25.7","%","14182","3642","26.50%","24.80%","19725"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","29.3","%","724","212","34.60%","24.50%","784"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","28.9","%","938","271","33.30%","24.90%","828"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","25.3","%","188","48","35.80%","17.10%","205"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","*","%","*","40","52.00%","22.40%","85"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","*","%","*","26","23.30%","9.00%","174"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East Midlands","Region","All","16+","All","27","%","90","24","39.70%","17.30%","112"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","25.3","%","21749","5500","26.10%","24.50%","26006"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","25.1","%","18150","4556","25.90%","24.30%","22222"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","27.4","%","1209","331","31.20%","24.00%","1431"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","23.9","%","859","205","28.30%","20.10%","749"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","22","%","331","73","29.20%","16.20%","299"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","30.7","%","104","32","43.60%","20.30%","116"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","16.7","%","286","48","24.70%","11.00%","238"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","30.3","%","161","49","41.70%","20.90%","144"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","24.2","%","30542","7401","25.10%","23.40%","19887"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","21.1","%","13723","2892","22.20%","20.00%","10782"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","20","%","4028","806","22.50%","17.80%","2855"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","31.6","%","5728","1810","34.30%","29.00%","2365"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","28.1","%","2566","721","31.50%","24.90%","1297"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","26.6","%","587","156","33.50%","20.70%","319"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","18.6","%","1111","207","23.20%","14.70%","522"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","30.6","%","1184","362","36.40%","25.40%","529"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","27.9","%","9560","2670","29.30%","26.60%","9046"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","27.6","%","8757","2420","29.10%","26.30%","8305"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","23.7","%","186","44","37.90%","13.70%","211"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","30.7","%","205","63","43.80%","20.10%","152"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","*","%","*","*","*","*","30"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","*","%","*","*","*","*","49"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","*","%","*","*","*","*","51"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","*","%","*","*","*","*","39"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","27.2","%","25691","6980","28.00%","26.40%","28223"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","26.6","%","21865","5807","27.40%","25.70%","24794"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","20.7","%","870","180","24.50%","17.30%","904"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","31.4","%","1350","424","35.60%","27.60%","973"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","35","%","297","104","43.40%","27.50%","253"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","46.3","%","177","82","57.20%","35.70%","153"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","24.7","%","269","66","34.00%","17.30%","219"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","37.9","%","166","63","47.40%","29.10%","173"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","23.4","%","32052","7513","24.10%","22.80%","36302"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","23.1","%","26984","6225","23.70%","22.40%","30877"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","24","%","1610","386","26.80%","21.40%","1945"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","27.6","%","1307","360","31.50%","23.90%","1219"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","23.4","%","338","79","30.80%","17.30%","317"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","22.3","%","174","39","32.30%","14.70%","176"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","13.3","%","431","57","18.60%","9.40%","369"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","34.8","%","250","87","43.40%","27.00%","250"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","22.5","%","19953","4486","23.30%","21.70%","22405"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","22.3","%","18026","4018","23.20%","21.40%","20438"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","19.2","%","721","138","23.20%","15.70%","764"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","24.2","%","265","64","32.10%","17.70%","220"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","37.9","%","121","46","53.30%","24.60%","96"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","*","%","*","*","*","*","61"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","*","%","*","*","*","*","153"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","*","%","*","*","*","*","80"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","28.4","%","20447","5812","29.40%","27.50%","19341"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","27.5","%","15980","4397","28.50%","26.50%","16535"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","26.9","%","705","190","32.30%","22.10%","604"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","33.2","%","2022","671","37.40%","29.20%","1029"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","30.5","%","531","162","40.70%","21.80%","295"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","*","%","*","*","*","*","63"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","20.5","%","276","57","30.40%","13.30%","162"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","*","%","*","*","*","*","103"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","27.7","%","5357","5357","28.80%","26.60%","15158"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","27.1","%","16554","4489","28.30%","26.00%","13614"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","26.4","%","538","142","32.90%","20.80%","400"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","31.5","%","1153","363","37.40%","26.10%","449"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","38.7","%","215","83","51.50%","27.30%","118"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","*","%","*","*","*","*","35"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","*","%","*","*","*","*","94"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","*","%","*","*","*","*","70"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","14.7","%","27894","4111","15.60%","13.90%","13145"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","12.5","%","19416","2432","13.40%","11.70%","9830"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","13.5","%","1166","158","17.90%","10.10%","614"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","22.2","%","3649","811","25.50%","19.20%","1212"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","18.6","%","1111","207","24.00%","14.20%","388"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","24.4","%","354","86","34.50%","16.50%","152"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","15.3","%","1038","159","20.90%","11.00%","408"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","*","%","*","*","*","*","140"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","19.6","%","32522","6370","20.40%","18.80%","24481"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","16.9","%","21985","3724","17.80%","16.10%","17691"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","20.3","%","3662","744","22.80%","18.10%","2669"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","29.9","%","3292","986","33.20%","26.90%","1800"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","27.3","%","748","204","35.10%","20.60%","460"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","32.1","%","435","140","41.30%","24.10%","272"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","17.5","%","756","132","22.80%","13.30%","483"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","26.6","%","552","147","34.30%","20.00%","299"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","20.3","%","30550","6189","21.00%","19.60%","30895"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","16.9","%","21330","3601","17.60%","16.20%","22976"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","23.2","%","2579","599","25.60%","21.00%","2694"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","33.1","%","3264","1080","36.10%","30.20%","2378"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","26.1","%","894","234","31.10%","21.70%","663"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","30.1","%","296","89","38.90%","22.50%","268"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","16.3","%","494","80","21.50%","12.20%","418"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","30.8","%","591","182","38.10%","24.30%","408"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","22.2","%","33540","7461","22.90%","21.60%","34273"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","21.2","%","27408","5808","21.90%","20.50%","28962"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","23.1","%","1333","308","26.70%","19.90%","1541"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","30.7","%","1851","568","34.60%","27.00%","1185"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","27.3","%","1010","276","32.20%","22.90%","728"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","31","%","177","55","41.10%","22.40%","176"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","17.9","%","388","69","25.30%","12.30%","339"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","34.2","%","368","126","44.00%","25.70%","254"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","28.1","%","26876","7546","28.80%","27.40%","37699"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","27.2","%","23540","6393","27.90%","26.40%","34000"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","25","%","770","192","30.10%","20.50%","1081"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","39.2","%","911","357","44.70%","33.90%","681"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","40","%","468","187","47.20%","33.10%","380"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","49","%","96","47","63.70%","34.50%","117"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","32.5","%","164","53","42.20%","24.10%","195"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","37","%","212","78","47.30%","27.70%","199"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","30.9","%","24199","7478","31.50%","30.30%","37300"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","30.3","%","22186","6718","30.90%","29.60%","34739"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","32.7","%","616","202","37.30%","28.50%","852"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","46.3","%","478","221","52.50%","40.20%","455"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","43","%","132","57","55.90%","31.00%","121"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","*","%","*","*","*","*","54"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","*","%","*","*","*","*","84"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","41.9","%","118","50","53.30%","31.30%","134"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","53.6","%","18975","10175","54.60%","52.70%","19429"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","53.3","%","17328","9232","54.30%","52.30%","17965"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","48.9","%","419","205","55.50%","42.50%","397"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","55.4","%","295","164","63.40%","47.20%","219"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","70.7","%","183","129","80.50%","58.60%","107"
