"Title","Victims of crime by ethnicity and age"
"Location","England and Wales"
"Time period","2013/14 to 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography code","Geography_type","Gender","Age Bracket","Socio-economic classification","Household income","Value","Unweighted base"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","45-54","All","All","25","160"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","55-64","All","All","12","71"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","65-74","All","All","4","62"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","75+","All","All","?","28"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","16-24","All","All","19","570"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","25-34","All","All","19","1373"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","35-44","All","All","17","1465"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","45-54","All","All","18","801"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","55-64","All","All","14","547"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","65-74","All","All","14","360"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","75+","All","All","13","147"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","16-24","All","All","23","282"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","25-34","All","All","19","540"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","35-44","All","All","17","724"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","45-54","All","All","19","625"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","55-64","All","All","14","285"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","65-74","All","All","8","165"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","75+","All","All","7","142"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other ","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","16-24","All","All","11","89"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other ","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","25-34","All","All","14","179"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other ","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","35-44","All","All","21","195"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other ","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","45-54","All","All","17","112"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other ","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","55-64","All","All","17","65"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other ","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","65-74","All","All","?","43"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other ","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","75+","All","All","?","29"
