"Title","Average length of custodial sentences"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-december-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18 May 2017"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Court type","Age group","Age group_type","Sex","Sex_type","Value"," Numerator "," Denominator "
"Average Custodial Sentence length (months per person)","2011","Year","Asian","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","22","87265","3964"
"Average Custodial Sentence length (months per person)","2012","Year","Asian","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","22","82688","3683"
"Average Custodial Sentence length (months per person)","2013","Year","Asian","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","80923","3516"
"Average Custodial Sentence length (months per person)","2014","Year","Asian","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","86673","3449"
"Average Custodial Sentence length (months per person)","2015","Year","Asian","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","87043","3492"
"Average Custodial Sentence length (months per person)","2016","Year","Asian","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","89765","3571"
"Average Custodial Sentence length (months per person)","2009","Year","Mixed","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","13","2878","217"
"Average Custodial Sentence length (months per person)","2010","Year","Mixed","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","14","2819","200"
"Average Custodial Sentence length (months per person)","2011","Year","Mixed","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","14","2976","210"
"Average Custodial Sentence length (months per person)","2012","Year","Mixed","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","2325","159"
"Average Custodial Sentence length (months per person)","2013","Year","Mixed","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","2144","125"
"Average Custodial Sentence length (months per person)","2014","Year","Mixed","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","1574","101"
"Average Custodial Sentence length (months per person)","2015","Year","Mixed","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","1767","86"
"Average Custodial Sentence length (months per person)","2016","Year","Mixed","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","1441","72"
"Average Custodial Sentence length (months per person)","2009","Year","Mixed","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","6433","361"
"Average Custodial Sentence length (months per person)","2010","Year","Mixed","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","7651","435"
"Average Custodial Sentence length (months per person)","2011","Year","Mixed","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","9340","488"
"Average Custodial Sentence length (months per person)","2012","Year","Mixed","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","22","8190","378"
"Average Custodial Sentence length (months per person)","2013","Year","Mixed","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","22","7457","336"
"Average Custodial Sentence length (months per person)","2014","Year","Mixed","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","6749","283"
"Average Custodial Sentence length (months per person)","2015","Year","Mixed","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","22","5520","254"
"Average Custodial Sentence length (months per person)","2016","Year","Mixed","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","6064","269"
"Average Custodial Sentence length (months per person)","2009","Year","Mixed","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","20165","1254"
"Average Custodial Sentence length (months per person)","2010","Year","Mixed","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","26883","1524"
"Average Custodial Sentence length (months per person)","2011","Year","Mixed","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","32578","1821"
"Average Custodial Sentence length (months per person)","2012","Year","Mixed","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","34368","1740"
"Average Custodial Sentence length (months per person)","2013","Year","Mixed","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","32837","1725"
"Average Custodial Sentence length (months per person)","2014","Year","Mixed","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","31131","1606"
"Average Custodial Sentence length (months per person)","2015","Year","Mixed","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","32196","1639"
"Average Custodial Sentence length (months per person)","2016","Year","Mixed","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","31879","1565"
"Average Custodial Sentence length (months per person)","2009","Year","Other","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","13","578","44"
"Average Custodial Sentence length (months per person)","2010","Year","Other","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","632","35"
"Average Custodial Sentence length (months per person)","2011","Year","Other","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","13","578","45"
"Average Custodial Sentence length (months per person)","2012","Year","Other","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","13","552","41"
"Average Custodial Sentence length (months per person)","2013","Year","Other","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","13","272","21"
"Average Custodial Sentence length (months per person)","2014","Year","Other","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","14","212","15"
"Average Custodial Sentence length (months per person)","2015","Year","Other","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","15","399","27"
"Average Custodial Sentence length (months per person)","2016","Year","Other","ONS 5+1 2001","All","Juveniles","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","276","17"
"Average Custodial Sentence length (months per person)","2009","Year","Other","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","2171","105"
"Average Custodial Sentence length (months per person)","2010","Year","Other","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","2517","139"
"Average Custodial Sentence length (months per person)","2011","Year","Other","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","3342","158"
"Average Custodial Sentence length (months per person)","2012","Year","Other","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","2367","139"
"Average Custodial Sentence length (months per person)","2013","Year","Other","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","1403","90"
"Average Custodial Sentence length (months per person)","2014","Year","Other","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","1624","97"
"Average Custodial Sentence length (months per person)","2015","Year","Other","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","1843","98"
"Average Custodial Sentence length (months per person)","2016","Year","Other","ONS 5+1 2001","All","Young adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","1782","86"
"Average Custodial Sentence length (months per person)","2009","Year","Other","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","22187","1342"
"Average Custodial Sentence length (months per person)","2010","Year","Other","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","24170","1468"
"Average Custodial Sentence length (months per person)","2011","Year","Other","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","21637","1301"
"Average Custodial Sentence length (months per person)","2012","Year","Other","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","20744","1196"
"Average Custodial Sentence length (months per person)","2013","Year","Other","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","22280","1176"
"Average Custodial Sentence length (months per person)","2014","Year","Other","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","18069","926"
"Average Custodial Sentence length (months per person)","2015","Year","Other","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","22","19458","889"
"Average Custodial Sentence length (months per person)","2016","Year","Other","ONS 5+1 2001","All","Adults","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","16996","720"
