"Year","Sex","Age group","Ethnicity","Offence Group","ACSL (in months)"
"2011","All","All","Black","Miscellaneous crimes against society","10.3"
"2011","All","All","Black","Possession of weapons","22.6"
"2011","All","All","Black","Public order offences","8.2"
"2011","All","All","Black","Robbery","35.3"
"2011","All","All","Black","Sexual offences","55.0"
"2011","All","All","Black","Theft Offences","11.7"
"2011","All","All","Black","Violence against the person","29.6"
"2011","All","All","Mixed","Criminal damage and arson","8.2"
"2011","All","All","Mixed","Drug offences","30.2"
"2011","All","All","Mixed","Fraud Offences","11.6"
"2011","All","All","Mixed","Miscellaneous crimes against society","8.4"
"2011","All","All","Mixed","Possession of weapons","17.5"
"2011","All","All","Mixed","Public order offences","7.7"
"2011","All","All","Mixed","Robbery","31.8"
"2011","All","All","Mixed","Sexual offences","50.8"
"2011","All","All","Mixed","Theft Offences","10.1"
"2011","All","All","Mixed","Violence against the person","23.5"
"2011","All","All","Other inc Chinese","Criminal damage and arson","26.3"
"2011","All","All","Other inc Chinese","Drug offences","26.6"
"2011","All","All","Other inc Chinese","Fraud Offences","9.0"
"2011","All","All","Other inc Chinese","Miscellaneous crimes against society","9.7"
"2011","All","All","Other inc Chinese","Possession of weapons","11.8"
"2011","All","All","Other inc Chinese","Public order offences","7.1"
"2011","All","All","Other inc Chinese","Robbery","31.7"
"2011","All","All","Other inc Chinese","Sexual offences","46.0"
"2011","All","All","Other inc Chinese","Theft Offences","7.3"
"2011","All","All","Other inc Chinese","Violence against the person","31.7"
"2011","All","All","White","Criminal damage and arson","20.9"
"2011","All","All","White","Drug offences","27.2"
"2011","All","All","White","Fraud Offences","15.0"
"2011","All","All","White","Miscellaneous crimes against society","7.8"
"2011","All","All","White","Possession of weapons","10.5"
"2011","All","All","White","Public order offences","7.1"
"2011","All","All","White","Robbery","36.5"
"2011","All","All","White","Sexual offences","54.5"
"2011","All","All","White","Theft Offences","9.0"
"2011","All","All","White","Violence against the person","20.1"
"2012","All","All","Asian","Criminal damage and arson","26.2"
"2012","All","All","Asian","Drug offences","32.3"
"2012","All","All","Asian","Fraud Offences","18.7"
"2012","All","All","Asian","Miscellaneous crimes against society","12.0"
"2012","All","All","Asian","Possession of weapons","21.5"
"2012","All","All","Asian","Public order offences","9.1"
"2012","All","All","Asian","Robbery","34.2"
"2012","All","All","Asian","Sexual offences","49.0"
"2012","All","All","Asian","Theft Offences","9.2"
"2012","All","All","Asian","Violence against the person","30.5"
"2012","All","All","Black","Criminal damage and arson","25.2"
"2012","All","All","Black","Drug offences","32.1"
"2012","All","All","Black","Fraud Offences","14.5"
"2012","All","All","Black","Miscellaneous crimes against society","9.8"
"2012","All","All","Black","Possession of weapons","18.5"
"2012","All","All","Black","Public order offences","9.4"
"2012","All","All","Black","Robbery","36.8"
"2012","All","All","Black","Sexual offences","61.4"
"2012","All","All","Black","Theft Offences","12.0"
"2012","All","All","Black","Violence against the person","37.1"
"2012","All","All","Mixed","Criminal damage and arson","61.6"
"2012","All","All","Mixed","Drug offences","27.7"
"2012","All","All","Mixed","Fraud Offences","14.0"
"2012","All","All","Mixed","Miscellaneous crimes against society","8.3"
"2012","All","All","Mixed","Possession of weapons","21.9"
"2012","All","All","Mixed","Public order offences","9.7"
"2012","All","All","Mixed","Robbery","36.1"
"2012","All","All","Mixed","Sexual offences","56.6"
"2012","All","All","Mixed","Theft Offences","10.5"
"2012","All","All","Mixed","Violence against the person","29.2"
"2012","All","All","Other inc Chinese","Criminal damage and arson","19.7"
"2012","All","All","Other inc Chinese","Drug offences","26.1"
"2012","All","All","Other inc Chinese","Fraud Offences","12.5"
"2012","All","All","Other inc Chinese","Miscellaneous crimes against society","9.4"
"2012","All","All","Other inc Chinese","Possession of weapons","13.1"
"2012","All","All","Other inc Chinese","Public order offences","7.6"
"2012","All","All","Other inc Chinese","Robbery","30.3"
"2012","All","All","Other inc Chinese","Sexual offences","43.5"
"2012","All","All","Other inc Chinese","Theft Offences","7.8"
"2012","All","All","Other inc Chinese","Violence against the person","30.7"
"2012","All","All","White","Criminal damage and arson","23.8"
"2012","All","All","White","Drug offences","26.7"
"2012","All","All","White","Fraud Offences","13.8"
"2012","All","All","White","Miscellaneous crimes against society","8.6"
"2012","All","All","White","Possession of weapons","10.8"
"2012","All","All","White","Public order offences","6.8"
"2012","All","All","White","Robbery","36.5"
"2012","All","All","White","Sexual offences","55.1"
"2012","All","All","White","Theft Offences","9.1"
"2012","All","All","White","Violence against the person","21.0"
"2013","All","All","Asian","Criminal damage and arson","29.2"
"2013","All","All","Asian","Drug offences","34.2"
"2013","All","All","Asian","Fraud Offences","16.0"
"2013","All","All","Asian","Miscellaneous crimes against society","13.0"
"2013","All","All","Asian","Possession of weapons","14.8"
"2013","All","All","Asian","Public order offences","8.4"
"2013","All","All","Asian","Robbery","37.7"
"2013","All","All","Asian","Sexual offences","51.9"
"2013","All","All","Asian","Theft Offences","8.6"
"2013","All","All","Asian","Violence against the person","28.9"
"2013","All","All","Black","Criminal damage and arson","15.1"
"2013","All","All","Black","Drug offences","33.2"
"2013","All","All","Black","Fraud Offences","14.1"
"2013","All","All","Black","Miscellaneous crimes against society","10.7"
"2013","All","All","Black","Possession of weapons","17.7"
"2013","All","All","Black","Public order offences","8.2"
"2013","All","All","Black","Robbery","38.4"
"2013","All","All","Black","Sexual offences","57.5"
"2013","All","All","Black","Theft Offences","11.5"
"2013","All","All","Black","Violence against the person","40.5"
"2013","All","All","Mixed","Criminal damage and arson","18.3"
"2013","All","All","Mixed","Drug offences","29.8"
"2013","All","All","Mixed","Fraud Offences","11.0"
"2013","All","All","Mixed","Miscellaneous crimes against society","10.6"
"2013","All","All","Mixed","Possession of weapons","14.2"
"2013","All","All","Mixed","Public order offences","7.7"
"2013","All","All","Mixed","Robbery","34.2"
"2013","All","All","Mixed","Sexual offences","48.6"
"2013","All","All","Mixed","Theft Offences","11.0"
"2013","All","All","Mixed","Violence against the person","29.1"
"2013","All","All","Other inc Chinese","Criminal damage and arson","49.0"
"2013","All","All","Other inc Chinese","Drug offences","28.8"
"2013","All","All","Other inc Chinese","Fraud Offences","10.5"
"2013","All","All","Other inc Chinese","Miscellaneous crimes against society","10.8"
"2013","All","All","Other inc Chinese","Possession of weapons","15.5"
"2013","All","All","Other inc Chinese","Public order offences","8.7"
"2013","All","All","Other inc Chinese","Robbery","35.5"
"2013","All","All","Other inc Chinese","Sexual offences","46.4"
"2013","All","All","Other inc Chinese","Theft Offences","7.9"
"2013","All","All","Other inc Chinese","Violence against the person","27.5"
"2013","All","All","White","Criminal damage and arson","28.3"
"2013","All","All","White","Drug offences","28.9"
"2013","All","All","White","Fraud Offences","15.2"
"2013","All","All","White","Miscellaneous crimes against society","8.9"
"2013","All","All","White","Possession of weapons","12.1"
"2013","All","All","White","Public order offences","6.7"
"2013","All","All","White","Robbery","40.5"
"2013","All","All","White","Sexual offences","60.5"
"2013","All","All","White","Theft Offences","9.2"
"2013","All","All","White","Violence against the person","22.3"
"2014","All","All","Asian","Criminal damage and arson","29.3"
"2014","All","All","Asian","Drug offences","37.2"
"2014","All","All","Asian","Fraud Offences","19.3"
"2014","All","All","Asian","Miscellaneous crimes against society","12.9"
"2014","All","All","Asian","Possession of weapons","17.8"
"2014","All","All","Asian","Public order offences","7.4"
"2014","All","All","Asian","Robbery","37.8"
"2014","All","All","Asian","Sexual offences","58.7"
"2014","All","All","Asian","Theft Offences","9.1"
"2014","All","All","Asian","Violence against the person","27.9"
"2014","All","All","Black","Criminal damage and arson","24.6"
"2014","All","All","Black","Drug offences","35.2"
"2014","All","All","Black","Fraud Offences","15.6"
"2014","All","All","Black","Miscellaneous crimes against society","10.5"
"2014","All","All","Black","Possession of weapons","17.0"
"2014","All","All","Black","Public order offences","6.0"
"2014","All","All","Black","Robbery","41.8"
"2014","All","All","Black","Sexual offences","65.3"
"2014","All","All","Black","Theft Offences","10.8"
"2014","All","All","Black","Violence against the person","37.1"
"2014","All","All","Mixed","Criminal damage and arson","31.2"
"2014","All","All","Mixed","Drug offences","30.0"
"2014","All","All","Mixed","Fraud Offences","11.4"
"2014","All","All","Mixed","Miscellaneous crimes against society","8.1"
"2014","All","All","Mixed","Possession of weapons","13.6"
"2014","All","All","Mixed","Public order offences","8.3"
"2014","All","All","Mixed","Robbery","42.7"
"2014","All","All","Mixed","Sexual offences","54.7"
"2014","All","All","Mixed","Theft Offences","11.3"
"2014","All","All","Mixed","Violence against the person","28.7"
"2014","All","All","Other inc Chinese","Criminal damage and arson","38.5"
"2014","All","All","Other inc Chinese","Drug offences","28.7"
"2014","All","All","Other inc Chinese","Fraud Offences","11.8"
"2014","All","All","Other inc Chinese","Miscellaneous crimes against society","10.2"
"2014","All","All","Other inc Chinese","Possession of weapons","19.1"
"2014","All","All","Other inc Chinese","Public order offences","8.6"
"2014","All","All","Other inc Chinese","Robbery","40.2"
"2014","All","All","Other inc Chinese","Sexual offences","54.3"
"2014","All","All","Other inc Chinese","Theft Offences","8.9"
"2014","All","All","Other inc Chinese","Violence against the person","30.9"
"2014","All","All","White","Criminal damage and arson","24.4"
"2014","All","All","White","Drug offences","29.2"
"2014","All","All","White","Fraud Offences","16.0"
"2014","All","All","White","Miscellaneous crimes against society","9.8"
"2014","All","All","White","Possession of weapons","11.3"
"2014","All","All","White","Public order offences","6.6"
"2014","All","All","White","Robbery","40.7"
"2014","All","All","White","Sexual offences","62.2"
"2014","All","All","White","Theft Offences","9.0"
"2014","All","All","White","Violence against the person","21.4"
"2015","All","All","Asian","Criminal damage and arson","21.5"
"2015","All","All","Asian","Drug offences","37.3"
"2015","All","All","Asian","Fraud Offences","19.9"
"2015","All","All","Asian","Miscellaneous crimes against society","14.5"
"2015","All","All","Asian","Possession of weapons","16.9"
"2015","All","All","Asian","Public order offences","8.2"
"2015","All","All","Asian","Robbery","43.7"
"2015","All","All","Asian","Sexual offences","52.6"
"2015","All","All","Asian","Theft Offences","9.0"
"2015","All","All","Asian","Violence against the person","28.8"
"2015","All","All","Black","Criminal damage and arson","19.7"
"2015","All","All","Black","Drug offences","34.4"
"2015","All","All","Black","Fraud Offences","15.0"
"2015","All","All","Black","Miscellaneous crimes against society","11.1"
"2015","All","All","Black","Possession of weapons","17.2"
"2015","All","All","Black","Public order offences","6.1"
"2015","All","All","Black","Robbery","45.8"
"2015","All","All","Black","Sexual offences","68.7"
"2015","All","All","Black","Theft Offences","10.9"
"2015","All","All","Black","Violence against the person","36.4"
"2015","All","All","Mixed","Criminal damage and arson","18.2"
"2015","All","All","Mixed","Drug offences","30.3"
"2015","All","All","Mixed","Fraud Offences","20.6"
"2015","All","All","Mixed","Miscellaneous crimes against society","7.4"
"2015","All","All","Mixed","Possession of weapons","14.7"
"2015","All","All","Mixed","Public order offences","8.2"
"2015","All","All","Mixed","Robbery","40.4"
"2015","All","All","Mixed","Sexual offences","59.2"
"2015","All","All","Mixed","Theft Offences","11.1"
"2015","All","All","Mixed","Violence against the person","26.9"
"2015","All","All","Other inc Chinese","Criminal damage and arson","18.4"
"2015","All","All","Other inc Chinese","Drug offences","29.5"
"2015","All","All","Other inc Chinese","Fraud Offences","15.7"
"2015","All","All","Other inc Chinese","Miscellaneous crimes against society","11.0"
"2015","All","All","Other inc Chinese","Possession of weapons","15.8"
"2015","All","All","Other inc Chinese","Public order offences","6.9"
"2015","All","All","Other inc Chinese","Robbery","35.1"
"2015","All","All","Other inc Chinese","Sexual offences","54.4"
"2015","All","All","Other inc Chinese","Theft Offences","10.9"
"2015","All","All","Other inc Chinese","Violence against the person","32.5"
"2015","All","All","White","Criminal damage and arson","24.6"
"2015","All","All","White","Drug offences","31.5"
"2015","All","All","White","Fraud Offences","17.5"
"2015","All","All","White","Miscellaneous crimes against society","10.0"
"2015","All","All","White","Possession of weapons","11.8"
"2015","All","All","White","Public order offences","6.5"
"2015","All","All","White","Robbery","42.7"
"2015","All","All","White","Sexual offences","62.8"
"2015","All","All","White","Theft Offences","9.1"
"2015","All","All","White","Violence against the person","20.3"
"2016","All","All","Asian","Criminal damage and arson","26.3"
"2016","All","All","Asian","Drug offences","38.0"
"2016","All","All","Asian","Fraud Offences","23.6"
"2016","All","All","Asian","Miscellaneous crimes against society","13.2"
"2016","All","All","Asian","Possession of weapons","20.4"
"2016","All","All","Asian","Public order offences","7.4"
"2016","All","All","Asian","Robbery","39.8"
"2016","All","All","Asian","Sexual offences","57.7"
"2016","All","All","Asian","Theft Offences","8.2"
"2016","All","All","Asian","Violence against the person","28.3"
"2016","All","All","Black","Criminal damage and arson","22.5"
"2016","All","All","Black","Drug offences","33.7"
"2016","All","All","Black","Fraud Offences","16.1"
"2016","All","All","Black","Miscellaneous crimes against society","9.6"
"2016","All","All","Black","Possession of weapons","17.9"
"2016","All","All","Black","Public order offences","7.0"
"2016","All","All","Black","Robbery","45.4"
"2016","All","All","Black","Sexual offences","63.0"
"2016","All","All","Black","Theft Offences","9.9"
"2016","All","All","Black","Violence against the person","35.7"
"2016","All","All","Mixed","Criminal damage and arson","23.8"
"2016","All","All","Mixed","Drug offences","35.5"
"2016","All","All","Mixed","Fraud Offences","12.6"
"2016","All","All","Mixed","Miscellaneous crimes against society","8.0"
"2016","All","All","Mixed","Possession of weapons","12.1"
"2016","All","All","Mixed","Public order offences","7.2"
"2016","All","All","Mixed","Robbery","50.2"
"2016","All","All","Mixed","Sexual offences","57.3"
"2016","All","All","Mixed","Theft Offences","10.6"
"2016","All","All","Mixed","Violence against the person","25.8"
"2016","All","All","Other inc Chinese","Criminal damage and arson","45.9"
"2016","All","All","Other inc Chinese","Drug offences","29.1"
"2016","All","All","Other inc Chinese","Fraud Offences","22.7"
"2016","All","All","Other inc Chinese","Miscellaneous crimes against society","11.3"
"2016","All","All","Other inc Chinese","Possession of weapons","18.5"
"2016","All","All","Other inc Chinese","Public order offences","6.7"
"2016","All","All","Other inc Chinese","Robbery","46.8"
"2016","All","All","Other inc Chinese","Sexual offences","57.8"
"2016","All","All","Other inc Chinese","Theft Offences","8.3"
"2016","All","All","Other inc Chinese","Violence against the person","31.9"
"2016","All","All","White","Criminal damage and arson","28.4"
"2016","All","All","White","Drug offences","32.2"
"2016","All","All","White","Fraud Offences","17.4"
"2016","All","All","White","Miscellaneous crimes against society","9.9"
"2016","All","All","White","Possession of weapons","11.9"
"2016","All","All","White","Public order offences","6.3"
"2016","All","All","White","Robbery","44.9"
"2016","All","All","White","Sexual offences","59.5"
"2016","All","All","White","Theft Offences","9.0"
"2016","All","All","White","Violence against the person","20.1"
"2017","All","All","Asian","Criminal damage and arson","42.9"
"2017","All","All","Asian","Drug offences","42.2"
"2017","All","All","Asian","Fraud Offences","22.9"
"2017","All","All","Asian","Miscellaneous crimes against society","15.5"
"2017","All","All","Asian","Possession of weapons","24.8"
"2017","All","All","Asian","Public order offences","8.1"
"2017","All","All","Asian","Robbery","51.9"
"2017","All","All","Asian","Sexual offences","58.5"
"2017","All","All","Asian","Theft Offences","9.4"
"2017","All","All","Asian","Violence against the person","29.9"
"2017","All","All","Black","Criminal damage and arson","29.9"
"2017","All","All","Black","Drug offences","34.9"
"2017","All","All","Black","Fraud Offences","14.5"
"2017","All","All","Black","Miscellaneous crimes against society","11.3"
"2017","All","All","Black","Possession of weapons","15.4"
"2017","All","All","Black","Public order offences","6.9"
"2017","All","All","Black","Robbery","50.3"
"2017","All","All","Black","Sexual offences","61.3"
"2017","All","All","Black","Theft Offences","10.9"
"2017","All","All","Black","Violence against the person","39.4"
"2017","All","All","Mixed","Criminal damage and arson","36.3"
"2017","All","All","Mixed","Drug offences","34.0"
"2017","All","All","Mixed","Fraud Offences","17.1"
"2017","All","All","Mixed","Miscellaneous crimes against society","10.0"
"2017","All","All","Mixed","Possession of weapons","14.5"
"2017","All","All","Mixed","Public order offences","8.4"
"2017","All","All","Mixed","Robbery","55.6"
"2017","All","All","Mixed","Sexual offences","65.5"
"2017","All","All","Mixed","Theft Offences","8.9"
"2017","All","All","Mixed","Violence against the person","26.1"
"2017","All","All","Other inc Chinese","Criminal damage and arson",""
"2017","All","All","Other inc Chinese","Drug offences","32.1986"
"2017","All","All","Other inc Chinese","Fraud Offences","15.0412"
"2017","All","All","Other inc Chinese","Miscellaneous crimes against society","13.0449"
"2017","All","All","Other inc Chinese","Possession of weapons","12.2852"
"2017","All","All","Other inc Chinese","Public order offences","5.0009"
"2017","All","All","Other inc Chinese","Robbery","59.5833"
"2017","All","All","Other inc Chinese","Sexual offences","49.2023"
"2017","All","All","Other inc Chinese","Theft Offences","10.5933"
"2017","All","All","Other inc Chinese","Violence against the person","24.6993"
"2017","All","All","White","Criminal damage and arson","29.9475"
"2017","All","All","White","Drug offences","33.5649"
"2017","All","All","White","Fraud Offences","16.3466"
"2017","All","All","White","Miscellaneous crimes against society","10.858"
"2017","All","All","White","Possession of weapons","11.9873"
"2017","All","All","White","Public order offences","6.3313"
"2017","All","All","White","Robbery","47.1593"
"2017","All","All","White","Sexual offences","60.2738"
"2017","All","All","White","Theft Offences","9.354"
"2017","All","All","White","Violence against the person","20.8666"
