"Measure","Date","Date type","Ethnicity","Ethnicity_type","Region","Region_type","Rate","Rate_type","Numerator","Numerator type","Denominator","Denominator type"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","South West","Government Region","2.7","Percentage of Numerator / Denominator","89073","Average number of JSA claimants a month matching date, geographic and ethnicity status","3316686","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","Wales","Government Region","4.1","Percentage of Numerator / Denominator","79645","Average number of JSA claimants a month matching date, geographic and ethnicity status","1931637","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","West Midlands","Government Region","4.6","Percentage of Numerator / Denominator","165030","Average number of JSA claimants a month matching date, geographic and ethnicity status","3557552","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","Yorkshire and The Humber","Government Region","4.8","Percentage of Numerator / Denominator","164065","Average number of JSA claimants a month matching date, geographic and ethnicity status","3401192","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","All","England and Wales","3.4","Percentage of Numerator / Denominator","1230049","Average number of JSA claimants a month matching date, geographic and ethnicity status","36278017","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","East","Government Region","2.7","Percentage of Numerator / Denominator","101719","Average number of JSA claimants a month matching date, geographic and ethnicity status","3711787","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","East Midlands","Government Region","3.3","Percentage of Numerator / Denominator","95619","Average number of JSA claimants a month matching date, geographic and ethnicity status","2913046","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","London","Government Region","3.5","Percentage of Numerator / Denominator","201923","Average number of JSA claimants a month matching date, geographic and ethnicity status","5756983","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","North East","Government Region","5.1","Percentage of Numerator / Denominator","84428","Average number of JSA claimants a month matching date, geographic and ethnicity status","1667444","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","North West","Government Region","4","Percentage of Numerator / Denominator","178418","Average number of JSA claimants a month matching date, geographic and ethnicity status","4516047","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","South East","Government Region","2.2","Percentage of Numerator / Denominator","119291","Average number of JSA claimants a month matching date, geographic and ethnicity status","5511528","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","South West","Government Region","2.3","Percentage of Numerator / Denominator","76668","Average number of JSA claimants a month matching date, geographic and ethnicity status","3319137","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","Wales","Government Region","3.8","Percentage of Numerator / Denominator","72909","Average number of JSA claimants a month matching date, geographic and ethnicity status","1926617","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","West Midlands","Government Region","4.2","Percentage of Numerator / Denominator","149240","Average number of JSA claimants a month matching date, geographic and ethnicity status","3560687","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","All","All","Yorkshire and The Humber","Government Region","4.4","Percentage of Numerator / Denominator","149837","Average number of JSA claimants a month matching date, geographic and ethnicity status","3394741","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","All","England and Wales","2.4","Percentage of Numerator / Denominator","879519","Average number of JSA claimants a month matching date, geographic and ethnicity status","36397802","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","East","Government Region","1.8","Percentage of Numerator / Denominator","68660","Average number of JSA claimants a month matching date, geographic and ethnicity status","3733048","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","East Midlands","Government Region","2.3","Percentage of Numerator / Denominator","67860","Average number of JSA claimants a month matching date, geographic and ethnicity status","2923192","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","London","Government Region","2.5","Percentage of Numerator / Denominator","147862","Average number of JSA claimants a month matching date, geographic and ethnicity status","5824376","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","North East","Government Region","3.7","Percentage of Numerator / Denominator","61860","Average number of JSA claimants a month matching date, geographic and ethnicity status","1663348","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","North West","Government Region","2.7","Percentage of Numerator / Denominator","122536","Average number of JSA claimants a month matching date, geographic and ethnicity status","4509630","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","South East","Government Region","1.5","Percentage of Numerator / Denominator","81560","Average number of JSA claimants a month matching date, geographic and ethnicity status","5535305","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","South West","Government Region","1.6","Percentage of Numerator / Denominator","52495","Average number of JSA claimants a month matching date, geographic and ethnicity status","3327413","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","Wales","Government Region","3","Percentage of Numerator / Denominator","56813","Average number of JSA claimants a month matching date, geographic and ethnicity status","1922448","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","West Midlands","Government Region","3.1","Percentage of Numerator / Denominator","109411","Average number of JSA claimants a month matching date, geographic and ethnicity status","3569465","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","All","All","Yorkshire and The Humber","Government Region","3.3","Percentage of Numerator / Denominator","110463","Average number of JSA claimants a month matching date, geographic and ethnicity status","3389577","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","All","England and Wales","1.7","Percentage of Numerator / Denominator","622838","Average number of JSA claimants a month matching date, geographic and ethnicity status","36588665","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","East","Government Region","1.3","Percentage of Numerator / Denominator","47735","Average number of JSA claimants a month matching date, geographic and ethnicity status","3754685","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","East Midlands","Government Region","1.6","Percentage of Numerator / Denominator","48322","Average number of JSA claimants a month matching date, geographic and ethnicity status","2938227","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","London","Government Region","1.9","Percentage of Numerator / Denominator","111757","Average number of JSA claimants a month matching date, geographic and ethnicity status","5902432","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","North East","Government Region","2.8","Percentage of Numerator / Denominator","46570","Average number of JSA claimants a month matching date, geographic and ethnicity status","1660359","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","North West","Government Region","1.6","Percentage of Numerator / Denominator","71660","Average number of JSA claimants a month matching date, geographic and ethnicity status","4520345","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","South East","Government Region","1.1","Percentage of Numerator / Denominator","58812","Average number of JSA claimants a month matching date, geographic and ethnicity status","5564650","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","South West","Government Region","1.1","Percentage of Numerator / Denominator","36457","Average number of JSA claimants a month matching date, geographic and ethnicity status","3345076","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","Wales","Government Region","2.3","Percentage of Numerator / Denominator","43375","Average number of JSA claimants a month matching date, geographic and ethnicity status","1919024","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","West Midlands","Government Region","2.1","Percentage of Numerator / Denominator","77061","Average number of JSA claimants a month matching date, geographic and ethnicity status","3586276","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","All","All","Yorkshire and The Humber","Government Region","2.4","Percentage of Numerator / Denominator","81091","Average number of JSA claimants a month matching date, geographic and ethnicity status","3397591","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","All","England and Wales","1.3","Percentage of Numerator / Denominator","484746","Average number of JSA claimants a month matching date, geographic and ethnicity status","36777560","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","East","Government Region","1","Percentage of Numerator / Denominator","36053","Average number of JSA claimants a month matching date, geographic and ethnicity status","3770942","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","East Midlands","Government Region","1.2","Percentage of Numerator / Denominator","35331","Average number of JSA claimants a month matching date, geographic and ethnicity status","2957468","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","London","Government Region","1.5","Percentage of Numerator / Denominator","88001","Average number of JSA claimants a month matching date, geographic and ethnicity status","5956332","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","North East","Government Region","2.4","Percentage of Numerator / Denominator","39482","Average number of JSA claimants a month matching date, geographic and ethnicity status","1661240","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","North West","Government Region","1.2","Percentage of Numerator / Denominator","54312","Average number of JSA claimants a month matching date, geographic and ethnicity status","4534152","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","South East","Government Region","0.8","Percentage of Numerator / Denominator","47154","Average number of JSA claimants a month matching date, geographic and ethnicity status","5596332","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","South West","Government Region","0.9","Percentage of Numerator / Denominator","29196","Average number of JSA claimants a month matching date, geographic and ethnicity status","3358047","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","Wales","Government Region","1.7","Percentage of Numerator / Denominator","32485","Average number of JSA claimants a month matching date, geographic and ethnicity status","1921434","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","West Midlands","Government Region","1.7","Percentage of Numerator / Denominator","62493","Average number of JSA claimants a month matching date, geographic and ethnicity status","3614090","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","All","All","Yorkshire and The Humber","Government Region","1.8","Percentage of Numerator / Denominator","60241","Average number of JSA claimants a month matching date, geographic and ethnicity status","3407523","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","All","England and Wales","1.1","Percentage of Numerator / Denominator","407620","Average number of JSA claimants a month matching date, geographic and ethnicity status","36873584","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","East","Government Region","0.8","Percentage of Numerator / Denominator","30363","Average number of JSA claimants a month matching date, geographic and ethnicity status","3779374","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","East Midlands","Government Region","1","Percentage of Numerator / Denominator","29528","Average number of JSA claimants a month matching date, geographic and ethnicity status","2976631","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","London","Government Region","1.2","Percentage of Numerator / Denominator","70771","Average number of JSA claimants a month matching date, geographic and ethnicity status","5973028","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","North East","Government Region","1.9","Percentage of Numerator / Denominator","32207","Average number of JSA claimants a month matching date, geographic and ethnicity status","1658564","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","North West","Government Region","1","Percentage of Numerator / Denominator","47570","Average number of JSA claimants a month matching date, geographic and ethnicity status","4538815","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","South East","Government Region","0.7","Percentage of Numerator / Denominator","41768","Average number of JSA claimants a month matching date, geographic and ethnicity status","5607526","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","South West","Government Region","0.7","Percentage of Numerator / Denominator","23425","Average number of JSA claimants a month matching date, geographic and ethnicity status","3370820","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","Wales","Government Region","1.3","Percentage of Numerator / Denominator","25286","Average number of JSA claimants a month matching date, geographic and ethnicity status","1922636","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","West Midlands","Government Region","1.6","Percentage of Numerator / Denominator","57320","Average number of JSA claimants a month matching date, geographic and ethnicity status","3636636","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","All","All","Yorkshire and The Humber","Government Region","1.4","Percentage of Numerator / Denominator","49385","Average number of JSA claimants a month matching date, geographic and ethnicity status","3409554","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","All","England and Wales","4.5","Percentage of Numerator / Denominator","236618","Average number of JSA claimants a month matching date, geographic and ethnicity status","5225508","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","East","Government Region","3.1","Percentage of Numerator / Denominator","11072","Average number of JSA claimants a month matching date, geographic and ethnicity status","353951","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","East Midlands","Government Region","4.3","Percentage of Numerator / Denominator","14017","Average number of JSA claimants a month matching date, geographic and ethnicity status","327001","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","London","Government Region","5","Percentage of Numerator / Denominator","111479","Average number of JSA claimants a month matching date, geographic and ethnicity status","2223572","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","North East","Government Region","3.4","Percentage of Numerator / Denominator","2814","Average number of JSA claimants a month matching date, geographic and ethnicity status","82944","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","North West","Government Region","4.2","Percentage of Numerator / Denominator","18999","Average number of JSA claimants a month matching date, geographic and ethnicity status","447494","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","South East","Government Region","2.4","Percentage of Numerator / Denominator","13136","Average number of JSA claimants a month matching date, geographic and ethnicity status","538374","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","South West","Government Region","3","Percentage of Numerator / Denominator","4923","Average number of JSA claimants a month matching date, geographic and ethnicity status","161741","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","Wales","Government Region","3.1","Percentage of Numerator / Denominator","2856","Average number of JSA claimants a month matching date, geographic and ethnicity status","91555","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","West Midlands","Government Region","6.2","Percentage of Numerator / Denominator","38223","Average number of JSA claimants a month matching date, geographic and ethnicity status","619296","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","Ethnic Minority","ONS 2","Yorkshire and The Humber","Government Region","5","Percentage of Numerator / Denominator","19098","Average number of JSA claimants a month matching date, geographic and ethnicity status","379579","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","All","England and Wales","4.6","Percentage of Numerator / Denominator","245523","Average number of JSA claimants a month matching date, geographic and ethnicity status","5329349","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","East","Government Region","3.2","Percentage of Numerator / Denominator","11500","Average number of JSA claimants a month matching date, geographic and ethnicity status","360949","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","East Midlands","Government Region","4.6","Percentage of Numerator / Denominator","15176","Average number of JSA claimants a month matching date, geographic and ethnicity status","332820","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","London","Government Region","4.9","Percentage of Numerator / Denominator","112006","Average number of JSA claimants a month matching date, geographic and ethnicity status","2268702","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","North East","Government Region","3.8","Percentage of Numerator / Denominator","3225","Average number of JSA claimants a month matching date, geographic and ethnicity status","83832","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","North West","Government Region","4.6","Percentage of Numerator / Denominator","20917","Average number of JSA claimants a month matching date, geographic and ethnicity status","455969","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","South East","Government Region","2.5","Percentage of Numerator / Denominator","13529","Average number of JSA claimants a month matching date, geographic and ethnicity status","548744","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","South West","Government Region","3.2","Percentage of Numerator / Denominator","5328","Average number of JSA claimants a month matching date, geographic and ethnicity status","165226","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","Wales","Government Region","3.3","Percentage of Numerator / Denominator","3104","Average number of JSA claimants a month matching date, geographic and ethnicity status","92892","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","West Midlands","Government Region","6.3","Percentage of Numerator / Denominator","39632","Average number of JSA claimants a month matching date, geographic and ethnicity status","632334","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","Ethnic Minority","ONS 2","Yorkshire and The Humber","Government Region","5.4","Percentage of Numerator / Denominator","21106","Average number of JSA claimants a month matching date, geographic and ethnicity status","387883","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","All","England and Wales","4.1","Percentage of Numerator / Denominator","222890","Average number of JSA claimants a month matching date, geographic and ethnicity status","5439773","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","East","Government Region","2.8","Percentage of Numerator / Denominator","10182","Average number of JSA claimants a month matching date, geographic and ethnicity status","368765","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","East Midlands","Government Region","4","Percentage of Numerator / Denominator","13675","Average number of JSA claimants a month matching date, geographic and ethnicity status","339050","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","London","Government Region","4.3","Percentage of Numerator / Denominator","99449","Average number of JSA claimants a month matching date, geographic and ethnicity status","2317529","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","North East","Government Region","3.6","Percentage of Numerator / Denominator","3093","Average number of JSA claimants a month matching date, geographic and ethnicity status","85050","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","North West","Government Region","4.3","Percentage of Numerator / Denominator","19768","Average number of JSA claimants a month matching date, geographic and ethnicity status","464094","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","South East","Government Region","2.1","Percentage of Numerator / Denominator","11753","Average number of JSA claimants a month matching date, geographic and ethnicity status","559979","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","South West","Government Region","2.8","Percentage of Numerator / Denominator","4739","Average number of JSA claimants a month matching date, geographic and ethnicity status","168972","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","Wales","Government Region","3.2","Percentage of Numerator / Denominator","2988","Average number of JSA claimants a month matching date, geographic and ethnicity status","94378","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","West Midlands","Government Region","5.7","Percentage of Numerator / Denominator","37069","Average number of JSA claimants a month matching date, geographic and ethnicity status","646042","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","Ethnic Minority","ONS 2","Yorkshire and The Humber","Government Region","5.1","Percentage of Numerator / Denominator","20174","Average number of JSA claimants a month matching date, geographic and ethnicity status","395916","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","All","England and Wales","3","Percentage of Numerator / Denominator","168590","Average number of JSA claimants a month matching date, geographic and ethnicity status","5558534","Number of people in the population aged 16-24 matching geographic and ethnicity status"
