"Title","People claiming Jobseeker’s Allowance"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Department for Work and Pensions"
"Data source link","https://www.nomisweb.co.uk/home/news.asp?cat=24"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-02-05"
"Date","Date type","Region","Region type","Ethnicity","Ethnicity type","Numerator","Numerator type","Denominator","Denominator type","Rate","Rate type"
"2012","Calendar Year","London","Government Region","Ethnic Minority","ONS 2","112005","Average number of claimants a month matching geographic and ethnicity status","2269312","Number of people in the population matching geographic and ethnicity status","4.9","Percentage of Numerator / Denominator"
"2013","Calendar Year","London","Government Region","Ethnic Minority","ONS 2","99450","Average number of claimants a month matching geographic and ethnicity status","2318037","Number of people in the population matching geographic and ethnicity status","4.3","Percentage of Numerator / Denominator"
"2014","Calendar Year","London","Government Region","Ethnic Minority","ONS 2","73450","Average number of claimants a month matching geographic and ethnicity status","2374790","Number of people in the population matching geographic and ethnicity status","3.1","Percentage of Numerator / Denominator"
"2015","Calendar Year","London","Government Region","Ethnic Minority","ONS 2","57445","Average number of claimants a month matching geographic and ethnicity status","2440011","Number of people in the population matching geographic and ethnicity status","2.4","Percentage of Numerator / Denominator"
"2011","Calendar Year","North East","Government Region","Ethnic Minority","ONS 2","2815","Average number of claimants a month matching geographic and ethnicity status","82892","Number of people in the population matching geographic and ethnicity status","3.4","Percentage of Numerator / Denominator"
"2012","Calendar Year","North East","Government Region","Ethnic Minority","ONS 2","3225","Average number of claimants a month matching geographic and ethnicity status","83818","Number of people in the population matching geographic and ethnicity status","3.8","Percentage of Numerator / Denominator"
"2013","Calendar Year","North East","Government Region","Ethnic Minority","ONS 2","3095","Average number of claimants a month matching geographic and ethnicity status","85304","Number of people in the population matching geographic and ethnicity status","3.6","Percentage of Numerator / Denominator"
"2014","Calendar Year","North East","Government Region","Ethnic Minority","ONS 2","2595","Average number of claimants a month matching geographic and ethnicity status","86650","Number of people in the population matching geographic and ethnicity status","3","Percentage of Numerator / Denominator"
"2015","Calendar Year","North East","Government Region","Ethnic Minority","ONS 2","2170","Average number of claimants a month matching geographic and ethnicity status","88098","Number of people in the population matching geographic and ethnicity status","2.5","Percentage of Numerator / Denominator"
"2011","Calendar Year","North West","Government Region","Ethnic Minority","ONS 2","19000","Average number of claimants a month matching geographic and ethnicity status","447631","Number of people in the population matching geographic and ethnicity status","4.2","Percentage of Numerator / Denominator"
"2012","Calendar Year","North West","Government Region","Ethnic Minority","ONS 2","20915","Average number of claimants a month matching geographic and ethnicity status","456738","Number of people in the population matching geographic and ethnicity status","4.6","Percentage of Numerator / Denominator"
"2013","Calendar Year","North West","Government Region","Ethnic Minority","ONS 2","19770","Average number of claimants a month matching geographic and ethnicity status","464786","Number of people in the population matching geographic and ethnicity status","4.3","Percentage of Numerator / Denominator"
"2014","Calendar Year","North West","Government Region","Ethnic Minority","ONS 2","14805","Average number of claimants a month matching geographic and ethnicity status","474089","Number of people in the population matching geographic and ethnicity status","3.1","Percentage of Numerator / Denominator"
"2015","Calendar Year","North West","Government Region","Ethnic Minority","ONS 2","10330","Average number of claimants a month matching geographic and ethnicity status","485776","Number of people in the population matching geographic and ethnicity status","2.1","Percentage of Numerator / Denominator"
"2011","Calendar Year","South East","Government Region","Ethnic Minority","ONS 2","13135","Average number of claimants a month matching geographic and ethnicity status","538021","Number of people in the population matching geographic and ethnicity status","2.4","Percentage of Numerator / Denominator"
"2012","Calendar Year","South East","Government Region","Ethnic Minority","ONS 2","13530","Average number of claimants a month matching geographic and ethnicity status","548367","Number of people in the population matching geographic and ethnicity status","2.5","Percentage of Numerator / Denominator"
"2013","Calendar Year","South East","Government Region","Ethnic Minority","ONS 2","11755","Average number of claimants a month matching geographic and ethnicity status","559260","Number of people in the population matching geographic and ethnicity status","2.1","Percentage of Numerator / Denominator"
"2014","Calendar Year","South East","Government Region","Ethnic Minority","ONS 2","8555","Average number of claimants a month matching geographic and ethnicity status","570823","Number of people in the population matching geographic and ethnicity status","1.5","Percentage of Numerator / Denominator"
"2015","Calendar Year","South East","Government Region","Ethnic Minority","ONS 2","6300","Average number of claimants a month matching geographic and ethnicity status","581892","Number of people in the population matching geographic and ethnicity status","1.1","Percentage of Numerator / Denominator"
"2011","Calendar Year","South West","Government Region","Ethnic Minority","ONS 2","4925","Average number of claimants a month matching geographic and ethnicity status","161444","Number of people in the population matching geographic and ethnicity status","3","Percentage of Numerator / Denominator"
"2012","Calendar Year","South West","Government Region","Ethnic Minority","ONS 2","5330","Average number of claimants a month matching geographic and ethnicity status","165417","Number of people in the population matching geographic and ethnicity status","3.2","Percentage of Numerator / Denominator"
"2013","Calendar Year","South West","Government Region","Ethnic Minority","ONS 2","4740","Average number of claimants a month matching geographic and ethnicity status","169613","Number of people in the population matching geographic and ethnicity status","2.8","Percentage of Numerator / Denominator"
"2014","Calendar Year","South West","Government Region","Ethnic Minority","ONS 2","3605","Average number of claimants a month matching geographic and ethnicity status","173659","Number of people in the population matching geographic and ethnicity status","2.1","Percentage of Numerator / Denominator"
"2015","Calendar Year","South West","Government Region","Ethnic Minority","ONS 2","2680","Average number of claimants a month matching geographic and ethnicity status","178608","Number of people in the population matching geographic and ethnicity status","1.5","Percentage of Numerator / Denominator"
"2011","Calendar Year","Wales","Government Region","Ethnic Minority","ONS 2","2855","Average number of claimants a month matching geographic and ethnicity status","91473","Number of people in the population matching geographic and ethnicity status","3.1","Percentage of Numerator / Denominator"
"2012","Calendar Year","Wales","Government Region","Ethnic Minority","ONS 2","3105","Average number of claimants a month matching geographic and ethnicity status","92789","Number of people in the population matching geographic and ethnicity status","3.3","Percentage of Numerator / Denominator"
"2013","Calendar Year","Wales","Government Region","Ethnic Minority","ONS 2","2990","Average number of claimants a month matching geographic and ethnicity status","94439","Number of people in the population matching geographic and ethnicity status","3.2","Percentage of Numerator / Denominator"
"2014","Calendar Year","Wales","Government Region","Ethnic Minority","ONS 2","2635","Average number of claimants a month matching geographic and ethnicity status","95959","Number of people in the population matching geographic and ethnicity status","2.7","Percentage of Numerator / Denominator"
"2015","Calendar Year","Wales","Government Region","Ethnic Minority","ONS 2","2130","Average number of claimants a month matching geographic and ethnicity status","97597","Number of people in the population matching geographic and ethnicity status","2.2","Percentage of Numerator / Denominator"
"2011","Calendar Year","West Midlands","Government Region","Ethnic Minority","ONS 2","38225","Average number of claimants a month matching geographic and ethnicity status","619506","Number of people in the population matching geographic and ethnicity status","6.2","Percentage of Numerator / Denominator"
"2012","Calendar Year","West Midlands","Government Region","Ethnic Minority","ONS 2","39630","Average number of claimants a month matching geographic and ethnicity status","633412","Number of people in the population matching geographic and ethnicity status","6.3","Percentage of Numerator / Denominator"
"2013","Calendar Year","West Midlands","Government Region","Ethnic Minority","ONS 2","37070","Average number of claimants a month matching geographic and ethnicity status","646649","Number of people in the population matching geographic and ethnicity status","5.7","Percentage of Numerator / Denominator"
"2014","Calendar Year","West Midlands","Government Region","Ethnic Minority","ONS 2","29625","Average number of claimants a month matching geographic and ethnicity status","661144","Number of people in the population matching geographic and ethnicity status","4.5","Percentage of Numerator / Denominator"
"2015","Calendar Year","West Midlands","Government Region","Ethnic Minority","ONS 2","22700","Average number of claimants a month matching geographic and ethnicity status","676446","Number of people in the population matching geographic and ethnicity status","3.4","Percentage of Numerator / Denominator"
"2011","Calendar Year","Yorkshire and The Humber","Government Region","Ethnic Minority","ONS 2","19100","Average number of claimants a month matching geographic and ethnicity status","379411","Number of people in the population matching geographic and ethnicity status","5","Percentage of Numerator / Denominator"
"2012","Calendar Year","Yorkshire and The Humber","Government Region","Ethnic Minority","ONS 2","21105","Average number of claimants a month matching geographic and ethnicity status","387148","Number of people in the population matching geographic and ethnicity status","5.5","Percentage of Numerator / Denominator"
"2013","Calendar Year","Yorkshire and The Humber","Government Region","Ethnic Minority","ONS 2","20175","Average number of claimants a month matching geographic and ethnicity status","394811","Number of people in the population matching geographic and ethnicity status","5.1","Percentage of Numerator / Denominator"
"2014","Calendar Year","Yorkshire and The Humber","Government Region","Ethnic Minority","ONS 2","16235","Average number of claimants a month matching geographic and ethnicity status","402292","Number of people in the population matching geographic and ethnicity status","4","Percentage of Numerator / Denominator"
"2015","Calendar Year","Yorkshire and The Humber","Government Region","Ethnic Minority","ONS 2","12805","Average number of claimants a month matching geographic and ethnicity status","411767","Number of people in the population matching geographic and ethnicity status","3.1","Percentage of Numerator / Denominator"
"2011","Calendar Year","East","Government Region","White","ONS 2","94055","Average number of claimants a month matching geographic and ethnicity status","3365265","Number of people in the population matching geographic and ethnicity status","2.8","Percentage of Numerator / Denominator"
"2012","Calendar Year","East","Government Region","White","ONS 2","97260","Average number of claimants a month matching geographic and ethnicity status","3347473","Number of people in the population matching geographic and ethnicity status","2.9","Percentage of Numerator / Denominator"
"2013","Calendar Year","East","Government Region","White","ONS 2","85315","Average number of claimants a month matching geographic and ethnicity status","3343932","Number of people in the population matching geographic and ethnicity status","2.6","Percentage of Numerator / Denominator"
"2014","Calendar Year","East","Government Region","White","ONS 2","56495","Average number of claimants a month matching geographic and ethnicity status","3356208","Number of people in the population matching geographic and ethnicity status","1.7","Percentage of Numerator / Denominator"
"2015","Calendar Year","East","Government Region","White","ONS 2","39135","Average number of claimants a month matching geographic and ethnicity status","3368899","Number of people in the population matching geographic and ethnicity status","1.2","Percentage of Numerator / Denominator"
"2011","Calendar Year","East Midlands","Government Region","White","ONS 2","84085","Average number of claimants a month matching geographic and ethnicity status","2592837","Number of people in the population matching geographic and ethnicity status","3.2","Percentage of Numerator / Denominator"
"2012","Calendar Year","East Midlands","Government Region","White","ONS 2","88955","Average number of claimants a month matching geographic and ethnicity status","2579968","Number of people in the population matching geographic and ethnicity status","3.4","Percentage of Numerator / Denominator"
"2013","Calendar Year","East Midlands","Government Region","White","ONS 2","77865","Average number of claimants a month matching geographic and ethnicity status","2574812","Number of people in the population matching geographic and ethnicity status","3","Percentage of Numerator / Denominator"
"2014","Calendar Year","East Midlands","Government Region","White","ONS 2","54795","Average number of claimants a month matching geographic and ethnicity status","2577995","Number of people in the population matching geographic and ethnicity status","2.1","Percentage of Numerator / Denominator"
"2015","Calendar Year","East Midlands","Government Region","White","ONS 2","38635","Average number of claimants a month matching geographic and ethnicity status","2584198","Number of people in the population matching geographic and ethnicity status","1.5","Percentage of Numerator / Denominator"
"2011","Calendar Year","All","England and Wales","White","ONS 2","1014010","Average number of claimants a month matching geographic and ethnicity status","31063891","Number of people in the population matching geographic and ethnicity status","3.3","Percentage of Numerator / Denominator"
"2012","Calendar Year","All","England and Wales","White","ONS 2","1056750","Average number of claimants a month matching geographic and ethnicity status","30908474","Number of people in the population matching geographic and ethnicity status","3.4","Percentage of Numerator / Denominator"
"2013","Calendar Year","All","England and Wales","White","ONS 2","935965","Average number of claimants a month matching geographic and ethnicity status","30838283","Number of people in the population matching geographic and ethnicity status","3","Percentage of Numerator / Denominator"
"2014","Calendar Year","All","England and Wales","White","ONS 2","658320","Average number of claimants a month matching geographic and ethnicity status","30835815","Number of people in the population matching geographic and ethnicity status","2.1","Percentage of Numerator / Denominator"
"2015","Calendar Year","All","England and Wales","White","ONS 2","458605","Average number of claimants a month matching geographic and ethnicity status","30888470","Number of people in the population matching geographic and ethnicity status","1.5","Percentage of Numerator / Denominator"
"2011","Calendar Year","London","Government Region","White","ONS 2","94700","Average number of claimants a month matching geographic and ethnicity status","3439921","Number of people in the population matching geographic and ethnicity status","2.8","Percentage of Numerator / Denominator"
"2012","Calendar Year","London","Government Region","White","ONS 2","94600","Average number of claimants a month matching geographic and ethnicity status","3434435","Number of people in the population matching geographic and ethnicity status","2.8","Percentage of Numerator / Denominator"
"2013","Calendar Year","London","Government Region","White","ONS 2","83485","Average number of claimants a month matching geographic and ethnicity status","3438168","Number of people in the population matching geographic and ethnicity status","2.4","Percentage of Numerator / Denominator"
"2014","Calendar Year","London","Government Region","White","ONS 2","58510","Average number of claimants a month matching geographic and ethnicity status","3448700","Number of people in the population matching geographic and ethnicity status","1.7","Percentage of Numerator / Denominator"
"2015","Calendar Year","London","Government Region","White","ONS 2","43075","Average number of claimants a month matching geographic and ethnicity status","3467751","Number of people in the population matching geographic and ethnicity status","1.2","Percentage of Numerator / Denominator"
"2011","Calendar Year","North East","Government Region","White","ONS 2","78330","Average number of claimants a month matching geographic and ethnicity status","1598782","Number of people in the population matching geographic and ethnicity status","4.9","Percentage of Numerator / Denominator"
"2012","Calendar Year","North East","Government Region","White","ONS 2","86175","Average number of claimants a month matching geographic and ethnicity status","1587149","Number of people in the population matching geographic and ethnicity status","5.4","Percentage of Numerator / Denominator"
"2013","Calendar Year","North East","Government Region","White","ONS 2","78100","Average number of claimants a month matching geographic and ethnicity status","1582142","Number of people in the population matching geographic and ethnicity status","4.9","Percentage of Numerator / Denominator"
"2014","Calendar Year","North East","Government Region","White","ONS 2","57210","Average number of claimants a month matching geographic and ethnicity status","1576712","Number of people in the population matching geographic and ethnicity status","3.6","Percentage of Numerator / Denominator"
"2015","Calendar Year","North East","Government Region","White","ONS 2","43035","Average number of claimants a month matching geographic and ethnicity status","1572309","Number of people in the population matching geographic and ethnicity status","2.7","Percentage of Numerator / Denominator"
"2011","Calendar Year","North West","Government Region","White","ONS 2","161810","Average number of claimants a month matching geographic and ethnicity status","4105134","Number of people in the population matching geographic and ethnicity status","3.9","Percentage of Numerator / Denominator"
"2012","Calendar Year","North West","Government Region","White","ONS 2","170570","Average number of claimants a month matching geographic and ethnicity status","4075024","Number of people in the population matching geographic and ethnicity status","4.2","Percentage of Numerator / Denominator"
"2013","Calendar Year","North West","Government Region","White","ONS 2","151470","Average number of claimants a month matching geographic and ethnicity status","4051316","Number of people in the population matching geographic and ethnicity status","3.7","Percentage of Numerator / Denominator"
"2014","Calendar Year","North West","Government Region","White","ONS 2","103030","Average number of claimants a month matching geographic and ethnicity status","4035671","Number of people in the population matching geographic and ethnicity status","2.6","Percentage of Numerator / Denominator"
