"Measure","Ethnicity","Ethnicity_type","Time","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","4011","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","114245","114245","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","14142","201176","7.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","11967","201176","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","887","201176","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","2894","201176","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","167277","201176","83.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","4009","201176","2.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","7640","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","201176","201176","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","22963","211335","10.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","16674","211335","7.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","817","211335","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","3541","211335","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","160557","211335","76.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","6783","211335","3.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","10067","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","211335","211335","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","5637","92168","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","4542","92168","4.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","247","92168","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","1436","92168","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","79340","92168","86.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","966","92168","1.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","3331","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","92168","92168","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","8762","141500","6.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","8757","141500","6.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","269","141500","0.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","2148","141500","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","119682","141500","84.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","1882","141500","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","5741","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","141500","141500","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","13732","175976","7.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","11002","175976","6.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","312","175976","0.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","2799","175976","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","144646","175976","82.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","3485","175976","2.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","7623","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","175976","175976","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","3127","33538","9.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","2366","33538","7.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","66","33538","0.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","543","33538","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","26712","33538","79.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","724","33538","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","1678","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","33538","33538","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","1142","14508","7.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","805","14508","5.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","41","14508","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","255","14508","1.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","12076","14508","83.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","189","14508","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","1439","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","14508","14508","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","13108","46633","28.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1346","46633","2.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","923","46633","2.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1028","46633","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","28655","46633","61.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1573","46633","3.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","2861","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","46633","46633","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","874","2128","41.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","108","2128","5.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","16","2128","0.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","69","2128","3.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","869","2128","40.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","192","2128","9.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","136","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","2128","2128","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","3177","7209","44.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","388","7209","5.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","63","7209","0.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","224","7209","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","2830","7209","39.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","527","7209","7.3","%"
