"Measure","Ethnicity","Ethnicity_type","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1576","112080","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","3934","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","112080","112080","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","13616","198604","6.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","11617","198604","5.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","842","198604","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","2774","198604","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","165872","198604","83.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","3883","198604","2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","7630","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","198604","198604","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","22235","211135","10.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","16260","211135","7.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","811","211135","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","3341","211135","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","161892","211135","76.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","6596","211135","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","9836","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","211135","211135","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","5333","91016","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","4378","91016","4.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","251","91016","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","1397","91016","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","78823","91016","86.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","834","91016","0.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","3406","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","91016","91016","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","8264","140133","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","8593","140133","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","257","140133","0.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","2087","140133","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","119212","140133","85.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","1720","140133","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","5587","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","140133","140133","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","13324","175285","7.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","10569","175285","6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","314","175285","0.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","2691","175285","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","144975","175285","82.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","3412","175285","1.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","7411","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","175285","175285","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","2993","33421","9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","2273","33421","6.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","71","33421","0.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","532","33421","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","26826","33421","80.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","726","33421","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","1669","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","33421","33421","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Unspecified","Other grade","Other grade","1051","13919","7.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Unspecified","Other grade","Other grade","736","13919","5.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Unspecified","Other grade","Other grade","35","13919","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Unspecified","Other grade","Other grade","246","13919","1.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Unspecified","Other grade","Other grade","11673","13919","83.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Unspecified","Other grade","Other grade","178","13919","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Unspecified","Other grade","Other grade","1341","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Unspecified","Other grade","Other grade","13919","13919","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","12775","45827","27.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1301","45827","2.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","894","45827","2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","992","45827","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","28341","45827","61.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1524","45827","3.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","2780","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","45827","45827","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","896","2197","40.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","112","2197","5.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","17","2197","0.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","69","2197","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","904","2197","41.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","199","2197","9.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","140","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","2197","2197","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","3107","7048","44.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","361","7048","5.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","67","7048","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","210","7048","3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","2806","7048","39.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","497","7048","7.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","589","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","7048","7048","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","139","394","35.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","31","394","7.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","10","394","2.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","17","394","4.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","177","394","44.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","20","394","5.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","38","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","394","394","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","8004","28478","28.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1488","28478","5.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","958","28478","3.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1080","28478","3.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","15720","28478","55.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1228","28478","4.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","3236","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","28478","28478","100","%"
