"Measure","Ethnicity","Ethnicity_type","Time","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","1905","1905","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","52","1436","3.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","25","1436","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","20","1436","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","1331","1436","92.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","8","1436","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","86","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","1436","1436","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","148","3732","4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","82","3732","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","39","3732","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3449","3732","92.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","14","3732","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","188","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3732","3732","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","365","7852","4.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","186","7852","2.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","92","7852","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7159","7852","91.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","50","7852","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","329","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7852","7852","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","899","15425","5.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","485","15425","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","179","15425","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","13744","15425","89.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","118","15425","0.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","562","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","15425","15425","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","2836","39687","7.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1469","39687","3.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","546","39687","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","34425","39687","86.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","411","39687","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1353","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","39687","39687","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","7593","114245","6.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","5343","114245","4.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1490","114245","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","98163","114245","85.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1656","114245","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","4011","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","114245","114245","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","15029","201176","7.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","11967","201176","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","2894","201176","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","167277","201176","83.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","4009","201176","2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","7640","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","201176","201176","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","23780","211335","11.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","16674","211335","7.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","3541","211335","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","160557","211335","76","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","6783","211335","3.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","10067","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","211335","211335","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","5884","92168","6.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","4542","92168","4.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","1436","92168","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","79340","92168","86.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","966","92168","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","3331","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","92168","92168","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","9031","141500","6.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","8757","141500","6.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","2148","141500","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","119682","141500","84.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","1882","141500","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","5741","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","141500","141500","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","14044","175976","8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","11002","175976","6.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","2799","175976","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","144646","175976","82.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","3485","175976","2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","7623","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","175976","175976","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","3193","33538","9.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","2366","33538","7.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","543","33538","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","26712","33538","79.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","724","33538","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","1678","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","33538","33538","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","1183","14508","8.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","805","14508","5.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","255","14508","1.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","12076","14508","83.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","189","14508","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","1439","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","14508","14508","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","14031","46633","30.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1346","46633","2.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1028","46633","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","28655","46633","61.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1573","46633","3.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","2861","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","46633","46633","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","890","2128","41.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","108","2128","5.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","69","2128","3.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","869","2128","40.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","192","2128","9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","136","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","2128","2128","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","3240","7209","44.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","388","7209","5.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","224","7209","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","2830","7209","39.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","527","7209","7.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","624","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","7209","7209","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","139","359","38.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","29","359","8.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","15","359","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","154","359","42.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","22","359","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","35","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","359","359","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","8946","27707","32.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1567","27707","5.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1088","27707","3.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","14865","27707","53.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1241","27707","4.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","3130","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","27707","27707","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","2937","9345","31.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","568","9345","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","403","9345","4.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","5019","9345","53.7","%"
