"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","2029","3310464","3176439","378891","361899","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","81","131461","101796","21315","16496","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","39","63472","55942","5952","5131","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","72","117193","115192","1433","1394","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","204","332483","305137","78255","71439","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","134","218048","212732","13645","13252","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","69","113198","100860","6841","5886","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","471","769236","678298","28748","24614","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","54","88921","80947","19941","17900","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","201","327555","309262","509272","483277","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","4480","378693","318749","80189","68395","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","11","951","760","402","328","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","177","14968","11962","4459","3593","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","1864","157543","133210","22447","19129","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1308","110525","97373","16267","14490","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","197","16620","12445","2271","1667","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","167","14091","10776","3772","2919","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","64","5375","4276","504","397","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","41","3455","3197","500","366","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","379","32035","24789","1410","1118","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","31","2646","2227","673","564","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","185","15669","13594","27334","23714","4407","3973"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","4869","200494","172832","39292","34430","2147","1990"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","578","23797","20539","6601","5749","2147","1990"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","1660","68356","59191","9242","8010","2147","1990"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","976","40200","36195","5275","4820","2147","1990"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","215","8841","7614","1156","988","2147","1990"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","292","12009","9539","2600","2122","2147","1990"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","678","27902","22594","1489","1208","2147","1990"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","43","1779","1608","424","393","2147","1990"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","167","6893","6166","11607","10376","2147","1990"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","4991","122740","107827","25250","22551","1282","1200"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","251","6179","5312","2020","1798","1282","1200"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","1380","33927","28653","4481","3776","1282","1200"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1900","46732","43020","6479","6001","1282","1200"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","161","3950","3199","589","467","1282","1200"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","298","7325","5907","1704","1421","1282","1200"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","519","12761","10999","511","407","1282","1200"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","219","5397","4901","8552","7882","1282","1200"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","4576","82437","67977","18166","14932","939","830"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","405","7288","5967","2139","1731","939","830"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","1636","29475","24393","4026","3452","939","830"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","1107","19935","17078","2647","2329","939","830"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","316","5697","4112","868","611","939","830"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","192","3460","3007","727","618","939","830"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","405","7287","5662","491","372","939","830"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","198","3574","2984","6532","5255","939","830"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","7415","10842757","10198800","1664100","1564414","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","43","62943","56931","26027","23828","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","46","67560","54421","22277","18093","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","3887","5683517","5330402","658398","613981","76245","75578"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","2114","3090755","2980413","348005","334031","76245","75578"
