"Title","Car or van ownership"
"Location","England"
"Time period","2002/06 to 2013/17 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-08"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Value_type","Weighted_Sample_Individuals_with_no_car_access","Unweighted_Sample_Individuals_with_no_car_access","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Proportion of people with no access to a car","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","36","%","295","245","829","756","               "
"Proportion of people with no access to a car","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","40","%","361","299","911","826","               "
"Proportion of people with no access to a car","2008-2012","5-year rolling average","White","ONS 2011 5+1","18","%","11507","10973","63927","63829","               "
"Proportion of people with no access to a car","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","20","%","14245","13337","72512","71892","               "
"Proportion of people with no access to a car","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","24","%","1142","991","4678","4370","               "
"Proportion of people with no access to a car","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","43","%","927","853","2139","2051","               "
"Proportion of people with no access to a car","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","36","%","300","254","822","760","               "
"Proportion of people with no access to a car","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","38","%","352","281","915","821","               "
"Proportion of people with no access to a car","2009-2013","5-year rolling average","White","ONS 2011 5+1","18","%","11512","10949","63903","63840","               "
"Proportion of people with no access to a car","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","20","%","14100","13161","71863","71061","               "
"Proportion of people with no access to a car","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","24","%","1163","994","4766","4431","               "
"Proportion of people with no access to a car","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","43","%","913","852","2119","2036","               "
"Proportion of people with no access to a car","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","36","%","274","226","768","699","               "
"Proportion of people with no access to a car","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","34","%","322","260","952","857","               "
"Proportion of people with no access to a car","2010-2014","5-year rolling average","White","ONS 2011 5+1","18","%","11415","10819","63207","62992","               "
"Proportion of people with no access to a car","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","%","14032","13127","72019","71207","               "
"Proportion of people with no access to a car","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","24","%","1170","1003","4815","4499","               "
"Proportion of people with no access to a car","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","42","%","866","821","2072","2021","               "
"Proportion of people with no access to a car","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","35","%","264","218","755","691","               "
"Proportion of people with no access to a car","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","37","%","357","297","965","877","               "
"Proportion of people with no access to a car","2011-2015","5-year rolling average","White","ONS 2011 5+1","18","%","11360","10777","63367","63077","               "
"Proportion of people with no access to a car","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","%","13834","12940","72263","71307","               "
"Proportion of people with no access to a car","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","22","%","1095","964","4991","4704","               "
"Proportion of people with no access to a car","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","41","%","836","786","2059","2004","               "
"Proportion of people with no access to a car","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","30","%","217","194","729","680","               "
"Proportion of people with no access to a car","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","35","%","332","268","951","852","               "
"Proportion of people with no access to a car","2012-2016","5-year rolling average","White","ONS 2011 5+1","18","%","11342","10719","63495","63032","               "
"Proportion of people with no access to a car","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","%","13321","12503","70711","69654","               "
"Proportion of people with no access to a car","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","21","%","1060","939","5033","4755","               "
"Proportion of people with no access to a car","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","41","%","845","803","2055","1998","               "
"Proportion of people with no access to a car","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","30","%","206","188","678","635","               "
"Proportion of people with no access to a car","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","35","%","306","249","884","805","               "
"Proportion of people with no access to a car","2013-2017","5-year rolling average","White","ONS 2011 5+1","18","%","10899","10320","62026","61425","               "
