Title:,Overcrowded households
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Any other Asian background,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,10.4,213555,22247,NA,NA,319
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,14.8,360219,53154,NA,NA,685
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,7.8,285256,22339,NA,NA,502
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Any other Black background,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,16,33438,5363,NA,NA,61
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Arab,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,10.9,64164,7007,NA,NA,107
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Any other ethnic group,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,8.4,233069,19653,NA,NA,366
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,"Higher managerial, administrative and professional occupations",All,All,All,1,8062549,79631,NA,NA,13078
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,Intermediate occupations,All,All,All,2.2,4154660,91045,NA,NA,7183
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,Routine and manual occupations,All,All,All,3,6743670,200921,NA,NA,13308
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,"Higher managerial, administrative and professional occupations",All,All,All,7.4,902080,66945,NA,NA,1380
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,Intermediate occupations,All,All,All,11,495711,54741,NA,NA,805
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,Routine and manual occupations,All,All,All,13.3,818300,109023,NA,NA,1508
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,"Higher managerial, administrative and professional occupations",All,All,All,0.8,7583359,59423,NA,NA,12378
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,Intermediate occupations,All,All,All,1.7,3908430,65141,NA,NA,6823
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,Routine and manual occupations,All,All,All,2.6,6274838,162790,NA,NA,12520
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,"Higher managerial, administrative and professional occupations",All,All,All,6.3,1376604,87153,NA,NA,2071
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,Intermediate occupations,All,All,All,10.9,734328,80223,NA,NA,1155
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,Routine and manual occupations,All,All,All,11.4,1283093,146653,NA,NA,2290
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,Up to £99,All,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£100 to £199,All,All,1,1761056,17659,NA,NA,3595
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£200 to £299,All,All,1.3,2454963,30954,NA,NA,4924
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£300 to £399,All,All,2.1,2301039,48130,NA,NA,4339
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£400 to £499,All,All,2.9,1921722,56034,NA,NA,3563
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£500 to £599,All,All,2.4,1758150,41879,NA,NA,3123
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£600 to £699,All,All,2.5,1635348,41313,NA,NA,2852
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£700 to £799,All,All,2.5,1363035,34485,NA,NA,2305
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£800 to £899,All,All,2.1,1145867,24050,NA,NA,1879
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£900 to £999,All,All,1.9,924123,17557,NA,NA,1526
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,£1000 and above,All,All,2,4613852,92592,NA,NA,7135
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,Up to £99,All,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£100 to £199,All,All,7.9,234134,18556,NA,NA,405
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£200 to £299,All,All,9.1,280774,25602,NA,NA,520
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£300 to £399,All,All,14.8,341847,50631,NA,NA,609
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£400 to £499,All,All,13.9,276117,38385,NA,NA,487
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£500 to £599,All,All,14.7,217043,31822,NA,NA,397
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£600 to £699,All,All,8.4,202741,17081,NA,NA,321
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£700 to £799,All,All,8.3,183532,15239,NA,NA,285
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£800 to £899,All,All,11.4,142107,16212,NA,NA,209
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£900 to £999,All,All,15.8,101324,16012,NA,NA,145
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£1000 and above,All,All,8.7,491636,42731,NA,NA,733
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,Up to £99,All,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£100 to £199,All,All,0.8,1658642,12947,NA,NA,3417
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£200 to £299,All,All,1.2,2330425,27102,NA,NA,4699
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£300 to £399,All,All,1.6,2167669,35323,NA,NA,4122
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£400 to £499,All,All,2.1,1769992,37957,NA,NA,3326
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£500 to £599,All,All,2,1640197,33553,NA,NA,2940
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£600 to £699,All,All,2.3,1540292,35478,NA,NA,2697
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£700 to £799,All,All,2.3,1283624,29271,NA,NA,2172
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£800 to £899,All,All,1.9,1076614,20393,NA,NA,1772
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£900 to £999,All,All,1.6,854316,13762,NA,NA,1436
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,£1000 and above,All,All,1.6,4284737,69688,NA,NA,6688
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,Up to £99,All,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£100 to £199,All,All,6.8,333662,22847,NA,NA,578
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£200 to £299,All,All,7.3,401075,29454,NA,NA,739
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£300 to £399,All,All,13.4,474903,63438,NA,NA,825
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£400 to £499,All,All,13.2,426782,56462,NA,NA,722
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£500 to £599,All,All,12.1,332926,40148,NA,NA,576
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£600 to £699,All,All,7.6,296515,22416,NA,NA,473
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£700 to £799,All,All,7.8,261015,20453,NA,NA,416
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£800 to £899,All,All,9.5,210022,19869,NA,NA,314
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£900 to £999,All,All,11.6,170613,19808,NA,NA,234
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,£1000 and above,All,All,8.1,814503,65635,NA,NA,1173
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,North East,All,1.6,1100707,17888,NA,NA,2253
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,North West,All,1.6,2836564,46160,NA,NA,5311
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,Yorkshire and the Humber,All,1.3,2077835,26991,NA,NA,3793
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,East Midlands,All,1.5,1792133,27668,NA,NA,3355
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,West Midlands,All,2,2053062,41620,NA,NA,3618
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,East,All,1.7,2314164,39526,NA,NA,4239
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,London,All,4.5,2240080,100012,NA,NA,3016
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,South East,All,1.9,3398083,63353,NA,NA,6061
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,South West,All,1.8,2297273,41434,NA,NA,4064
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,North East,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,North West,All,7.7,220981,16921,NA,NA,398
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,Yorkshire and the Humber,All,7.9,168806,13366,NA,NA,299
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,East Midlands,All,8.8,146929,12882,NA,NA,264
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,West Midlands,All,9,271064,24367,NA,NA,486
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,East,All,10.2,177022,18122,NA,NA,326
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,London,All,13.5,1135174,152744,NA,NA,1725
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,South East,All,9,286263,25845,NA,NA,490
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,South West,All,6.8,78305,5325,NA,NA,145
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,All,All,North East,All,1.6,1083531,17632,NA,NA,2223
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,All,All,North West,All,1.5,2732893,41480,NA,NA,5124
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,All,All,Yorkshire and the Humber,All,1.3,2014231,25600,NA,NA,3676
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,All,All,East Midlands,All,1.3,1710066,22872,NA,NA,3206
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,All,All,West Midlands,All,1.9,1982713,38131,NA,NA,3498
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,All,All,East,All,1.5,2169371,33222,NA,NA,3992
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,All,All,London,All,2.8,1723591,47541,NA,NA,2353
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,All,All,South East,All,1.6,3193654,52399,NA,NA,5718
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All,All,All,All,All,South West,All,1.7,2217722,36598,NA,NA,3929
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,All,All,North East,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,All,All,North West,All,6.7,321434,21601,NA,NA,580
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,All,All,Yorkshire and the Humber,All,6.4,230373,14757,NA,NA,413
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,All,All,East Midlands,All,7.6,227931,17257,NA,NA,411
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,All,All,West Midlands,All,8.2,339739,27857,NA,NA,604
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,All,All,East,All,7.6,321024,24426,NA,NA,572
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,All,All,London,All,12.5,1643031,205215,NA,NA,2377
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,All,All,South East,All,7.5,486885,36299,NA,NA,826
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All,All,All,All,All,South West,All,6.4,157547,10161,NA,NA,279
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All, 16 - 24,EHS age bands,All,All,All,All,3.7,651656,23963,NA,NA,1081
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All, 25 - 34,EHS age bands,All,All,All,All,4,2779005,110803,NA,NA,4630
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All, 35 - 44,EHS age bands,All,All,All,All,3.7,3275507,122386,NA,NA,5822
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All, 45 - 54,EHS age bands,All,All,All,All,2.6,3947297,101896,NA,NA,6906
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All, 55 - 64,EHS age bands,All,All,All,All,1,3371073,32558,NA,NA,6242
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All, 65 or over,EHS age bands,All,All,All,All,0.2,6085362,13047,NA,NA,11029
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All, 16 - 24,EHS age bands,All,All,All,All,8.5,125527,10635,NA,NA,174
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All, 25 - 34,EHS age bands,All,All,All,All,9.7,522100,50526,NA,NA,849
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All, 35 - 44,EHS age bands,All,All,All,All,13.2,713705,94420,NA,NA,1223
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All, 45 - 54,EHS age bands,All,All,All,All,13.7,583940,79996,NA,NA,992
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All, 55 - 64,EHS age bands,All,All,All,All,7.3,300677,21867,NA,NA,521
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All, 65 or over,EHS age bands,All,All,All,All,5.6,279501,15684,NA,NA,449
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All, 16 - 24,EHS age bands,All,All,All,All,3,573254,17244,NA,NA,984
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All, 25 - 34,EHS age bands,All,All,All,All,3.1,2396932,74103,NA,NA,4082
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All, 35 - 44,EHS age bands,All,All,All,All,3.1,2941139,90418,NA,NA,5296
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All, 45 - 54,EHS age bands,All,All,All,All,2.4,3766221,90827,NA,NA,6601
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All, 55 - 64,EHS age bands,All,All,All,All,0.9,3249826,29835,NA,NA,6044
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White British & other,England,England as a whole,All,All, 65 or over,EHS age bands,All,All,All,All,0.2,5900399,13047,NA,NA,10712
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All, 16 - 24,EHS age bands,All,All,All,All,8.6,202590,17354,NA,NA,269
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All, 25 - 34,EHS age bands,All,All,All,All,9.7,901571,87225,NA,NA,1393
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All, 35 - 44,EHS age bands,All,All,All,All,12,1044794,125466,NA,NA,1743
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All, 45 - 54,EHS age bands,All,All,All,All,12,761583,91065,NA,NA,1291
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All, 55 - 64,EHS age bands,All,All,All,All,6,413099,24590,NA,NA,708
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White British & other,England,England as a whole,All,All, 65 or over,EHS age bands,All,All,All,All,3.4,462057,15684,NA,NA,762
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,0.9,13211038,113321,NA,NA,21653
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,All,Social rented housing,4.8,3299235,157695,NA,NA,8906
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White,White & other,England,England as a whole,All,All,All,All,All,All,All,Private rented housing,3.7,3599627,133636,NA,NA,5151
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,6.9,1113090,77291,NA,NA,1681
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,All,Social rented housing,16.2,617491,100045,NA,NA,1472
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,All,Private rented housing,12.1,794869,95792,NA,NA,1055
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,0.8,12733724,102116,NA,NA,20923
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,All,All,Social rented housing,4.6,3109053,143673,NA,NA,8454
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,All,All,All,All,Private rented housing,2.3,2984994,69685,NA,NA,4342
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,5.6,1574662,88075,NA,NA,2389
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,All,All,All,All,Social rented housing,14.2,804976,114066,NA,NA,1918
