"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Value","Value_type","Denominator"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Sheffield","E08000019","White","White/Asian/Black/Mixed/Chinese","All","78","%","4414"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Wakefield","E08000036","White","White/Asian/Black/Mixed/Chinese","All","76","%","3782"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","York","E06000014","White","White/Asian/Black/Mixed/Chinese","All","82","%","1847"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Derby","E06000015","White","White/Asian/Black/Mixed/Chinese","All","78","%","2227"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Derbyshire","E10000007","White","White/Asian/Black/Mixed/Chinese","All","79","%","8061"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Leicester","E06000016","White","White/Asian/Black/Mixed/Chinese","All","71","%","1830"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Leicestershire","E10000018","White","White/Asian/Black/Mixed/Chinese","All","80","%","6604"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Lincolnshire","E10000019","White","White/Asian/Black/Mixed/Chinese","All","83","%","7679"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Northamptonshire","E10000021","White","White/Asian/Black/Mixed/Chinese","All","81","%","7901"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Nottingham","E06000018","White","White/Asian/Black/Mixed/Chinese","All","74","%","2103"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Nottinghamshire","E10000024","White","White/Asian/Black/Mixed/Chinese","All","77","%","8518"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Rutland","E06000017","White","White/Asian/Black/Mixed/Chinese","All","85","%","377"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Birmingham","E08000025","White","White/Asian/Black/Mixed/Chinese","All","78","%","5797"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Coventry","E08000026","White","White/Asian/Black/Mixed/Chinese","All","77","%","2736"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Dudley","E08000027","White","White/Asian/Black/Mixed/Chinese","All","79","%","2997"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Herefordshire, County of","E06000019","White","White/Asian/Black/Mixed/Chinese","All","81","%","1826"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Sandwell","E08000028","White","White/Asian/Black/Mixed/Chinese","All","78","%","2296"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Shropshire","E06000051","White","White/Asian/Black/Mixed/Chinese","All","81","%","2784"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Solihull","E08000029","White","White/Asian/Black/Mixed/Chinese","All","83","%","2089"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Staffordshire","E10000028","White","White/Asian/Black/Mixed/Chinese","All","83","%","8591"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Stoke-on-Trent","E06000021","White","White/Asian/Black/Mixed/Chinese","All","80","%","2431"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Telford and Wrekin","E06000020","White","White/Asian/Black/Mixed/Chinese","All","84","%","1930"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Walsall","E08000030","White","White/Asian/Black/Mixed/Chinese","All","82","%","2389"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Warwickshire","E10000031","White","White/Asian/Black/Mixed/Chinese","All","82","%","5472"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Wolverhampton","E08000031","White","White/Asian/Black/Mixed/Chinese","All","77","%","1789"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Worcestershire","E10000034","White","White/Asian/Black/Mixed/Chinese","All","81","%","5838"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Bedford","E06000055","White","White/Asian/Black/Mixed/Chinese","All","75","%","1544"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Cambridgeshire","E10000003","White","White/Asian/Black/Mixed/Chinese","All","78","%","6291"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Central Bedfordshire","E06000056","White","White/Asian/Black/Mixed/Chinese","All","80","%","3113"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Essex","E10000012","White","White/Asian/Black/Mixed/Chinese","All","81","%","14607"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Hertfordshire","E10000015","White","White/Asian/Black/Mixed/Chinese","All","82","%","11479"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Luton","E06000032","White","White/Asian/Black/Mixed/Chinese","All","77","%","1086"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Norfolk","E10000020","White","White/Asian/Black/Mixed/Chinese","All","78","%","8486"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Peterborough","E06000031","White","White/Asian/Black/Mixed/Chinese","All","75","%","2161"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Southend-on-Sea","E06000033","White","White/Asian/Black/Mixed/Chinese","All","80","%","1839"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Suffolk","E10000029","White","White/Asian/Black/Mixed/Chinese","All","79","%","7099"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Thurrock","E06000034","White","White/Asian/Black/Mixed/Chinese","All","81","%","1692"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Camden","E09000007","White","White/Asian/Black/Mixed/Chinese","All","80","%","682"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","City of London","E09000001","White","White/Asian/Black/Mixed/Chinese","All","!","%","!"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hackney","E09000012","White","White/Asian/Black/Mixed/Chinese","All","86","%","982"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hammersmith and Fulham","E09000013","White","White/Asian/Black/Mixed/Chinese","All","86","%","637"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Haringey","E09000014","White","White/Asian/Black/Mixed/Chinese","All","82","%","1642"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Islington","E09000019","White","White/Asian/Black/Mixed/Chinese","All","81","%","1016"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kensington and Chelsea","E09000020","White","White/Asian/Black/Mixed/Chinese","All","88","%","405"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lambeth","E09000022","White","White/Asian/Black/Mixed/Chinese","All","85","%","1110"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lewisham","E09000023","White","White/Asian/Black/Mixed/Chinese","All","84","%","1378"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Newham","E09000025","White","White/Asian/Black/Mixed/Chinese","All","84","%","950"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Southwark","E09000028","White","White/Asian/Black/Mixed/Chinese","All","84","%","1124"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Tower Hamlets","E09000030","White","White/Asian/Black/Mixed/Chinese","All","77","%","595"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Wandsworth","E09000032","White","White/Asian/Black/Mixed/Chinese","All","87","%","1412"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Westminster","E09000033","White","White/Asian/Black/Mixed/Chinese","All","88","%","470"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Barking and Dagenham","E09000002","White","White/Asian/Black/Mixed/Chinese","All","77","%","1436"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Barnet","E09000003","White","White/Asian/Black/Mixed/Chinese","All","83","%","2366"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bexley","E09000004","White","White/Asian/Black/Mixed/Chinese","All","82","%","2105"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Brent","E09000005","White","White/Asian/Black/Mixed/Chinese","All","83","%","1142"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bromley","E09000006","White","White/Asian/Black/Mixed/Chinese","All","85","%","2799"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Croydon","E09000008","White","White/Asian/Black/Mixed/Chinese","All","78","%","1920"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Ealing","E09000009","White","White/Asian/Black/Mixed/Chinese","All","84","%","1541"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Enfield","E09000010","White","White/Asian/Black/Mixed/Chinese","All","76","%","2255"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Greenwich","E09000011","White","White/Asian/Black/Mixed/Chinese","All","82","%","1593"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Harrow","E09000015","White","White/Asian/Black/Mixed/Chinese","All","79","%","979"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Havering","E09000016","White","White/Asian/Black/Mixed/Chinese","All","84","%","2225"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hillingdon","E09000017","White","White/Asian/Black/Mixed/Chinese","All","79","%","1657"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hounslow","E09000018","White","White/Asian/Black/Mixed/Chinese","All","83","%","1230"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kingston upon Thames","E09000021","White","White/Asian/Black/Mixed/Chinese","All","87","%","1267"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Merton","E09000024","White","White/Asian/Black/Mixed/Chinese","All","78","%","1346"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Redbridge","E09000026","White","White/Asian/Black/Mixed/Chinese","All","75","%","1056"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Richmond upon Thames","E09000027","White","White/Asian/Black/Mixed/Chinese","All","89","%","1925"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Sutton","E09000029","White","White/Asian/Black/Mixed/Chinese","All","81","%","1595"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Waltham Forest","E09000031","White","White/Asian/Black/Mixed/Chinese","All","82","%","1542"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Bracknell Forest","E06000036","White","White/Asian/Black/Mixed/Chinese","All","83","%","1234"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Brighton and Hove","E06000043","White","White/Asian/Black/Mixed/Chinese","All","80","%","2304"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Buckinghamshire","E10000002","White","White/Asian/Black/Mixed/Chinese","All","82","%","4818"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","East Sussex","E10000011","White","White/Asian/Black/Mixed/Chinese","All","81","%","5021"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Hampshire","E10000014","White","White/Asian/Black/Mixed/Chinese","All","81","%","13723"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Isle of Wight","E06000046","White","White/Asian/Black/Mixed/Chinese","All","76","%","1271"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Kent","E10000016","White","White/Asian/Black/Mixed/Chinese","All","81","%","15624"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Medway","E06000035","White","White/Asian/Black/Mixed/Chinese","All","81","%","2902"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Milton Keynes","E06000042","White","White/Asian/Black/Mixed/Chinese","All","78","%","2413"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Oxfordshire","E10000025","White","White/Asian/Black/Mixed/Chinese","All","80","%","6170"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Portsmouth","E06000044","White","White/Asian/Black/Mixed/Chinese","All","81","%","1962"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Reading","E06000038","White","White/Asian/Black/Mixed/Chinese","All","77","%","1054"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Slough","E06000039","White","White/Asian/Black/Mixed/Chinese","All","75","%","799"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Southampton","E06000045","White","White/Asian/Black/Mixed/Chinese","All","81","%","2239"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Surrey","E10000030","White","White/Asian/Black/Mixed/Chinese","All","82","%","10773"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","West Berkshire","E06000037","White","White/Asian/Black/Mixed/Chinese","All","80","%","1742"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","West Sussex","E10000032","White","White/Asian/Black/Mixed/Chinese","All","77","%","8134"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Windsor and Maidenhead","E06000040","White","White/Asian/Black/Mixed/Chinese","All","80","%","1256"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Wokingham","E06000041","White","White/Asian/Black/Mixed/Chinese","All","82","%","1635"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bath and North East Somerset","E06000022","White","White/Asian/Black/Mixed/Chinese","All","79","%","1708"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bournemouth","E06000028","White","White/Asian/Black/Mixed/Chinese","All","80","%","1618"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bristol, City of","E06000023","White","White/Asian/Black/Mixed/Chinese","All","80","%","3726"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Cornwall","E06000052","White","White/Asian/Black/Mixed/Chinese","All","80","%","5445"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Devon","E10000008","White","White/Asian/Black/Mixed/Chinese","All","82","%","7356"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Dorset","E10000009","White","White/Asian/Black/Mixed/Chinese","All","80","%","3905"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Gloucestershire","E10000013","White","White/Asian/Black/Mixed/Chinese","All","80","%","6143"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Isles of Scilly","E06000053","White","White/Asian/Black/Mixed/Chinese","All","!","%","!"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","North Somerset","E06000024","White","White/Asian/Black/Mixed/Chinese","All","83","%","2291"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Plymouth","E06000026","White","White/Asian/Black/Mixed/Chinese","All","80","%","2765"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Poole","E06000029","White","White/Asian/Black/Mixed/Chinese","All","83","%","1562"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Somerset","E10000027","White","White/Asian/Black/Mixed/Chinese","All","79","%","5644"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","South Gloucestershire","E06000025","White","White/Asian/Black/Mixed/Chinese","All","81","%","3013"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Swindon","E06000030","White","White/Asian/Black/Mixed/Chinese","All","76","%","2297"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Torbay","E06000027","White","White/Asian/Black/Mixed/Chinese","All","81","%","1312"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Wiltshire","E06000054","White","White/Asian/Black/Mixed/Chinese","All","78","%","5065"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","County Durham","E06000047","Mixed","White/Asian/Black/Mixed/Chinese","All","77","%","96"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Darlington","E06000005","Mixed","White/Asian/Black/Mixed/Chinese","All","!","%","23"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Gateshead","E08000037","Mixed","White/Asian/Black/Mixed/Chinese","All","87","%","55"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Hartlepool","E06000001","Mixed","White/Asian/Black/Mixed/Chinese","All","73","%","11"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Middlesbrough","E06000002","Mixed","White/Asian/Black/Mixed/Chinese","All","72","%","114"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Newcastle upon Tyne","E08000021","Mixed","White/Asian/Black/Mixed/Chinese","All","86","%","147"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","North Tyneside","E08000022","Mixed","White/Asian/Black/Mixed/Chinese","All","92","%","59"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Northumberland","E06000057","Mixed","White/Asian/Black/Mixed/Chinese","All","87","%","61"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Redcar and Cleveland","E06000003","Mixed","White/Asian/Black/Mixed/Chinese","All","89","%","28"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","South Tyneside","E08000023","Mixed","White/Asian/Black/Mixed/Chinese","All","91","%","34"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Stockton-on-Tees","E06000004","Mixed","White/Asian/Black/Mixed/Chinese","All","77","%","61"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Sunderland","E08000024","Mixed","White/Asian/Black/Mixed/Chinese","All","88","%","56"
