"Title","Confidence in the local police"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-02-23"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography2","Geography_type","Gender","Gender_type","Socio-economic classification","Age Bracket","Age Bracket Type","Value","Denominator"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","70.5","946"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Black african","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75","555"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Black caribbean","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","62.4","346"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Chinese","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.9","168"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Gypsy or Irish traveller","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","12"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Indian","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","83.3","759"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71.5","336"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Mixed white and asian","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.9","80"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Mixed white and black african","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","46"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Mixed white and black caribbean","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","68.9","118"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Other","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77.4","232"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Pakistani","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72.2","397"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","White","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.9","31725"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","White British","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.5","29836"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","White Irish","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","81.4","319"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.8","20525"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.4","15319"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.6","11514"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.6","8060"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","80","17384"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","16-24","ONS age brackets","74.2","7666"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","75+","ONS age brackets","84.5","13143"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","25-34","ONS age brackets","76","14919"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","65-74","ONS age brackets","78.5","16328"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","55-64","ONS age brackets","75.8","16553"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","34-44","ONS age brackets","76.3","16683"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","45-54","ONS age brackets","74.9","17720"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","71.9","577"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Full-time students","All","ONS age brackets","79.1","3299"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Never worked and long-term unemployed","All","ONS age brackets","73.6","3783"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Intermediate occupations","All","ONS age brackets","76.4","23956"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Managerial and professional occupations","All","ONS age brackets","78.9","35021"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Routine and manual occupations","All","ONS age brackets","74.6","36376"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.8","12142"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","All","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.1","18060"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79","867"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79","662"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79.7","479"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.5","397"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79.2","846"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","W15000004","Dyfed-Powys","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","14"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000024","Norfolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","14"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000002","Cumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","15"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000009","North Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","16"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000035","Devon and Cornwall","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","18"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000008","Durham","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","18"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000020","Lincolnshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","18"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","W15000001","North Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","18"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000012","Humberside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","23"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000006","Cheshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","25"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000039","Dorset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","28"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000025","Suffolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","30"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000004","Merseyside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","32"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","W15000002","Gwent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","33"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000016","West Mercia","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","34"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000013","Cleveland","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","37"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000037","Gloucestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","40"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","?","40"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","?","40"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000015","Staffordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","43"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000038","Wiltshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","44"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","W15000003","South Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","45"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000011","South Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","50"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000022","Northamptonshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71.8","54"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000018","Derbyshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","87.1","55"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000036","Avon and Somerset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","83.3","57"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000007","Northumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","87.4","57"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000023","Cambridgeshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","81.1","60"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000033","Sussex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.7","63"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000028","Essex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","88.2","63"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000017","Warwickshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","90.1","69"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000030","Hampshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","83.1","70"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000019","Nottinghamshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","80.4","72"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000032","Kent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","80.3","80"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000031","Surrey","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","83.6","85"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000027","Hertfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","83","105"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","W92000004","Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","84.4","110"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E12000001","North East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82.4","112"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000003","Lancashire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","84.9","137"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","75+","ONS age brackets","87.4","142"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000026","Bedfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.2","156"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E12000009","South West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","83.8","187"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000021","Leicestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","80.5","240"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000029","Thames Valley","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","83","273"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000010","West Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","68.5","274"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000005","Greater Manchester","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72","282"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","65-74","ONS age brackets","84","351"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E12000003","Yorkshire and the Humber","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","70","363"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Full-time students","All","ONS age brackets","79.2","420"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E12000006","East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82","428"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E12000004","East Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","80.9","439"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E12000002","North West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77.4","491"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E23000014","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.1","525"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","55-64","ONS age brackets","83.1","540"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","16-24","ONS age brackets","75.7","567"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E12000008","South East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82.2","571"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Never worked and long-term unemployed","All","ONS age brackets","85.2","578"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E12000005","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.5","671"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","45-54","ONS age brackets","77.2","797"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Intermediate occupations","All","ONS age brackets","76.2","1070"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","25-34","ONS age brackets","77.5","1354"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","35-44","ONS age brackets","79.9","1450"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Routine and manual occupations","All","ONS age brackets","78.9","1454"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Managerial and professional occupations","All","ONS age brackets","77.7","1639"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","E12000007","London","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.9","1829"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","Male","Male/Female/All","All","All","ONS age brackets","78.6","2586"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","Female","Male/Female/All","All","All","ONS age brackets","78.8","2615"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.7","5201"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82.5","542"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77.5","1408"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","70.1","547"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","72","423"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","69.6","263"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","67.9","172"
