"Title","Adults using public libraries"
"Location","England"
"Time period","2005/06 to 2015/16"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.gov.uk/government/collections/sat--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Upper bound","Lower bound","Note","Sample size"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2014/15","Year","White","White & other","England","32.9","34.2","31.6","Taking Part Survey","9,050"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2014/15","Year","Other","White & other","England","47.5","52.8","42.1","Taking Part Survey","757"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2014/15","Year","All","White & other","England","34.5","35.8","33.2","Taking Part Survey","9,817"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","White","White & other","England","31.6","32.8","30.4","Taking Part Survey","9,312"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","Other","White & other","England","45.6","50.6","40.6","Taking Part Survey","850"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","All","White & other","England","33.4","34.6","32.2","Taking Part Survey","10,171"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2005/06","Year","White","White, Asian, Black and Other","England","47.2","48","46.4","Taking Part Survey","24,038"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2005/06","Year","Asian","White, Asian, Black and Other","England","58.8","61.6","56.1","Taking Part Survey","2,080"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2005/06","Year","Black","White, Asian, Black and Other","England","57","60.5","53.6","Taking Part Survey","1,322"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2005/06","Year","Other","White, Asian, Black and Other","England","54.6","59.6","49.7","Taking Part Survey","645"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2005/06","Year","All","White, Asian, Black and Other","England","48.2","48.9","47.5","Taking Part Survey","28,117"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2010/11","Year","White","White, Asian, Black and Other","England","38.3","39.3","37.3","Taking Part Survey","12,617"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2010/11","Year","Asian","White, Asian, Black and Other","England","50","54.1","45.9","Taking Part Survey","796"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2010/11","Year","Black","White, Asian, Black and Other","England","51","56.6","45.3","Taking Part Survey","423"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2010/11","Year","Other","White, Asian, Black and Other","England","48.4","55.8","40.9","Taking Part Survey","238"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2010/11","Year","All","White, Asian, Black and Other","England","39.7","40.6","38.7","Taking Part Survey","14,102"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","White","White, Asian, Black and Other","England","31.6","32.9","30.4","Taking Part Survey","9,312"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","Asian","White, Asian, Black and Other","England","46.6","52.8","40.5","Taking Part Survey","434"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","Black","White, Asian, Black and Other","England","47.6","55.8","39.3","Taking Part Survey","242"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","Other","White, Asian, Black and Other","England","39.7","49.3","30.2","Taking Part Survey","174"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","All","White, Asian, Black and Other","England","33.4","34.6","32.2","Taking Part Survey","10,171"
