"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Denominator"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","96","179"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","94","766"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","103","14,902"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","104","14,956"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","102","4,126"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","104","1,907"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","105","3,546"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","104","5,377"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","105","30,384"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","106","7,812"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","103","12,753"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","105","4,933"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","106","4,886"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","104","16,583"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","102","3,647"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","104","10,799"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","103","2,137"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","ONS 18+1/5+1","Boys","All/Boys/Girls","107","1,042"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","104","4,873"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","102","2,141"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","All","Girls ","All/Boys/Girls","105","279,822"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls ","All/Boys/Girls","105","211,164"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","105","195,005"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","107","819"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","99","172"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","96","749"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","104","14,419"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls ","All/Boys/Girls","106","14,715"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","104","4,178"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","105","1,881"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","107","3,323"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","106","5,333"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls ","All/Boys/Girls","107","29,507"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","108","7,507"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","105","12,342"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","107","4,928"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","107","4,730"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls ","All/Boys/Girls","105","16,533"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","104","3,568"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","106","10,844"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","105","2,121"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","ONS 18+1/5+1","Girls ","All/Boys/Girls","109","1,082"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","105","4,823"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Girls ","All/Boys/Girls","104","1,998"
