"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Tenancy Length","Value","Numerator"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: Other","ONS 18+1","10 or more years","1","5"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","10 or more years","!","!"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","10 or more years","!","!"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","10 or more years","0.7","5"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","10 or more years","0.9","8"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","10 or more years","0.6","11"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","10 or more years","0.9","23"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","10 or more years","0.9","4"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","10 or more years","0","0"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","10 or more years","1.2","8"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","10 or more years","!","!"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","10 or more years","2.3","7"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian","ONS 5+1 2011","10 or more years","0.6","16"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian","ONS 5+1 2011","2 years or less","17.8","500"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian","ONS 5+1 2011","3 to 5 years","71.6","2010"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian","ONS 5+1 2011","6 to 9 years","10","281"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black","ONS 5+1 2011","10 or more years","0.8","38"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black","ONS 5+1 2011","2 years or less","21","988"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black","ONS 5+1 2011","3 to 5 years","65.4","3079"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black","ONS 5+1 2011","6 to 9 years","12.8","602"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed","ONS 5+1 2011","10 or more years","1","20"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed","ONS 5+1 2011","2 years or less","25.2","531"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed","ONS 5+1 2011","3 to 5 years","64.3","1356"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed","ONS 5+1 2011","6 to 9 years","9.5","200"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other","ONS 5+1 2011","10 or more years","1.5","15"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other","ONS 5+1 2011","2 years or less","25","249"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other","ONS 5+1 2011","3 to 5 years","65.4","650"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other","ONS 5+1 2011","6 to 9 years","8.1","80"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White","ONS 5+1 2011","10 or more years","2","912"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White","ONS 5+1 2011","2 years or less","23.9","11037"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White","ONS 5+1 2011","3 to 5 years","62.5","28846"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White","ONS 5+1 2011","6 to 9 years","11.6","5363"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","All","All","10 or more years","1.8","1001"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","All","All","2 years or less","23.4","13305"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","All","All","3 to 5 years","63.3","35940"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","All","All","6 to 9 years","11.5","6526"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","2 years or less","27.1","11785"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Irish","ONS 18+1","2 years or less","28.5","88"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Other","ONS 18+1","2 years or less","15.3","449"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","2 years or less","27.1","293"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","2 years or less","22.6","88"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","2 years or less","27.7","75"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: Other","ONS 18+1","2 years or less","21","134"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","2 years or less","23.3","108"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","2 years or less","23.4","188"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","2 years or less","11.6","102"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","2 years or less","17.3","165"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","2 years or less","21.7","456"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","2 years or less","16.7","537"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","2 years or less","19.2","114"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","2 years or less","18.7","21"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","2 years or less","23.6","176"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","2 years or less","17.9","15"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","2 years or less","19.4","52"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","3 to 5 years","53.3","23210"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Irish","ONS 18+1","3 to 5 years","52.2","160"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Other","ONS 18+1","3 to 5 years","64.4","1894"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","3 to 5 years","54.1","585"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","3 to 5 years","55","213"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","3 to 5 years","52.1","142"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: Other","ONS 18+1","3 to 5 years","57.9","370"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","3 to 5 years","57.1","266"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","3 to 5 years","59.1","476"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","3 to 5 years","75.4","661"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","3 to 5 years","58.6","559"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","3 to 5 years","51.6","1082"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","3 to 5 years","59.2","1900"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","3 to 5 years","58","344"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","3 to 5 years","55.1","63"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","3 to 5 years","58","433"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","3 to 5 years","51.3","43"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","3 to 5 years","68.3","185"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","6 to 9 years","17.1","7453"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Irish","ONS 18+1","6 to 9 years","17","52"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Other","ONS 18+1","6 to 9 years","18.7","549"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","6 to 9 years","17.3","188"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","6 to 9 years","18.4","71"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","6 to 9 years","17.9","49"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: Other","ONS 18+1","6 to 9 years","19.1","122"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","6 to 9 years","17.6","82"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","6 to 9 years","15.3","123"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","6 to 9 years","10.1","89"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","6 to 9 years","21.7","207"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","6 to 9 years","23.9","500"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","6 to 9 years","22","706"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","6 to 9 years","20.5","122"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","6 to 9 years","23.6","27"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","6 to 9 years","17.1","127"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","6 to 9 years","30.8","26"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","6 to 9 years","11.2","30"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","10 or more years","2.5","1067"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Irish","ONS 18+1","10 or more years","2.4","7"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Other","ONS 18+1","10 or more years","1.7","50"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","10 or more years","1.4","15"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","10 or more years","4","15"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","10 or more years","2.2","6"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed: Other","ONS 18+1","10 or more years","2","13"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","10 or more years","2","9"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","10 or more years","2.2","18"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","10 or more years","2.9","25"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","10 or more years","2.3","22"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","10 or more years","2.8","58"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","10 or more years","2","65"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","10 or more years","2.3","13"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","10 or more years","2.6","3"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","10 or more years","1.4","10"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","10 or more years","0","0"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","10 or more years","1.1","3"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian","ONS 5+1 2011","10 or more years","2.4","77"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian","ONS 5+1 2011","2 years or less","18.2","584"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian","ONS 5+1 2011","3 to 5 years","63","2025"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Asian","ONS 5+1 2011","6 to 9 years","16.4","528"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black","ONS 5+1 2011","10 or more years","2.3","136"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black","ONS 5+1 2011","2 years or less","18.7","1107"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black","ONS 5+1 2011","3 to 5 years","56.4","3326"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Black","ONS 5+1 2011","6 to 9 years","22.5","1328"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed","ONS 5+1 2011","10 or more years","2.1","49"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed","ONS 5+1 2011","2 years or less","24.8","590"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed","ONS 5+1 2011","3 to 5 years","55","1310"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Mixed","ONS 5+1 2011","6 to 9 years","18","430"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other","ONS 5+1 2011","10 or more years","1.3","13"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other","ONS 5+1 2011","2 years or less","22.5","228"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other","ONS 5+1 2011","3 to 5 years","60.7","618"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","Other","ONS 5+1 2011","6 to 9 years","15.5","157"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White","ONS 5+1 2011","10 or more years","2.4","1124"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White","ONS 5+1 2011","2 years or less","26.4","12337"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White","ONS 5+1 2011","3 to 5 years","54","25307"
"Percentage of new lettings by tenancy length","2015/16","Financial Year","White","ONS 5+1 2011","6 to 9 years","17.2","8080"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","10 or more years","2.4","1399"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","2 years or less","25","14846"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","3 to 5 years","54.9","32586"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","6 to 9 years","17.7","10523"
