"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Percentage of adults who smoke - current smokers","Unknown","ONS 2001 6+1","2016","Calendar year","England","Country","E92000001","persons","18+ yrs","12.974","%","90","4.493864","21.454136"
"Percentage of adults who smoke - current smokers","All","All","2016","Calendar year","England","Country","E92000001","persons","18+ yrs","15.5195","%","157560","15.273912","15.765088"
"Percentage of adults who smoke - current smokers","White","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","persons","18+ yrs","15.393","%","140342","15.131732","15.654268"
"Percentage of adults who smoke - current smokers","Mixed","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","persons","18+ yrs","20.5047","%","1439","17.783828","23.225572"
"Percentage of adults who smoke - current smokers","Asian","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","persons","18+ yrs","9.2671","%","9855","8.55758","9.97662"
"Percentage of adults who smoke - current smokers","Black","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","persons","18+ yrs","10.3802","%","4037","9.226152","11.534248"
"Percentage of adults who smoke - current smokers","Chinese","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","persons","18+ yrs","8.6277","%","797","6.40016","10.85524"
"Percentage of adults who smoke - current smokers","Other","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","persons","18+ yrs","16.5265","%","2323","14.602956","18.450044"
"Percentage of adults who smoke - current smokers","Unknown","ONS 2001 6+1","2017","Calendar year","England","Country","E92000001","persons","18+ yrs","9.4988","%","96","3.266196","15.731404"
"Percentage of adults who smoke - current smokers","All","All","2017","Calendar year","England","Country","E92000001","persons","18+ yrs","14.8681","%","158889","14.625256","15.110944"
