"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Involvement Type","Value","Numerator"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Mixed","ONS 5+1 2001","Assailant","-","434"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Mixed","ONS 5+1 2001","Assailant","-","493"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Mixed","ONS 5+1 2001","Assailant","172.5","539"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Mixed","ONS 5+1 2001","Assailant","182","579"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Mixed","ONS 5+1 2001","Assailant","216.4","703"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Mixed","ONS 5+1 2001","Assailant","261.9","905"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Mixed","ONS 5+1 2001","Assailant","335.5","1177"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Mixed","ONS 5+1 2001","Assailant","404.8","1465"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Other","ONS 5+1 2001","Assailant","-","43"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Other","ONS 5+1 2001","Assailant","-","46"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Other","ONS 5+1 2001","Assailant","-","38"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Other","ONS 5+1 2001","Assailant","-","59"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Other","ONS 5+1 2001","Assailant","-","56"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Other","ONS 5+1 2001","Assailant","-","68"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Other","ONS 5+1 2001","Assailant","-","62"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Other","ONS 5+1 2001","Assailant","66.7","65"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Other","ONS 5+1 2001","Assailant","77.1","94"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Other","ONS 5+1 2001","Assailant","111.1","111"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Other","ONS 5+1 2001","Assailant","120.1","123"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Other","ONS 5+1 2001","Assailant","163.1","160"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Other","ONS 5+1 2001","Assailant","221.1","225"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","139"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","76"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","46"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","43"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","47"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","74"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","183"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","241"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","211"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","145"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","80"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","-","60"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","","69"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","White","ONS 5+1 2001","Fighter","-","5192"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","White","ONS 5+1 2001","Fighter","-","6712"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","White","ONS 5+1 2001","Fighter","-","7327"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","White","ONS 5+1 2001","Fighter","-","7928"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","White","ONS 5+1 2001","Fighter","-","7479"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","White","ONS 5+1 2001","Fighter","-","7544"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","White","ONS 5+1 2001","Fighter","-","6649"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","White","ONS 5+1 2001","Fighter","109.7","6825"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","White","ONS 5+1 2001","Fighter","105.8","6593"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","White","ONS 5+1 2001","Fighter","93.6","5800"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","White","ONS 5+1 2001","Fighter","100.4","6269"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","White","ONS 5+1 2001","Fighter","125.1","7905"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","White","ONS 5+1 2001","Fighter","149.3","9339"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Asian","ONS 5+1 2001","Fighter","-","363"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Asian","ONS 5+1 2001","Fighter","-","465"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Asian","ONS 5+1 2001","Fighter","-","523"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Asian","ONS 5+1 2001","Fighter","-","560"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Asian","ONS 5+1 2001","Fighter","-","662"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Asian","ONS 5+1 2001","Fighter","-","654"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Asian","ONS 5+1 2001","Fighter","-","722"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Asian","ONS 5+1 2001","Fighter","130.3","826"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Asian","ONS 5+1 2001","Fighter","104.4","680"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Asian","ONS 5+1 2001","Fighter","112.3","730"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Asian","ONS 5+1 2001","Fighter","115.5","767"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Asian","ONS 5+1 2001","Fighter","124.9","858"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Asian","ONS 5+1 2001","Fighter","145.5","1002"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Black","ONS 5+1 2001","Fighter","-","1678"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Black","ONS 5+1 2001","Fighter","-","1814"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Black","ONS 5+1 2001","Fighter","-","1965"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Black","ONS 5+1 2001","Fighter","-","2108"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Black","ONS 5+1 2001","Fighter","-","2538"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Black","ONS 5+1 2001","Fighter","-","2192"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Black","ONS 5+1 2001","Fighter","-","2534"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Black","ONS 5+1 2001","Fighter","256.4","2916"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Black","ONS 5+1 2001","Fighter","230.2","2569"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Black","ONS 5+1 2001","Fighter","226.1","2444"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Black","ONS 5+1 2001","Fighter","228.8","2450"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Black","ONS 5+1 2001","Fighter","266.4","2817"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Black","ONS 5+1 2001","Fighter","334.4","3506"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Mixed","ONS 5+1 2001","Fighter","-","317"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Mixed","ONS 5+1 2001","Fighter","-","479"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Mixed","ONS 5+1 2001","Fighter","-","526"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Mixed","ONS 5+1 2001","Fighter","-","672"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Mixed","ONS 5+1 2001","Fighter","-","831"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Mixed","ONS 5+1 2001","Fighter","-","690"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Mixed","ONS 5+1 2001","Fighter","-","751"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Mixed","ONS 5+1 2001","Fighter","302.1","953"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Mixed","ONS 5+1 2001","Fighter","271","862"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Mixed","ONS 5+1 2001","Fighter","247.7","805"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Mixed","ONS 5+1 2001","Fighter","254.6","880"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Mixed","ONS 5+1 2001","Fighter","279.3","980"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Mixed","ONS 5+1 2001","Fighter","375.5","1359"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Other","ONS 5+1 2001","Fighter","-","89"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Other","ONS 5+1 2001","Fighter","-","49"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Other","ONS 5+1 2001","Fighter","-","67"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Other","ONS 5+1 2001","Fighter","-","85"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Other","ONS 5+1 2001","Fighter","-","94"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Other","ONS 5+1 2001","Fighter","-","97"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Other","ONS 5+1 2001","Fighter","-","95"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Other","ONS 5+1 2001","Fighter","113.9","116"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Other","ONS 5+1 2001","Fighter","105.5","129"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Other","ONS 5+1 2001","Fighter","118.1","119"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Other","ONS 5+1 2001","Fighter","160.1","164"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Other","ONS 5+1 2001","Fighter","194.7","191"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Other","ONS 5+1 2001","Fighter","198.5","202"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","27"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","37"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","39"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","33"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","23"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","40"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","272"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","267"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","350"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","194"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","89"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","50"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","-","58"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","White","ONS 5+1 2001","Victim","-","3178"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","White","ONS 5+1 2001","Victim","-","3911"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","White","ONS 5+1 2001","Victim","-","4108"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","White","ONS 5+1 2001","Victim","-","4166"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","White","ONS 5+1 2001","Victim","-","4543"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","White","ONS 5+1 2001","Victim","-","4136"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","White","ONS 5+1 2001","Victim","-","4023"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","White","ONS 5+1 2001","Victim","66.1","4104"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","White","ONS 5+1 2001","Victim","67","4169"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","White","ONS 5+1 2001","Victim","69.5","4302"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","White","ONS 5+1 2001","Victim","85","5307"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","White","ONS 5+1 2001","Victim","107","6761"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","White","ONS 5+1 2001","Victim","135.8","8493"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Asian","ONS 5+1 2001","Victim","-","334"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Asian","ONS 5+1 2001","Victim","-","405"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Asian","ONS 5+1 2001","Victim","-","437"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Asian","ONS 5+1 2001","Victim","-","439"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Asian","ONS 5+1 2001","Victim","-","480"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Asian","ONS 5+1 2001","Victim","-","462"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Asian","ONS 5+1 2001","Victim","-","437"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Asian","ONS 5+1 2001","Victim","79.5","501"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Asian","ONS 5+1 2001","Victim","72.4","470"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Asian","ONS 5+1 2001","Victim","80.1","521"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Asian","ONS 5+1 2001","Victim","84.9","564"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Asian","ONS 5+1 2001","Victim","111.9","769"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Asian","ONS 5+1 2001","Victim","131.5","906"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Black","ONS 5+1 2001","Victim","-","571"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Black","ONS 5+1 2001","Victim","-","705"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Black","ONS 5+1 2001","Victim","-","796"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Black","ONS 5+1 2001","Victim","-","810"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Black","ONS 5+1 2001","Victim","-","965"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Black","ONS 5+1 2001","Victim","-","875"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Black","ONS 5+1 2001","Victim","-","926"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Black","ONS 5+1 2001","Victim","86.7","985"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Black","ONS 5+1 2001","Victim","79.9","892"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Black","ONS 5+1 2001","Victim","87.3","943"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Black","ONS 5+1 2001","Victim","100.7","1079"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Black","ONS 5+1 2001","Victim","126.3","1335"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Black","ONS 5+1 2001","Victim","153","1604"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Mixed","ONS 5+1 2001","Victim","-","125"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Mixed","ONS 5+1 2001","Victim","-","201"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Mixed","ONS 5+1 2001","Victim","-","215"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Mixed","ONS 5+1 2001","Victim","-","267"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Mixed","ONS 5+1 2001","Victim","-","334"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Mixed","ONS 5+1 2001","Victim","-","310"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Mixed","ONS 5+1 2001","Victim","-","264"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Mixed","ONS 5+1 2001","Victim","110","347"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Mixed","ONS 5+1 2001","Victim","108.5","345"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Mixed","ONS 5+1 2001","Victim","110.1","358"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Mixed","ONS 5+1 2001","Victim","120.4","416"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Mixed","ONS 5+1 2001","Victim","135.4","475"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Mixed","ONS 5+1 2001","Victim","209.2","757"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Other","ONS 5+1 2001","Victim","-","39"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Other","ONS 5+1 2001","Victim","-","48"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Other","ONS 5+1 2001","Victim","-","50"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Other","ONS 5+1 2001","Victim","-","69"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Other","ONS 5+1 2001","Victim","-","81"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Other","ONS 5+1 2001","Victim","-","94"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Other","ONS 5+1 2001","Victim","-","70"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Other","ONS 5+1 2001","Victim","58.5","57"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Other","ONS 5+1 2001","Victim","57.8","75"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Other","ONS 5+1 2001","Victim","71.1","71"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Other","ONS 5+1 2001","Victim","104.5","107"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Other","ONS 5+1 2001","Victim","130.5","128"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Other","ONS 5+1 2001","Victim","121.9","124"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","24"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","29"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","25"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","32"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2008","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","21"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2009","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","19"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2010","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","140"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2011","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","165"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","168"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","129"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","73"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","48"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Not recorded/unknown","ONS 5+1 2001","Victim","-","57"
