"Title","Science attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-05"
"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominator"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","North West","St. Helens","E08000013","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","77","%","1995"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","North West","Stockport","E08000007","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","2910"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","North West","Tameside","E08000008","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","83","%","2399"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","North West","Trafford","E08000009","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","2142"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","North West","Warrington","E06000007","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","2310"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","North West","Wigan","E08000010","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","3584"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","North West","Wirral","E08000015","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","3481"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Barnsley","E08000016","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","80","%","2639"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Bradford","E08000032","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","77","%","3847"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Calderdale","E08000033","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","78","%","2161"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Doncaster","E08000017","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","79","%","3373"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","3306"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","78","%","2926"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Kirklees","E08000034","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","82","%","3392"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Leeds","E08000035","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","76","%","6958"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","North East Lincolnshire","E06000012","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","78","%","1824"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","North Lincolnshire","E06000013","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","87","%","1869"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","North Yorkshire","E10000023","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","5781"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Rotherham","E08000018","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","80","%","2874"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Sheffield","E08000019","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","4453"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","Wakefield","E08000036","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","3544"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","Yorkshire and The Humber","York","E06000014","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","1803"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East Midlands","Derby","E06000015","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","74","%","2239"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East Midlands","Derbyshire","E10000007","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","7945"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East Midlands","Leicester","E06000016","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","69","%","1759"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East Midlands","Leicestershire","E10000018","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","6446"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East Midlands","Lincolnshire","E10000019","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","7556"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East Midlands","Northamptonshire","E10000021","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","82","%","7832"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East Midlands","Nottingham","E06000018","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","75","%","2067"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East Midlands","Nottinghamshire","E10000024","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","82","%","8352"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East Midlands","Rutland","E06000017","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","372"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Birmingham","E08000025","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","75","%","5808"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Coventry","E08000026","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","76","%","2587"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Dudley","E08000027","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","82","%","2887"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Herefordshire, County of","E06000019","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","1782"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Sandwell","E08000028","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","75","%","2338"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Shropshire","E06000051","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","2799"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Solihull","E08000029","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","2054"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Staffordshire","E10000028","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","8421"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Stoke-on-Trent","E06000021","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","77","%","2411"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Telford and Wrekin","E06000020","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","83","%","1907"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Walsall","E08000030","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","78","%","2446"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Warwickshire","E10000031","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","5366"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Wolverhampton","E08000031","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","74","%","1665"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","West Midlands","Worcestershire","E10000034","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","5617"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Bedford","E06000055","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","82","%","1493"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Cambridgeshire","E10000003","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","82","%","6324"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Central Bedfordshire","E06000056","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","2978"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Essex","E10000012","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","83","%","14495"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Hertfordshire","E10000015","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","11220"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Luton","E06000032","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","77","%","1132"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Norfolk","E10000020","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","8320"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Peterborough","E06000031","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","74","%","2116"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Southend-on-Sea","E06000033","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","83","%","1818"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Suffolk","E10000029","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","7115"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","East","Thurrock","E06000034","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","77","%","1667"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Camden","E09000007","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","87","%","670"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","City of London","E09000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","!","%","!"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Hackney","E09000012","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","957"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Hammersmith and Fulham","E09000013","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","88","%","636"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Haringey","E09000014","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","1549"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Islington","E09000019","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","83","%","937"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Kensington and Chelsea","E09000020","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","91","%","403"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Lambeth","E09000022","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","1080"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Lewisham","E09000023","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","87","%","1245"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Newham","E09000025","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","76","%","928"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Southwark","E09000028","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","1043"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Tower Hamlets","E09000030","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","79","%","514"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Wandsworth","E09000032","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","90","%","1257"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Westminster","E09000033","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","473"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Barking and Dagenham","E09000002","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","79","%","1381"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Barnet","E09000003","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","2320"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Bexley","E09000004","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","2081"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Brent","E09000005","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","79","%","1096"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Bromley","E09000006","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","2685"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Croydon","E09000008","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","83","%","1726"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Ealing","E09000009","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","1520"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Enfield","E09000010","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","76","%","2253"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Greenwich","E09000011","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","1527"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Harrow","E09000015","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","80","%","893"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Havering","E09000016","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","2296"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Hillingdon","E09000017","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","1728"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Hounslow","E09000018","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","1204"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Kingston upon Thames","E09000021","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","87","%","1255"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Merton","E09000024","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","1299"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Redbridge","E09000026","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","76","%","1005"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Richmond upon Thames","E09000027","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","90","%","1835"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Sutton","E09000029","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","80","%","1589"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","London","Waltham Forest","E09000031","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","1468"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Bracknell Forest","E06000036","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","1249"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Brighton and Hove","E06000043","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","2248"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Buckinghamshire","E10000002","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","4516"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","East Sussex","E10000011","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","4939"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Hampshire","E10000014","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","88","%","13400"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Isle of Wight","E06000046","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","82","%","1232"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Kent","E10000016","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","86","%","15539"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Medway","E06000035","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","2862"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Milton Keynes","E06000042","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","82","%","2446"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Oxfordshire","E10000025","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","84","%","5948"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Portsmouth","E06000044","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","82","%","1894"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Reading","E06000038","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","77","%","1061"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Slough","E06000039","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","76","%","767"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Southampton","E06000045","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","81","%","2108"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","Surrey","E10000030","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","87","%","10647"
"% of pupils reaching the key stage 1 expected standard in science by ethnicity and gender","2015 - 2016","Academic year","South East","West Berkshire","E06000037","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","85","%","1711"
