"Title","Children meeting the expected standard in writing at key stage 2 (ages 7 to 11) by ethnicity and sex"
"Location"," England"
"Time period","2015 to 2016"
"Data source","[Key stage 2 Attainment and Progress Data](https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Value","Higher","Scaled score"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","Girls","36","","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Any other","ONS 18+1","Girls","73","17","2.6"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed / Multiple ethnic groups","ONS 18+1","Girls","83","21","1.2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Black - Caribbean","ONS 18+1","Girls","80","16","0.7"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Black - African","ONS 18+1","Girls","83","19","1.6"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Asian","ONS 18+1","Girls","86","26","1.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - Any other ","ONS 18+1","Girls","83","22","1.4"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian / Asian British","ONS 18+1","Girls","83","20","1.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Indian","ONS 18+1","Girls","87","27","1.7"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Pakistani","ONS 18+1","Girls","79","14","1.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Bangladeshi","ONS 18+1","Girls","85","22","2.6"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Any other","ONS 18+1","Girls","83","24","2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black / African / Caribbean / Black British","ONS 18+1","Girls","82","18","1.9"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - Caribbean","ONS 18+1","Girls","78","13","1.1"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - African","ONS 18+1","Girls","83","19","2.2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - Any other ","ONS 18+1","Girls","81","18","2.1"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Chinese","ONS 18+1","Girls","89","37","2.7"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Other - Any other","ONS 18+1","Girls","77","16","2.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","unclassified","ONS 18+1","Girls","65","15",""
