"Title","Children meeting the expected standard in writing at key stage 2 (ages 7 to 11) by ethnicity and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","[Key stage 2 Attainment and Progress Data](https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Year","Region","Local Authority","Ethnicity","Value"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kirklees","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Leeds","White","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North East Lincolnshire","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Lincolnshire","White","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Yorkshire","White","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Rotherham","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Sheffield","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Wakefield","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","York","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derby","White","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derbyshire","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicester","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicestershire","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Lincolnshire","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Northamptonshire","White","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottingham","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottinghamshire","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Rutland","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Birmingham","White","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Coventry","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Dudley","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Herefordshire, County of","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Sandwell","White","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Shropshire","White","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Solihull","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Staffordshire","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Stoke-on-Trent","White","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Telford and Wrekin","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Walsall","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Warwickshire","White","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Wolverhampton","White","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Worcestershire","White","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Bedford","White","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Cambridgeshire","White","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Central Bedfordshire","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Essex","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Hertfordshire","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Luton","White","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Norfolk","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Peterborough","White","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Southend-on-Sea","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Suffolk","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Thurrock","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Camden","White","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","City of London","White","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hackney","White","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hammersmith and Fulham","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Haringey","White","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Islington","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kensington and Chelsea","White","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lambeth","White","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lewisham","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Newham","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Southwark","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Tower Hamlets","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Wandsworth","White","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Westminster","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barking and Dagenham","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barnet","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bexley","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Brent","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bromley","White","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Croydon","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Ealing","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Enfield","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Greenwich","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Harrow","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Havering","White","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hillingdon","White","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hounslow","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kingston upon Thames","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Merton","White","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Redbridge","White","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Richmond upon Thames","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Sutton","White","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Waltham Forest","White","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Bracknell Forest","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Brighton and Hove","White","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Buckinghamshire","White","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","East Sussex","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Hampshire","White","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Isle of Wight","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Kent","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Medway","White","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Milton Keynes","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Oxfordshire","White","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Portsmouth","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Reading","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Slough","White","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Southampton","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Surrey","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Berkshire","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Sussex","White","60"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Windsor and Maidenhead","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Wokingham","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bath and North East Somerset","White","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bournemouth","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bristol, City of","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Cornwall","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Devon","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Dorset","White","60"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Gloucestershire","White","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Isles of Scilly","White","60"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","North Somerset","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Plymouth","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Poole","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Somerset","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","South Gloucestershire","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Swindon","White","59"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Torbay","White","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Wiltshire","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","County Durham","Mixed","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Darlington","Mixed","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Gateshead","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Hartlepool","Mixed",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Middlesbrough","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Newcastle upon Tyne","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","North Tyneside","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Northumberland","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Redcar and Cleveland","Mixed",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","South Tyneside","Mixed",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Stockton-on-Tees","Mixed","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Sunderland","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackburn with Darwen","Mixed","65"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackpool","Mixed","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bolton","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bury","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire East","Mixed","61"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire West and Chester","Mixed","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cumbria","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Halton","Mixed","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Knowsley","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Lancashire","Mixed","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Liverpool","Mixed","56"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Manchester","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Oldham","Mixed","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Rochdale","Mixed","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Salford","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Sefton","Mixed","91"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","St. Helens","Mixed","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Stockport","Mixed","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Tameside","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Trafford","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Warrington","Mixed","89"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wigan","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wirral","Mixed","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Barnsley","Mixed","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Bradford","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Calderdale","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Doncaster","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","East Riding of Yorkshire","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kingston upon Hull, City of","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kirklees","Mixed","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Leeds","Mixed","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North East Lincolnshire","Mixed","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Lincolnshire","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Yorkshire","Mixed","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Rotherham","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Sheffield","Mixed","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Wakefield","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","York","Mixed","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derby","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derbyshire","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicester","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicestershire","Mixed","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Lincolnshire","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Northamptonshire","Mixed","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottingham","Mixed","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottinghamshire","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Rutland","Mixed",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Birmingham","Mixed","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Coventry","Mixed","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Dudley","Mixed","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Herefordshire, County of","Mixed","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Sandwell","Mixed","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Shropshire","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Solihull","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Staffordshire","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Stoke-on-Trent","Mixed","66"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Telford and Wrekin","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Walsall","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Warwickshire","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Wolverhampton","Mixed","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Worcestershire","Mixed","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Bedford","Mixed","65"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Cambridgeshire","Mixed","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Central Bedfordshire","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Essex","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Hertfordshire","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Luton","Mixed","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Norfolk","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Peterborough","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Southend-on-Sea","Mixed","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Suffolk","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Thurrock","Mixed","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Camden","Mixed","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","City of London","Mixed",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hackney","Mixed","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hammersmith and Fulham","Mixed","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Haringey","Mixed","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Islington","Mixed","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kensington and Chelsea","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lambeth","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lewisham","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Newham","Mixed","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Southwark","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Tower Hamlets","Mixed","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Wandsworth","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Westminster","Mixed","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barking and Dagenham","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barnet","Mixed","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bexley","Mixed","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Brent","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bromley","Mixed","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Croydon","Mixed","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Ealing","Mixed","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Enfield","Mixed","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Greenwich","Mixed","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Harrow","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Havering","Mixed","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hillingdon","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hounslow","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kingston upon Thames","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Merton","Mixed","64"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Redbridge","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Richmond upon Thames","Mixed","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Sutton","Mixed","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Waltham Forest","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Bracknell Forest","Mixed","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Brighton and Hove","Mixed","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Buckinghamshire","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","East Sussex","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Hampshire","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Isle of Wight","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Kent","Mixed","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Medway","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Milton Keynes","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Oxfordshire","Mixed","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Portsmouth","Mixed","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Reading","Mixed","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Slough","Mixed","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Southampton","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Surrey","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Berkshire","Mixed","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Sussex","Mixed","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Windsor and Maidenhead","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Wokingham","Mixed","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bath and North East Somerset","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bournemouth","Mixed","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bristol, City of","Mixed","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Cornwall","Mixed","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Devon","Mixed","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Dorset","Mixed","66"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Gloucestershire","Mixed","77"
