"Title","Persistent absence by ethnicity and local authority"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: pupil absence"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18 May 2017"

"","Asian","Black","Chinese","Mixed","White","Other"
"Nottingham","9.6","5.6","2.9","12.6","12.9","13.2"
"Nottinghamshire","9.6","7.6","3.1","11.2","9.8","13.3"
"Oldham","11.0","4.3","!","15.9","12.2","18.3"
"Oxfordshire","14.5","7.6","2.4","12.6","10.0","11.1"
"Peterborough","8.8","4.5","!","10.4","11.6","9.1"
"Plymouth","8.9","4.0","5.2","9.7","10.6","10.5"
"Poole","6.1","5.5","!","10.5","9.9","!"
"Portsmouth","10.0","5.0","6.9","11.8","13.4","12.4"
"Reading","9.2","5.1","!","14.1","11.4","9.5"
"Redbridge","10.8","8.7","2.4","12.8","12.2","11.6"
"Redcar and Cleveland","9.6","9.4","0.0","11.9","11.1","!"
"Richmond upon Thames","8.8","7.8","2.2","8.9","7.0","7.9"
"Rochdale","9.1","4.8","0.0","9.7","11.4","7.4"
"Rotherham","12.4","5.8","4.8","16.4","13.0","9.9"
"Rutland","6.4","5.2","0.0","5.1","5.1","15.0"
"Salford","7.5","4.4","!","11.0","12.6","12.3"
"Sandwell","7.8","6.4","2.5","13.8","12.8","11.4"
"Sefton","10.8","5.8","10.0","10.2","12.3","14.8"
"Sheffield","13.2","7.3","2.6","15.6","12.9","10.6"
"Shropshire","11.5","10.3","!","9.6","8.7","8.7"
"Slough","8.0","5.3","0.0","10.5","11.3","6.8"
"Solihull","9.0","7.7","!","14.8","10.7","6.5"
"Somerset","9.5","4.7","5.5","12.0","10.2","9.2"
"South Gloucestershire","13.8","10.2","4.0","14.1","10.8","11.7"
"South Tyneside","9.0","5.4","!","8.2","11.4","12.1"
"Southampton","9.3","5.5","!","10.9","11.2","10.9"
"Southend-on-Sea","9.0","3.4","2.3","9.7","9.6","12.0"
"Southwark","9.9","5.5","2.6","12.2","12.8","9.8"
"St. Helens","9.4","8.6","0.0","10.7","10.9","14.5"
"Staffordshire","8.6","8.8","2.7","12.1","9.0","10.1"
"Stockport","12.4","7.2","1.6","12.4","10.7","10.8"
"Stockton-on-Tees","11.3","2.0","!","11.5","10.7","9.5"
"Stoke-on-Trent","12.7","4.3","4.8","14.7","12.3","20.1"
"Suffolk","11.3","6.7","!","11.5","9.7","9.2"
"Sunderland","7.8","3.7","3.1","12.2","11.7","20.9"
"Surrey","8.3","6.4","3.1","7.8","8.8","6.4"
"Sutton","6.9","6.0","2.6","9.1","10.8","7.7"
"Swindon","8.9","5.8","3.4","11.1","10.2","11.0"
"Tameside","8.1","5.7","!","11.0","10.1","5.3"
"Telford and Wrekin","8.6","5.2","!","11.9","10.8","10.7"
"Thurrock","8.0","3.2","!","10.7","11.3","10.5"
"Torbay","8.7","!","!","15.3","12.5","17.3"
"Tower Hamlets","7.6","5.4","!","15.3","17.9","7.3"
"Trafford","10.7","6.4","1.5","10.3","7.7","8.1"
"Wakefield","13.1","4.6","!","12.8","11.5","7.1"
"Walsall","8.5","6.3","!","15.1","12.5","14.4"
"Waltham Forest","11.3","8.9","6.3","13.5","12.8","8.5"
"Wandsworth","9.9","9.7","2.6","13.2","9.1","9.4"
"Warrington","11.7","7.6","!","10.5","9.3","13.5"
"Warwickshire","5.9","6.3","2.2","10.2","9.3","9.0"
"West Berkshire","10.3","5.9","0.0","10.3","8.1","9.5"
"West Sussex","10.7","8.1","3.3","11.3","9.9","9.3"
"Westminster","12.1","9.6","3.2","14.5","11.3","11.1"
"Wigan","14.0","5.6","!","10.1","10.0","12.1"
"Wiltshire","8.4","9.1","5.4","10.7","10.2","9.5"
"Windsor and Maidenhead","9.2","9.0","5.4","7.9","8.6","8.8"
"Wirral","9.8","9.8","2.4","12.6","12.6","9.8"
"Wokingham","9.0","5.7","4.3","10.0","8.1","11.0"
"Wolverhampton","7.1","7.5","6.5","13.8","12.6","24.1"
"Worcestershire","10.0","8.1","0.0","10.5","9.6","11.7"
"York","10.3","5.6","!","10.1","9.0","17.6"
