"Title","EBacc entry by ethnicity and type of school"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","State-funded special schools","0","8235","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","403","NA","NA","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","703","NA","NA","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","517","NA","NA","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","18","NA","NA","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded schools","38","422763","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded schools","42","22868","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded schools","47","51218","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded schools","43","27924","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded schools","63","2026","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","40","530580","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","39","191701","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Academies and free schools","42","337452","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Sponsored academies","30","85080","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Converter academies","46","247551","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Free schools","50","1838","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","University technical colleges","12","1864","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Studio schools","5","1119","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","3","885","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","10109","NA","NA","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded schools","40","540689","NA","NA",""
