"Title","EBacc achievement by ethnicity and type of school"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","25","530580","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","23","191701","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Academies and free schools","26","337452","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Sponsored academies","15","85080","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Converter academies","31","247551","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Free schools","26","1838","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","University technical colleges","3","1864","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Studio schools","2","1119","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","1","885","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","10109","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded schools","25","540689","NA","NA",""
