"Title","EBacc entry by ethnicity, type of faith school and gender"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","Religious character","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Boys-Notes","Girls-Value","Girls-Denominator","Girls-Notes"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Sikh school","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","39","414528","NA","NA","","34","209339","","44","205189",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","43","22465","NA","NA","","38","11233","","48","11232",""
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","48","50515","NA","NA","","42","26098","","54","24417",""
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","44","27407","NA","NA","","37","13530","","51","13877",""
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","63","2008","NA","NA","","57","1021","","70","987",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","No religious character","40","435878","NA","NA","","35","221063","","45","214815",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Church of England schools","42","29270","NA","NA","","38","14924","","46","14346",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","45","51329","NA","NA","","39","25100","","50","26229",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","40","11052","NA","NA","","37","5856","","44","5196",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Jewish schools","51","1318","NA","NA","","54","625","","49","693",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Muslim schools","68","672","NA","NA","","60","165","","71","507",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Sikh school","78","176","NA","NA","","82","92","","75","84",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","40","530580","NA","NA","","35","268280","","46","262300",""
