"Title"," EBacc achievement by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Notes","Girls-Value","Girls-Denominator","Notes"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Nottingham","Local Authority","E06000018","All pupils","All pupils","17","2534","NA","NA","","11","1284","","22","1250",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","25","7883","NA","NA","","20","4059","","31","3824",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Rutland","Local Authority","E06000017","All pupils","All pupils","26","489","NA","NA","","17","265","","38","224",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Birmingham","Local Authority","E08000025","All pupils","All pupils","25","12035","NA","NA","","19","6122","","30","5913",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Coventry","Local Authority","E08000026","All pupils","All pupils","21","3463","NA","NA","","15","1787","","27","1676",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Dudley","Local Authority","E08000027","All pupils","All pupils","17","3591","NA","NA","","14","1879","","21","1712",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","23","1732","NA","NA","","17","926","","31","806",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sandwell","Local Authority","E08000028","All pupils","All pupils","13","3499","NA","NA","","9","1851","","17","1648",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Shropshire","Local Authority","E06000051","All pupils","All pupils","24","2986","NA","NA","","20","1532","","29","1454",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Solihull","Local Authority","E08000029","All pupils","All pupils","27","2987","NA","NA","","21","1559","","34","1428",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Staffordshire","Local Authority","E10000028","All pupils","All pupils","20","8758","NA","NA","","15","4469","","25","4289",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","16","2269","NA","NA","","12","1129","","19","1140",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","23","2014","NA","NA","","18","1093","","29","921",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Walsall","Local Authority","E08000030","All pupils","All pupils","21","3261","NA","NA","","17","1709","","25","1552",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Warwickshire","Local Authority","E10000031","All pupils","All pupils","29","5585","NA","NA","","24","2913","","35","2672",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","15","2470","NA","NA","","9","1209","","21","1261",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Worcestershire","Local Authority","E10000034","All pupils","All pupils","25","5565","NA","NA","","21","2818","","29","2747",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bedford","Local Authority","E06000055","All pupils","All pupils","18","1862","NA","NA","","13","942","","23","920",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","27","5707","NA","NA","","21","2898","","33","2809",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","20","2596","NA","NA","","14","1279","","25","1317",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Essex","Local Authority","E10000012","All pupils","All pupils","23","14607","NA","NA","","18","7474","","29","7133",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","33","12613","NA","NA","","27","6510","","38","6103",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Luton","Local Authority","E06000032","All pupils","All pupils","18","2442","NA","NA","","17","1253","","18","1189",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Norfolk","Local Authority","E10000020","All pupils","All pupils","21","8014","NA","NA","","15","4112","","27","3902",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Peterborough","Local Authority","E06000031","All pupils","All pupils","22","2292","NA","NA","","16","1155","","27","1137",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","34","2047","NA","NA","","31","1024","","36","1023",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Suffolk","Local Authority","E10000029","All pupils","All pupils","18","7158","NA","NA","","14","3661","","22","3497",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Thurrock","Local Authority","E06000034","All pupils","All pupils","25","1721","NA","NA","","21","862","","30","859",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Camden","Local Authority","E09000007","All pupils","All pupils","28","1422","NA","NA","","21","605","","34","817",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","City of London","Local Authority","E09000001","All pupils","All pupils",".",".","NA","NA","Not applicable",".",".","Not applicable",".",".","Not applicable"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hackney","Local Authority","E09000012","All pupils","All pupils","33","2038","NA","NA","","27","916","","37","1122",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","41","1350","NA","NA","","33","649","","48","701",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Haringey","Local Authority","E09000014","All pupils","All pupils","28","2231","NA","NA","","23","1112","","33","1119",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Islington","Local Authority","E09000019","All pupils","All pupils","27","1397","NA","NA","","24","761","","31","636",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","38","740","NA","NA","","37","430","","40","310",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Lambeth","Local Authority","E09000022","All pupils","All pupils","25","1887","NA","NA","","20","970","","30","917",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Lewisham","Local Authority","E09000023","All pupils","All pupils","23","2334","NA","NA","","16","1236","","30","1098",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Newham","Local Authority","E09000025","All pupils","All pupils","31","3489","NA","NA","","26","1780","","37","1709",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Southwark","Local Authority","E09000028","All pupils","All pupils","36","2386","NA","NA","","32","1141","","40","1245",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","28","2570","NA","NA","","24","1294","","32","1276",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wandsworth","Local Authority","E09000032","All pupils","All pupils","34","1660","NA","NA","","31","872","","38","788",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Westminster","Local Authority","E09000033","All pupils","All pupils","34","1566","NA","NA","","23","763","","44","803",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","22","2201","NA","NA","","17","1110","","28","1091",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Barnet","Local Authority","E09000003","All pupils","All pupils","44","3647","NA","NA","","39","1856","","48","1791",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bexley","Local Authority","E09000004","All pupils","All pupils","29","3192","NA","NA","","24","1641","","36","1551",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Brent","Local Authority","E09000005","All pupils","All pupils","32","3035","NA","NA","","25","1515","","38","1520",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bromley","Local Authority","E09000006","All pupils","All pupils","36","3305","NA","NA","","28","1587","","44","1718",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Croydon","Local Authority","E09000008","All pupils","All pupils","24","3844","NA","NA","","16","1885","","31","1959",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Ealing","Local Authority","E09000009","All pupils","All pupils","35","2781","NA","NA","","28","1427","","43","1354",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Enfield","Local Authority","E09000010","All pupils","All pupils","31","3579","NA","NA","","27","1808","","36","1771",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Greenwich","Local Authority","E09000011","All pupils","All pupils","27","2204","NA","NA","","22","1093","","31","1111",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Harrow","Local Authority","E09000015","All pupils","All pupils","33","2127","NA","NA","","25","1063","","40","1064",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Havering","Local Authority","E09000016","All pupils","All pupils","28","2917","NA","NA","","24","1481","","32","1436",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hillingdon","Local Authority","E09000017","All pupils","All pupils","26","3136","NA","NA","","21","1637","","32","1499",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hounslow","Local Authority","E09000018","All pupils","All pupils","37","2667","NA","NA","","33","1354","","42","1313",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","49","1515","NA","NA","","46","703","","51","812",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Merton","Local Authority","E09000024","All pupils","All pupils","30","1440","NA","NA","","25","731","","35","709",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Redbridge","Local Authority","E09000026","All pupils","All pupils","34","3363","NA","NA","","27","1747","","40","1616",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","42","1367","NA","NA","","35","638","","49","729",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sutton","Local Authority","E09000029","All pupils","All pupils","46","2667","NA","NA","","39","1370","","53","1297",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","24","2539","NA","NA","","15","1259","","32","1280",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","22","1076","NA","NA","","18","548","","27","528",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","25","2139","NA","NA","","21","1094","","29","1045",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","37","5622","NA","NA","","33","2836","","40","2786",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","East Sussex","Local Authority","E10000011","All pupils","All pupils","22","4930","NA","NA","","18","2500","","26","2430",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hampshire","Local Authority","E10000014","All pupils","All pupils","26","13101","NA","NA","","21","6758","","31","6343",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","13","1305","NA","NA","","8","674","","19","631",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kent","Local Authority","E10000016","All pupils","All pupils","30","15727","NA","NA","","24","7996","","35","7731",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Medway","Local Authority","E06000035","All pupils","All pupils","27","2967","NA","NA","","24","1508","","29","1459",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","21","2800","NA","NA","","15","1420","","28","1380",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","25","5975","NA","NA","","18","3053","","32","2922",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Portsmouth","Local Authority","E06000044","All pupils","All pupils","19","1729","NA","NA","","16","909","","22","820",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Reading","Local Authority","E06000038","All pupils","All pupils","30","1169","NA","NA","","28","625","","31","544",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Slough","Local Authority","E06000039","All pupils","All pupils","29","1632","NA","NA","","23","820","","36","812",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Southampton","Local Authority","E06000045","All pupils","All pupils","21","1952","NA","NA","","15","967","","26","985",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Surrey","Local Authority","E10000030","All pupils","All pupils","31","10399","NA","NA","","24","5346","","37","5053",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","West Berkshire","Local Authority","E06000037","All pupils","All pupils","30","1906","NA","NA","","24","980","","36","926",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","West Sussex","Local Authority","E10000032","All pupils","All pupils","26","8118","NA","NA","","21","4130","","32","3988",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","32","1470","NA","NA","","24","769","","40","701",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wokingham","Local Authority","E06000041","All pupils","All pupils","34","1601","NA","NA","","25","851","","44","750",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","33","2022","NA","NA","","31","982","","36","1040",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bournemouth","Local Authority","E06000028","All pupils","All pupils","28","1617","NA","NA","","24","832","","32","785",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","18","3138","NA","NA","","13","1563","","23","1575",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cornwall","Local Authority","E06000052","All pupils","All pupils","19","5432","NA","NA","","14","2761","","24","2671",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Devon","Local Authority","E10000008","All pupils","All pupils","23","6971","NA","NA","","19","3613","","28","3358",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Dorset","Local Authority","E10000009","All pupils","All pupils","24","4153","NA","NA","","19","2115","","29","2038",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","27","6385","NA","NA","","23","3295","","31","3090",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","x","23","NA","NA","Suppressed","x","12","Suppressed","x","11","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North Somerset","Local Authority","E06000024","All pupils","All pupils","20","2176","NA","NA","","15","1108","","26","1068",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Plymouth","Local Authority","E06000026","All pupils","All pupils","21","2640","NA","NA","","14","1345","","29","1295",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Poole","Local Authority","E06000029","All pupils","All pupils","x","1438","NA","NA","Suppressed","x","744","Suppressed","x","694","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Somerset","Local Authority","E10000027","All pupils","All pupils","20","5137","NA","NA","","14","2588","","26","2549",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","18","2770","NA","NA","","15","1468","","21","1302",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Swindon","Local Authority","E06000030","All pupils","All pupils","17","2109","NA","NA","","13","1078","","22","1031",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Torbay","Local Authority","E06000027","All pupils","All pupils","26","1511","NA","NA","","25","787","","27","724",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wiltshire","Local Authority","E06000054","All pupils","All pupils","26","4899","NA","NA","","23","2434","","29","2465",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All pupils","24","421440","NA","NA","","19","214610","","29","206830",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","County Durham","Local Authority","E06000047","All pupils","All pupils","25","4846","NA","NA","","19","2430","","30","2416",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Darlington","Local Authority","E06000005","All pupils","All pupils","24","1086","NA","NA","","20","566","","28","520",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Gateshead","Local Authority","E08000037","All pupils","All pupils","25","1810","NA","NA","","20","949","","29","861",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Hartlepool","Local Authority","E06000001","All pupils","All pupils","14","1036","NA","NA","","8","505","","20","531",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","10","1164","NA","NA","","7","564","","13","600",""
