"Title","A* to C in English and Maths GCSE by ethnicity and school type"
"Location","England"
"Time period","2015/16"
"Data source","[Key stage 4 attainment data](https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type"," Value "," Denominator ","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Sponsored academies"," 55 "," 3,759 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Sponsored academies"," 59 "," 7,419 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Sponsored academies"," 58 "," 6,173 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Sponsored academies"," 81 "," 277 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Converter academies"," 70 "," 200,260 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Converter academies"," 70 "," 10,292 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Converter academies"," 75 "," 20,958 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Converter academies"," 65 "," 9,482 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Converter academies"," 87 "," 1,127 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Free schools"," 62 "," 1,187 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Free schools"," 79 "," 79 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Free schools"," 73 "," 411 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Free schools"," 53 "," 60 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Free schools"," x "," 8 ","NA","NA","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","University technical colleges"," 54 "," 1,412 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","University technical colleges"," 57 "," 108 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","University technical colleges"," 41 "," 125 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","University technical colleges"," 42 "," 130 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","University technical colleges"," x "," x ","NA","NA","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Studio schools"," 33 "," 927 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Studio schools"," 38 "," 50 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Studio schools"," 37 "," 70 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Studio schools"," 35 "," 29 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Studio schools"," x "," x ","NA","NA","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds"," . "," . ","NA","NA","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds"," . "," . ","NA","NA","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds"," . "," . ","NA","NA","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds"," . "," . ","NA","NA","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds"," . "," . ","NA","NA","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","State-funded special schools"," 1 "," 8,235 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","State-funded special schools"," 1 "," 403 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","State-funded special schools"," x "," 703 ","NA","NA","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","State-funded special schools"," x "," 517 ","NA","NA","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","State-funded special schools"," x "," 18 ","NA","NA","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded schools"," 63 "," 422,763 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded schools"," 63 "," 22,868 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded schools"," 67 "," 51,218 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded schools"," 59 "," 27,924 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded schools"," 83 "," 2,026 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools"," 64 "," 530,580 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools"," 62 "," 191,701 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Academies and free schools"," 65 "," 337,452 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Sponsored academies"," 53 "," 85,080 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Converter academies"," 70 "," 247,551 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Free schools"," 65 "," 1,838 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","University technical colleges"," 51 "," 1,864 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Studio schools"," 34 "," 1,119 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds"," 10 "," 885 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","State-funded special schools"," 1 "," 10,109 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded schools"," 63 "," 540,689 ","NA","NA",""
