"Title","Maths attainments for children aged 7 to 11 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% Higher standard","Average scaled score","Progress score"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","DFE","Boys","All/Boys/Girls","92","53","110","5.4"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","DFE","Boys","All/Boys/Girls","73","22","104","3"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","DFE","Boys","All/Boys/Girls","59","15","103","0.5"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","DFE","Girls","All/Boys/Girls","70","15","103","-0.6"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","DFE","Girls","All/Boys/Girls","69","14","103","-1"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","DFE","Girls","All/Boys/Girls","69","14","103","-1.1"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","DFE","Girls","All/Boys/Girls","76","21","104","0"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","37","!","97","-1.6"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","25","!","96","-1.6"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","DFE","Girls","All/Boys/Girls","69","16","103","1.7"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","DFE","Girls","All/Boys/Girls","71","16","103","-0.6"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","63","10","101","-1.7"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","DFE","Girls","All/Boys/Girls","70","14","103","-0.5"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","DFE","Girls","All/Boys/Girls","78","22","104","0"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","DFE","Girls","All/Boys/Girls","73","18","103","-0.2"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","DFE","Girls","All/Boys/Girls","75","21","104","1.1"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","DFE","Girls","All/Boys/Girls","83","31","106","1.7"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","DFE","Girls","All/Boys/Girls","67","14","102","0.3"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","75","19","104","1.1"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","DFE","Girls","All/Boys/Girls","81","30","106","2.3"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","DFE","Girls","All/Boys/Girls","70","13","103","0.2"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","DFE","Girls","All/Boys/Girls","61","8","101","-1.1"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","DFE","Girls","All/Boys/Girls","73","15","103","0.7"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","DFE","Girls","All/Boys/Girls","66","11","102","-0.4"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","DFE","Girls","All/Boys/Girls","92","48","109","3.6"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","DFE","Girls","All/Boys/Girls","73","18","104","1.7"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","DFE","Girls","All/Boys/Girls","58","12","102","-0.9"
