Measure,Time,Time_type,Region,Local Authority,LA Code,Ethnicity,Ethnicity type,Gender,Gender_type,Value,Lower CI,Upper CI
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Any other,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,3,2.9,3.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,0.6,0.5,0.7
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black - Caribbean,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,-0.8,-0.9,-0.6
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black - African,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,1.2,1.1,1.2
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black - Any other,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,0.2,0.1,0.4
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,4.5,4.3,4.7
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Other - Any other,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,2.4,2.2,2.5
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Unclassified,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,-0.2,-0.4,0
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,All,All,Boys,All/Boys/Girls,0.6,0.6,0.6
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White,White/Asian/Black/Mixed/Chinese,Boys,All/Boys/Girls,0.3,0.3,0.3
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - British,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,0.1,0.1,0.2
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Irish,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,1.1,0.8,1.5
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Traveller of Irish Heritage,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,-1.2,-2.2,-0.2
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Gypsy/Roma,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,-0.5,-1,0.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Any other,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,2.9,2.8,3
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed,White/Asian/Black/Mixed/Chinese,Boys,All/Boys/Girls,0.6,0.5,0.7
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - White and Black Caribbean,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,-0.5,-0.6,-0.3
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - White and Black African,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,0.4,0.1,0.6
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - White and Asian,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,1.3,1.1,1.5
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - Any other,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,1,0.8,1.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian,White/Asian/Black/Mixed/Chinese,Boys,All/Boys/Girls,2.4,2.3,2.5
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Indian,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,2.9,2.8,3.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Pakistani,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,1.6,1.5,1.7
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Bangladeshi,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,2.5,2.3,2.6
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Any other,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,3.7,3.6,3.9
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black,White/Asian/Black/Mixed/Chinese,Boys,All/Boys/Girls,1,0.9,1.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black - Caribbean,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,-0.4,-0.6,-0.3
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black - African,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,1.6,1.5,1.7
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black - Any other,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,0.8,0.5,1.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Chinese,White/Asian/Black/Mixed/Chinese,Boys,All/Boys/Girls,5.4,5.1,5.8
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Other - Any other,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,3,2.8,3.2
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Unclassified,Ethnicities used by the National Pupil Database (19),Boys,All/Boys/Girls,0.5,0.2,0.7
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,All,All,Girls,All/Boys/Girls,-0.6,-0.7,-0.6
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White,White/Asian/Black/Mixed/Chinese,Girls,All/Boys/Girls,-1,-1,-1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - British,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,-1.1,-1.2,-1.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Irish,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,0,-0.4,0.3
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Traveller of Irish Heritage,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,-1.6,-2.7,-0.5
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Gypsy/Roma,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,-1.6,-2.1,-1.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Any other,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,1.7,1.6,1.8
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed,White/Asian/Black/Mixed/Chinese,Girls,All/Boys/Girls,-0.6,-0.7,-0.5
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - White and Black Caribbean,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,-1.7,-1.8,-1.5
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - White and Black African,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,-0.5,-0.8,-0.3
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - White and Asian,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,0,-0.2,0.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - Any other,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,-0.2,-0.3,0
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian,White/Asian/Black/Mixed/Chinese,Girls,All/Boys/Girls,1.1,1,1.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Indian,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,1.7,1.6,1.8
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Pakistani,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,0.3,0.2,0.4
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Bangladeshi,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,1.1,1,1.3
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Any other,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,2.3,2.1,2.4
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black,White/Asian/Black/Mixed/Chinese,Girls,All/Boys/Girls,0.2,0.1,0.3
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black - Caribbean,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,-1.1,-1.3,-0.9
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black - African,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,0.7,0.6,0.8
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Black - Any other,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,-0.4,-0.6,-0.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Chinese,White/Asian/Black/Mixed/Chinese,Girls,All/Boys/Girls,3.6,3.3,3.9
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Other - Any other,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,1.7,1.5,1.9
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Unclassified,Ethnicities used by the National Pupil Database (19),Girls,All/Boys/Girls,-0.9,-1.1,-0.6
