"Title","Renting from a local authority or housing association (‘social housing’)"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","Ministry of Housing, Communities and Local Government"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","5.7","531","9289","9879"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","13.6","630","4625","5223"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","30.4","2277","7494","9528"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","16.1","3438","21408","24630"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","26.8","149","555","666"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","16.9","398","2359","2644"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","16.8","468","2786","3293"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","16.2","602","3724","4205"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","14.7","498","3380","4092"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 65 or over","All","All","All","15.5","933","6012","7097"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," All","All","All","All","16.2","3048","18816","21997"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","21.1","42","197","185"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","15.2","148","976","996"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","21.7","255","1174","1309"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","24.6","204","829","895"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","24.9","110","444","494"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","26","123","472","540"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," All","All","All","All","21.6","882","4093","4419"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 16 - 24","All","All","All","25.3","190","752","851"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 25 - 34","All","All","All","16.4","547","3336","3640"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 35 - 44","All","All","All","18.3","723","3960","4602"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 45 - 54","All","All","All","17.7","806","4554","5100"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 55 - 64","All","All","All","15.9","609","3824","4586"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","16.2","3048","18816","21997"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","25.9","47","183","216"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","12","146","1217","1275"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","33.4","31","93","98"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","37.9","34","90","100"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","14.1","8","57","64"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","28.7","14","48","50"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","9","47","524","519"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","10.1","37","361","376"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","38.9","52","135","156"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","9.1","10","110","117"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","16.6","34","204","199"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","46.9","190","406","515"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","44.6","133","298","332"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","37.4","11","29","36"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","33.8","25","74","83"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","England","All","All","All","All","23.2","60","258","271"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","4.8","373","7758","8368"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Intermediate occupations","All","All","12.9","496","3850","4411"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Routine and manual occupations","All","All","30.1","1840","6111","7903"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","15.3","2709","17719","20682"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","10.3","157","1531","1511"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","17.3","134","775","812"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","31.6","437","1383","1625"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","19.7","728","3689","3948"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","5.7","531","9289","9879"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","13.6","630","4625","5223"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","30.4","2277","7494","9528"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","16.1","3438","21408","24630"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","26.8","149","555","666"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","16.9","398","2359","2644"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","16.8","468","2786","3293"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","16.2","602","3724","4205"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","14.7","498","3380","4092"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 65 or over","All","All","All","15.5","933","6012","7097"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England"," All","All","All","All","16.2","3048","18816","21997"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","21.1","42","197","185"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","15.2","148","976","996"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","21.7","255","1174","1309"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","24.6","204","829","895"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","24.9","110","444","494"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","26","123","472","540"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," All","All","All","All","21.6","882","4093","4419"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 16 - 24","All","All","All","25.3","190","752","851"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 25 - 34","All","All","All","16.4","547","3336","3640"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 35 - 44","All","All","All","18.3","723","3960","4602"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 45 - 54","All","All","All","17.7","806","4554","5100"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 55 - 64","All","All","All","15.9","609","3824","4586"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," 65 or over","All","All","All","16.3","1056","6485","7637"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England"," All","All","All","All","17.2","3931","22910","26416"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North East","22.7","247","1086","1470"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","North West","17.3","476","2748","3381"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","Yorkshire and the Humber","17.5","347","1986","2431"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East Midlands","15.1","256","1695","2091"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","West Midlands","18","355","1968","2265"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","East","15.4","339","2197","2575"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","London","17.8","303","1706","1581"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South East","13.6","437","3215","3729"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","South West","13","289","2215","2474"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","16.2","3048","18816","21997"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North East","27.1","17","61","77"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","North West","22.9","81","352","430"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","Yorkshire and the Humber","21.3","60","283","339"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East Midlands","18.7","48","257","305"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","West Midlands","20.1","79","394","444"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","East","16.2","54","331","389"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","London","27.2","466","1713","1646"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South East","10","51","516","593"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South West","14.5","27","187","196"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","21.6","882","4093","4419"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North East","22.9","263","1147","1547"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North West","18","556","3100","3811"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","Yorkshire and the Humber","18","408","2269","2770"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East Midlands","15.6","304","1952","2396"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","West Midlands","18.4","434","2362","2709"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East","15.5","393","2528","2964"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","London","22.5","769","3419","3227"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South East","13.1","489","3731","4322"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South West","13.1","316","2403","2670"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","17.2","3931","22910","26416"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","Up to £99","All","51.1","100","195","242"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£100 to £199","All","44.5","678","1524","2059"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£200 to £299","All","31.7","640","2021","2698"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£300 to £399","All","24.2","522","2154","2650"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£400 to £499","All","18.4","326","1768","2139"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£500 to £599","All","14.7","237","1619","1866"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£600 to £699","All","11.4","178","1559","1784"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£700 to £799","All","8.3","107","1289","1453"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£800 to £899","All","5.7","64","1113","1200"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£900 to £999","All","5.1","46","891","1001"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£1000 and above","All","2.8","126","4562","4753"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","16.2","3024","18695","21845"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","Up to £99","All","58.1","30","51","56"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£100 to £199","All","48.1","147","305","371"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£200 to £299","All","38.4","163","425","502"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£300 to £399","All","31.4","151","481","550"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£400 to £499","All","27.2","103","378","447"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£500 to £599","All","22.2","86","386","435"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£600 to £699","All","17","60","354","383"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£700 to £799","All","11.4","31","269","274"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£800 to £899","All","13.4","33","245","234"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£900 to £999","All","10.3","19","186","180"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","£1000 and above","All","4.8","47","975","943"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","21.4","869","4056","4375"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","Up to £99","All","52.5","130","247","298"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£100 to £199","All","45.1","825","1829","2430"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£200 to £299","All","32.9","804","2446","3200"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£300 to £399","All","25.6","674","2635","3200"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£400 to £499","All","20","428","2146","2586"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£500 to £599","All","16.1","323","2005","2301"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£600 to £699","All","12.5","239","1913","2167"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£700 to £799","All","8.8","138","1558","1727"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£800 to £899","All","7.1","97","1358","1434"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£900 to £999","All","6","65","1077","1181"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","£1000 and above","All","3.1","173","5536","5696"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","17.1","3893","22751","26220"
