"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Notes"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","34","937","957","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","42","1158","1091","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2885","2849","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","31","886","886","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","18","505","515","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","46","1323","1277","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","1243","1200","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","22","276","300","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Other ethnic group","ONS 2011","Local bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Other ethnic group","ONS 2011","Walk","48","595","546","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","White","ONS 2011","All Modes","100","69555","68043","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","White","ONS 2011","Bicycle","2","1435","1452","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","White","ONS 2011","Car / Van","31","21414","21630","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","White","ONS 2011","Local bus","12","8256","8325","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","White","ONS 2011","Other","1","831","871","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","White","ONS 2011","Private bus","6","4041","4135","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","White","ONS 2011","Surface Rail","1","521","524","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","White","ONS 2011","Walk","48","33058","31106","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","80569","78997","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1567","1560","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","30","24471","24728","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","All ethnic groups","ONS 2011","Local bus","14","10914","11119","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","All ethnic groups","ONS 2011","Other","1","1022","1080","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","All ethnic groups","ONS 2011","Private bus","5","4127","4234","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","668","669","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","All ethnic groups","ONS 2011","Walk","47","37800","35607","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","6552","6189","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","30","1976","1958","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","12","813","832","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011","Walk","52","3414","3070","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","2981","3071","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","17","513","521","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","33","971","1051","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","43","1296","1275","               "
