"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Income","Geography_code","Geography_name","Geography_type","Age","Value","Numerator","Population estimate"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","16-17","1","125","4.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","16-17","1.4","40","5.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Chinese","ONS 2011 18+1","All Income Bands","E92000001","England","Country","16-17","1.9","9","1.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","16-17","2.2","95","2.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Gypsy, Irish Traveller","ONS 2011 18+1","All Income Bands","E92000001","England","Country","16-17","2.1","9","5.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Arab","ONS 2011 18+1","All Income Bands","E92000001","England","Country","16-17","3.2","57","3.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: English, Scottish, Welsh, Northern Irish, British","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","20.2","50394","10.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Irish","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","11.3","199","3.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","9.8","1210","6.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","36","1615","27.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","21.4","330","22"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Asian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","25.8","300","23.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","18.9","410","19.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Indian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","9.9","231","10.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Pakistani","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","14.4","684","16.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Bangladeshi","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","13.3","367","18.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","12.8","495","12.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","20.5","1537","11.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","16.3","1944","15.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","17","496","18.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Chinese","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","5.8","27","11.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","14.8","642","11.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Gypsy, Irish Traveller","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","17","72","17.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Arab","ONS 2011 18+1","All Income Bands","E92000001","England","Country","18-24","15.2","267","13.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: English, Scottish, Welsh, Northern Irish, British","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","13.7","34168","7.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Irish","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","8.5","149","5.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","14.6","1803","11"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","20.1","901","16.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","12.4","191","13.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Asian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","16.5","191","15.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","15.3","333","14.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Indian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","11.7","274","10.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Pakistani","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","17.7","840","12.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Bangladeshi","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","18.1","499","14.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","12.3","475","11.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","13.2","985","9.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","15.4","1843","12"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","14.7","428","11.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Chinese","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","8.7","41","23.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","13.5","586","11.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Gypsy, Irish Traveller","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","16","68","11"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Arab","ONS 2011 18+1","All Income Bands","E92000001","England","Country","25-29","14.3","252","14.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: English, Scottish, Welsh, Northern Irish, British","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","18","44969","13.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Irish","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","15.9","280","13"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","35.1","4327","36.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","21.7","974","19.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","27.6","425","22.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Asian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","26.2","304","21.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","30.4","661","25.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Indian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","28.6","671","26.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Pakistani","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","36.4","1728","27.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Bangladeshi","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","34.5","953","27"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","31.2","1203","24.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","23.1","1729","14.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","30.5","3635","24.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","28","817","19.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Chinese","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","26.8","126","24.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","31","1345","27.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Gypsy, Irish Traveller","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","28.5","122","19.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Arab","ONS 2011 18+1","All Income Bands","E92000001","England","Country","30-39","34.1","600","28"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: English, Scottish, Welsh, Northern Irish, British","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","13.3","33214","15.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Irish","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","14.9","263","15"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","18.9","2328","20.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","9.4","422","13"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","18.5","285","16.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Asian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","13.7","159","14.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","16.9","367","16"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Indian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","20","469","18.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Pakistani","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","17.2","818","18.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Bangladeshi","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","21","579","18.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","22.3","859","23.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","15.7","1172","18"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","22","2631","23.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","20.5","597","19.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Chinese","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","18.5","87","14.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","19.8","861","20.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Gypsy, Irish Traveller","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","15.3","65","17.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Arab","ONS 2011 18+1","All Income Bands","E92000001","England","Country","40-49","19","335","20.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: English, Scottish, Welsh, Northern Irish, British","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","12.3","30803","17.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Irish","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","15.6","275","16.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","11.3","1388","11.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","5.8","261","9.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","8.1","125","10.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Asian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","7.5","87","9.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","8.4","183","10"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Indian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","11","259","13.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Pakistani","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","6.7","315","9.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Bangladeshi","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","7.1","195","8.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","8.7","334","12.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","14.4","1075","22.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","9.6","1141","13.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","12.1","353","17.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Chinese","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","14.1","66","11.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","9.9","432","13.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Gypsy, Irish Traveller","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","9.6","41","14.7"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Arab","ONS 2011 18+1","All Income Bands","E92000001","England","Country","50-59","8.2","145","11.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: English, Scottish, Welsh, Northern Irish, British","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","10.3","25621","14.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Irish","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","15.2","267","17.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","White: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","6.7","830","6.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","1.6","73","3.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Black African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","5.3","82","4.4"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: White & Asian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","3.6","42","4.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Mixed: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","5.1","111","4.8"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Indian","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","9.9","233","10.1"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Pakistani","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","3.7","176","6.2"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Bangladeshi","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","3","83","4.3"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","6.2","241","7.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Caribbean","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","5.3","397","8.6"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: African","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","3.3","399","4.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Black, African, Caribbean or Black British: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","3.7","109","3.9"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Asian/Asian British: Chinese","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","14.1","66","7.5"
"Percentage of new social lettings to each group compared to percentage of each group in population in 2016","2016/17","Financial year","Other Ethnic group: Other","ONS 2011 18+1","All Income Bands","E92000001","England","Country","60-69","5.4","233","7.7"
