"Title","English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-05"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Birmingham","Local Authority","E08000025","All pupils","All pupils","24.6","12035","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Coventry","Local Authority","E08000026","All pupils","All pupils","20.6","3463","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Dudley","Local Authority","E08000027","All pupils","All pupils","17.3","3591","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","23.4","1732","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Sandwell","Local Authority","E08000028","All pupils","All pupils","12.9","3499","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Shropshire","Local Authority","E06000051","All pupils","All pupils","24.4","2986","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Solihull","Local Authority","E08000029","All pupils","All pupils","27.2","2987","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Staffordshire","Local Authority","E10000028","All pupils","All pupils","20.2","8758","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","15.6","2269","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","23","2014","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Walsall","Local Authority","E08000030","All pupils","All pupils","20.8","3261","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Warwickshire","Local Authority","E10000031","All pupils","All pupils","29.1","5585","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","15","2470","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Worcestershire","Local Authority","E10000034","All pupils","All pupils","24.5","5565","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bedford","Local Authority","E06000055","All pupils","All pupils","17.7","1862","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","27","5707","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","19.8","2596","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Essex","Local Authority","E10000012","All pupils","All pupils","23.4","14607","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","32.6","12613","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Luton","Local Authority","E06000032","All pupils","All pupils","17.7","2442","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Norfolk","Local Authority","E10000020","All pupils","All pupils","20.7","8014","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Peterborough","Local Authority","E06000031","All pupils","All pupils","21.6","2292","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","33.8","2047","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Suffolk","Local Authority","E10000029","All pupils","All pupils","18","7158","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Thurrock","Local Authority","E06000034","All pupils","All pupils","25.2","1721","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Camden","Local Authority","E09000007","All pupils","All pupils","28.4","1422","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","City of London","Local Authority","E09000001","All pupils","All pupils","N/A","N/A","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Hackney","Local Authority","E09000012","All pupils","All pupils","32.6","2038","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","40.8","1350","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Haringey","Local Authority","E09000014","All pupils","All pupils","27.8","2231","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Islington","Local Authority","E09000019","All pupils","All pupils","27.1","1397","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","37.8","740","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Lambeth","Local Authority","E09000022","All pupils","All pupils","24.9","1887","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Lewisham","Local Authority","E09000023","All pupils","All pupils","22.7","2334","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Newham","Local Authority","E09000025","All pupils","All pupils","31","3489","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Southwark","Local Authority","E09000028","All pupils","All pupils","35.8","2386","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","27.8","2570","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Wandsworth","Local Authority","E09000032","All pupils","All pupils","34.2","1660","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Westminster","Local Authority","E09000033","All pupils","All pupils","33.9","1566","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","22.3","2201","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Barnet","Local Authority","E09000003","All pupils","All pupils","43.7","3647","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bexley","Local Authority","E09000004","All pupils","All pupils","29.4","3192","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Brent","Local Authority","E09000005","All pupils","All pupils","31.9","3035","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bromley","Local Authority","E09000006","All pupils","All pupils","36.4","3305","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Croydon","Local Authority","E09000008","All pupils","All pupils","23.8","3844","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Ealing","Local Authority","E09000009","All pupils","All pupils","35.4","2781","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Enfield","Local Authority","E09000010","All pupils","All pupils","30.9","3579","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Greenwich","Local Authority","E09000011","All pupils","All pupils","26.6","2204","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Harrow","Local Authority","E09000015","All pupils","All pupils","32.5","2127","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Havering","Local Authority","E09000016","All pupils","All pupils","27.9","2917","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Hillingdon","Local Authority","E09000017","All pupils","All pupils","26.1","3136","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Hounslow","Local Authority","E09000018","All pupils","All pupils","37.3","2667","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","48.6","1515","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Merton","Local Authority","E09000024","All pupils","All pupils","30.1","1440","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Redbridge","Local Authority","E09000026","All pupils","All pupils","33.6","3363","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","42.4","1367","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Sutton","Local Authority","E09000029","All pupils","All pupils","45.9","2667","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","23.6","2539","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","22.3","1076","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","25","2139","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","36.7","5622","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","East Sussex","Local Authority","E10000011","All pupils","All pupils","21.5","4930","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Hampshire","Local Authority","E10000014","All pupils","All pupils","25.9","13101","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","13.3","1305","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Kent","Local Authority","E10000016","All pupils","All pupils","29.5","15727","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Medway","Local Authority","E06000035","All pupils","All pupils","26.5","2967","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","21.1","2800","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","24.7","5975","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Portsmouth","Local Authority","E06000044","All pupils","All pupils","18.9","1729","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Reading","Local Authority","E06000038","All pupils","All pupils","29.5","1169","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Slough","Local Authority","E06000039","All pupils","All pupils","29.4","1632","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Southampton","Local Authority","E06000045","All pupils","All pupils","20.6","1952","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Surrey","Local Authority","E10000030","All pupils","All pupils","30.6","10399","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","West Berkshire","Local Authority","E06000037","All pupils","All pupils","29.9","1906","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","West Sussex","Local Authority","E10000032","All pupils","All pupils","26.1","8118","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","31.6","1470","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Wokingham","Local Authority","E06000041","All pupils","All pupils","33.8","1601","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","33.4","2022","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bournemouth","Local Authority","E06000028","All pupils","All pupils","27.6","1617","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","18","3138","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Cornwall","Local Authority","E06000052","All pupils","All pupils","18.6","5432","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Devon","Local Authority","E10000008","All pupils","All pupils","23.3","6971","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Dorset","Local Authority","E10000009","All pupils","All pupils","23.9","4153","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","26.5","6385","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","!","23","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","North Somerset","Local Authority","E06000024","All pupils","All pupils","20.4","2176","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Plymouth","Local Authority","E06000026","All pupils","All pupils","21","2640","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Poole","Local Authority","E06000029","All pupils","All pupils","!","1438","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Somerset","Local Authority","E10000027","All pupils","All pupils","19.9","5137","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","17.8","2770","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Swindon","Local Authority","E06000030","All pupils","All pupils","17.4","2109","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Torbay","Local Authority","E06000027","All pupils","All pupils","25.9","1511","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Wiltshire","Local Authority","E06000054","All pupils","All pupils","25.9","4899","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","19.7","273890","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","County Durham","Local Authority","E06000047","All pupils","All pupils","24.7","4846","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local Authority","E06000005","All pupils","All pupils","23.8","1086","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Gateshead","Local Authority","E08000037","All pupils","All pupils","24.6","1810","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local Authority","E06000001","All pupils","All pupils","14.1","1036","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","9.6","1164","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","22.5","1913","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","North Tyneside","Local Authority","E08000022","All pupils","All pupils","24.8","1833","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Northumberland","Local Authority","E06000057","All pupils","All pupils","18.8","3100","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","19","1567","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","South Tyneside","Local Authority","E08000023","All pupils","All pupils","20.1","1421","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","25.7","1842","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Sunderland","Local Authority","E08000024","All pupils","All pupils","20.7","2677","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","15.8","922","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Blackpool","Local Authority","E06000009","All pupils","All pupils","9.1","1270","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Bolton","Local Authority","E08000001","All pupils","All pupils","16.1","2354","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Bury","Local Authority","E08000002","All pupils","All pupils","26.3","1636","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Cheshire East","Local Authority","E06000049","All pupils","All pupils","26.6","3509","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","30.2","3283","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Cumbria","Local Authority","E10000006","All pupils","All pupils","22.2","4987","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Halton","Local Authority","E06000006","All pupils","All pupils","31.8","1335","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Knowsley","Local Authority","E08000011","All pupils","All pupils","10","1103","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Lancashire","Local Authority","E10000017","All pupils","All pupils","21.5","10512","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Liverpool","Local Authority","E08000012","All pupils","All pupils","23.1","3919","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","Manchester","Local Authority","E08000003","All pupils","All pupils","16.7","2312","","",""
