"Title","NHS trust board membership"
"Location","England"
"Time period","2017"
"Data source","NHS England"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-15"
"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Headcount","Value","Value_type"
"Percentage of NHS trust board members","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Acute","London","Other","White & Other","3","23","%"
"Percentage of NHS trust board members","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Acute","London","Unknown","White & Other","1","8","%"
"Percentage of NHS trust board members","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Mental Health","London","White","White & Other","12","86","%"
"Percentage of NHS trust board members","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Mental Health","London","Other","White & Other","2","14","%"
"Percentage of NHS trust board members","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Mental Health","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Barnsley Hospital NHS Foundation Trust","RFF","Acute","North","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Barnsley Hospital NHS Foundation Trust","RFF","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Barnsley Hospital NHS Foundation Trust","RFF","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Barts Health NHS Trust","R1H","Acute","London","White","White & Other","14","78","%"
"Percentage of NHS trust board members","Barts Health NHS Trust","R1H","Acute","London","Other","White & Other","4","22","%"
"Percentage of NHS trust board members","Barts Health NHS Trust","R1H","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Acute","Midlands & East","White","White & Other","13","93","%"
"Percentage of NHS trust board members","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Acute","Midlands & East","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Bedford Hospital NHS Trust","RC1","Acute","Midlands & East","White","White & Other","10","77","%"
"Percentage of NHS trust board members","Bedford Hospital NHS Trust","RC1","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Bedford Hospital NHS Trust","RC1","Acute","Midlands & East","Unknown","White & Other","3","23","%"
"Percentage of NHS trust board members","Berkshire Healthcare NHS Foundation Trust","RWX","Mental Health","South","White","White & Other","11","85","%"
"Percentage of NHS trust board members","Berkshire Healthcare NHS Foundation Trust","RWX","Mental Health","South","Other","White & Other","2","15","%"
"Percentage of NHS trust board members","Berkshire Healthcare NHS Foundation Trust","RWX","Mental Health","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Mental Health","Midlands & East","White","White & Other","7","54","%"
"Percentage of NHS trust board members","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Mental Health","Midlands & East","Other","White & Other","3","23","%"
"Percentage of NHS trust board members","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Mental Health","Midlands & East","Unknown","White & Other","3","23","%"
"Percentage of NHS trust board members","Birmingham Community Healthcare NHS Foundation Trust","RYW","Community Provider Trust","Midlands & East","White","White & Other","10","83","%"
"Percentage of NHS trust board members","Birmingham Community Healthcare NHS Foundation Trust","RYW","Community Provider Trust","Midlands & East","Other","White & Other","2","17","%"
"Percentage of NHS trust board members","Birmingham Community Healthcare NHS Foundation Trust","RYW","Community Provider Trust","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Acute","Midlands & East","White","White & Other","14","88","%"
"Percentage of NHS trust board members","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Acute","Midlands & East","Other","White & Other","2","13","%"
"Percentage of NHS trust board members","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Black Country Partnership NHS Foundation Trust","TAJ","Mental Health","Midlands & East","White","White & Other","4","40","%"
"Percentage of NHS trust board members","Black Country Partnership NHS Foundation Trust","TAJ","Mental Health","Midlands & East","Other","White & Other","4","40","%"
"Percentage of NHS trust board members","Black Country Partnership NHS Foundation Trust","TAJ","Mental Health","Midlands & East","Unknown","White & Other","2","20","%"
"Percentage of NHS trust board members","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Acute","North","White","White & Other","9","64","%"
"Percentage of NHS trust board members","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Acute","North","Unknown","White & Other","5","36","%"
"Percentage of NHS trust board members","Bolton NHS Foundation Trust","RMC","Acute","North","White","White & Other","14","100","%"
"Percentage of NHS trust board members","Bolton NHS Foundation Trust","RMC","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Bolton NHS Foundation Trust","RMC","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Bradford District Care NHS Foundation Trust","TAD","Mental Health","North","White","White & Other","8","67","%"
"Percentage of NHS trust board members","Bradford District Care NHS Foundation Trust","TAD","Mental Health","North","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Bradford District Care NHS Foundation Trust","TAD","Mental Health","North","Unknown","White & Other","3","25","%"
"Percentage of NHS trust board members","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Acute","North","White","White & Other","13","81","%"
"Percentage of NHS trust board members","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Acute","North","Other","White & Other","3","19","%"
"Percentage of NHS trust board members","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Community Provider Trust","North","White","White & Other","12","100","%"
"Percentage of NHS trust board members","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Community Provider Trust","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Community Provider Trust","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Brighton and Sussex University Hospitals NHS Trust","RXH","Acute","South","White","White & Other","10","100","%"
"Percentage of NHS trust board members","Brighton and Sussex University Hospitals NHS Trust","RXH","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Brighton and Sussex University Hospitals NHS Trust","RXH","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Buckinghamshire Healthcare NHS Trust","RXQ","Acute","South","White","White & Other","11","79","%"
"Percentage of NHS trust board members","Buckinghamshire Healthcare NHS Trust","RXQ","Acute","South","Other","White & Other","2","14","%"
"Percentage of NHS trust board members","Buckinghamshire Healthcare NHS Trust","RXQ","Acute","South","Unknown","White & Other","1","7","%"
"Percentage of NHS trust board members","Burton Hospitals NHS Foundation Trust","RJF","Acute","Midlands & East","White","White & Other","12","80","%"
"Percentage of NHS trust board members","Burton Hospitals NHS Foundation Trust","RJF","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Burton Hospitals NHS Foundation Trust","RJF","Acute","Midlands & East","Unknown","White & Other","3","20","%"
"Percentage of NHS trust board members","Calderdale and Huddersfield NHS Foundation Trust","RWY","Acute","North","White","White & Other","16","94","%"
"Percentage of NHS trust board members","Calderdale and Huddersfield NHS Foundation Trust","RWY","Acute","North","Other","White & Other","1","6","%"
"Percentage of NHS trust board members","Calderdale and Huddersfield NHS Foundation Trust","RWY","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Cambridge University Hospitals NHS Foundation Trust","RGT","Acute","Midlands & East","White","White & Other","13","93","%"
"Percentage of NHS trust board members","Cambridge University Hospitals NHS Foundation Trust","RGT","Acute","Midlands & East","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Cambridge University Hospitals NHS Foundation Trust","RGT","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Mental Health","Midlands & East","White","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Mental Health","Midlands & East","Other","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Mental Health","Midlands & East","Unknown","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Cambridgeshire Community Services NHS Trust","RYV","Community Provider Trust","Midlands & East","White","White & Other","8","80","%"
"Percentage of NHS trust board members","Cambridgeshire Community Services NHS Trust","RYV","Community Provider Trust","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Cambridgeshire Community Services NHS Trust","RYV","Community Provider Trust","Midlands & East","Unknown","White & Other","2","20","%"
"Percentage of NHS trust board members","Camden and Islington NHS Foundation Trust","TAF","Mental Health","London","White","White & Other","10","83","%"
"Percentage of NHS trust board members","Camden and Islington NHS Foundation Trust","TAF","Mental Health","London","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Camden and Islington NHS Foundation Trust","TAF","Mental Health","London","Unknown","White & Other","1","8","%"
"Percentage of NHS trust board members","Central and North West London NHS Foundation Trust","RV3","Mental Health","London","White","White & Other","17","89","%"
"Percentage of NHS trust board members","Central and North West London NHS Foundation Trust","RV3","Mental Health","London","Other","White & Other","2","11","%"
"Percentage of NHS trust board members","Central and North West London NHS Foundation Trust","RV3","Mental Health","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Central London Community Healthcare NHS Trust","RYX","Community Provider Trust","London","White","White & Other","9","90","%"
"Percentage of NHS trust board members","Central London Community Healthcare NHS Trust","RYX","Community Provider Trust","London","Other","White & Other","1","10","%"
"Percentage of NHS trust board members","Central London Community Healthcare NHS Trust","RYX","Community Provider Trust","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Central Manchester University Hospitals NHS Foundation Trust","RW3","Acute","North","White","White & Other","13","81","%"
"Percentage of NHS trust board members","Central Manchester University Hospitals NHS Foundation Trust","RW3","Acute","North","Other","White & Other","3","19","%"
"Percentage of NHS trust board members","Central Manchester University Hospitals NHS Foundation Trust","RW3","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Acute","London","White","White & Other","14","88","%"
"Percentage of NHS trust board members","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Acute","London","Other","White & Other","2","13","%"
"Percentage of NHS trust board members","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Mental Health","North","White","White & Other","12","92","%"
"Percentage of NHS trust board members","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Mental Health","North","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Mental Health","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Acute","Midlands & East","White","White & Other","10","71","%"
"Percentage of NHS trust board members","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Acute","Midlands & East","Unknown","White & Other","4","29","%"
"Percentage of NHS trust board members","City Hospitals Sunderland NHS Foundation Trust","RLN","Acute","North","White","White & Other","11","100","%"
"Percentage of NHS trust board members","City Hospitals Sunderland NHS Foundation Trust","RLN","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","City Hospitals Sunderland NHS Foundation Trust","RLN","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Colchester Hospital University NHS Foundation Trust","RDE","Acute","Midlands & East","White","White & Other","18","95","%"
"Percentage of NHS trust board members","Colchester Hospital University NHS Foundation Trust","RDE","Acute","Midlands & East","Other","White & Other","1","5","%"
"Percentage of NHS trust board members","Colchester Hospital University NHS Foundation Trust","RDE","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Cornwall Partnership NHS Foundation Trust","RJ8","Mental Health","South","White","White & Other","17","100","%"
"Percentage of NHS trust board members","Cornwall Partnership NHS Foundation Trust","RJ8","Mental Health","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Cornwall Partnership NHS Foundation Trust","RJ8","Mental Health","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Countess Of Chester Hospital NHS Foundation Trust","RJR","Acute","North","White","White & Other","12","100","%"
"Percentage of NHS trust board members","Countess Of Chester Hospital NHS Foundation Trust","RJR","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Countess Of Chester Hospital NHS Foundation Trust","RJR","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","County Durham and Darlington NHS Foundation Trust","RXP","Acute","North","White","White & Other","11","100","%"
"Percentage of NHS trust board members","County Durham and Darlington NHS Foundation Trust","RXP","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","County Durham and Darlington NHS Foundation Trust","RXP","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Coventry and Warwickshire Partnership NHS Trust","RYG","Mental Health","Midlands & East","White","White & Other","11","79","%"
"Percentage of NHS trust board members","Coventry and Warwickshire Partnership NHS Trust","RYG","Mental Health","Midlands & East","Other","White & Other","3","21","%"
"Percentage of NHS trust board members","Coventry and Warwickshire Partnership NHS Trust","RYG","Mental Health","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Croydon Health Services NHS Trust","RJ6","Acute","London","White","White & Other","11","73","%"
"Percentage of NHS trust board members","Croydon Health Services NHS Trust","RJ6","Acute","London","Other","White & Other","4","27","%"
"Percentage of NHS trust board members","Croydon Health Services NHS Trust","RJ6","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Cumbria Partnership NHS Foundation Trust","RNN","Mental Health","North","White","White & Other","12","80","%"
"Percentage of NHS trust board members","Cumbria Partnership NHS Foundation Trust","RNN","Mental Health","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Cumbria Partnership NHS Foundation Trust","RNN","Mental Health","North","Unknown","White & Other","3","20","%"
"Percentage of NHS trust board members","Dartford and Gravesham NHS Trust","RN7","Acute","South","White","White & Other","10","77","%"
"Percentage of NHS trust board members","Dartford and Gravesham NHS Trust","RN7","Acute","South","Other","White & Other","2","15","%"
"Percentage of NHS trust board members","Dartford and Gravesham NHS Trust","RN7","Acute","South","Unknown","White & Other","1","8","%"
"Percentage of NHS trust board members","Derby Teaching Hospitals NHS Foundation Trust","RTG","Acute","Midlands & East","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Derby Teaching Hospitals NHS Foundation Trust","RTG","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Derby Teaching Hospitals NHS Foundation Trust","RTG","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Derbyshire Community Health Services NHS Foundation Trust","RY8","Community Provider Trust","Midlands & East","White","White & Other","11","92","%"
"Percentage of NHS trust board members","Derbyshire Community Health Services NHS Foundation Trust","RY8","Community Provider Trust","Midlands & East","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Derbyshire Community Health Services NHS Foundation Trust","RY8","Community Provider Trust","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Derbyshire Healthcare NHS Foundation Trust","RXM","Mental Health","Midlands & East","White","White & Other","12","92","%"
"Percentage of NHS trust board members","Derbyshire Healthcare NHS Foundation Trust","RXM","Mental Health","Midlands & East","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Derbyshire Healthcare NHS Foundation Trust","RXM","Mental Health","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Devon Partnership NHS Trust","RWV","Mental Health","South","White","White & Other","13","93","%"
"Percentage of NHS trust board members","Devon Partnership NHS Trust","RWV","Mental Health","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Devon Partnership NHS Trust","RWV","Mental Health","South","Unknown","White & Other","1","7","%"
"Percentage of NHS trust board members","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Acute","North","White","White & Other","13","81","%"
"Percentage of NHS trust board members","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Acute","North","Other","White & Other","1","6","%"
"Percentage of NHS trust board members","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Acute","North","Unknown","White & Other","2","13","%"
"Percentage of NHS trust board members","Dorset County Hospital NHS Foundation Trust","RBD","Acute","South","White","White & Other","14","88","%"
"Percentage of NHS trust board members","Dorset County Hospital NHS Foundation Trust","RBD","Acute","South","Other","White & Other","1","6","%"
"Percentage of NHS trust board members","Dorset County Hospital NHS Foundation Trust","RBD","Acute","South","Unknown","White & Other","1","6","%"
"Percentage of NHS trust board members","Dorset Healthcare University NHS Foundation Trust","RDY","Mental Health","South","White","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Dorset Healthcare University NHS Foundation Trust","RDY","Mental Health","South","Other","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Dorset Healthcare University NHS Foundation Trust","RDY","Mental Health","South","Unknown","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","Mental Health","Midlands & East","White","White & Other","9","75","%"
"Percentage of NHS trust board members","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","Mental Health","Midlands & East","Other","White & Other","3","25","%"
"Percentage of NHS trust board members","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","Mental Health","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","East and North Hertfordshire NHS Trust","RWH","Acute","Midlands & East","White","White & Other","13","100","%"
"Percentage of NHS trust board members","East and North Hertfordshire NHS Trust","RWH","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","East and North Hertfordshire NHS Trust","RWH","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","East Cheshire NHS Trust","RJN","Acute","North","White","White & Other","12","100","%"
"Percentage of NHS trust board members","East Cheshire NHS Trust","RJN","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","East Cheshire NHS Trust","RJN","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","East Kent Hospitals University NHS Foundation Trust","RVV","Acute","South","White","White & Other","11","79","%"
"Percentage of NHS trust board members","East Kent Hospitals University NHS Foundation Trust","RVV","Acute","South","Other","White & Other","3","21","%"
"Percentage of NHS trust board members","East Kent Hospitals University NHS Foundation Trust","RVV","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","East Lancashire Hospitals NHS Trust","RXR","Acute","North","White","White & Other","16","94","%"
"Percentage of NHS trust board members","East Lancashire Hospitals NHS Trust","RXR","Acute","North","Other","White & Other","1","6","%"
"Percentage of NHS trust board members","East Lancashire Hospitals NHS Trust","RXR","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","East London NHS Foundation Trust","RWK","Mental Health","London","White","White & Other","9","60","%"
"Percentage of NHS trust board members","East London NHS Foundation Trust","RWK","Mental Health","London","Other","White & Other","6","40","%"
"Percentage of NHS trust board members","East London NHS Foundation Trust","RWK","Mental Health","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","East Midlands Ambulance Service NHS Trust","RX9","Ambulance","Midlands & East","White","White & Other","12","92","%"
"Percentage of NHS trust board members","East Midlands Ambulance Service NHS Trust","RX9","Ambulance","Midlands & East","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","East Midlands Ambulance Service NHS Trust","RX9","Ambulance","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","East Of England Ambulance Service NHS Trust","RYC","Ambulance","Midlands & East","White","White & Other","9","64","%"
"Percentage of NHS trust board members","East Of England Ambulance Service NHS Trust","RYC","Ambulance","Midlands & East","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","East Of England Ambulance Service NHS Trust","RYC","Ambulance","Midlands & East","Unknown","White & Other","4","29","%"
"Percentage of NHS trust board members","East Sussex Healthcare NHS Trust","RXC","Acute","South","White","White & Other","11","85","%"
"Percentage of NHS trust board members","East Sussex Healthcare NHS Trust","RXC","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","East Sussex Healthcare NHS Trust","RXC","Acute","South","Unknown","White & Other","2","15","%"
"Percentage of NHS trust board members","Epsom and St Helier University Hospitals NHS Trust","RVR","Acute","London","White","White & Other","14","88","%"
"Percentage of NHS trust board members","Epsom and St Helier University Hospitals NHS Trust","RVR","Acute","London","Other","White & Other","2","13","%"
"Percentage of NHS trust board members","Epsom and St Helier University Hospitals NHS Trust","RVR","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Frimley Health NHS Foundation Trust","RDU","Acute","South","White","White & Other","9","64","%"
"Percentage of NHS trust board members","Frimley Health NHS Foundation Trust","RDU","Acute","South","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Frimley Health NHS Foundation Trust","RDU","Acute","South","Unknown","White & Other","4","29","%"
"Percentage of NHS trust board members","Gateshead Health NHS Foundation Trust","RR7","Acute","North","White","White & Other","17","100","%"
"Percentage of NHS trust board members","Gateshead Health NHS Foundation Trust","RR7","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Gateshead Health NHS Foundation Trust","RR7","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","George Eliot Hospital NHS Trust","RLT","Acute","Midlands & East","White","White & Other","13","87","%"
"Percentage of NHS trust board members","George Eliot Hospital NHS Trust","RLT","Acute","Midlands & East","Other","White & Other","2","13","%"
"Percentage of NHS trust board members","George Eliot Hospital NHS Trust","RLT","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Gloucestershire Care Services NHS Trust","R1J","Community Provider Trust","South","White","White & Other","12","100","%"
"Percentage of NHS trust board members","Gloucestershire Care Services NHS Trust","R1J","Community Provider Trust","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Gloucestershire Care Services NHS Trust","R1J","Community Provider Trust","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Gloucestershire Hospitals NHS Foundation Trust","RTE","Acute","South","White","White & Other","11","92","%"
"Percentage of NHS trust board members","Gloucestershire Hospitals NHS Foundation Trust","RTE","Acute","South","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Gloucestershire Hospitals NHS Foundation Trust","RTE","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Great Ormond Street Hospital For Children NHS Foundation Trust","RP4","Acute","London","White","White & Other","10","83","%"
"Percentage of NHS trust board members","Great Ormond Street Hospital For Children NHS Foundation Trust","RP4","Acute","London","Other","White & Other","2","17","%"
"Percentage of NHS trust board members","Great Ormond Street Hospital For Children NHS Foundation Trust","RP4","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Great Western Hospitals NHS Foundation Trust","RN3","Acute","South","White","White & Other","8","67","%"
"Percentage of NHS trust board members","Great Western Hospitals NHS Foundation Trust","RN3","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Great Western Hospitals NHS Foundation Trust","RN3","Acute","South","Unknown","White & Other","4","33","%"
"Percentage of NHS trust board members","Greater Manchester Mental Health NHS Foundation Trust","RXV","Mental Health","North","White","White & Other","12","86","%"
"Percentage of NHS trust board members","Greater Manchester Mental Health NHS Foundation Trust","RXV","Mental Health","North","Other","White & Other","2","14","%"
"Percentage of NHS trust board members","Greater Manchester Mental Health NHS Foundation Trust","RXV","Mental Health","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Guy's and St Thomas' NHS Foundation Trust","RJ1","Acute","London","White","White & Other","11","79","%"
"Percentage of NHS trust board members","Guy's and St Thomas' NHS Foundation Trust","RJ1","Acute","London","Other","White & Other","3","21","%"
"Percentage of NHS trust board members","Guy's and St Thomas' NHS Foundation Trust","RJ1","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Hampshire Hospitals NHS Foundation Trust","RN5","Acute","South","White","White & Other","12","100","%"
"Percentage of NHS trust board members","Hampshire Hospitals NHS Foundation Trust","RN5","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Hampshire Hospitals NHS Foundation Trust","RN5","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Harrogate and District NHS Foundation Trust","RCD","Acute","North","White","White & Other","11","92","%"
