"Title","NHS trust board membership by ethnicity and trust"
"Location","England"
"Time period","2017"
"Data source","Workforce Race Equality Standard (WRES) data reporting"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","NHS trust board","Headcount","%"
"White","University Hospitals Coventry and Warwickshire NHS Trust","11","85%"
"White","University Hospitals Of Leicester NHS Trust","13","87%"
"White","University Hospitals Of Morecambe Bay NHS Foundation Trust","12","86%"
"White","University Hospitals Of North Midlands NHS Trust","16","100%"
"White","Walsall Healthcare NHS Trust","12","75%"
"White","Warrington and Halton Hospitals NHS Foundation Trust","14","93%"
"White","West Hertfordshire Hospitals NHS Trust","17","94%"
"White","West London Mental Health NHS Trust","13","87%"
"White","West Midlands Ambulance Service NHS Foundation Trust","11","85%"
"White","West Suffolk NHS Foundation Trust","12","100%"
"White","Western Sussex Hospitals NHS Foundation Trust","13","100%"
"White","Weston Area Health NHS Trust","13","100%"
"White","Wirral Community NHS Foundation Trust","13","100%"
"White","Wirral University Teaching Hospital NHS Foundation Trust","13","100%"
"White","Worcestershire Acute Hospitals NHS Trust","14","100%"
"White","Worcestershire Health and Care NHS Trust","-","-"
"White","Wrightington, Wigan and Leigh NHS Foundation Trust","14","93%"
"White","Wye Valley NHS Trust","11","100%"
"White","Yeovil District Hospital NHS Foundation Trust","13","93%"
"White","York Teaching Hospital NHS Foundation Trust","16","100%"
"White","Yorkshire Ambulance Service NHS Trust","15","94%"
"Other","2Gether NHS Foundation Trust","0","0%"
"Other","Aintree University Hospital NHS Foundation Trust","0","0%"
"Other","Airedale NHS Foundation Trust","1","7%"
"Other","Alder Hey Children's NHS Foundation Trust","1","8%"
"Other","Ashford and St Peter's Hospitals NHS Foundation Trust","1","7%"
"Other","Avon and Wiltshire Mental Health Partnership NHS Trust","0","0%"
"Other","Barking, Havering and Redbridge University Hospitals NHS Trust","3","23%"
"Other","Barnet, Enfield and Haringey Mental Health NHS Trust","2","14%"
"Other","Barnsley Hospital NHS Foundation Trust","0","0%"
"Other","Barts Health NHS Trust","4","22%"
"Other","Basildon and Thurrock University Hospitals NHS Foundation Trust","1","7%"
"Other","Bedford Hospital NHS Trust","0","0%"
"Other","Berkshire Healthcare NHS Foundation Trust","2","15%"
"Other","Birmingham and Solihull Mental Health NHS Foundation Trust","3","23%"
"Other","Birmingham Community Healthcare NHS Foundation Trust","2","17%"
"Other","Birmingham Women's and Children's NHS Foundation Trust","2","13%"
"Other","Black Country Partnership NHS Foundation Trust","4","40%"
"Other","Blackpool Teaching Hospitals NHS Foundation Trust","0","0%"
"Other","Bolton NHS Foundation Trust","0","0%"
"Other","Bradford District Care NHS Foundation Trust","1","8%"
"Other","Bradford Teaching Hospitals NHS Foundation Trust","3","19%"
"Other","Bridgewater Community Healthcare NHS Foundation Trust","0","0%"
"Other","Brighton and Sussex University Hospitals NHS Trust","0","0%"
"Other","Buckinghamshire Healthcare NHS Trust","2","14%"
"Other","Burton Hospitals NHS Foundation Trust","0","0%"
"Other","Calderdale and Huddersfield NHS Foundation Trust","1","6%"
"Other","Cambridge University Hospitals NHS Foundation Trust","1","7%"
"Other","Cambridgeshire and Peterborough NHS Foundation Trust","-","-"
"Other","Cambridgeshire Community Services NHS Trust","0","0%"
"Other","Camden and Islington NHS Foundation Trust","1","8%"
"Other","Central and North West London NHS Foundation Trust","2","11%"
"Other","Central London Community Healthcare NHS Trust","1","10%"
"Other","Central Manchester University Hospitals NHS Foundation Trust","3","19%"
"Other","Chelsea and Westminster Hospital NHS Foundation Trust","2","13%"
"Other","Cheshire and Wirral Partnership NHS Foundation Trust","1","8%"
"Other","Chesterfield Royal Hospital NHS Foundation Trust","0","0%"
"Other","City Hospitals Sunderland NHS Foundation Trust","0","0%"
"Other","Colchester Hospital University NHS Foundation Trust","1","5%"
"Other","Cornwall Partnership NHS Foundation Trust","0","0%"
"Other","Countess Of Chester Hospital NHS Foundation Trust","0","0%"
"Other","County Durham and Darlington NHS Foundation Trust","0","0%"
"Other","Coventry and Warwickshire Partnership NHS Trust","3","21%"
"Other","Croydon Health Services NHS Trust","4","27%"
"Other","Cumbria Partnership NHS Foundation Trust","0","0%"
"Other","Dartford and Gravesham NHS Trust","2","15%"
"Other","Derby Teaching Hospitals NHS Foundation Trust","0","0%"
"Other","Derbyshire Community Health Services NHS Foundation Trust","1","8%"
"Other","Derbyshire Healthcare NHS Foundation Trust","1","8%"
"Other","Devon Partnership NHS Trust","0","0%"
"Other","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","1","6%"
"Other","Dorset County Hospital NHS Foundation Trust","1","6%"
"Other","Dorset Healthcare University NHS Foundation Trust","-","-"
"Other","Dudley and Walsall Mental Health Partnership NHS Trust","3","25%"
"Other","East and North Hertfordshire NHS Trust","0","0%"
"Other","East Cheshire NHS Trust","0","0%"
"Other","East Kent Hospitals University NHS Foundation Trust","3","21%"
"Other","East Lancashire Hospitals NHS Trust","1","6%"
"Other","East London NHS Foundation Trust","6","40%"
"Other","East Midlands Ambulance Service NHS Trust","1","8%"
"Other","East Of England Ambulance Service NHS Trust","1","7%"
"Other","East Sussex Healthcare NHS Trust","0","0%"
"Other","Epsom and St Helier University Hospitals NHS Trust","2","13%"
"Other","Frimley Health NHS Foundation Trust","1","7%"
"Other","Gateshead Health NHS Foundation Trust","0","0%"
"Other","George Eliot Hospital NHS Trust","2","13%"
"Other","Gloucestershire Care Services NHS Trust","0","0%"
"Other","Gloucestershire Hospitals NHS Foundation Trust","1","8%"
"Other","Great Ormond Street Hospital For Children NHS Foundation Trust","2","17%"
"Other","Great Western Hospitals NHS Foundation Trust","0","0%"
"Other","Greater Manchester Mental Health NHS Foundation Trust","2","14%"
"Other","Guy's and St Thomas' NHS Foundation Trust","3","21%"
"Other","Hampshire Hospitals NHS Foundation Trust","0","0%"
"Other","Harrogate and District NHS Foundation Trust","0","0%"
"Other","Heart Of England NHS Foundation Trust","0","0%"
"Other","Hertfordshire Community NHS Trust","2","15%"
"Other","Hertfordshire Partnership University NHS Foundation Trust","3","19%"
"Other","Hinchingbrooke Health Care NHS Trust","0","0%"
"Other","Homerton University Hospital NHS Foundation Trust","0","0%"
"Other","Hounslow and Richmond Community Healthcare NHS Trust","4","33%"
"Other","Hull and East Yorkshire Hospitals NHS Trust","0","0%"
"Other","Humber NHS Foundation Trust","1","8%"
"Other","Imperial College Healthcare NHS Trust","1","8%"
"Other","Ipswich Hospital NHS Trust","0","0%"
"Other","Isle Of Wight NHS Trust","0","0%"
"Other","James Paget University Hospitals NHS Foundation Trust","1","7%"
"Other","Kent and Medway NHS and Social Care Partnership Trust","1","17%"
"Other","Kent Community Health NHS Foundation Trust","0","0%"
"Other","Kettering General Hospital NHS Foundation Trust","0","0%"
"Other","King's College Hospital NHS Foundation Trust","0","0%"
"Other","Kingston Hospital NHS Foundation Trust","1","7%"
"Other","Lancashire Care NHS Foundation Trust","0","0%"
"Other","Lancashire Teaching Hospitals NHS Foundation Trust","-","-"
"Other","Leeds and York Partnership NHS Foundation Trust","1","8%"
"Other","Leeds Community Healthcare NHS Trust","0","0%"
"Other","Leeds Teaching Hospitals NHS Trust","0","0%"
"Other","Leicestershire Partnership NHS Trust","1","7%"
"Other","Lewisham and Greenwich NHS Trust","1","7%"
"Other","Lincolnshire Community Health Services NHS Trust","0","0%"
"Other","Lincolnshire Partnership NHS Foundation Trust","0","0%"
"Other","Liverpool Community Health NHS Trust","0","0%"
"Other","Liverpool Heart and Chest Hospital NHS Foundation Trust","1","8%"
"Other","Liverpool Women's NHS Foundation Trust","1","9%"
"Other","London Ambulance Service NHS Trust","0","0%"
"Other","London North West Healthcare NHS Trust","2","12%"
"Other","Luton and Dunstable University Hospital NHS Foundation Trust","1","5%"
"Other","Maidstone and Tunbridge Wells NHS Trust","1","9%"
"Other","Medway NHS Foundation Trust","0","0%"
"Other","Mersey Care NHS Foundation Trust","0","0%"
"Other","Mid Cheshire Hospitals NHS Foundation Trust","0","0%"
"Other","Mid Essex Hospital Services NHS Trust","3","23%"
"Other","Mid Yorkshire Hospitals NHS Trust","2","9%"
"Other","Milton Keynes University Hospital NHS Foundation Trust","-","-"
"Other","Moorfields Eye Hospital NHS Foundation Trust","2","13%"
"Other","Norfolk and Norwich University Hospitals NHS Foundation Trust","0","0%"
"Other","Norfolk and Suffolk NHS Foundation Trust","0","0%"
"Other","Norfolk Community Health and Care NHS Trust","0","0%"
"Other","North Bristol NHS Trust","-","-"
"Other","North Cumbria University Hospitals NHS Trust","0","0%"
"Other","North East Ambulance Service NHS Foundation Trust","1","8%"
"Other","North East London NHS Foundation Trust","3","18%"
"Other","North Essex Partnership University NHS Foundation Trust","0","0%"
"Other","North Middlesex University Hospital NHS Trust","3","23%"
"Other","North Staffordshire Combined Healthcare NHS Trust","1","8%"
"Other","North Tees and Hartlepool NHS Foundation Trust","1","7%"
"Other","North West Ambulance Service NHS Trust","2","14%"
"Other","North West Anglia NHS Foundation Trust","2","15%"
"Other","North West Boroughs Healthcare NHS Foundation Trust","0","0%"
"Other","Northampton General Hospital NHS Trust","0","0%"
"Other","Northamptonshire Healthcare NHS Foundation Trust","1","8%"
"Other","Northern Devon Healthcare NHS Trust","0","0%"
"Other","Northern Lincolnshire and Goole NHS Foundation Trust","1","7%"
"Other","Northumberland, Tyne and Wear NHS Foundation Trust","1","7%"
"Other","Northumbria Healthcare NHS Foundation Trust","1","5%"
"Other","Nottingham University Hospitals NHS Trust","1","8%"
"Other","Nottinghamshire Healthcare NHS Foundation Trust","1","6%"
"Other","Oxford Health NHS Foundation Trust","0","0%"
"Other","Oxford University Hospitals NHS Foundation Trust","0","0%"
"Other","Oxleas NHS Foundation Trust","4","29%"
"Other","Papworth Hospital NHS Foundation Trust","-","-"
"Other","Pennine Acute Hospitals NHS Trust","0","0%"
"Other","Pennine Care NHS Foundation Trust","0","0%"
"Other","Plymouth Hospitals NHS Trust","0","0%"
"Other","Poole Hospital NHS Foundation Trust","-","-"
"Other","Portsmouth Hospitals NHS Trust","0","0%"
"Other","Queen Victoria Hospital NHS Foundation Trust","1","10%"
"Other","Rotherham Doncaster and South Humber NHS Foundation Trust","2","13%"
"Other","Royal Berkshire NHS Foundation Trust","0","0%"
"Other","Royal Brompton & Harefield NHS Foundation Trust","0","0%"
"Other","Royal Cornwall Hospitals NHS Trust","0","0%"
"Other","Royal Devon and Exeter NHS Foundation Trust","0","0%"
"Other","Royal Free London NHS Foundation Trust","2","13%"
"Other","Royal Liverpool and Broadgreen University Hospitals NHS Trust","-","-"
"Other","Royal National Orthopaedic Hospital NHS Trust","4","20%"
"Other","Royal Surrey County Hospital NHS Foundation Trust","0","0%"
"Other","Royal United Hospitals Bath NHS Foundation Trust","0","0%"
"Other","Salford Royal NHS Foundation Trust","1","6%"
"Other","Salisbury NHS Foundation Trust","0","0%"
"Other","Sandwell and West Birmingham Hospitals NHS Trust","3","21%"
"Other","Sheffield Children's NHS Foundation Trust","1","9%"
"Other","Sheffield Health & Social Care NHS Foundation Trust","1","10%"
"Other","Sheffield Teaching Hospitals NHS Foundation Trust","0","0%"
"Other","Sherwood Forest Hospitals NHS Foundation Trust","0","0%"
"Other","Shrewsbury and Telford Hospital NHS Trust","2","13%"
"Other","Shropshire Community Health NHS Trust","1","9%"
"Other","Solent NHS Trust","1","8%"
"Other","Somerset Partnership NHS Foundation Trust","0","0%"
"Other","South Central Ambulance Service NHS Foundation Trust","2","14%"
"Other","South East Coast Ambulance Service NHS Foundation Trust","0","0%"
"Other","South Essex Partnership University NHS Foundation Trust","2","15%"
"Other","South London and Maudsley NHS Foundation Trust","1","8%"
"Other","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","1","9%"
"Other","South Tees Hospitals NHS Foundation Trust","1","6%"
"Other","South Tyneside NHS Foundation Trust","1","8%"
"Other","South Warwickshire NHS Foundation Trust","1","6%"
"Other","South West London and St George's Mental Health NHS Trust","-","-"
"Other","South West Yorkshire Partnership NHS Foundation Trust","1","6%"
"Other","South Western Ambulance Service NHS Foundation Trust","2","14%"
"Other","Southend University Hospital NHS Foundation Trust","0","0%"
"Other","Southern Health NHS Foundation Trust","0","0%"
"Other","Southport and Ormskirk Hospital NHS Trust","3","25%"
"Other","St George's University Hospitals NHS Foundation Trust","1","5%"
"Other","St Helens and Knowsley Hospital Services NHS Trust","2","14%"
"Other","Staffordshire and Stoke On Trent Partnership NHS Trust","0","0%"
"Other","Stockport NHS Foundation Trust","1","7%"
"Other","Surrey and Borders Partnership NHS Foundation Trust","3","14%"
"Other","Surrey and Sussex Healthcare NHS Trust","1","6%"
"Other","Sussex Community NHS Foundation Trust","0","0%"
"Other","Sussex Partnership NHS Foundation Trust","1","7%"
"Other","Tameside and Glossop Integrated Care NHS Foundation Trust","1","7%"
"Other","Taunton and Somerset NHS Foundation Trust","0","0%"
"Other","Tavistock and Portman NHS Foundation Trust","1","7%"
"Other","Tees, Esk and Wear Valleys NHS Foundation Trust","-","-"
"Other","The Christie NHS Foundation Trust","1","8%"
"Other","The Clatterbridge Cancer Centre NHS Foundation Trust","0","0%"
"Other","The Dudley Group NHS Foundation Trust","0","0%"
"Other","The Hillingdon Hospitals NHS Foundation Trust","3","21%"
"Other","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","0","0%"
"Other","The Princess Alexandra Hospital NHS Trust","0","0%"
"Other","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","0","0%"
"Other","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","0","0%"
"Other","The Rotherham NHS Foundation Trust","3","16%"
"Other","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","0","0%"
"Other","The Royal Marsden NHS Foundation Trust","0","0%"
"Other","The Royal Orthopaedic Hospital NHS Foundation Trust","0","0%"
"Other","The Royal Wolverhampton NHS Trust","2","12%"
"Other","The Walton Centre NHS Foundation Trust","0","0%"
"Other","The Whittington Hospital NHS Trust","2","13%"
"Other","Torbay and South Devon NHS Foundation Trust","0","0%"
"Other","United Lincolnshire Hospitals NHS Trust","0","0%"
"Other","University College London Hospitals NHS Foundation Trust","1","6%"
"Other","University Hospital Of South Manchester NHS Foundation Trust","1","7%"
"Other","University Hospital Southampton NHS Foundation Trust","1","7%"
"Other","University Hospitals Birmingham NHS Foundation Trust","1","6%"
"Other","University Hospitals Bristol NHS Foundation Trust","0","0%"
"Other","University Hospitals Coventry and Warwickshire NHS Trust","2","15%"
"Other","University Hospitals Of Leicester NHS Trust","2","13%"
"Other","University Hospitals Of Morecambe Bay NHS Foundation Trust","2","14%"
"Other","University Hospitals Of North Midlands NHS Trust","0","0%"
"Other","Walsall Healthcare NHS Trust","4","25%"
"Other","Warrington and Halton Hospitals NHS Foundation Trust","1","7%"
"Other","West Hertfordshire Hospitals NHS Trust","1","6%"
