"Title","NHS trust board membership by ethnicity and trust"
"Location","England"
"Time period","2017"
"Data source","Workforce Race Equality Standard (WRES) data reporting"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","White","","Other","","Unknown",""
"East Kent Hospitals University NHS Foundation Trust","11","79%","3","21%","0","0%"
"East Lancashire Hospitals NHS Trust","16","94%","1","6%","0","0%"
"East London NHS Foundation Trust","9","60%","6","40%","0","0%"
"East Midlands Ambulance Service NHS Trust","12","92%","1","8%","0","0%"
"East Of England Ambulance Service NHS Trust","9","64%","1","7%","4","29%"
"East Sussex Healthcare NHS Trust","11","85%","0","0%","2","15%"
"Epsom and St Helier University Hospitals NHS Trust","14","88%","2","13%","0","0%"
"Frimley Health NHS Foundation Trust","9","64%","1","7%","4","29%"
"Gateshead Health NHS Foundation Trust","17","100%","0","0%","0","0%"
"George Eliot Hospital NHS Trust","13","87%","2","13%","0","0%"
"Gloucestershire Care Services NHS Trust","12","100%","0","0%","0","0%"
"Gloucestershire Hospitals NHS Foundation Trust","11","92%","1","8%","0","0%"
"Great Ormond Street Hospital For Children NHS Foundation Trust","10","83%","2","17%","0","0%"
"Great Western Hospitals NHS Foundation Trust","8","67%","0","0%","4","33%"
"Greater Manchester Mental Health NHS Foundation Trust","12","86%","2","14%","0","0%"
"Guy's and St Thomas' NHS Foundation Trust","11","79%","3","21%","0","0%"
"Hampshire Hospitals NHS Foundation Trust","12","100%","0","0%","0","0%"
"Harrogate and District NHS Foundation Trust","11","92%","0","0%","1","8%"
"Heart Of England NHS Foundation Trust","12","86%","0","0%","2","14%"
"Hertfordshire Community NHS Trust","11","85%","2","15%","0","0%"
"Hertfordshire Partnership University NHS Foundation Trust","13","81%","3","19%","0","0%"
"Hinchingbrooke Health Care NHS Trust","9","100%","0","0%","0","0%"
"Homerton University Hospital NHS Foundation Trust","13","100%","0","0%","0","0%"
"Hounslow and Richmond Community Healthcare NHS Trust","8","67%","4","33%","0","0%"
"Hull and East Yorkshire Hospitals NHS Trust","12","100%","0","0%","0","0%"
"Humber NHS Foundation Trust","7","54%","1","8%","5","38%"
"Imperial College Healthcare NHS Trust","11","85%","1","8%","1","8%"
"Ipswich Hospital NHS Trust","16","100%","0","0%","0","0%"
"Isle Of Wight NHS Trust","9","100%","0","0%","0","0%"
"James Paget University Hospitals NHS Foundation Trust","14","93%","1","7%","0","0%"
"Kent and Medway NHS and Social Care Partnership Trust","5","83%","1","17%","0","0%"
"Kent Community Health NHS Foundation Trust","11","73%","0","0%","4","27%"
"Kettering General Hospital NHS Foundation Trust","13","100%","0","0%","0","0%"
"King's College Hospital NHS Foundation Trust","16","100%","0","0%","0","0%"
"Kingston Hospital NHS Foundation Trust","14","93%","1","7%","0","0%"
"Lancashire Care NHS Foundation Trust","13","100%","0","0%","0","0%"
"Lancashire Teaching Hospitals NHS Foundation Trust","-","-","-","-","-","-"
"Leeds and York Partnership NHS Foundation Trust","12","92%","1","8%","0","0%"
"Leeds Community Healthcare NHS Trust","7","58%","0","0%","5","42%"
"Leeds Teaching Hospitals NHS Trust","13","100%","0","0%","0","0%"
"Leicestershire Partnership NHS Trust","13","93%","1","7%","0","0%"
"Lewisham and Greenwich NHS Trust","13","93%","1","7%","0","0%"
"Lincolnshire Community Health Services NHS Trust","12","100%","0","0%","0","0%"
"Lincolnshire Partnership NHS Foundation Trust","10","83%","0","0%","2","17%"
"Liverpool Community Health NHS Trust","9","90%","0","0%","1","10%"
"Liverpool Heart and Chest Hospital NHS Foundation Trust","11","85%","1","8%","1","8%"
"Liverpool Women's NHS Foundation Trust","10","91%","1","9%","0","0%"
"London Ambulance Service NHS Trust","17","100%","0","0%","0","0%"
"London North West Healthcare NHS Trust","15","88%","2","12%","0","0%"
"Luton and Dunstable University Hospital NHS Foundation Trust","18","95%","1","5%","0","0%"
"Maidstone and Tunbridge Wells NHS Trust","10","91%","1","9%","0","0%"
"Medway NHS Foundation Trust","18","100%","0","0%","0","0%"
"Mersey Care NHS Foundation Trust","17","100%","0","0%","0","0%"
"Mid Cheshire Hospitals NHS Foundation Trust","13","100%","0","0%","0","0%"
"Mid Essex Hospital Services NHS Trust","10","77%","3","23%","0","0%"
"Mid Yorkshire Hospitals NHS Trust","21","91%","2","9%","0","0%"
"Milton Keynes University Hospital NHS Foundation Trust","-","-","-","-","-","-"
"Moorfields Eye Hospital NHS Foundation Trust","14","88%","2","13%","0","0%"
"Norfolk and Norwich University Hospitals NHS Foundation Trust","14","100%","0","0%","0","0%"
"Norfolk and Suffolk NHS Foundation Trust","13","100%","0","0%","0","0%"
"Norfolk Community Health and Care NHS Trust","10","77%","0","0%","3","23%"
"North Bristol NHS Trust","-","-","-","-","-","-"
"North Cumbria University Hospitals NHS Trust","11","100%","0","0%","0","0%"
"North East Ambulance Service NHS Foundation Trust","12","92%","1","8%","0","0%"
"North East London NHS Foundation Trust","14","82%","3","18%","0","0%"
"North Essex Partnership University NHS Foundation Trust","12","100%","0","0%","0","0%"
"North Middlesex University Hospital NHS Trust","10","77%","3","23%","0","0%"
"North Staffordshire Combined Healthcare NHS Trust","12","92%","1","8%","0","0%"
"North Tees and Hartlepool NHS Foundation Trust","13","93%","1","7%","0","0%"
"North West Ambulance Service NHS Trust","12","86%","2","14%","0","0%"
"North West Anglia NHS Foundation Trust","11","85%","2","15%","0","0%"
"North West Boroughs Healthcare NHS Foundation Trust","11","100%","0","0%","0","0%"
"Northampton General Hospital NHS Trust","13","81%","0","0%","3","19%"
"Northamptonshire Healthcare NHS Foundation Trust","6","50%","1","8%","5","42%"
"Northern Devon Healthcare NHS Trust","12","86%","0","0%","2","14%"
"Northern Lincolnshire and Goole NHS Foundation Trust","14","93%","1","7%","0","0%"
"Northumberland, Tyne and Wear NHS Foundation Trust","13","93%","1","7%","0","0%"
"Northumbria Healthcare NHS Foundation Trust","18","95%","1","5%","0","0%"
"Nottingham University Hospitals NHS Trust","11","92%","1","8%","0","0%"
"Nottinghamshire Healthcare NHS Foundation Trust","15","94%","1","6%","0","0%"
"Oxford Health NHS Foundation Trust","13","100%","0","0%","0","0%"
"Oxford University Hospitals NHS Foundation Trust","13","87%","0","0%","2","13%"
"Oxleas NHS Foundation Trust","10","71%","4","29%","0","0%"
"Papworth Hospital NHS Foundation Trust","-","-","-","-","-","-"
"Pennine Acute Hospitals NHS Trust","10","100%","0","0%","0","0%"
"Pennine Care NHS Foundation Trust","14","100%","0","0%","0","0%"
"Plymouth Hospitals NHS Trust","11","65%","0","0%","6","35%"
"Poole Hospital NHS Foundation Trust","-","-","-","-","-","-"
"Portsmouth Hospitals NHS Trust","13","100%","0","0%","0","0%"
"Queen Victoria Hospital NHS Foundation Trust","9","90%","1","10%","0","0%"
"Rotherham Doncaster and South Humber NHS Foundation Trust","13","87%","2","13%","0","0%"
"Royal Berkshire NHS Foundation Trust","11","100%","0","0%","0","0%"
"Royal Brompton & Harefield NHS Foundation Trust","7","50%","0","0%","7","50%"
"Royal Cornwall Hospitals NHS Trust","16","100%","0","0%","0","0%"
"Royal Devon and Exeter NHS Foundation Trust","12","100%","0","0%","0","0%"
"Royal Free London NHS Foundation Trust","13","87%","2","13%","0","0%"
"Royal Liverpool and Broadgreen University Hospitals NHS Trust","-","-","-","-","-","-"
"Royal National Orthopaedic Hospital NHS Trust","16","80%","4","20%","0","0%"
"Royal Surrey County Hospital NHS Foundation Trust","9","100%","0","0%","0","0%"
"Royal United Hospitals Bath NHS Foundation Trust","13","100%","0","0%","0","0%"
"Salford Royal NHS Foundation Trust","16","94%","1","6%","0","0%"
"Salisbury NHS Foundation Trust","13","100%","0","0%","0","0%"
"Sandwell and West Birmingham Hospitals NHS Trust","11","79%","3","21%","0","0%"
"Sheffield Children's NHS Foundation Trust","10","91%","1","9%","0","0%"
"Sheffield Health & Social Care NHS Foundation Trust","9","90%","1","10%","0","0%"
"Sheffield Teaching Hospitals NHS Foundation Trust","14","100%","0","0%","0","0%"
"Sherwood Forest Hospitals NHS Foundation Trust","10","83%","0","0%","2","17%"
"Shrewsbury and Telford Hospital NHS Trust","13","87%","2","13%","0","0%"
"Shropshire Community Health NHS Trust","10","91%","1","9%","0","0%"
"Solent NHS Trust","10","83%","1","8%","1","8%"
"Somerset Partnership NHS Foundation Trust","13","87%","0","0%","2","13%"
"South Central Ambulance Service NHS Foundation Trust","12","86%","2","14%","0","0%"
"South East Coast Ambulance Service NHS Foundation Trust","9","69%","0","0%","4","31%"
"South Essex Partnership University NHS Foundation Trust","11","85%","2","15%","0","0%"
"South London and Maudsley NHS Foundation Trust","11","92%","1","8%","0","0%"
"South Staffordshire and Shropshire Healthcare NHS Foundation Trust","10","91%","1","9%","0","0%"
"South Tees Hospitals NHS Foundation Trust","15","94%","1","6%","0","0%"
"South Tyneside NHS Foundation Trust","12","92%","1","8%","0","0%"
"South Warwickshire NHS Foundation Trust","11","69%","1","6%","4","25%"
"South West London and St George's Mental Health NHS Trust","-","-","-","-","-","-"
"South West Yorkshire Partnership NHS Foundation Trust","16","94%","1","6%","0","0%"
"South Western Ambulance Service NHS Foundation Trust","12","86%","2","14%","0","0%"
"Southend University Hospital NHS Foundation Trust","14","100%","0","0%","0","0%"
"Southern Health NHS Foundation Trust","13","93%","0","0%","1","7%"
"Southport and Ormskirk Hospital NHS Trust","8","67%","3","25%","1","8%"
"St George's University Hospitals NHS Foundation Trust","18","95%","1","5%","0","0%"
"St Helens and Knowsley Hospital Services NHS Trust","12","86%","2","14%","0","0%"
"Staffordshire and Stoke On Trent Partnership NHS Trust","14","100%","0","0%","0","0%"
"Stockport NHS Foundation Trust","13","93%","1","7%","0","0%"
"Surrey and Borders Partnership NHS Foundation Trust","19","86%","3","14%","0","0%"
"Surrey and Sussex Healthcare NHS Trust","15","94%","1","6%","0","0%"
"Sussex Community NHS Foundation Trust","12","100%","0","0%","0","0%"
"Sussex Partnership NHS Foundation Trust","12","86%","1","7%","1","7%"
"Tameside and Glossop Integrated Care NHS Foundation Trust","13","93%","1","7%","0","0%"
"Taunton and Somerset NHS Foundation Trust","13","100%","0","0%","0","0%"
"Tavistock and Portman NHS Foundation Trust","13","93%","1","7%","0","0%"
"Tees, Esk and Wear Valleys NHS Foundation Trust","-","-","-","-","-","-"
"The Christie NHS Foundation Trust","12","92%","1","8%","0","0%"
"The Clatterbridge Cancer Centre NHS Foundation Trust","11","100%","0","0%","0","0%"
"The Dudley Group NHS Foundation Trust","12","80%","0","0%","3","20%"
"The Hillingdon Hospitals NHS Foundation Trust","11","79%","3","21%","0","0%"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust","10","83%","0","0%","2","17%"
"The Princess Alexandra Hospital NHS Trust","13","100%","0","0%","0","0%"
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","12","100%","0","0%","0","0%"
"The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","11","100%","0","0%","0","0%"
"The Rotherham NHS Foundation Trust","11","58%","3","16%","5","26%"
"The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","15","100%","0","0%","0","0%"
"The Royal Marsden NHS Foundation Trust","12","100%","0","0%","0","0%"
"The Royal Orthopaedic Hospital NHS Foundation Trust","11","100%","0","0%","0","0%"
"The Royal Wolverhampton NHS Trust","15","88%","2","12%","0","0%"
"The Walton Centre NHS Foundation Trust","12","100%","0","0%","0","0%"
"The Whittington Hospital NHS Trust","8","53%","2","13%","5","33%"
"Torbay and South Devon NHS Foundation Trust","15","100%","0","0%","0","0%"
"United Lincolnshire Hospitals NHS Trust","17","100%","0","0%","0","0%"
"University College London Hospitals NHS Foundation Trust","15","94%","1","6%","0","0%"
"University Hospital Of South Manchester NHS Foundation Trust","7","47%","1","7%","7","47%"
"University Hospital Southampton NHS Foundation Trust","13","93%","1","7%","0","0%"
"University Hospitals Birmingham NHS Foundation Trust","16","94%","1","6%","0","0%"
"University Hospitals Bristol NHS Foundation Trust","15","94%","0","0%","1","6%"
"University Hospitals Coventry and Warwickshire NHS Trust","11","85%","2","15%","0","0%"
"University Hospitals Of Leicester NHS Trust","13","87%","2","13%","0","0%"
"University Hospitals Of Morecambe Bay NHS Foundation Trust","12","86%","2","14%","0","0%"
"University Hospitals Of North Midlands NHS Trust","16","100%","0","0%","0","0%"
"Walsall Healthcare NHS Trust","12","75%","4","25%","0","0%"
"Warrington and Halton Hospitals NHS Foundation Trust","14","93%","1","7%","0","0%"
"West Hertfordshire Hospitals NHS Trust","17","94%","1","6%","0","0%"
"West London Mental Health NHS Trust","13","87%","2","13%","0","0%"
"West Midlands Ambulance Service NHS Foundation Trust","11","85%","1","8%","1","8%"
"West Suffolk NHS Foundation Trust","12","100%","0","0%","0","0%"
"Western Sussex Hospitals NHS Foundation Trust","13","100%","0","0%","0","0%"
"Weston Area Health NHS Trust","13","100%","0","0%","0","0%"
"Wirral Community NHS Foundation Trust","13","100%","0","0%","0","0%"
"Wirral University Teaching Hospital NHS Foundation Trust","13","100%","0","0%","0","0%"
"Worcestershire Acute Hospitals NHS Trust","14","100%","0","0%","0","0%"
"Worcestershire Health and Care NHS Trust","-","-","-","-","-","-"
"Wrightington, Wigan and Leigh NHS Foundation Trust","14","93%","1","7%","0","0%"
"Wye Valley NHS Trust","11","100%","0","0%","0","0%"
"Yeovil District Hospital NHS Foundation Trust","13","93%","1","7%","0","0%"
"York Teaching Hospital NHS Foundation Trust","16","100%","0","0%","0","0%"
"Yorkshire Ambulance Service NHS Trust","15","94%","1","6%","0","0%"
