"measure_code","measure","time","time_type","Ethnicity of household reference person","ethnicity_type","agebracket","value","denominator"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","11","236"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","16","1,753"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Working-age adults","17","689"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Working-age adults","16","123"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Pensioners","10","7,487"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Pensioners","10","6,894"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Pensioners","10","6,594"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","","Pensioners","13","300"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","34"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Pensioners","16","186"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Pensioners","13","118"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","22"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","All","17","36,461"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","All","16","29,799"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","All","17","28,130"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","","All","15","1,669"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","All","16","407"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","All","30","3,087"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","All","29","1,265"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","All","26","226"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Children","22","8,929"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Children","20","6,701"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Children","21","6,268"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","","Children","14","433"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Children","14","137"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Children","41","1,145"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Children","38","456"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Children","?","81"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Working-age adults","14","20,031"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Working-age adults","13","16,198"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Working-age adults","14","15,262"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","","Working-age adults","12","936"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","17","236"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","25","1,753"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Working-age adults","25","689"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Working-age adults","24","123"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Pensioners","21","7,487"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Pensioners","21","6,894"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Pensioners","21","6,594"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","","Pensioners","26","300"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","34"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Pensioners","24","186"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Pensioners","24","118"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","22"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","All","12","31,307"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","All","11","26,124"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","All","11","24,641"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White other","","All","13","1,483"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","All","20","325"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","All","27","2,396"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","All","29","934"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","All","24","192"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Children","17","7,450"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Children","15","5,741"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Children","15","5,354"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White other","","Children","16","387"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Children","22","106"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Children","35","886"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Children","38","345"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Children","?","69"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Working-age adults","11","16,925"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Working-age adults","10","13,966"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Working-age adults","10","13,145"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White other","","Working-age adults","13","821"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","22","190"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","23","1,340"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Working-age adults","24","499"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Working-age adults","24","107"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Pensioners","7","6,922"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Pensioners","7","6,411"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Pensioners","7","6,136"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White other","","Pensioners","11","275"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","29"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Pensioners","13","167"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Pensioners","?","89"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","16"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","All","19","31,307"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","All","18","26,124"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","All","18","24,641"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White other","","All","19","1,483"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","All","28","325"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","All","36","2,396"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","All","38","934"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","All","31","192"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Children","28","7,450"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Children","26","5,741"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Children","26","5,354"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White other","","Children","22","387"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Children","33","106"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Children","48","886"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Children","48","345"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Children","?","69"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Working-age adults","17","16,925"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Working-age adults","16","13,966"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Working-age adults","16","13,145"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White other","","Working-age adults","18","821"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","28","190"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","31","1,340"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Working-age adults","33","499"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Working-age adults","28","107"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Pensioners","14","6,922"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Pensioners","15","6,411"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Pensioners","14","6,136"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White other","","Pensioners","20","275"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","29"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Pensioners","20","167"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Pensioners","?","89"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","16"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","All","9","40,716"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","All","8","33,011"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","All","8","31,100"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","","All","8","1,911"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","All","8","471"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","All","20","3,576"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","All","17","1,484"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","All","20","272"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Children","11","10,236"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Children","10","7,574"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Children","10","7,043"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","","Children","8","531"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Children","9","165"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Children","28","1,332"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Children","22","568"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Children","30","105"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Working-age adults","7","22,483"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Working-age adults","7","18,085"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Working-age adults","7","17,026"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","","Working-age adults","5","1,059"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","7","264"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","16","2,031"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Working-age adults","15","781"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Working-age adults","16","141"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Pensioners","11","7,996"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Pensioners","12","7,352"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Pensioners","11","7,031"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","","Pensioners","17","321"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","42"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Pensioners","15","213"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Pensioners","10","134"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","26"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","All","17","40,716"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","All","17","33,011"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","All","17","31,100"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","","All","14","1,911"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","All","18","471"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","All","31","3,576"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","All","28","1,484"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","All","27","272"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Children","22","10,236"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Children","20","7,574"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Children","20","7,043"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","","Children","15","531"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Children","24","165"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Children","42","1,332"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Children","35","568"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Children","37","105"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Working-age adults","14","22,483"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Working-age adults","14","18,085"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Working-age adults","14","17,026"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","","Working-age adults","12","1,059"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","14","264"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","25","2,031"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Working-age adults","25","781"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Working-age adults","23","141"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Pensioners","22","7,996"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Pensioners","22","7,352"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Pensioners","22","7,031"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","","Pensioners","26","321"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","42"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Pensioners","26","213"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Pensioners","24","134"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","26"
