"Title","Low income"
"Location","UK"
"Time period","2011 to 2015"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/income-dynamics-experimental"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","24","1,484","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","29","272","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","21","10,237","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","20","7,018","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","16","528","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","26","164","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","40","1,330","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","30","568","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","38","105","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Working-age adults","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","22,489","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","13","16,996","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","12","1,054","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","17","262","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","23","2,029","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","20","781","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","25","141","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Pensioners","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","22","7,997","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","22","7,030","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","27","319","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","21","213","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","22","134","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","11","34,803","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","11","27,143","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","15","1,696","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","17","358","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","22","2,762","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","25","1,022","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","31","227","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","16","8,492","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","15","5,976","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","18","465","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","22","123","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","31","1,034","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","31","399","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Working-age adults","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","18,930","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","10","14,629","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","940","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","16","201","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","20","1,542","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","22","524","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","29","121","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Pensioners","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","8","7,381","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","8","6,538","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","10","291","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","5","186","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","19","34,803","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","18","27,143","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","23","1,696","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","27","358","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","33","2,762","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","33","1,022","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","38","227","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","28","8,492","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","26","5,976","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","28","465","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","36","123","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","45","1,034","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","40","399","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Working-age adults","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","18","18,930","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","17","14,629","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","22","940","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","25","201","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","29","1,542","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","29","524","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","34","121","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Pensioners","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","15","7,381","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","15","6,538","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","21","291","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","16","186","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","9","47,057","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","9","35,601","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","9","2,198","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","6","560","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","20","4,136","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","17","1,774","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","23","315","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","11","12,160","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","10","8,351","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","9","608","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","4","200","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","27","1,549","","","",""
