"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography code","Geography_type","Gender","Age Bracket","Socio-economic classification","Value","Denominator"
"Proportion of adults that fear crime","2014/15","Financial year","Any other white background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","18.7","1386"
"Proportion of adults that fear crime","2014/15","Financial year","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","20.3","303"
"Proportion of adults that fear crime","2014/15","Financial year","Mixed white and black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","21.4","97"
"Proportion of adults that fear crime","2014/15","Financial year","Mixed white and black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","?","45"
"Proportion of adults that fear crime","2014/15","Financial year","Mixed white and asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.8","88"
"Proportion of adults that fear crime","2014/15","Financial year","Any other Mixed/Multiple ethnic background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.8","73"
"Proportion of adults that fear crime","2014/15","Financial year","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","28.2","1578"
"Proportion of adults that fear crime","2014/15","Financial year","Indian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","29.3","642"
"Proportion of adults that fear crime","2014/15","Financial year","Pakistani","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.5","375"
"Proportion of adults that fear crime","2014/15","Financial year","Bangladeshi","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","29.1","119"
"Proportion of adults that fear crime","2014/15","Financial year","Chinese","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","19.3","131"
"Proportion of adults that fear crime","2014/15","Financial year","Any other asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","30.3","311"
"Proportion of adults that fear crime","2014/15","Financial year","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","23.7","875"
"Proportion of adults that fear crime","2014/15","Financial year","Black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","22.2","509"
"Proportion of adults that fear crime","2014/15","Financial year","Black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.7","309"
"Proportion of adults that fear crime","2014/15","Financial year","Any other black background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.2","57"
"Proportion of adults that fear crime","2014/15","Financial year","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","26","223"
"Proportion of adults that fear crime","2014/15","Financial year","Arab","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.5","79"
"Proportion of adults that fear crime","2014/15","Financial year","Any other ethnic group","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.3","144"
"Proportion of adults that fear crime","2015/16","Financial year","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","18","31352"
"Proportion of adults that fear crime","2015/16","Financial year","White British","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.8","29458"
"Proportion of adults that fear crime","2015/16","Financial year","White Irish","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","20.4","280"
"Proportion of adults that fear crime","2015/16","Financial year","Gypsy or Irish Traveller","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","?","15"
"Proportion of adults that fear crime","2015/16","Financial year","Any other white background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","20.7","1599"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","21.1","359"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed white and black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.7","133"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed white and black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","?","43"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed white and asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","21.4","93"
"Proportion of adults that fear crime","2015/16","Financial year","Any other Mixed/Multiple ethnic background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.3","90"
"Proportion of adults that fear crime","2015/16","Financial year","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.1","1712"
"Proportion of adults that fear crime","2015/16","Financial year","Indian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.5","694"
"Proportion of adults that fear crime","2015/16","Financial year","Pakistani","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","29.8","400"
"Proportion of adults that fear crime","2015/16","Financial year","Bangladeshi","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","31.4","130"
"Proportion of adults that fear crime","2015/16","Financial year","Chinese","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","15.7","166"
"Proportion of adults that fear crime","2015/16","Financial year","Any other asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.7","322"
"Proportion of adults that fear crime","2015/16","Financial year","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.3","854"
"Proportion of adults that fear crime","2015/16","Financial year","Black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.4","504"
"Proportion of adults that fear crime","2015/16","Financial year","Black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.7","292"
"Proportion of adults that fear crime","2015/16","Financial year","Any other black background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","28.1","58"
"Proportion of adults that fear crime","2015/16","Financial year","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.1","235"
"Proportion of adults that fear crime","2015/16","Financial year","Arab","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","29.7","84"
"Proportion of adults that fear crime","2015/16","Financial year","Any other ethnic group","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.5","151"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16-24","All","19.6","2756"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","25-34","All","22.3","5186"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","35-44","All","23.7","5722"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","45-54","All","20.4","5975"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","55-64","All","19.4","5578"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","65-74","All","14.8","5168"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","75+","All","9.8","4299"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16-24","All","18.3","2382"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","25-34","All","19.7","4697"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","35-44","All","22.5","5348"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","45-54","All","20.5","5558"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","55-64","All","19.3","5231"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","65-74","All","15.8","5246"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","75+","All","8.6","4240"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16-24","All","18.4","2478"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","25-34","All","20.7","4892"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","35-44","All","22.4","5459"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","45-54","All","21.6","6008"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","55-64","All","20.1","5574"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","65-74","All","15.5","5728"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","75+","All","9.8","4427"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","Male","16+","All","18.9","15928"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","Female","16+","All","19.9","18756"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","Male","16+","All","18.9","14803"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","Female","16+","All","18.2","17899"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","Male","16+","All","18.7","15765"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","Female","16+","All","19.4","18801"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","18.5","11620"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","19.7","8124"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","20.1","12316"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","23.4","1276"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Full time students","17","1190"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Not classified","17.1","158"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","17.6","11171"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","19.3","7550"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","18.8","11506"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","22.4","1264"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Full time students","17.1","1019"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Not classified","15.1","192"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Managerial and professional occupations","17.5","12087"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Intermediate occupations","20.5","8048"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Routine and manual occupations","20","11955"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Never worked and long-term unemployed","20.3","1167"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Full time students","17.1","1078"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","Not classified","24","231"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","20.9","4486"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.6","7024"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.8","5096"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.1","3736"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","17.8","2652"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","18.9","5540"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.5","6150"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","20.3","3860"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","18.9","6576"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.1","4908"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","17.7","3706"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","16.7","2648"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","18.4","5551"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","18.5","5448"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.3","3582"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19","6701"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.4","5208"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.3","4016"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","17.5","2746"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","18.3","6284"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","20.2","6015"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","White & other","England and Wales","K04000001","ONS geography code","All","16+","All","17.8","92447"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","All other ethnicities","White & other","England and Wales","K04000001","ONS geography code","All","16+","All","27.3","9381"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","North East","E12000001","ONS geography code","All","16+","All","19.1","6062"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Cleveland","E23000013","ONS geography code","All","16+","All","18.5","1860"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Durham","E23000008","ONS geography code","All","16+","All","19.1","1910"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Northumbria","E23000007","ONS geography code","All","16+","All","19.3","2292"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","North West","E12000002","ONS geography code","All","16+","All","18.1","11318"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Cheshire","E23000006","ONS geography code","All","16+","All","15.4","1867"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Cumbria","E23000002","ONS geography code","All","16+","All","10.8","1796"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Greater Manchester","E23000005","ONS geography code","All","16+","All","19.8","3523"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Lancashire","E23000003","ONS geography code","All","16+","All","17.4","2129"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Merseyside","E23000004","ONS geography code","All","16+","All","21.1","2003"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Yorkshire and the Humber","E12000003","ONS geography code","All","16+","All","17.3","8541"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Humberside","E23000012","ONS geography code","All","16+","All","15.8","1790"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","North Yorkshire","E23000009","ONS geography code","All","16+","All","10.4","1920"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","South Yorkshire","E23000011","ONS geography code","All","16+","All","19.4","1829"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","West Yorkshire","E23000010","ONS geography code","All","16+","All","19.6","3002"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","East Midlands","E12000004","ONS geography code","All","16+","All","19.5","8807"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Derbyshire","E23000018","ONS geography code","All","16+","All","19.2","1874"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Leicestershire","E23000021","ONS geography code","All","16+","All","19.9","1669"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Lincolnshire","E23000020","ONS geography code","All","16+","All","14.8","1845"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Northamptonshire","E23000022","ONS geography code","All","16+","All","18.1","1702"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Nottinghamshire","E23000019","ONS geography code","All","16+","All","23.7","1717"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","West Midlands","E12000005","ONS geography code","All","16+","All","24.2","8586"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Staffordshire","E23000015","ONS geography code","All","16+","All","33.6","1924"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Warwickshire","E23000017","ONS geography code","All","16+","All","16.5","1776"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","West Mercia","E23000016","ONS geography code","All","16+","All","14.3","1868"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","West Midlands","E23000014","ONS geography code","All","16+","All","27.7","3018"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","East","E12000006","ONS geography code","All","16+","All","16.6","11209"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Bedfordshire","E23000026","ONS geography code","All","16+","All","21.5","1730"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Cambridgeshire","E23000023","ONS geography code","All","16+","All","18.2","1734"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Essex","E23000028","ONS geography code","All","16+","All","19.2","2347"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Hertfordshire","E23000027","ONS geography code","All","16+","All","14.6","1719"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Norfolk","E23000024","ONS geography code","All","16+","All","12.8","1897"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Suffolk","E23000025","ONS geography code","All","16+","All","12.7","1782"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","London","E12000007","ONS geography code","All","16+","All","21.9","6871"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","City of London / Metropolitan Police","E12000007","ONS geography code","All","16+","All","21.9","6871"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","South East","E12000008","ONS geography code","All","16+","All","15.1","12192"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Hampshire","E23000030","ONS geography code","All","16+","All","11.4","2796"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Kent","E23000032","ONS geography code","All","16+","All","17.2","2403"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Surrey","E23000031","ONS geography code","All","16+","All","14.2","1687"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Sussex","E23000033","ONS geography code","All","16+","All","17.2","2310"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Thames Valley","E23000029","ONS geography code","All","16+","All","15.7","2996"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","South West","E12000009","ONS geography code","All","16+","All","12.8","10902"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Avon and Somerset","E23000036","ONS geography code","All","16+","All","16.1","2387"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Devon and Cornwall","E23000035","ONS geography code","All","16+","All","10.2","2821"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Dorset","E23000039","ONS geography code","All","16+","All","10.2","1850"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Gloucestershire","E23000037","ONS geography code","All","16+","All","13","1977"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Wiltshire","E23000038","ONS geography code","All","16+","All","13.3","1867"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Wales","W92000004","ONS geography code","All","16+","All","15.7","7959"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Dyfed-Powys","W15000004","ONS geography code","All","16+","All","9.5","1932"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","Gwent","W15000002","ONS geography code","All","16+","All","21","1979"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","North Wales","W15000001","ONS geography code","All","16+","All","13.9","2070"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS 5+1","South Wales","W15000003","ONS geography code","All","16+","All","17.1","1978"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","North East","E12000001","ONS geography code","All","16+","All","?","29"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Cleveland","E23000013","ONS geography code","All","16+","All","?","8"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Durham","E23000008","ONS geography code","All","16+","All","?","6"
