"Title","Adults reporting suicidal thoughts, attempts and self harm"
"Location","England"
"Time period","2014"
"Data source","NHS Digital"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"
"Measure","Time","Time_type","Geography","Ethnicity","Ethnicity_type","Sex","Sex_type","Suicidal thoughts and self harm","Suicidal thoughts and self harm_type","Value","Value type","Value Note","Lower CI","Upper CI","unweighted sample size"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","Men","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","1.5","%","","0.30%","6.80%","57"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","Men","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","5.8","%","","4.70%","7.10%","2,620"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","Men","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","8.3","%","","4.10%","16.10%","153"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","Men","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","5.5","%","","1.90%","15.00%","67"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","Men","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","6.1","%","","3.20%","11.30%","152"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","Men","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","1.9","%","","0.50%","6.80%","57"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","Women","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","23.5","%","","21.80%","25.20%","3,767"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","Women","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","18.6","%","","13.80%","24.60%","272"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","Women","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","20.3","%","","13.00%","30.20%","130"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","Women","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","14.3","%","","9.60%","20.80%","205"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","Women","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","26.6","%","","16.70%","39.50%","94"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","Women","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","8.5","%","","7.50%","9.60%","3,767"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","Women","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","6.2","%","","3.50%","10.70%","272"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","Women","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","3.9","%","","1.80%","8.20%","130"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","Women","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","5.6","%","","3.00%","10.10%","205"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","Women","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","10","%","","4.60%","20.60%","94"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","Women","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","10.3","%","","9.10%","11.70%","3,767"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","Women","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","4.3","%","","2.10%","8.40%","272"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","Women","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","4.2","%","","2.10%","8.20%","130"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","Women","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","4.7","%","","2.60%","8.40%","205"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","Women","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","6.6","%","","3.30%","12.90%","94"
