"Title","Driving licences"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","8 September 2016"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Numerator","Denominator","Unweighted_Sample_size"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","Other","National Travel Survey broad ethnicity classification","53","434","819","751"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","White","National Travel Survey broad ethnicity classification","74","49676","67478","66391"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","72","54198","74979","73652"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","58","2290","3965","3701"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","51","919","1790","1710"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","55","441","800","740"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","Other","National Travel Survey broad ethnicity classification","51","428","835","753"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","White","National Travel Survey broad ethnicity classification","74","50069","67526","66684"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","72","53555","73882","72707"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","58","2429","4156","3845"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","50","942","1886","1795"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","57","473","834","770"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","Other","National Travel Survey broad ethnicity classification","54","448","831","750"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","White","National Travel Survey broad ethnicity classification","74","49208","66109","65479"
"Proportion of people with full car driving licence","2007/11","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","73","52638","72597","71615"
"Proportion of people with full car driving licence","2007/11","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","58","2450","4224","3902"
"Proportion of people with full car driving licence","2007/11","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","49","982","1986","1901"
"Proportion of people with full car driving licence","2007/11","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","53","453","846","765"
"Proportion of people with full car driving licence","2007/11","5-year rolling average","Other","National Travel Survey broad ethnicity classification","54","473","875","798"
"Proportion of people with full car driving licence","2007/11","5-year rolling average","White","National Travel Survey broad ethnicity classification","75","48228","64599","64182"
"Proportion of people with full car driving licence","2008/12","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","73","52443","72177","71500"
"Proportion of people with full car driving licence","2008/12","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","58","2583","4428","4091"
"Proportion of people with full car driving licence","2008/12","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","50","1016","2024","1943"
"Proportion of people with full car driving licence","2008/12","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","55","454","829","756"
"Proportion of people with full car driving licence","2008/12","5-year rolling average","Other","National Travel Survey broad ethnicity classification","55","501","911","826"
"Proportion of people with full car driving licence","2008/12","5-year rolling average","White","National Travel Survey broad ethnicity classification","75","47850","63929","63831"
"Proportion of people with full car driving licence","2009/13","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","73","52899","72522","71904"
"Proportion of people with full car driving licence","2009/13","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","60","2797","4684","4376"
"Proportion of people with full car driving licence","2009/13","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","50","1068","2142","2054"
"Proportion of people with full car driving licence","2009/13","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","56","458","822","760"
"Proportion of people with full car driving licence","2009/13","5-year rolling average","Other","National Travel Survey broad ethnicity classification","56","510","915","821"
"Proportion of people with full car driving licence","2009/13","5-year rolling average","White","National Travel Survey broad ethnicity classification","75","48029","63905","63843"
"Proportion of people with full car driving licence","2010/14","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","73","52549","71877","71077"
"Proportion of people with full car driving licence","2010/14","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","60","2864","4770","4435"
"Proportion of people with full car driving licence","2010/14","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","51","1078","2122","2039"
"Proportion of people with full car driving licence","2010/14","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","56","431","769","700"
"Proportion of people with full car driving licence","2010/14","5-year rolling average","Other","National Travel Survey broad ethnicity classification","59","566","952","857"
"Proportion of people with full car driving licence","2010/14","5-year rolling average","White","National Travel Survey broad ethnicity classification","75","47575","63214","63000"
"Proportion of people with full car driving licence","2011/15","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","73","52786","72033","71223"
"Proportion of people with full car driving licence","2011/15","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","60","2904","4818","4503"
"Proportion of people with full car driving licence","2011/15","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","52","1082","2074","2024"
"Proportion of people with full car driving licence","2011/15","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","57","427","756","692"
"Proportion of people with full car driving licence","2011/15","5-year rolling average","Other","National Travel Survey broad ethnicity classification","58","556","965","877"
"Proportion of people with full car driving licence","2011/15","5-year rolling average","White","National Travel Survey broad ethnicity classification","75","47789","63374","63085"
