"Title","Driving licences"
"Location","England"
"Time period","2002/06 to 2013/17 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-08"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Value_type","Weighted_Sample_Individuals_with_full_car_licence","Unweighted_Sample_Individuals_with_full_car_licence","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Proportion of people with full car driving licence","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","49","%","982","955","1986","1901"
"Proportion of people with full car driving licence","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","53","%","453","424","846","765"
"Proportion of people with full car driving licence","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","54","%","473","450","875","798"
"Proportion of people with full car driving licence","2007-2011","5-year rolling average","White","ONS 2011 5+1","75","%","48228","48252","64599","64182"
"Proportion of people with full car driving licence","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","73","%","52443","52455","72177","71500"
"Proportion of people with full car driving licence","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","58","%","2583","2431","4428","4091"
"Proportion of people with full car driving licence","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","50","%","1016","994","2024","1943"
"Proportion of people with full car driving licence","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","55","%","454","429","829","756"
"Proportion of people with full car driving licence","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","55","%","501","475","911","826"
"Proportion of people with full car driving licence","2008-2012","5-year rolling average","White","ONS 2011 5+1","75","%","47850","48087","63929","63831"
"Proportion of people with full car driving licence","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","73","%","52899","52987","72522","71904"
"Proportion of people with full car driving licence","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","60","%","2797","2658","4684","4376"
"Proportion of people with full car driving licence","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","50","%","1068","1044","2142","2054"
"Proportion of people with full car driving licence","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","56","%","458","437","822","760"
"Proportion of people with full car driving licence","2009-2013","5-year rolling average","Other ethnic group","ONS 2011 5+1","56","%","510","485","915","821"
"Proportion of people with full car driving licence","2009-2013","5-year rolling average","White","ONS 2011 5+1","75","%","48029","48327","63905","63843"
"Proportion of people with full car driving licence","2010-2014","5-year rolling average","All ethnic groups","ONS 2011 5+1","73","%","52549","52488","71877","71077"
"Proportion of people with full car driving licence","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011 5+1","60","%","2864","2719","4770","4435"
"Proportion of people with full car driving licence","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","51","%","1078","1055","2122","2039"
"Proportion of people with full car driving licence","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","56","%","431","405","769","700"
"Proportion of people with full car driving licence","2010-2014","5-year rolling average","Other ethnic group","ONS 2011 5+1","59","%","566","534","952","857"
"Proportion of people with full car driving licence","2010-2014","5-year rolling average","White","ONS 2011 5+1","75","%","47575","47742","63214","63000"
"Proportion of people with full car driving licence","2011-2015","5-year rolling average","All ethnic groups","ONS 2011 5+1","73","%","52786","52723","72033","71223"
"Proportion of people with full car driving licence","2011-2015","5-year rolling average","Asian / Asian British","ONS 2011 5+1","60","%","2904","2785","4818","4503"
"Proportion of people with full car driving licence","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","52","%","1082","1064","2074","2024"
"Proportion of people with full car driving licence","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","57","%","427","407","756","692"
"Proportion of people with full car driving licence","2011-2015","5-year rolling average","Other ethnic group","ONS 2011 5+1","58","%","556","525","965","877"
"Proportion of people with full car driving licence","2011-2015","5-year rolling average","White","ONS 2011 5+1","75","%","47789","47915","63374","63085"
"Proportion of people with full car driving licence","2012-2016","5-year rolling average","All ethnic groups","ONS 2011 5+1","73","%","53088","52938","72276","71321"
"Proportion of people with full car driving licence","2012-2016","5-year rolling average","Asian / Asian British","ONS 2011 5+1","61","%","3063","2946","4994","4708"
"Proportion of people with full car driving licence","2012-2016","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","53","%","1091","1076","2062","2007"
"Proportion of people with full car driving licence","2012-2016","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","60","%","434","407","730","681"
"Proportion of people with full car driving licence","2012-2016","5-year rolling average","Other ethnic group","ONS 2011 5+1","59","%","565","529","951","852"
"Proportion of people with full car driving licence","2012-2016","5-year rolling average","White","ONS 2011 5+1","75","%","47909","47956","63500","63038"
"Proportion of people with full car driving licence","2013-2017","5-year rolling average","All ethnic groups","ONS 2011 5+1","74","%","52127","51882","70722","69666"
"Proportion of people with full car driving licence","2013-2017","5-year rolling average","Asian / Asian British","ONS 2011 5+1","62","%","3100","2983","5038","4761"
"Proportion of people with full car driving licence","2013-2017","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","52","%","1073","1054","2055","1998"
"Proportion of people with full car driving licence","2013-2017","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","59","%","402","376","679","636"
"Proportion of people with full car driving licence","2013-2017","5-year rolling average","Other ethnic group","ONS 2011 5+1","61","%","535","507","883","804"
"Proportion of people with full car driving licence","2013-2017","5-year rolling average","White","ONS 2011 5+1","76","%","46989","46933","62032","61431"
