"Title","Police workforce by ethnicity and area"
"Location","England and Wales"
"Time period","2016"
"Data source","[Police workforce, England and Wales, 31 March 2016] (https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Time","Time_type","Ethnicity","Geography","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"2016","As at 31st March","Asian","South Wales","13","13","35,804","36.31","0%","3%"
"2016","As at 31st March","Asian","South Yorkshire","44","44","54,660","79.67","2%","4%"
"2016","As at 31st March","Asian","Staffordshire","10","10","35,148","28.45","1%","3%"
"2016","As at 31st March","Asian","Suffolk","2","2","10,972","18.23","0%","2%"
"2016","As at 31st March","Asian","Surrey","21","22","54,037","39.32","1%","5%"
"2016","As at 31st March","Asian","Sussex","7","7","40,865","16.00","0%","3%"
"2016","As at 31st March","Asian","Thames Valley","72","73","192,541","37.40","2%","8%"
"2016","As at 31st March","Asian","Warwickshire","29","29","22,747","125.69","4%","4%"
"2016","As at 31st March","Asian","West Mercia","16","16","21,715","73.68","1%","2%"
"2016","As at 31st March","Asian","West Midlands","368","372","493,551","74.48","5%","18%"
"2016","As at 31st March","Asian","West Yorkshire","130","132","280,764","46.39","3%","13%"
"2016","As at 31st March","Asian","Wiltshire","8","8","17,379","46.03","1%","3%"
"2016","As at 31st March","Black","All - including BTP","1,504","1,525","1,864,890","80.64","1%","3%"
"2016","As at 31st March","Black","Avon & Somerset","14","14","30,923","45.27","1%","2%"
"2016","As at 31st March","Black","Bedfordshire","13","13","29,725","43.73","1%","5%"
"2016","As at 31st March","Black","Cambridgeshire","4","4","10,174","36.96","0%","1%"
"2016","As at 31st March","Black","Cheshire","0","0","3,264","0.00","0%","0%"
"2016","As at 31st March","Black","Cleveland","1","1","3,156","31.69","0%","1%"
"2016","As at 31st March","Black","Cumbria","2","2","579","345.42","0%","0%"
"2016","As at 31st March","Black","Derbyshire","5","5","10,090","46.88","0%","1%"
"2016","As at 31st March","Black","Devon & Cornwall","7","7","4,106","167.56","0%","0%"
"2016","As at 31st March","Black","Dorset","2","2","3,208","62.34","0%","0%"
"2016","As at 31st March","Black","Durham","1","1","1,058","94.52","0%","0%"
"2016","As at 31st March","Black","Dyfed-Powys","1","1","856","116.82","0%","0%"
"2016","As at 31st March","Black","Essex","5","5","34,679","14.42","0%","2%"
"2016","As at 31st March","Black","Gloucestershire","4","4","5,150","77.67","0%","1%"
"2016","As at 31st March","Black","Greater Manchester","41","41","74,097","54.86","1%","3%"
"2016","As at 31st March","Black","Gwent","5","5","3,185","156.99","0%","1%"
"2016","As at 31st March","Black","Hampshire","6","6","17,445","32.96","0%","1%"
"2016","As at 31st March","Black","Hertfordshire","12","12","31,401","37.55","1%","3%"
"2016","As at 31st March","Black","Humberside","6","6","4,499","133.36","0%","0%"
"2016","As at 31st March","Black","Kent","6","6","22,879","26.22","0%","1%"
"2016","As at 31st March","Black","Lancashire","3","3","5,377","55.79","0%","0%"
"2016","As at 31st March","Black","Leicestershire","16","16","24,623","63.19","1%","2%"
"2016","As at 31st March","Black","Lincolnshire","6","6","2,561","228.82","1%","0%"
"2016","As at 31st March","Black","London, City of","11","11","N/A","N/A","2%","3%"
"2016","As at 31st March","Black","Merseyside","20","20","14,552","137.44","1%","1%"
"2016","As at 31st March","Black","Metropolitan Police","978","992","1,088,447","89.83","3%","13%"
"2016","As at 31st March","Black","Norfolk","7","7","4,609","151.88","0%","1%"
"2016","As at 31st March","Black","North Wales","1","1","1,497","66.80","0%","0%"
"2016","As at 31st March","Black","North Yorkshire","0","0","3,618","0.00","0%","0%"
"2016","As at 31st March","Black","Northamptonshire","14","15","16,923","83.73","1%","2%"
"2016","As at 31st March","Black","Northumbria","5","5","9,006","55.52","0%","1%"
"2016","As at 31st March","Black","Nottinghamshire","17","17","27,287","62.30","1%","2%"
"2016","As at 31st March","Black","South Wales","5","5","12,738","39.25","0%","1%"
"2016","As at 31st March","Black","South Yorkshire","16","16","25,752","60.58","1%","2%"
"2016","As at 31st March","Black","Staffordshire","7","7","8,551","77.53","0%","1%"
"2016","As at 31st March","Black","Suffolk","3","3","6,854","43.77","0%","1%"
"2016","As at 31st March","Black","Surrey","9","10","12,430","75.30","1%","1%"
"2016","As at 31st March","Black","Sussex","4","4","14,246","28.08","0%","1%"
"2016","As at 31st March","Black","Thames Valley","32","32","69,013","45.85","1%","3%"
"2016","As at 31st March","Black","Warwickshire","1","1","4,443","22.51","0%","1%"
"2016","As at 31st March","Black","West Mercia","7","7","5,062","134.33","0%","0%"
"2016","As at 31st March","Black","West Midlands","102","103","164,069","61.97","1%","6%"
"2016","As at 31st March","Black","West Yorkshire","33","34","46,476","71.67","1%","2%"
"2016","As at 31st March","Black","Wiltshire","4","4","6,089","65.69","0%","1%"
"2016","As at 31st March","Mixed","All - including BTP","2,172","2,205","1,224,400","177.36","2%","2%"
"2016","As at 31st March","Mixed","Avon & Somerset","38","41","28,277","134.84","2%","2%"
"2016","As at 31st March","Mixed","Bedfordshire","20","20","18,456","108.09","2%","3%"
"2016","As at 31st March","Mixed","Cambridgeshire","15","15","16,029","93.58","1%","2%"
"2016","As at 31st March","Mixed","Cheshire","9","9","10,423","86.35","0%","1%"
"2016","As at 31st March","Mixed","Cleveland","4","4","5,762","69.42","0%","1%"
"2016","As at 31st March","Mixed","Cumbria","4","4","2,504","155.75","0%","1%"
"2016","As at 31st March","Mixed","Derbyshire","13","13","14,351","90.59","1%","1%"
"2016","As at 31st March","Mixed","Devon & Cornwall","20","20","15,645","127.77","1%","1%"
"2016","As at 31st March","Mixed","Dorset","11","11","9,507","114.13","1%","1%"
"2016","As at 31st March","Mixed","Durham","11","11","4,240","259.43","1%","1%"
"2016","As at 31st March","Mixed","Dyfed-Powys","5","5","3,262","153.28","0%","1%"
"2016","As at 31st March","Mixed","Essex","43","46","27,635","156.14","1%","2%"
"2016","As at 31st March","Mixed","Gloucestershire","9","9","8,661","103.91","1%","1%"
"2016","As at 31st March","Mixed","Greater Manchester","112","113","60,710","185.08","2%","2%"
"2016","As at 31st March","Mixed","Gwent","6","6","5,547","104.02","1%","1%"
"2016","As at 31st March","Mixed","Hampshire","33","34","30,905","106.39","1%","2%"
"2016","As at 31st March","Mixed","Hertfordshire","35","35","27,497","126.49","2%","2%"
"2016","As at 31st March","Mixed","Humberside","9","9","8,185","109.96","1%","1%"
"2016","As at 31st March","Mixed","Kent","42","43","27,283","153.83","1%","2%"
"2016","As at 31st March","Mixed","Lancashire","44","45","16,300","266.93","2%","1%"
"2016","As at 31st March","Mixed","Leicestershire","37","37","20,520","180.31","2%","2%"
"2016","As at 31st March","Mixed","Lincolnshire","9","9","6,190","143.78","1%","1%"
"2016","As at 31st March","Mixed","London, City of","15","15","N/A","N/A","2%","4%"
"2016","As at 31st March","Mixed","Merseyside","71","72","20,954","338.46","2%","2%"
"2016","As at 31st March","Mixed","Metropolitan Police","926","938","404,990","228.75","3%","5%"
"2016","As at 31st March","Mixed","Norfolk","14","14","10,027","139.62","1%","1%"
"2016","As at 31st March","Mixed","North Wales","7","7","4,950","141.41","0%","1%"
"2016","As at 31st March","Mixed","North Yorkshire","12","12","7,456","160.94","1%","1%"
"2016","As at 31st March","Mixed","Northamptonshire","13","14","14,182","94.84","1%","2%"
"2016","As at 31st March","Mixed","Northumbria","31","32","12,447","250.18","1%","1%"
"2016","As at 31st March","Mixed","Nottinghamshire","26","27","30,981","85.05","1%","3%"
"2016","As at 31st March","Mixed","South Wales","31","31","17,762","173.01","1%","1%"
"2016","As at 31st March","Mixed","South Yorkshire","24","25","20,791","117.70","1%","2%"
"2016","As at 31st March","Mixed","Staffordshire","14","14","14,095","98.12","1%","1%"
"2016","As at 31st March","Mixed","Suffolk","19","20","12,472","154.27","2%","2%"
"2016","As at 31st March","Mixed","Surrey","31","31","23,554","130.98","2%","2%"
"2016","As at 31st March","Mixed","Sussex","25","26","30,036","84.40","1%","2%"
"2016","As at 31st March","Mixed","Thames Valley","91","92","55,986","162.63","2%","2%"
"2016","As at 31st March","Mixed","Warwickshire","6","6","7,949","75.48","1%","1%"
"2016","As at 31st March","Mixed","West Mercia","18","18","13,466","133.67","1%","1%"
"2016","As at 31st March","Mixed","West Midlands","135","137","96,204","139.89","2%","4%"
"2016","As at 31st March","Mixed","West Yorkshire","55","56","48,126","114.16","1%","2%"
"2016","As at 31st March","Mixed","Wiltshire","3","3","9,794","30.63","0%","1%"
"2016","As at 31st March","Other","All - including BTP","823","834","956,837","85.97","1%","2%"
"2016","As at 31st March","Other","Avon & Somerset","6","6","15,380","39.01","0%","1%"
"2016","As at 31st March","Other","Bedfordshire","0","0","8,753","0.00","0%","1%"
"2016","As at 31st March","Other","Cambridgeshire","3","3","12,572","23.86","0%","2%"
"2016","As at 31st March","Other","Cheshire","0","0","5,230","0.00","0%","1%"
"2016","As at 31st March","Other","Cleveland","2","2","4,434","45.11","0%","1%"
"2016","As at 31st March","Other","Cumbria","1","1","1,605","62.31","0%","0%"
"2016","As at 31st March","Other","Derbyshire","3","3","7,281","41.20","0%","1%"
"2016","As at 31st March","Other","Devon & Cornwall","6","6","9,467","63.38","0%","1%"
"2016","As at 31st March","Other","Dorset","1","1","5,995","16.68","0%","1%"
"2016","As at 31st March","Other","Durham","1","1","3,030","33.00","0%","0%"
"2016","As at 31st March","Other","Dyfed-Powys","1","1","2,008","49.80","0%","0%"
"2016","As at 31st March","Other","Essex","4","4","15,374","26.02","0%","1%"
"2016","As at 31st March","Other","Gloucestershire","4","4","3,004","133.16","0%","1%"
"2016","As at 31st March","Other","Greater Manchester","28","28","53,504","51.40","0%","2%"
"2016","As at 31st March","Other","Gwent","1","1","3,569","28.02","0%","1%"
"2016","As at 31st March","Other","Hampshire","14","14","20,911","66.95","1%","1%"
"2016","As at 31st March","Other","Hertfordshire","2","2","15,550","12.86","0%","1%"
"2016","As at 31st March","Other","Humberside","0","0","7,493","0.00","0%","1%"
"2016","As at 31st March","Other","Kent","9","9","15,636","57.56","0%","1%"
"2016","As at 31st March","Other","Lancashire","4","4","10,397","34.82","0%","1%"
"2016","As at 31st March","Other","Leicestershire","2","2","19,110","10.47","0%","2%"
"2016","As at 31st March","Other","Lincolnshire","0","0","2,839","0.00","0%","0%"
"2016","As at 31st March","Other","London, City of","2","2","N/A","N/A","0%","6%"
"2016","As at 31st March","Other","Merseyside","19","19","21,529","87.88","1%","2%"
"2016","As at 31st March","Other","Metropolitan Police","597","606","404,874","147.37","2%","5%"
"2016","As at 31st March","Other","Norfolk","3","3","5,425","55.30","0%","1%"
"2016","As at 31st March","Other","North Wales","2","2","4,450","44.94","0%","1%"
"2016","As at 31st March","Other","North Yorkshire","0","0","6,233","0.00","0%","1%"
"2016","As at 31st March","Other","Northamptonshire","1","1","5,444","18.37","0%","1%"
"2016","As at 31st March","Other","Northumbria","4","4","17,871","22.38","0%","1%"
"2016","As at 31st March","Other","Nottinghamshire","3","3","15,465","19.40","0%","1%"
"2016","As at 31st March","Other","South Wales","7","7","18,889","36.26","0%","1%"
"2016","As at 31st March","Other","South Yorkshire","3","3","24,745","12.12","0%","2%"
"2016","As at 31st March","Other","Staffordshire","0","0","7,376","0.00","0%","1%"
"2016","As at 31st March","Other","Suffolk","1","1","4,670","21.41","0%","1%"
"2016","As at 31st March","Other","Surrey","9","9","18,687","46.82","0%","2%"
"2016","As at 31st March","Other","Sussex","13","13","16,352","79.50","1%","1%"
"2016","As at 31st March","Other","Thames Valley","15","15","32,586","46.03","0%","1%"
"2016","As at 31st March","Other","Warwickshire","4","4","4,647","86.08","0%","1%"
"2016","As at 31st March","Other","West Mercia","6","6","5,657","106.06","0%","0%"
"2016","As at 31st March","Other","West Midlands","11","11","63,498","16.66","0%","2%"
"2016","As at 31st March","Other","West Yorkshire","17","17","30,874","54.09","0%","1%"
"2016","As at 31st March","Other","Wiltshire","1","1","4,006","24.96","0%","1%"
"2016","As at 31st March","White","All - including BTP","117,046","119,629","48,209,395","242.79","94%","86%"
"2016","As at 31st March","White","Avon & Somerset","2,329","2,412","1,491,970","156.08","97%","93%"
"2016","As at 31st March","White","Bedfordshire","996","1,012","476,647","208.90","93%","77%"
"2016","As at 31st March","White","Cambridgeshire","1,302","1,334","726,531","179.21","98%","90%"
"2016","As at 31st March","White","Cheshire","1,933","1,962","995,998","194.09","99%","97%"
"2016","As at 31st March","White","Cleveland","1,213","1,239","526,456","230.42","98%","94%"
"2016","As at 31st March","White","Cumbria","1,102","1,131","492,257","223.83","99%","98%"
"2016","As at 31st March","White","Derbyshire","1,704","1,746","949,845","179.35","97%","93%"
"2016","As at 31st March","White","Devon & Cornwall","2,360","2,433","1,627,306","145.02","98%","98%"
"2016","As at 31st March","White","Dorset","1,187","1,241","714,637","166.14","99%","96%"
"2016","As at 31st March","White","Durham","1,095","1,112","605,364","180.86","98%","98%"
"2016","As at 31st March","White","Dyfed-Powys","1,051","1,070","504,714","208.25","99%","98%"
"2016","As at 31st March","White","Essex","2,826","2,922","1,608,308","175.69","98%","93%"
"2016","As at 31st March","White","Gloucestershire","1,044","1,082","569,647","183.30","98%","95%"
"2016","As at 31st March","White","Greater Manchester","5,986","6,057","2,248,123","266.26","95%","84%"
"2016","As at 31st March","White","Gwent","1,091","1,107","554,377","196.71","98%","96%"
"2016","As at 31st March","White","Hampshire","2,675","2,761","1,771,378","150.99","97%","93%"
"2016","As at 31st March","White","Hertfordshire","1,833","1,878","977,495","187.57","96%","88%"
"2016","As at 31st March","White","Humberside","1,558","1,600","885,279","175.98","99%","96%"
"2016","As at 31st March","White","Kent","3,066","3,134","1,607,681","190.70","97%","93%"
"2016","As at 31st March","White","Lancashire","2,575","2,641","1,320,035","195.05","96%","90%"
"2016","As at 31st March","White","Leicestershire","1,685","1,741","797,704","211.26","92%","78%"
"2016","As at 31st March","White","Lincolnshire","1,054","1,068","696,484","151.26","98%","98%"
"2016","As at 31st March","White","London, City of","657","666","N/A","N/A","94%","79%"
"2016","As at 31st March","White","Merseyside","3,403","3,445","1,305,303","260.67","97%","95%"
"2016","As at 31st March","White","Metropolitan Police","27,976","28,531","4,881,636","573.09","87%","60%"
"2016","As at 31st March","White","Norfolk","1,478","1,530","828,018","178.44","98%","97%"
"2016","As at 31st March","White","North Wales","1,434","1,454","670,704","213.73","99%","97%"
"2016","As at 31st March","White","North Yorkshire","1,324","1,355","769,206","172.07","99%","97%"
"2016","As at 31st March","White","Northamptonshire","1,075","1,105","632,822","169.81","96%","91%"
"2016","As at 31st March","White","Northumbria","3,207","3,264","1,343,747","238.66","98%","95%"
"2016","As at 31st March","White","Nottinghamshire","1,881","1,925","969,501","193.97","96%","89%"
"2016","As at 31st March","White","South Wales","2,807","2,850","1,198,458","234.19","98%","93%"
"2016","As at 31st March","White","South Yorkshire","2,400","2,444","1,217,653","197.13","97%","91%"
"2016","As at 31st March","White","Staffordshire","1,624","1,652","1,032,327","157.34","98%","94%"
"2016","As at 31st March","White","Suffolk","1,046","1,075","693,195","150.88","98%","95%"
"2016","As at 31st March","White","Surrey","1,683","1,720","1,023,682","164.43","96%","90%"
"2016","As at 31st March","White","Sussex","2,522","2,613","1,505,433","167.51","98%","94%"
"2016","As at 31st March","White","Thames Valley","3,966","4,067","1,919,646","206.60","95%","85%"
"2016","As at 31st March","White","Warwickshire","777","794","505,688","153.64","95%","93%"
"2016","As at 31st March","White","West Mercia","2,012","2,038","1,176,516","171.04","98%","96%"
"2016","As at 31st March","White","West Midlands","6,245","6,393","1,919,138","325.40","91%","70%"
"2016","As at 31st March","White","West Yorkshire","4,260","4,379","1,819,818","234.11","95%","82%"
"2016","As at 31st March","White","Wiltshire","999","1,008","642,869","155.41","98%","95%"
