"Ethnicity","Local authority","Score","Pupils"
"Asian","County Durham","51.1","28"
"Asian","Darlington","!","23"
"Asian","Gateshead","52.1","45"
"Asian","Hartlepool","!","23"
"Asian","Middlesbrough","52.7","182"
"Asian","Newcastle upon Tyne","49.1","238"
"Asian","North Tyneside","49.6","34"
"Asian","Northumberland","46.8","39"
"Asian","Redcar and Cleveland","52.3","17"
"Asian","South Tyneside","48.2","53"
"Asian","Stockton-on-Tees","48.0","99"
"Asian","Sunderland","50.0","121"
"Asian","Blackburn with Darwen","50.3","764"
"Asian","Blackpool","53.6","21"
"Asian","Bolton","48.6","659"
"Asian","Bury","46.9","262"
"Asian","Cheshire East","53.9","56"
"Asian","Cheshire West and Chester","43.9","41"
"Asian","Cumbria","52.2","21"
"Asian","Halton","59.8","3"
"Asian","Knowsley","38.4","5"
"Asian","Lancashire","46.8","1,238"
"Asian","Liverpool","53.9","131"
"Asian","Manchester","48.4","1,056"
"Asian","Oldham","44.3","869"
"Asian","Rochdale","44.0","563"
"Asian","Salford","!","!"
"Asian","Sefton","54.2","26"
"Asian","St. Helens","!","!"
"Asian","Stockport","51.1","173"
"Asian","Tameside","48.9","283"
"Asian","Trafford","60.4","327"
"Asian","Warrington","55.6","42"
"Asian","Wigan","48.8","34"
"Asian","Wirral","61.1","62"
"Asian","Barnsley","!","!"
"Asian","Bradford","43.0","2,598"
"Asian","Calderdale","49.1","359"
"Asian","Doncaster","51.0","86"
"Asian","East Riding of Yorkshire","!","12"
"Asian","Kingston upon Hull, City of","56.0","43"
"Asian","Kirklees","45.0","1,233"
"Asian","Leeds","43.9","921"
"Asian","North East Lincolnshire","!","!"
"Asian","North Lincolnshire","48.9","66"
"Asian","North Yorkshire","58.5","94"
"Asian","Rotherham","44.7","213"
"Asian","Sheffield","46.9","501"
"Asian","Wakefield","49.3","89"
"Asian","York","57.0","30"
"Asian","Derby","46.6","479"
"Asian","Derbyshire","44.0","54"
"Asian","Leicester","47.3","1,526"
"Asian","Leicestershire","54.9","497"
"Asian","Lincolnshire","61.4","93"
"Asian","Northamptonshire","50.5","304"
"Asian","Nottingham","46.4","436"
"Asian","Nottinghamshire","55.7","166"
"Asian","Rutland","62.1","4"
"Asian","Birmingham","47.2","4,710"
"Asian","Coventry","48.6","635"
"Asian","Dudley","43.2","318"
"Asian","Herefordshire, County of","62.1","7"
"Asian","Sandwell","44.8","993"
"Asian","Shropshire","49.6","34"
"Asian","Solihull","52.6","331"
"Asian","Staffordshire","47.1","265"
"Asian","Stoke-on-Trent","44.9","322"
"Asian","Telford and Wrekin","48.6","100"
"Asian","Walsall","47.6","649"
"Asian","Warwickshire","56.9","278"
"Asian","Wolverhampton","52.1","601"
"Asian","Worcestershire","48.0","176"
"Asian","Bedford","45.4","266"
"Asian","Cambridgeshire","50.7","169"
"Asian","Central Bedfordshire","53.7","54"
"Asian","Essex","61.2","348"
"Asian","Hertfordshire","55.6","851"
"Asian","Luton","46.5","1,040"
"Asian","Norfolk","54.3","72"
"Asian","Peterborough","44.1","388"
"Asian","Southend-on-Sea","59.9","127"
"Asian","Suffolk","52.4","93"
"Asian","Thurrock","53.7","49"
"Asian","Camden","46.4","277"
"Asian","City of London","N/A","N/A"
"Asian","Hackney","50.1","270"
"Asian","Hammersmith and Fulham","52.4","102"
"Asian","Haringey","49.0","139"
"Asian","Islington","49.2","163"
"Asian","Kensington and Chelsea","55.4","18"
"Asian","Lambeth","48.8","76"
"Asian","Lewisham","44.2","132"
"Asian","Newham","52.4","1,618"
"Asian","Southwark","54.2","142"
"Asian","Tower Hamlets","49.9","1,769"
"Asian","Wandsworth","49.4","353"
"Asian","Westminster","54.7","186"
"Asian","Barking and Dagenham","53.0","428"
"Asian","Barnet","64.3","539"
"Asian","Bexley","60.4","203"
"Asian","Brent","51.9","894"
"Asian","Bromley","60.8","182"
"Asian","Croydon","51.5","462"
"Asian","Ealing","50.9","808"
"Asian","Enfield","56.5","277"
"Asian","Greenwich","50.5","188"
"Asian","Harrow","54.1","898"
"Asian","Havering","52.4","106"
"Asian","Hillingdon","53.1","659"
"Asian","Hounslow","54.2","746"
"Asian","Kingston upon Thames","62.0","333"
"Asian","Merton","52.7","230"
"Asian","Redbridge","55.3","1,792"
"Asian","Richmond upon Thames","51.8","90"
"Asian","Sutton","68.7","551"
"Asian","Waltham Forest","47.9","681"
"Asian","Bracknell Forest","51.1","52"
"Asian","Brighton and Hove","49.2","60"
"Asian","Buckinghamshire","53.7","979"
"Asian","East Sussex","52.5","82"
"Asian","Hampshire","52.3","332"
"Asian","Isle of Wight","54.5","5"
"Asian","Kent","57.6","566"
"Asian","Medway","57.0","134"
"Asian","Milton Keynes","49.5","248"
"Asian","Oxfordshire","46.3","310"
"Asian","Portsmouth","56.2","82"
"Asian","Reading","56.5","222"
"Asian","Slough","55.3","839"
"Asian","Southampton","50.9","191"
"Asian","Surrey","54.0","592"
"Asian","West Berkshire","53.5","46"
"Asian","West Sussex","49.5","329"
"Asian","Windsor and Maidenhead","49.3","212"
"Asian","Wokingham","53.8","182"
"Asian","Bath and North East Somerset","56.3","33"
"Asian","Bournemouth","55.7","35"
"Asian","Bristol, City of","46.8","229"
"Asian","Cornwall","45.4","21"
"Asian","Devon","55.8","32"
"Asian","Dorset","49.1","30"
"Asian","Gloucestershire","56.0","162"
"Asian","Isles of Scilly","N/A","0"
"Asian","North Somerset","54.9","21"
"Asian","Plymouth","52.6","22"
"Asian","Poole","60.2","31"
"Asian","Somerset","56.3","45"
"Asian","South Gloucestershire","49.3","72"
"Asian","Swindon","43.4","201"
"Asian","Torbay","!","13"
"Asian","Wiltshire","60.4","68"
"Black","County Durham","45.2","5"
"Black","Darlington","!","!"
"Black","Gateshead","40.1","10"
"Black","Hartlepool","45.6","4"
"Black","Middlesbrough","!","!"
"Black","Newcastle upon Tyne","40.4","77"
"Black","North Tyneside","33.9","9"
"Black","Northumberland","49.8","4"
"Black","Redcar and Cleveland","!","!"
"Black","South Tyneside","44.9","4"
"Black","Stockton-on-Tees","!","!"
"Black","Sunderland","48.7","11"
"Black","Blackburn with Darwen","39.3","20"
"Black","Blackpool","18.8","3"
"Black","Bolton","40.6","145"
"Black","Bury","35.8","35"
"Black","Cheshire East","47.7","12"
"Black","Cheshire West and Chester","48.4","10"
"Black","Cumbria","49.3","10"
"Black","Halton","!","!"
"Black","Knowsley","!","!"
"Black","Lancashire","39.7","29"
"Black","Liverpool","43.7","158"
"Black","Manchester","43.2","741"
"Black","Oldham","43.2","45"
"Black","Rochdale","40.8","83"
"Black","Salford","!","97"
"Black","Sefton","41.5","17"
"Black","St. Helens","!","!"
"Black","Stockport","47.1","41"
"Black","Tameside","41.2","37"
"Black","Trafford","53.7","80"
"Black","Warrington","40.4","5"
"Black","Wigan","48.3","25"
"Black","Wirral","50.4","12"
"Black","Barnsley","49.3","9"
"Black","Bradford","43.7","79"
"Black","Calderdale","46.4","26"
"Black","Doncaster","50.7","41"
"Black","East Riding of Yorkshire","53.1","8"
"Black","Kingston upon Hull, City of","49.2","32"
"Black","Kirklees","40.9","92"
"Black","Leeds","45.0","417"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","!","!"
"Black","North Yorkshire","49.4","16"
"Black","Rotherham","49.1","43"
"Black","Sheffield","42.9","210"
"Black","Wakefield","41.2","41"
"Black","York","51.6","8"
"Black","Derby","!","87"
"Black","Derbyshire","!","!"
"Black","Leicester","41.0","357"
"Black","Leicestershire","43.9","55"
"Black","Lincolnshire","45.4","43"
"Black","Northamptonshire","45.4","303"
"Black","Nottingham","40.6","277"
"Black","Nottinghamshire","45.5","112"
"Black","Rutland","!","!"
"Black","Birmingham","43.5","1,453"
"Black","Coventry","43.8","305"
"Black","Dudley","43.2","90"
"Black","Herefordshire, County of","38.3","4"
"Black","Sandwell","40.2","309"
"Black","Shropshire","55.7","5"
"Black","Solihull","45.9","63"
"Black","Staffordshire","41.5","40"
"Black","Stoke-on-Trent","46.0","36"
"Black","Telford and Wrekin","47.3","43"
"Black","Walsall","43.6","132"
"Black","Warwickshire","46.3","43"
"Black","Wolverhampton","44.5","244"
"Black","Worcestershire","39.9","29"
"Black","Bedford","42.1","88"
"Black","Cambridgeshire","40.0","54"
"Black","Central Bedfordshire","39.7","53"
"Black","Essex","50.3","398"
"Black","Hertfordshire","46.6","468"
"Black","Luton","42.3","267"
"Black","Norfolk","44.3","72"
"Black","Peterborough","43.6","73"
"Black","Southend-on-Sea","60.4","128"
"Black","Suffolk","38.0","50"
"Black","Thurrock","48.9","180"
"Black","Camden","44.9","318"
"Black","City of London","N/A","N/A"
"Black","Hackney","46.9","750"
"Black","Hammersmith and Fulham","43.1","341"
"Black","Haringey","42.1","581"
"Black","Islington","43.6","387"
"Black","Kensington and Chelsea","50.1","126"
"Black","Lambeth","41.9","990"
"Black","Lewisham","42.3","952"
"Black","Newham","45.3","863"
"Black","Southwark","48.6","1,056"
"Black","Tower Hamlets","46.7","306"
"Black","Wandsworth","45.0","464"
"Black","Westminster","49.6","351"
"Black","Barking and Dagenham","47.4","601"
"Black","Barnet","47.6","478"
"Black","Bexley","54.9","567"
"Black","Brent","42.4","698"
"Black","Bromley","51.1","296"
"Black","Croydon","43.0","1,031"
"Black","Ealing","44.0","543"
"Black","Enfield","44.2","854"
"Black","Greenwich","46.2","637"
"Black","Harrow","41.8","329"
"Black","Havering","50.8","340"
"Black","Hillingdon","43.9","350"
"Black","Hounslow","46.4","353"
"Black","Kingston upon Thames","45.5","40"
"Black","Merton","46.8","280"
"Black","Redbridge","44.8","463"
"Black","Richmond upon Thames","39.2","61"
"Black","Sutton","53.5","226"
"Black","Waltham Forest","42.0","567"
"Black","Bracknell Forest","!","!"
"Black","Brighton and Hove","45.5","43"
"Black","Buckinghamshire","47.9","171"
"Black","East Sussex","39.3","39"
"Black","Hampshire","44.1","89"
"Black","Isle of Wight","!","!"
"Black","Kent","52.7","345"
"Black","Medway","51.5","159"
"Black","Milton Keynes","44.6","352"
"Black","Oxfordshire","45.2","114"
"Black","Portsmouth","48.0","43"
"Black","Reading","41.7","105"
"Black","Slough","!","!"
"Black","Southampton","43.0","42"
"Black","Surrey","48.5","197"
"Black","West Berkshire","40.4","29"
"Black","West Sussex","39.6","97"
"Black","Windsor and Maidenhead","49.4","27"
"Black","Wokingham","46.1","59"
"Black","Bath and North East Somerset","37.0","22"
"Black","Bournemouth","44.7","19"
"Black","Bristol, City of","39.4","326"
"Black","Cornwall","!","!"
"Black","Devon","25.2","5"
"Black","Dorset","44.3","3"
"Black","Gloucestershire","40.7","77"
"Black","Isles of Scilly","N/A","0"
"Black","North Somerset","45.5","12"
"Black","Plymouth","40.9","18"
"Black","Poole","49.0","12"
"Black","Somerset","39.8","18"
"Black","South Gloucestershire","45.2","36"
"Black","Swindon","48.7","39"
"Black","Torbay","!","!"
"Black","Wiltshire","44.0","32"
"Chinese","County Durham","70.6","12"
"Chinese","Darlington","!","!"
"Chinese","Gateshead","60.9","7"
"Chinese","Hartlepool","N/A","0"
"Chinese","Middlesbrough","!","!"
"Chinese","Newcastle upon Tyne","54.4","23"
"Chinese","North Tyneside","60.7","17"
"Chinese","Northumberland","56.3","6"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","South Tyneside","46.3","3"
"Chinese","Stockton-on-Tees","!","!"
"Chinese","Sunderland","59.8","3"
"Chinese","Blackburn with Darwen","51.6","4"
"Chinese","Blackpool","53.4","4"
"Chinese","Bolton","62.1","6"
"Chinese","Bury","57.7","11"
"Chinese","Cheshire East","67.8","12"
"Chinese","Cheshire West and Chester","60.7","8"
"Chinese","Cumbria","63.6","17"
"Chinese","Halton","!","!"
"Chinese","Knowsley","!","!"
"Chinese","Lancashire","64.4","32"
"Chinese","Liverpool","60.7","48"
"Chinese","Manchester","55.4","37"
"Chinese","Oldham","59.7","8"
"Chinese","Rochdale","58.5","3"
"Chinese","Salford","!","!"
"Chinese","Sefton","58.4","9"
"Chinese","St. Helens","58.5","5"
"Chinese","Stockport","53.8","16"
"Chinese","Tameside","64.8","5"
"Chinese","Trafford","69.9","44"
"Chinese","Warrington","51.6","9"
"Chinese","Wigan","61.7","9"
"Chinese","Wirral","60.0","22"
"Chinese","Barnsley","!","!"
"Chinese","Bradford","57.2","10"
"Chinese","Calderdale","67.8","7"
"Chinese","Doncaster","68.1","11"
"Chinese","East Riding of Yorkshire","!","4"
"Chinese","Kingston upon Hull, City of","67.7","5"
"Chinese","Kirklees","67.1","8"
"Chinese","Leeds","61.3","39"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","!","!"
"Chinese","North Yorkshire","55.0","12"
"Chinese","Rotherham","44.7","5"
"Chinese","Sheffield","57.1","16"
"Chinese","Wakefield","59.1","8"
"Chinese","York","55.5","7"
"Chinese","Derby","!","7"
"Chinese","Derbyshire","!","!"
"Chinese","Leicester","!","!"
"Chinese","Leicestershire","61.8","24"
"Chinese","Lincolnshire","62.8","21"
"Chinese","Northamptonshire","67.8","18"
"Chinese","Nottingham","57.0","6"
"Chinese","Nottinghamshire","64.7","24"
"Chinese","Rutland","!","!"
"Chinese","Birmingham","61.6","55"
"Chinese","Coventry","69.9","9"
"Chinese","Dudley","61.4","7"
"Chinese","Herefordshire, County of","!","!"
"Chinese","Sandwell","!","!"
"Chinese","Shropshire","62.0","6"
"Chinese","Solihull","68.1","10"
"Chinese","Staffordshire","59.0","15"
"Chinese","Stoke-on-Trent","59.8","8"
"Chinese","Telford and Wrekin","64.0","10"
"Chinese","Walsall","73.0","3"
"Chinese","Warwickshire","70.6","11"
"Chinese","Wolverhampton","46.9","11"
"Chinese","Worcestershire","64.0","11"
"Chinese","Bedford","71.9","5"
"Chinese","Cambridgeshire","63.1","32"
"Chinese","Central Bedfordshire","60.7","7"
"Chinese","Essex","65.4","57"
"Chinese","Hertfordshire","66.4","68"
"Chinese","Luton","65.4","4"
"Chinese","Norfolk","61.8","32"
"Chinese","Peterborough","62.9","8"
"Chinese","Southend-on-Sea","66.1","22"
"Chinese","Suffolk","63.0","7"
"Chinese","Thurrock","70.9","10"
"Chinese","Camden","70.9","7"
"Chinese","City of London","N/A","N/A"
"Chinese","Hackney","70.1","9"
"Chinese","Hammersmith and Fulham","70.6","4"
"Chinese","Haringey","59.8","7"
"Chinese","Islington","57.2","5"
"Chinese","Kensington and Chelsea","68.3","5"
"Chinese","Lambeth","62.4","23"
"Chinese","Lewisham","58.4","34"
"Chinese","Newham","63.9","14"
"Chinese","Southwark","57.3","22"
"Chinese","Tower Hamlets","51.0","6"
"Chinese","Wandsworth","65.7","12"
"Chinese","Westminster","63.5","18"
"Chinese","Barking and Dagenham","48.0","3"
"Chinese","Barnet","69.1","55"
"Chinese","Bexley","60.6","48"
"Chinese","Brent","66.1","4"
"Chinese","Bromley","69.2","43"
"Chinese","Croydon","64.5","10"
"Chinese","Ealing","47.9","4"
"Chinese","Enfield","67.6","9"
"Chinese","Greenwich","59.3","19"
"Chinese","Harrow","68.5","6"
"Chinese","Havering","66.8","7"
"Chinese","Hillingdon","35.4","4"
"Chinese","Hounslow","71.3","7"
"Chinese","Kingston upon Thames","79.6","22"
"Chinese","Merton","56.6","7"
"Chinese","Redbridge","59.7","22"
"Chinese","Richmond upon Thames","62.3","8"
"Chinese","Sutton","76.4","45"
"Chinese","Waltham Forest","51.1","19"
"Chinese","Bracknell Forest","!","!"
"Chinese","Brighton and Hove","69.7","6"
"Chinese","Buckinghamshire","69.9","27"
"Chinese","East Sussex","54.9","16"
"Chinese","Hampshire","57.3","36"
"Chinese","Isle of Wight","!","!"
"Chinese","Kent","68.1","65"
"Chinese","Medway","63.4","10"
"Chinese","Milton Keynes","63.2","15"
"Chinese","Oxfordshire","60.3","28"
"Chinese","Portsmouth","69.7","5"
"Chinese","Reading","80.8","16"
"Chinese","Slough","!","!"
"Chinese","Southampton","68.6","5"
"Chinese","Surrey","67.1","45"
"Chinese","West Berkshire","69.9","6"
"Chinese","West Sussex","53.0","18"
"Chinese","Windsor and Maidenhead","43.4","9"
"Chinese","Wokingham","69.2","7"
"Chinese","Bath and North East Somerset","55.8","5"
"Chinese","Bournemouth","59.1","11"
"Chinese","Bristol, City of","52.2","12"
"Chinese","Cornwall","!","!"
"Chinese","Devon","51.8","21"
"Chinese","Dorset","55.0","11"
"Chinese","Gloucestershire","60.7","17"
"Chinese","Isles of Scilly","!","!"
"Chinese","North Somerset","46.3","5"
"Chinese","Plymouth","64.4","5"
"Chinese","Poole","62.4","4"
"Chinese","Somerset","72.7","9"
"Chinese","South Gloucestershire","62.7","5"
"Chinese","Swindon","59.8","5"
"Chinese","Torbay","!","!"
"Chinese","Wiltshire","60.2","17"
"Mixed","County Durham","50.0","46"
"Mixed","Darlington","!","22"
"Mixed","Gateshead","58.7","26"
"Mixed","Hartlepool","!","8"
"Mixed","Middlesbrough","!","49"
"Mixed","Newcastle upon Tyne","47.4","60"
"Mixed","North Tyneside","53.3","33"
"Mixed","Northumberland","50.6","40"
"Mixed","Redcar and Cleveland","50.2","22"
"Mixed","South Tyneside","47.2","20"
"Mixed","Stockton-on-Tees","!","29"
"Mixed","Sunderland","41.0","26"
"Mixed","Blackburn with Darwen","44.5","54"
"Mixed","Blackpool","40.0","18"
"Mixed","Bolton","43.3","86"
"Mixed","Bury","46.2","82"
"Mixed","Cheshire East","48.9","89"
"Mixed","Cheshire West and Chester","50.5","71"
"Mixed","Cumbria","53.7","62"
"Mixed","Halton","48.0","31"
"Mixed","Knowsley","40.5","17"
"Mixed","Lancashire","47.2","273"
"Mixed","Liverpool","46.3","192"
"Mixed","Manchester","42.8","328"
"Mixed","Oldham","41.7","115"
"Mixed","Rochdale","38.5","77"
"Mixed","Salford","44.6","94"
"Mixed","Sefton","45.8","43"
"Mixed","St. Helens","47.1","34"
"Mixed","Stockport","48.1","105"
"Mixed","Tameside","45.7","68"
"Mixed","Trafford","54.9","157"
"Mixed","Warrington","47.5","44"
"Mixed","Wigan","49.0","55"
"Mixed","Wirral","54.4","68"
"Mixed","Barnsley","48.5","30"
"Mixed","Bradford","40.3","226"
"Mixed","Calderdale","45.7","69"
"Mixed","Doncaster","43.0","69"
"Mixed","East Riding of Yorkshire","49.8","53"
"Mixed","Kingston upon Hull, City of","45.5","41"
"Mixed","Kirklees","39.3","221"
"Mixed","Leeds","43.9","362"
"Mixed","North East Lincolnshire","47.5","21"
"Mixed","North Lincolnshire","52.4","29"
"Mixed","North Yorkshire","51.8","99"
"Mixed","Rotherham","47.8","65"
"Mixed","Sheffield","41.7","272"
"Mixed","Wakefield","45.1","61"
"Mixed","York","49.4","37"
"Mixed","Derby","39.1","170"
"Mixed","Derbyshire","48.7","133"
"Mixed","Leicester","!","!"
"Mixed","Leicestershire","44.2","236"
"Mixed","Lincolnshire","50.7","165"
"Mixed","Northamptonshire","44.5","349"
"Mixed","Nottingham","39.1","249"
"Mixed","Nottinghamshire","49.2","277"
"Mixed","Rutland","!","!"
"Mixed","Birmingham","45.9","923"
"Mixed","Coventry","39.7","171"
"Mixed","Dudley","43.5","190"
"Mixed","Herefordshire, County of","!","!"
"Mixed","Sandwell","!","!"
"Mixed","Shropshire","46.9","45"
"Mixed","Solihull","45.3","163"
"Mixed","Staffordshire","43.3","186"
"Mixed","Stoke-on-Trent","42.9","84"
"Mixed","Telford and Wrekin","47.6","74"
"Mixed","Walsall","42.2","159"
"Mixed","Warwickshire","50.3","180"
"Mixed","Wolverhampton","40.0","246"
"Mixed","Worcestershire","45.7","152"
"Mixed","Bedford","40.4","144"
"Mixed","Cambridgeshire","50.1","207"
"Mixed","Central Bedfordshire","43.0","105"
"Mixed","Essex","48.7","556"
"Mixed","Hertfordshire","50.5","736"
"Mixed","Luton","39.6","150"
"Mixed","Norfolk","48.5","167"
"Mixed","Peterborough","41.0","115"
"Mixed","Southend-on-Sea","53.1","87"
"Mixed","Suffolk","43.6","251"
"Mixed","Thurrock","45.9","83"
"Mixed","Camden","49.3","191"
"Mixed","City of London","N/A","N/A"
"Mixed","Hackney","48.2","153"
"Mixed","Hammersmith and Fulham","46.2","137"
"Mixed","Haringey","47.0","211"
"Mixed","Islington","44.8","155"
"Mixed","Kensington and Chelsea","54.5","112"
"Mixed","Lambeth","43.0","244"
"Mixed","Lewisham","45.8","285"
"Mixed","Newham","44.6","213"
"Mixed","Southwark","48.8","264"
"Mixed","Tower Hamlets","44.5","113"
"Mixed","Wandsworth","51.3","191"
"Mixed","Westminster","53.4","158"
"Mixed","Barking and Dagenham","45.6","124"
"Mixed","Barnet","54.9","343"
"Mixed","Bexley","50.6","185"
"Mixed","Brent","45.8","195"
"Mixed","Bromley","51.4","303"
"Mixed","Croydon","47.2","503"
"Mixed","Ealing","48.7","231"
"Mixed","Enfield","47.7","315"
"Mixed","Greenwich","45.7","216"
"Mixed","Harrow","49.0","147"
"Mixed","Havering","48.2","132"
"Mixed","Hillingdon","48.6","324"
"Mixed","Hounslow","48.3","184"
"Mixed","Kingston upon Thames","54.9","128"
"Mixed","Merton","51.7","177"
"Mixed","Redbridge","48.8","243"
"Mixed","Richmond upon Thames","54.0","147"
"Mixed","Sutton","58.7","228"
"Mixed","Waltham Forest","44.2","235"
"Mixed","Bracknell Forest","42.9","46"
"Mixed","Brighton and Hove","46.3","164"
"Mixed","Buckinghamshire","52.7","305"
"Mixed","East Sussex","46.8","184"
"Mixed","Hampshire","48.2","363"
"Mixed","Isle of Wight","45.7","30"
"Mixed","Kent","51.1","615"
"Mixed","Medway","48.4","139"
"Mixed","Milton Keynes","44.3","167"
"Mixed","Oxfordshire","46.2","320"
"Mixed","Portsmouth","46.8","49"
"Mixed","Reading","46.6","105"
"Mixed","Slough","50.1","122"
"Mixed","Southampton","47.3","99"
"Mixed","Surrey","51.8","467"
"Mixed","West Berkshire","47.9","76"
"Mixed","West Sussex","48.8","252"
"Mixed","Windsor and Maidenhead","45.2","91"
"Mixed","Wokingham","49.7","89"
"Mixed","Bath and North East Somerset","44.5","72"
"Mixed","Bournemouth","48.6","75"
"Mixed","Bristol, City of","44.8","244"
"Mixed","Cornwall","48.2","98"
"Mixed","Devon","51.5","96"
