"Title","Satisfaction with GP out-of-hours services by ethnicity"
"Location","England"
"Time period","2011/12 to 2014/15"
"Data source","Public Health Outcomes Framework https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01772&mode=documentation&top=yes"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Asian - Pakistani","ONS 18+1","England","61.8"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Asian - Pakistani","ONS 18+1","England","63.7"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Black - African","ONS 18+1","England","73.3"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Black - African","ONS 18+1","England","68.8"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Black - African","ONS 18+1","England","67.6"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Black - African","ONS 18+1","England","69.3"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Black - Any other","ONS 18+1","England","69.2"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Black - Any other","ONS 18+1","England","63.2"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Black - Any other","ONS 18+1","England","70.6"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Black - Any other","ONS 18+1","England","66.8"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Black - Caribbean","ONS 18+1","England","70.1"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Black - Caribbean","ONS 18+1","England","65.7"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Black - Caribbean","ONS 18+1","England","65.3"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Black - Caribbean","ONS 18+1","England","71.3"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Mixed - Any other","ONS 18+1","England","65.9"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Mixed - Any other","ONS 18+1","England","67.9"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Mixed - Any other","ONS 18+1","England","71.1"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Mixed - Any other","ONS 18+1","England","69.0"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Mixed - White and Asian","ONS 18+1","England","68.2"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Mixed - White and Asian","ONS 18+1","England","61.3"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Mixed - White and Asian","ONS 18+1","England","60.1"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Mixed - White and Asian","ONS 18+1","England","61.7"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Mixed - White and Black African","ONS 18+1","England","67.3"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Mixed - White and Black African","ONS 18+1","England","52.5"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Mixed - White and Black African","ONS 18+1","England","64.2"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Mixed - White and Black African","ONS 18+1","England","58.2"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Mixed - White and Black Caribbean","ONS 18+1","England","68.1"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Mixed - White and Black Caribbean","ONS 18+1","England","64.3"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Mixed - White and Black Caribbean","ONS 18+1","England","69.7"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Mixed - White and Black Caribbean","ONS 18+1","England","77.7"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Other - Any other","ONS 18+1","England","69.7"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Other - Any other","ONS 18+1","England","61.4"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Other - Any other","ONS 18+1","England","63.3"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Other - Any other","ONS 18+1","England","65.1"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Other - Arab","ONS 18+1","England","62.7"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Other - Arab","ONS 18+1","England","65.6"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Other - Arab","ONS 18+1","England","63.2"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Other - Arab","ONS 18+1","England","67.7"
"Patient experience of primary care -GP out-of-hours services","2014/15","July 2014 to March 2015","Unknown","ONS 18+1","England","59.9"
"Patient experience of primary care -GP out-of-hours services","2013/14","July 2013 to March 2014","Unknown","ONS 18+1","England","58.0"
"Patient experience of primary care -GP out-of-hours services","2012/13","July 2012 to March 2013","Unknown","ONS 18+1","England","65.2"
"Patient experience of primary care -GP out-of-hours services","2011/12","July 2011 to March 2012","Unknown","ONS 18+1","England","66.3"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","White - Any other","ONS 18+1","England","64.0"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","White - Any other","ONS 18+1","England","53.3"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","White - Any other","ONS 18+1","England","67.4"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","White - Any other","ONS 18+1","England","67.5"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","White - British","ONS 18+1","England","69.7"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","White - British","ONS 18+1","England","67.2"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","White - British","ONS 18+1","England","71.7"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","White - British","ONS 18+1","England","72.3"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","White - Gypsy or Irish Traveller","ONS 18+1","England","75.2"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","White - Gypsy or Irish Traveller","ONS 18+1","England","67.2"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","White - Gypsy or Irish Traveller","ONS 18+1","England","59.6"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","White - Gypsy or Irish Traveller","ONS 18+1","England","66.0"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","White - Irish","ONS 18+1","England","71.3"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","White - Irish","ONS 18+1","England","68.5"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","White - Irish","ONS 18+1","England","68.4"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","White - Irish","ONS 18+1","England","73.6"
