"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Type of role","Broad (non-medical) staff group","Value","Value_type","Ethnicity pay gap relative to White by gender","Gender pay gap relative to male by ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","All","2171.1111","£","5.31%","2.32%"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","All","2292.8643","£","0.00%","7.65%"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","All","2252.2498","£","1.77%","-0.34%"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","All","2265.018","£","1.21%","11.72%"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","All","2429.3025","£","2.15%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","All","2250.8781","£","9.34%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","All","2097.8785","£","15.50%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","All","2222.5672","£","10.48%","-"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","All","2482.8027","£","0.00%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","All","2244.5369","£","9.60%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","All","2565.8483","£","-3.34%","-"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Professionally qualified non-medical","2708.9458","£","1.43%","1.83%"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Professionally qualified non-medical","2540.0324","£","7.58%","3.57%"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Professionally qualified non-medical","2538.426","£","7.63%","2.08%"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Professionally qualified non-medical","2575.1314","£","6.30%","3.62%"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Professionally qualified non-medical","2748.2253","£","0.00%","1.82%"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Professionally qualified non-medical","2624.3376","£","4.51%","4.00%"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Professionally qualified non-medical","2624.0391","£","4.52%","2.73%"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Professionally qualified non-medical","2759.3183","£","1.42%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Professionally qualified non-medical","2634.1104","£","5.90%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Professionally qualified non-medical","2592.262","£","7.39%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Professionally qualified non-medical","2671.797","£","4.55%","-"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Professionally qualified non-medical","2799.1738","£","0.00%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Professionally qualified non-medical","2733.7783","£","2.34%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Professionally qualified non-medical","2697.5992","£","3.63%","-"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Support to clinical staff","1602.5523","£","0.48%","0.02%"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Support to clinical staff","1551.4431","£","3.65%","0.27%"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Support to clinical staff","1564.6047","£","2.83%","-0.78%"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Support to clinical staff","1565.5399","£","2.77%","1.23%"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Support to clinical staff","1610.2211","£","0.00%","0.32%"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Support to clinical staff","1547.9071","£","3.87%","0.86%"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Support to clinical staff","1601.5545","£","0.54%","2.69%"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Support to clinical staff","1602.8223","£","0.78%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Support to clinical staff","1555.7005","£","3.70%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Support to clinical staff","1552.5695","£","3.89%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Support to clinical staff","1584.964","£","1.89%","-"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Support to clinical staff","1615.4512","£","0.00%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Support to clinical staff","1561.3678","£","3.35%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Support to clinical staff","1645.9077","£","-1.89%","-"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Managers and senior managers","4678.7615","£","0.41%","9.99%"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Managers and senior managers","4240.796","£","9.73%","11.47%"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Managers and senior managers","4217.5531","£","10.23%","-0.73%"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Managers and senior managers","4340.5159","£","7.61%","9.04%"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Managers and senior managers","4698.156","£","0.00%","9.96%"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Managers and senior managers","4415.2121","£","6.02%","3.58%"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Managers and senior managers","5110.5212","£","-8.78%","13.42%"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Managers and senior managers","5198.159","£","0.38%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Managers and senior managers","4790.3633","£","8.20%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Managers and senior managers","4186.9371","£","19.76%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Managers and senior managers","4771.6491","£","8.56%","-"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Managers and senior managers","5218.1013","£","0.00%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Managers and senior managers","4579.1979","£","12.24%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Managers and senior managers","5902.6988","£","-13.12%","-"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Infrastructure support","1907.9506","£","0.03%","7.58%"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Infrastructure support","1912.4986","£","-0.21%","5.55%"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Infrastructure support","1860.9836","£","2.49%","0.75%"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Infrastructure support","1949.6705","£","-2.15%","1.73%"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Infrastructure support","1908.5731","£","0.00%","8.23%"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Infrastructure support","1823.3218","£","4.47%","-0.88%"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","Infrastructure support","1932.9574","£","-1.28%","10.96%"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Infrastructure support","2064.378","£","0.73%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Infrastructure support","2024.838","£","2.64%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Infrastructure support","1875.0498","£","9.84%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Infrastructure support","1984.0728","£","4.60%","-"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Infrastructure support","2079.6378","£","0.00%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Infrastructure support","1807.4047","£","13.09%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Male","Non-medical","Infrastructure support","2170.9052","£","-4.39%","-"
