"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Swindon","E06000030","76","%","2579"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","North Somerset","E06000024","73","%","2222"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Isles of Scilly","E06000053","71","%","17"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Torbay","E06000027","73","%","1283"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Cornwall","E06000052","71","%","5694"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Poole","E06000029","72","%","1337"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Wiltshire","E06000054","72","%","4978"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Gloucestershire","E10000013","76","%","6241"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","South Gloucestershire","E06000025","73","%","3076"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Bristol, City of","E06000023","74","%","4339"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Dorset","E10000009","72","%","4047"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Bath and North East Somerset","E06000022","75","%","1742"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Devon","E10000008","74","%","7653"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","South West","Plymouth","E06000026","73","%","2723"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Solihull","E08000029","78","%","2595"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Warwickshire","E10000031","74","%","5886"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Worcestershire","E10000034","70","%","5932"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Walsall","E08000030","68","%","3659"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Telford and Wrekin","E06000020","73","%","2099"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Birmingham","E08000025","73","%","15078"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Herefordshire, County of","E06000019","72","%","1769"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Shropshire","E06000051","75","%","2765"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Stoke-on-Trent","E06000021","72","%","2814"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Wolverhampton","E08000031","76","%","3014"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Sandwell","E08000028","73","%","4233"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Dudley","E08000027","71","%","3696"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Staffordshire","E10000028","76","%","9038"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","West Midlands","Coventry","E08000026","73","%","3905"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Wakefield","E08000036","71","%","3775"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Barnsley","E08000016","75","%","2665"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Kirklees","E08000034","73","%","5257"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Bradford","E08000032","73","%","7565"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Leeds","E08000035","71","%","8636"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","North East Lincolnshire","E06000012","73","%","1850"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Calderdale","E08000033","74","%","2651"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Sheffield","E08000019","74","%","5829"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","York","E06000014","76","%","1880"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Doncaster","E08000017","70","%","3500"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","74","%","3388"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Rotherham","E08000018","76","%","3112"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","North Yorkshire","E10000023","72","%","6017"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","76","%","2984"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","All","ONS 2001 5+1","2016/2017","Academic year","Yorkshire and The Humber","North Lincolnshire","E06000013","76","%","1920"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Hertfordshire","E10000015","85","%","991"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Southend-on-Sea","E06000033","86","%","109"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Norfolk","E10000020","85","%","113"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Cambridgeshire","E10000003","77","%","244"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Bedford","E06000055","67","%","316"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Suffolk","E10000029","82","%","132"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Thurrock","E06000034","84","%","94"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Essex","E10000012","88","%","369"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Central Bedfordshire","E06000056","81","%","81"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Luton","E06000032","74","%","1351"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East","Peterborough","E06000031","71","%","503"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Northamptonshire","E10000021","72","%","392"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Lincolnshire","E10000019","93","%","58"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicester","E06000016","82","%","1733"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicestershire","E10000018","80","%","551"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derbyshire","E10000007","81","%","74"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Rutland","E06000017","!","%","6"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottinghamshire","E10000024","81","%","246"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottingham","E06000018","80","%","546"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derby","E06000015","75","%","570"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","London","Redbridge","E09000026","85","%","2012"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","London","Barnet","E09000003","87","%","424"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","London","Islington","E09000019","82","%","129"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","London","Bromley","E09000006","92","%","198"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","London","Newham","E09000025","85","%","2011"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","London","Lambeth","E09000022","89","%","143"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","London","Brent","E09000005","82","%","1072"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","London","Hillingdon","E09000017","87","%","951"
"Percentage of pupils reaching the key stage 2 expected standard in mathematics","Asian","ONS 2001 5+1","2016/2017","Academic year","London","City of London","E09000001","!","%","12"
