"Title","Maths attainments for children aged 7 to 11 (key stage 2)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"
"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_tyoe","Denominator"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","14","%","4,879"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","All","Boys","All/Boys/Girls","18","%","299,307"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","17","%","225,632"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","17","%","207,434"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","23","%","864"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","!","%","229"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","!","%","1,042"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","20","%","16,063"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","19","%","15,569"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","12","%","4,341"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","17","%","1,983"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","26","%","3,650"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","21","%","5,595"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","25","%","31,791"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","35","%","8,137"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","17","%","13,389"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","22","%","5,158"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","34","%","5,107"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","15","%","17,440"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","9","%","3,844"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","17","%","11,327"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","13","%","2,269"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","53","%","1,072"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","22","%","5,243"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","15","%","2,560"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","All","Girls","All/Boys/Girls","15","%","286,850"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","14","%","216,017"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","14","%","198,701"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","21","%","837"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","!","%","203"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","!","%","950"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","16","%","15,326"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","16","%","15,021"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","10","%","4,266"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","14","%","1,917"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","22","%","3,378"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","18","%","5,460"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","21","%","30,329"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","31","%","7,657"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","14","%","12,767"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","19","%","5,037"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","30","%","4,868"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","13","%","16,984"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","8","%","3,661"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","15","%","11,140"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","11","%","2,183"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","48","%","1,101"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","18","%","5,079"
"% of pupils reaching the higher standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","Girls","All/Boys/Girls","12","%","2,319"
