"Title","Convictions by ethnicity and sex"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Criminal Justice Statistics 
 https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-december-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Year","Sex","Age group","Ethnicity","Convictions","Prosecutions","Conviction Ratio"
"2014","Female","All","Black","1,963","2,650","74"
"2014","Female","All","Chinese and other","372","443","84"
"2014","Female","All","Mixed","1,019","1,349","76"
"2014","Female","All","Not stated","7,924","10,326","77"
"2014","Female","All","White","30,288","37,325","81"
"2014","Male","All","Asian","11,740","15,718","75"
"2014","Male","All","Black","18,748","24,313","77"
"2014","Male","All","Chinese and other","2,518","3,175","79"
"2014","Male","All","Mixed","6,264","8,240","76"
"2014","Male","All","Not stated","27,097","35,009","77"
"2014","Male","All","White","170,947","209,231","82"
"2014","Not Known","All","Asian","31","75","41"
"2014","Not Known","All","Black","44","82","54"
"2014","Not Known","All","Chinese and other","5","9","56"
"2014","Not Known","All","Mixed","16","41","39"
"2014","Not Known","All","Not stated","2,542","4,555","56"
"2014","Not Known","All","White","384","653","59"
"2015","Female","All","Asian","658","934","70"
"2015","Female","All","Black","1,874","2,381","79"
"2015","Female","All","Chinese and other","358","398","90"
"2015","Female","All","Mixed","970","1,237","78"
"2015","Female","All","Not stated","8,328","10,244","81"
"2015","Female","All","White","27,529","32,811","84"
"2015","Male","All","Asian","11,277","14,395","78"
"2015","Male","All","Black","17,970","22,513","80"
"2015","Male","All","Chinese and other","2,502","2,982","84"
"2015","Male","All","Mixed","6,136","7,930","77"
"2015","Male","All","Not stated","29,839","36,971","81"
"2015","Male","All","White","155,334","183,928","85"
"2015","Not Known","All","Asian","37","97","38"
"2015","Not Known","All","Black","59","111","53"
"2015","Not Known","All","Chinese and other","10","19","53"
"2015","Not Known","All","Mixed","15","29","52"
"2015","Not Known","All","Not stated","2,596","4,790","54"
"2015","Not Known","All","White","320","559","57"
"2016","Female","All","Asian","634","871","73"
"2016","Female","All","Black","1,695","2,205","77"
"2016","Female","All","Chinese and other","281","371","76"
"2016","Female","All","Mixed","749","967","78"
"2016","Female","All","Not stated","7,892","9,529","83"
"2016","Female","All","White","23,882","28,088","85"
"2016","Male","All","Asian","11,176","13,753","81"
"2016","Male","All","Black","18,375","22,670","81"
"2016","Male","All","Chinese and other","2,211","2,692","82"
"2016","Male","All","Mixed","5,415","6,615","82"
"2016","Male","All","Not stated","34,680","41,612","83"
"2016","Male","All","White","135,218","156,777","86"
"2016","Not Known","All","Asian","35","92","38"
"2016","Not Known","All","Black","78","125","62"
"2016","Not Known","All","Chinese and other","9","14","64"
"2016","Not Known","All","Mixed","20","33","61"
"2016","Not Known","All","Not stated","2,680","4,773","56"
"2016","Not Known","All","White","349","538","65"
